segmentID,binID
tc0227§0009,2
tc0202§0007,2
tc0578§0014,3
tc0365§0007,2
tc0538§0015,4
tc0658§0003,1
tc0111§0001,0
tc0075§0008,2
tc0397§0016,4
tc0362§0002,0
tc0687§0011,4
tc0367§0006,2
tc0829§0000,0
tc0094§0016,4
tc0094§0006,1
tc0389§0015,4
tc0157§0000,0
tc0246§0013,4
tc0433§0007,2
tc0523§0011,3
tc0650§0001,0
tc0401§0003,1
tc0319§0013,3
tc0540§0004,1
tc0195§0010,3
tc0496§0004,1
tc0189§0005,1
tc0188§0008,2
tc0199§0006,1
tc0793§0012,4
tc0394§0008,3
tc0167§0003,1
tc0486§0008,2
tc0872§0001,0
tc0644§0017,4
tc0447§0013,3
tc0686§0012,3
tc0425§0003,1
tc0668§0007,2
tc0669§0010,2
tc0107§0014,4
tc0643§0000,0
tc0072§0003,2
tc0114§0010,3
tc0519§0004,1
tc0690§0008,3
tc0401§0004,1
tc0054§0009,2
tc0800§0013,4
tc0401§0002,0
tc0711§0001,0
tc0252§0018,4
tc0740§0013,4
tc0180§0005,1
tc0694§0006,2
tc0307§0014,4
tc0715§0010,3
tc0391§0002,0
tc0278§0001,0
tc0649§0013,3
tc0215§0016,4
tc0395§0006,1
tc0836§0010,3
tc0547§0007,1
tc0236§0000,0
tc0685§0002,0
tc0828§0004,1
tc0398§0006,1
tc0080§0013,3
tc0330§0000,0
tc0192§0002,0
tc0393§0003,0
tc0217§0014,4
tc0585§0004,1
tc0226§0002,0
tc0188§0015,4
tc0697§0001,0
tc0157§0011,4
tc0256§0009,4
tc0404§0007,2
tc0201§0014,3
tc0524§0003,1
tc0844§0008,2
tc0789§0013,4
tc0367§0005,1
tc0646§0000,0
tc0124§0011,4
tc0644§0012,3
tc0824§0006,3
tc0036§0005,1
tc0447§0005,1
tc0755§0001,0
tc0327§0008,2
tc0259§0008,2
tc0213§0003,1
tc0204§0011,3
tc0848§0014,4
tc0364§0000,0
tc0237§0007,2
tc0243§0006,1
tc0209§0010,2
tc0091§0008,2
tc0323§0001,0
tc0064§0010,3
tc0232§0010,3
tc0612§0007,2
tc0866§0001,0
tc0179§0012,3
tc0304§0003,1
tc0724§0009,4
tc0447§0002,0
tc0265§0005,1
tc0400§0005,1
tc0158§0005,1
tc0281§0009,2
tc0595§0000,0
tc0227§0004,1
tc0158§0015,4
tc0435§0002,0
tc0318§0007,2
tc0200§0005,1
tc0761§0010,2
tc0405§0007,2
tc0511§0010,4
tc0606§0012,3
tc0828§0007,2
tc0236§0016,4
tc0364§0015,4
tc0530§0006,2
tc0189§0002,0
tc0788§0000,0
tc0867§0004,1
tc0221§0005,1
tc0738§0008,2
tc0196§0012,3
tc0161§0013,4
tc0700§0007,2
tc0185§0003,1
tc0646§0001,0
tc0245§0005,1
tc0647§0012,3
tc0110§0001,0
tc0797§0014,3
tc0072§0002,1
tc0537§0009,3
tc0836§0015,4
tc0789§0007,2
tc0861§0014,4
tc0823§0001,0
tc0256§0006,2
tc0644§0016,4
tc0188§0010,2
tc0851§0002,1
tc0223§0001,0
tc0794§0003,0
tc0581§0013,3
tc0464§0013,4
tc0193§0013,4
tc0798§0013,4
tc0608§0005,1
tc0464§0008,2
tc0604§0008,2
tc0547§0016,3
tc0857§0005,1
tc0581§0012,3
tc0687§0000,0
tc0548§0005,1
tc0724§0002,0
tc0864§0008,2
tc0666§0011,2
tc0366§0000,0
tc0398§0001,0
tc0666§0003,0
tc0648§0008,2
tc0596§0005,3
tc0445§0008,2
tc0204§0015,4
tc0542§0000,0
tc0336§0007,4
tc0712§0013,4
tc0796§0004,4
tc0715§0012,3
tc0435§0000,0
tc0096§0014,4
tc0317§0005,1
tc0838§0000,0
tc0788§0003,0
tc0799§0000,0
tc0519§0007,2
tc0224§0000,0
tc0504§0006,2
tc0605§0005,1
tc0637§0001,0
tc0108§0012,4
tc0751§0011,3
tc0213§0004,1
tc0227§0001,0
tc0700§0015,4
tc0335§0013,3
tc0549§0004,0
tc0221§0002,0
tc0536§0003,1
tc0856§0002,0
tc0852§0005,1
tc0529§0005,2
tc0320§0002,0
tc0848§0009,3
tc0521§0014,4
tc0611§0005,1
tc0541§0005,1
tc0851§0001,0
tc0707§0012,4
tc0666§0013,3
tc0249§0016,4
tc0091§0006,1
tc0855§0003,1
tc0641§0012,4
tc0215§0005,1
tc0687§0001,0
tc0716§0012,4
tc0281§0005,1
tc0641§0002,0
tc0223§0017,4
tc0392§0004,1
tc0447§0000,0
tc0260§0010,1
tc0335§0003,0
tc0528§0010,4
tc0306§0014,3
tc0722§0000,0
tc0485§0013,4
tc0487§0003,1
tc0794§0017,4
tc0183§0010,2
tc0217§0012,4
tc0114§0011,3
tc0007§0004,1
tc0103§0010,3
tc0255§0003,1
tc0782§0011,4
tc0244§0015,4
tc0836§0014,4
tc0182§0002,0
tc0304§0001,0
tc0210§0006,1
tc0784§0011,4
tc0641§0009,3
tc0876§0014,4
tc0504§0002,0
tc0481§0008,2
tc0736§0004,1
tc0735§0005,1
tc0789§0006,1
tc0232§0004,1
tc0221§0016,4
tc0657§0005,2
tc0487§0005,1
tc0856§0004,1
tc0762§0007,1
tc0688§0000,0
tc0485§0007,2
tc0641§0004,1
tc0612§0011,3
tc0190§0002,0
tc0225§0012,3
tc0252§0008,2
tc0790§0014,4
tc0122§0006,2
tc0529§0001,0
tc0193§0006,1
tc0581§0005,1
tc0102§0009,2
tc0605§0013,3
tc0444§0013,4
tc0306§0004,1
tc0612§0014,4
tc0401§0000,0
tc0826§0012,4
tc0542§0002,0
tc0231§0005,1
tc0781§0005,1
tc0447§0011,3
tc0866§0002,0
tc0538§0012,3
tc0366§0004,1
tc0394§0003,1
tc0201§0012,3
tc0636§0000,0
tc0034§0004,1
tc0826§0005,1
tc0158§0000,0
tc0789§0000,0
tc0520§0007,2
tc0795§0002,0
tc0389§0006,1
tc0729§0013,4
tc0549§0008,1
tc0511§0008,3
tc0184§0009,2
tc0179§0013,4
tc0091§0007,2
tc0238§0013,3
tc0041§0004,1
tc0183§0007,2
tc0509§0005,2
tc0451§0002,1
tc0669§0000,0
tc0823§0005,1
tc0328§0006,1
tc0859§0001,0
tc0228§0015,3
tc0643§0003,0
tc0578§0007,1
tc0435§0005,1
tc0001§0012,4
tc0227§0012,3
tc0598§0007,1
tc0231§0006,1
tc0481§0015,4
tc0404§0001,0
tc0244§0011,3
tc0118§0006,2
tc0220§0004,1
tc0827§0011,3
tc0281§0016,4
tc0057§0012,4
tc0313§0005,1
tc0563§0004,1
tc0519§0011,4
tc0707§0000,0
tc0244§0012,3
tc0242§0006,2
tc0757§0014,4
tc0610§0000,0
tc0041§0012,3
tc0433§0008,2
tc0327§0014,4
tc0229§0003,0
tc0204§0004,1
tc0637§0005,1
tc0523§0012,4
tc0122§0004,1
tc0213§0011,4
tc0179§0008,2
tc0722§0008,2
tc0524§0007,2
tc0395§0012,3
tc0194§0006,1
tc0782§0012,4
tc0528§0004,1
tc0708§0004,1
tc0213§0005,2
tc0697§0011,3
tc0226§0015,4
tc0666§0005,1
tc0007§0012,4
tc0485§0009,3
tc0658§0008,3
tc0559§0012,3
tc0054§0013,4
tc0222§0012,3
tc0229§0008,2
tc0613§0002,0
tc0232§0005,1
tc0169§0007,2
tc0401§0001,0
tc0266§0013,3
tc0637§0011,3
tc0797§0018,4
tc0280§0003,1
tc0864§0000,0
tc0479§0005,1
tc0392§0014,4
tc0184§0000,0
tc0231§0001,0
tc0668§0011,3
tc0520§0009,3
tc0185§0000,0
tc0730§0004,1
tc0037§0002,0
tc0540§0012,4
tc0479§0001,0
tc0687§0007,2
tc0607§0007,3
tc0482§0011,3
tc0209§0008,2
tc0503§0004,1
tc0391§0001,0
tc0578§0019,4
tc0669§0019,4
tc0790§0008,2
tc0214§0014,3
tc0393§0000,0
tc0798§0011,3
tc0788§0009,2
tc0203§0009,2
tc0798§0000,0
tc0544§0003,0
tc0324§0002,0
tc0246§0006,1
tc0433§0001,0
tc0781§0010,2
tc0731§0004,1
tc0544§0002,0
tc0103§0009,3
tc0040§0005,2
tc0328§0004,0
tc0563§0019,4
tc0237§0009,2
tc0448§0014,4
tc0400§0000,0
tc0690§0003,1
tc0867§0012,4
tc0175§0006,1
tc0075§0014,4
tc0219§0016,4
tc0214§0002,0
tc0608§0012,3
tc0248§0007,2
tc0209§0016,4
tc0664§0004,2
tc0842§0013,4
tc0668§0014,4
tc0823§0006,2
tc0787§0011,3
tc0582§0007,1
tc0582§0010,2
tc0536§0002,1
tc0523§0008,2
tc0328§0005,1
tc0648§0006,1
tc0068§0006,1
tc0403§0005,1
tc0752§0000,0
tc0570§0013,4
tc0637§0003,1
tc0610§0016,4
tc0262§0012,3
tc0106§0011,3
tc0829§0009,2
tc0576§0009,2
tc0842§0003,1
tc0798§0009,3
tc0218§0001,0
tc0176§0006,1
tc0864§0005,1
tc0794§0005,1
tc0685§0010,3
tc0716§0004,1
tc0053§0000,0
tc0755§0003,0
tc0720§0007,3
tc0266§0001,0
tc0675§0009,3
tc0234§0001,0
tc0543§0014,4
tc0295§0012,3
tc0111§0017,4
tc0861§0012,4
tc0789§0012,3
tc0718§0005,1
tc0256§0001,0
tc0260§0012,2
tc0543§0010,3
tc0605§0004,1
tc0425§0006,2
tc0080§0003,0
tc0762§0002,0
tc0781§0001,0
tc0605§0002,0
tc0871§0010,3
tc0208§0006,1
tc0762§0009,2
tc0665§0002,1
tc0227§0002,0
tc0792§0014,4
tc0114§0000,0
