 Baroja_adventure_ne0237 Baroja_adventure_ne0305 Baroja_historical_ne0115 Baroja_historical_ne0248 Baroja_realist_ne0065 Miro_erotic_ne0045 Miro_erotic_ne0048 Miro_historical_ne0054 Miro_historical_ne0055 Valle_erotic_ne0013 Valle_erotic_ne0014 Valle_erotic_ne0016 Valle_historical_ne0020 Valle_historical_ne0022
Baroja_adventure_ne0237 0.0 1.2668840047753238 1.278712509486756 1.337055373290283 1.409035900045057 1.2358372585592499 1.23185542323456 1.23486818515542 1.23637050262823 1.1990518280341298 1.1352420163131698 1.20258686021651 1.14390323425997 1.1315906861184
Baroja_adventure_ne0305 1.2668840047753238 0.0 1.409290907514905 1.2941556875008398 1.3535109479351322 1.16708607198277 1.18036447962199 1.21496897955662 1.2147706314030802 1.1984533093526202 1.13567947427491 1.1850708887814698 1.1712739848146998 1.1750294555907699
Baroja_historical_ne0115 1.278712509486756 1.409290907514905 0.0 1.3215443392288309 1.38364255208493 1.19040454230321 1.21943192282909 1.21880587603177 1.22945554503408 1.2505633287031799 1.21477470316604 1.20708438471404 1.13955896598133 1.06770602751886
Baroja_historical_ne0248 1.337055373290283 1.2941556875008398 1.3215443392288309 0.0 1.21150438570345 1.14791743025957 1.21483727856311 1.25704236105499 1.24046002200499 1.2281768692311998 1.22972529032507 1.2412826765450802 1.14179640515679 1.11896254882971
Baroja_realist_ne0065 1.409035900045057 1.3535109479351322 1.38364255208493 1.21150438570345 0.0 1.1359129893946498 1.1756508591178 1.2450482985146498 1.24557820268244 1.17028050329949 1.20098547805828 1.1987353227634299 1.11680080684864 1.0782007636023199
Miro_erotic_ne0045 1.2358372585592499 1.16708607198277 1.19040454230321 1.14791743025957 1.1359129893946498 0.0 1.323603191313825 1.5305106169729639 1.5332216080588261 1.04406488359538 1.08402793592699 1.05278435836577 1.13083894432058 1.11171816008955
Miro_erotic_ne0048 1.23185542323456 1.18036447962199 1.21943192282909 1.21483727856311 1.1756508591178 1.323603191313825 0.0 1.38434635814546 1.4119753687179353 1.04756741555058 1.06166979307125 1.07749682576756 1.11622683430264 1.1100714609174498
Miro_historical_ne0054 1.23486818515542 1.21496897955662 1.21880587603177 1.25704236105499 1.2450482985146498 1.5305106169729639 1.38434635814546 0.0 0.9860617820476549 1.11203749119863 1.08130357212214 1.10374818407242 1.10152871078077 1.11029384467925
Miro_historical_ne0055 1.23637050262823 1.2147706314030802 1.22945554503408 1.24046002200499 1.24557820268244 1.5332216080588261 1.4119753687179353 0.9860617820476549 0.0 1.1232101061873 1.0632440734273 1.09068079505704 1.0703107867495 1.13451536675428
Valle_erotic_ne0013 1.1990518280341298 1.1984533093526202 1.2505633287031799 1.2281768692311998 1.17028050329949 1.04406488359538 1.04756741555058 1.11203749119863 1.1232101061873 0.0 1.2896794402994427 1.2272292189760727 1.358624696615113 1.381766275339237
Valle_erotic_ne0014 1.1352420163131698 1.13567947427491 1.21477470316604 1.22972529032507 1.20098547805828 1.08402793592699 1.06166979307125 1.08130357212214 1.0632440734273 1.2896794402994427 0.0 1.2656645783569829 1.3881962783633808 1.4356661094808278
Valle_erotic_ne0016 1.20258686021651 1.1850708887814698 1.20708438471404 1.2412826765450802 1.1987353227634299 1.05278435836577 1.07749682576756 1.10374818407242 1.09068079505704 1.2272292189760727 1.2656645783569829 0.0 1.395397627414653 1.4215475279239078
Valle_historical_ne0020 1.14390323425997 1.1712739848146998 1.13955896598133 1.14179640515679 1.11680080684864 1.13083894432058 1.11622683430264 1.10152871078077 1.0703107867495 1.358624696615113 1.3881962783633808 1.395397627414653 0.0 1.307885150288553
Valle_historical_ne0022 1.1315906861184 1.1750294555907699 1.06770602751886 1.11896254882971 1.0782007636023199 1.11171816008955 1.1100714609174498 1.11029384467925 1.13451536675428 1.381766275339237 1.4356661094808278 1.4215475279239078 1.307885150288553 0.0
