"ne0013" "ne0014" "ne0016" "ne0020" "ne0022" "ne0045" "ne0048" "ne0054" "ne0055" "ne0065" "ne0115" "ne0237" "ne0248" "ne0305"
"ne0013" 0 0.882455877263575 0.820005655940205 0.951401133579245 0.974542712303369 1.04406488359538 1.04756741555058 1.11203749119863 1.1232101061873 1.17028050329949 1.25056332870318 1.19905182803413 1.2281768692312 1.19845330935262
"ne0014" 0.882455877263575 0 0.858441015321115 0.980972715327513 1.02844254644496 1.08402793592699 1.06166979307125 1.08130357212214 1.0632440734273 1.20098547805828 1.21477470316604 1.13524201631317 1.22972529032507 1.13567947427491
"ne0016" 0.820005655940205 0.858441015321115 0 0.988174064378785 1.01432396488804 1.05278435836577 1.07749682576756 1.10374818407242 1.09068079505704 1.19873532276343 1.20708438471404 1.20258686021651 1.24128267654508 1.18507088878147
"ne0020" 0.951401133579245 0.980972715327513 0.988174064378785 0 0.900661587252685 1.13083894432058 1.11622683430264 1.10152871078077 1.0703107867495 1.11680080684864 1.13955896598133 1.14390323425997 1.14179640515679 1.1712739848147
"ne0022" 0.974542712303369 1.02844254644496 1.01432396488804 0.900661587252685 0 1.11171816008955 1.11007146091745 1.11029384467925 1.13451536675428 1.07820076360232 1.06770602751886 1.1315906861184 1.11896254882971 1.17502945559077
"ne0045" 1.04406488359538 1.08402793592699 1.05278435836577 1.13083894432058 1.11171816008955 0 0.771753594534849 0.978661020193988 0.98137201127985 1.13591298939465 1.19040454230321 1.23583725855925 1.14791743025957 1.16708607198277
"ne0048" 1.04756741555058 1.06166979307125 1.07749682576756 1.11622683430264 1.11007146091745 0.771753594534849 0 0.832496761366484 0.860125771938959 1.1756508591178 1.21943192282909 1.23185542323456 1.21483727856311 1.18036447962199
"ne0054" 1.11203749119863 1.08130357212214 1.10374818407242 1.10152871078077 1.11029384467925 0.978661020193988 0.832496761366484 0 0.434212185268679 1.24504829851465 1.21880587603177 1.23486818515542 1.25704236105499 1.21496897955662
"ne0055" 1.1232101061873 1.0632440734273 1.09068079505704 1.0703107867495 1.13451536675428 0.98137201127985 0.860125771938959 0.434212185268679 0 1.24557820268244 1.22945554503408 1.23637050262823 1.24046002200499 1.21477063140308
"ne0065" 1.17028050329949 1.20098547805828 1.19873532276343 1.11680080684864 1.07820076360232 1.13591298939465 1.1756508591178 1.24504829851465 1.24557820268244 0 0.893890870851997 0.919284218812124 0.721752704470517 0.863759266702199
"ne0115" 1.25056332870318 1.21477470316604 1.20708438471404 1.13955896598133 1.06770602751886 1.19040454230321 1.21943192282909 1.21880587603177 1.22945554503408 0.893890870851997 0 0.788960828253823 0.831792657995898 0.919539226281972
"ne0237" 1.19905182803413 1.13524201631317 1.20258686021651 1.14390323425997 1.1315906861184 1.23583725855925 1.23185542323456 1.23486818515542 1.23637050262823 0.919284218812124 0.788960828253823 0 0.84730369205735 0.777132323542391
"ne0248" 1.2281768692312 1.22972529032507 1.24128267654508 1.14179640515679 1.11896254882971 1.14791743025957 1.21483727856311 1.25704236105499 1.24046002200499 0.721752704470517 0.831792657995898 0.84730369205735 0 0.804404006267907
"ne0305" 1.19845330935262 1.13567947427491 1.18507088878147 1.1712739848147 1.17502945559077 1.16708607198277 1.18036447962199 1.21496897955662 1.21477063140308 0.863759266702199 0.919539226281972 0.777132323542391 0.804404006267907 0
