"ne0013" "ne0014" "ne0016" "ne0020" "ne0022" "ne0045" "ne0048" "ne0054" "ne0055" "ne0065" "ne0115" "ne0237" "ne0248" "ne0305"
"de" 4.77833692786964 5.4194009196018 4.93652292519148 4.91624180626366 4.69517891231063 6.26060976437835 6.53742197678262 8.24115044247788 7.74376744633747 4.64741712545391 6.66134165050144 5.65429152017547 4.97813709144673 5.63728047296122
"y" 3.79103762281332 4.20963349850453 3.8820690378764 3.63255644573926 3.34673652573007 5.41182861411014 5.79267699846384 6.20958134785568 5.28202906920782 3.60196790441607 3.71610056673386 4.09153952843273 3.57199031111391 4.30301976467861
"la" 3.55140186915888 4.02660595509129 3.87157695939566 4.71139839766934 3.97628041103123 3.52413933591363 3.73344741089311 3.9142273655548 3.91760515930311 3.76595993908867 3.57283227466941 3.24323452569106 3.50278398188052 3.58314496029676
"el" 2.68871315600288 2.84808713896701 2.90630573916693 3.61890021849964 3.49701474351164 2.20683099069736 2.11173119178642 3.13138189244384 3.17403022427568 3.00017570575144 2.91861600294144 2.79972905847821 3.05766145522036 2.84124500086941
"que" 2.38677210639827 2.18293826168475 2.44990032525443 2.34887108521486 2.39632833759799 1.79941603856862 2.5998016606063 2.02731449965963 2.03821349504283 2.76443715590957 2.95158038872618 2.51104731800148 2.72893139136179 2.40306033733264
"en" 2.61202971483345 2.29900450872729 2.51285279613892 2.40349599417334 2.46943665976199 1.7383037957493 1.6703288156027 1.89967665078285 2.03099432091635 2.0865057982898 2.68913316343996 2.62071412443957 2.28695460693951 2.38451283834695
"a" 1.61035226455787 1.74545779206285 1.46889098730459 1.7115804806992 1.88050850899639 1.71114279894072 1.51282400295565 1.36147038801906 1.43180286841852 2.51991331849596 3.220366918971 3.06744508595942 2.35773380729183 2.42160783631832
"los" 1.71099928109274 1.81241908843355 1.48987514426608 2.14402767662054 2.30697372161976 1.2629863515991 1.40782079452428 2.75910483321988 2.57724516315334 1.52278317910273 1.81938052311945 1.68209528110183 1.55399666551323 1.65768272184548
"se" 1.0352264557872 1.03566805053346 0.918056867065366 1.23361252731245 1.40124284147679 1.17471311197121 1.3844867482062 1.50825391422737 1.84329579362788 1.70141735972824 1.93475587336604 1.60468341773377 1.63735883481708 1.48379991885469
"un" 1.26048406422238 1.20530333467256 1.42167663414122 1.24726875455208 1.43373542910524 0.875942147076798 1.04419857273417 0.944520081688223 1.10453364135143 1.58135176291437 1.10303906279715 1.47243815114666 1.67510774167165 1.5510346026778
"las" 1.63910855499641 1.24101602607026 1.42167663414122 1.32010196649672 1.16161000771699 0.909893393087526 1.28142804363467 1.7465112321307 1.89623640388873 0.918062551247511 0.713805738338849 0.867657968583685 0.758123879329328 1.30180258505767
"con" 1.32278936017254 1.2856568903174 1.31150981009338 1.62053896576839 1.59213679379392 0.7129761662253 0.59501818111109 0.674353301565691 0.839830590047165 1.15526531568467 1.13346772659846 1.29019772280102 1.18279908144327 1.33310148959601
"no" 1.02564102564103 0.665148877282264 0.797397964536775 0.887654770575382 1.04382437756387 1.41916208324846 0.995585976238163 0.542460857726344 0.671383193762634 1.70141735972824 0.81777033965996 1.09666806438087 1.78835446223536 1.09778009621515
