,idno,author-name,author-gender,title,year,supergenre,genre,genre-subtitle,availability,subgenre,form,decade
ne0282,ne0282,Galdos,male,Odonell,1904,narrative,novel,"Episodios nacionales, libro quinto de la serie cuarta",free,historical,prose,1900
ne0283,ne0283,Galdos,male,VueltaNumancia,1906,narrative,novel,"Episodios nacionales, libro octavo de la serie cuarta",free,historical,prose,1900
ne0289,ne0289,Lanza,male,Quilla,1891,narrative,novel,n.av.,free,bildungsroman,prose,1890
ne0291,ne0291,Azorin,male,Tomas,1915,narrative,novel,n.av.,free,bildungsroman,prose,1910
ne0292,ne0292,Sender,male,WittCanton,1935,narrative,novel,novela,restricted,historical,prose,1930
ne0293,ne0293,Sender,male,LugarHombre,1939,narrative,novel,n.av.,restricted,historical,prose,1930
ne0299,ne0299,Pereda,male,Pachin,1896,narrative,novel,n.av.,free,historical,prose,1890
ne0301,ne0301,Serna,male,Torero,1926,narrative,novel,n.av.,restricted,bildungsroman,prose,1920
ne0302,ne0302,Baroja,male,DamaErrante,1908,narrative,novel,n.av.,restricted,historical,prose,1900
ne0320,ne0320,Hernandez,male,Calisto,1933,narrative,novel,n.av.,restricted,bildungsroman,prose,1930
ne0327,ne0327,BlascoIbanez,male,AranaNegra1,1892,narrative,novel,n.av.,free,bildungsroman,prose,1890
ne0328,ne0328,BlascoIbanez,male,AranaNegra2,1892,narrative,novel,n.av.,free,bildungsroman,prose,1890
ne0329,ne0329,Valdes,male,NovelaNovelista,1921,narrative,essay,Escenas de la infancia y adolescencia,restricted,bildungsroman,prose,1920
