"ne0007" "ne0008" "ne0013" "ne0014" "ne0016" "ne0017" "ne0018" "ne0020" "ne0021" "ne0022" "ne0026" "ne0029" "ne0030" "ne0033" "ne0035" "ne0036" "ne0037" "ne0040" "ne0045" "ne0048" "ne0053" "ne0054" "ne0055" "ne0079" "ne0081" "ne0084" "ne0085" "ne0107" "ne0110" "ne0114" "ne0115" "ne0117" "ne0120" "ne0124" "ne0125" "ne0126" "ne0130" "ne0141" "ne0144" "ne0155" "ne0160" "ne0165" "ne0167" "ne0169" "ne0170" "ne0185" "ne0192" "ne0215" "ne0219" "ne0221" "ne0223" "ne0226" "ne0228" "ne0232" "ne0239" "ne0240" "ne0246" "ne0247" "ne0248" "ne0254" "ne0264" "ne0265" "ne0267" "ne0269" "ne0270" "ne0277" "ne0278" "ne0279" "ne0280" "ne0281" "ne0282" "ne0283" "ne0292" "ne0293" "ne0299" "ne0302" "ne0307" "ne0311" "ne0318"
"ne0007" 0 0.907405318008151 1.06157328014699 1.06958533299041 1.04603566941935 1.1017410817041 1.05944850731711 1.11454968451163 1.11895048320384 1.09553331185487 0.967065591145558 0.932918662770933 1.02966849614427 1.05093193496913 1.05928900335118 1.03146577791579 1.04873449474241 0.926606489650545 1.01423511440396 1.05934699583031 1.02542444306591 1.07079054120714 1.04082578317688 0.986837767308059 0.929921821669754 0.902117678636706 0.932717903495671 0.935060332803498 0.960531401853115 1.04909684722425 1.10427005092437 1.08745842220306 0.912382012635743 1.0161026051262 1.03677670417453 0.97781684712256 0.976507118176128 1.03371658231967 0.991969124900882 0.952035942048461 0.99520305256906 1.01771646875802 0.973824718501374 0.972721603015665 0.951258450622277 0.993188437621791 0.896327411900692 1.0359769073043 1.02092793450093 0.988691526443598 0.929403476873754 0.885922939178085 0.987019047724296 0.96397954913553 1.06225007170869 1.02886404817642 1.04566068160894 1.06567008438733 1.01639002502685 1.02276989780288 1.05433237682606 0.999628795917934 1.07540092492451 1.10171431758365 1.07719898038514 0.993175114124394 1.00008734693856 0.940336063956059 0.996903833377478 0.979215855701725 0.982619821953705 1.02554304329285 1.03594682655765 1.03207473970627 0.998750407474791 1.03534675593325 0.990139719076899 0.989255121555138 0.955404359796682
"ne0008" 0.907405318008151 0 1.00309786065197 1.04470879814959 1.00196974845243 1.04505687285544 1.01211876108525 1.07920216336297 1.07676992918267 1.04464752896118 0.744274030334593 0.907967227911449 1.0891023453363 1.07157219873171 1.10947961268497 1.05215326023856 1.07900518248288 0.93134201282595 1.02459410349276 1.03480220356871 1.01649305157711 1.09444045082863 1.05977731501364 0.955610062734788 0.936425826659008 0.942333440662596 0.959819684486549 0.931214317495552 1.00319404702905 1.03587739602163 1.10744237014531 1.10159110002009 0.881907604201191 1.03358112586387 1.08089807046334 1.04316876931216 1.05383959928753 0.97579544647381 1.00200724291289 0.873505754063421 1.0627652265391 1.01149044856493 1.01145028281851 0.965057574961261 0.974679932530352 0.946041734941009 0.919204207599769 1.0459276049182 1.05821808953169 0.970271635080284 0.955608156800972 0.98975509436323 0.963616026679176 1.03545887029362 1.05197368855125 1.06638577810279 1.0812250489731 1.08418465179916 1.08077527738193 1.03423941819933 0.982305729269704 1.005245112559 1.04359233439749 1.07286319046797 1.03243287210999 1.01813923567169 1.00806044875612 0.968282899893787 1.02003087714162 1.04087361728934 1.01370403947086 1.04960694432247 1.02205166278501 1.01553936009056 0.989985636406257 1.03601245758434 0.902481116775393 0.881421004968131 0.999161043103905
"ne0013" 1.06157328014699 1.00309786065197 0 0.736971042596873 0.655903184486305 0.74781627918299 0.756412756476713 0.794238500867445 0.821896754821681 0.812127604751772 0.989193814703969 1.09280133905111 0.997474465733859 0.956041841418664 1.009314813074 1.00865972356634 0.936609728319701 0.999795434052579 0.923090261780616 0.892020425667117 0.900970741650143 0.918940633531116 0.919440366873423 1.0578628416133 1.12581991908915 1.0443168902901 1.05127277114684 1.03584094754817 1.06659433172873 1.03735573105779 1.13765064522627 1.07472755216641 0.990157719561704 1.05639743391079 1.09307330084945 1.08776601847971 1.17454180201912 0.968461118800645 1.12760175490243 1.05997863603372 1.06633447107976 1.12659157457171 1.02964732605478 0.997507007244046 1.02135798591414 1.03534529497015 1.09718480487032 0.96067009475348 1.06225963998829 0.98635249723387 1.04388018257701 1.03114785140127 1.04359420684301 1.01992070052698 1.04409271570771 1.04307669868651 1.08133693674437 1.11744884056946 1.12135929156973 0.994171724622545 1.07999196505066 1.08587347756218 1.09169348191372 1.11302835171501 1.10817212447636 1.15616486876492 1.14448522943881 1.10578583486202 1.14889476222236 1.1439430122897 1.1493199492734 1.13721834232614 1.09399732666469 1.03615252517203 1.05703978117094 1.08436259007313 0.986485810616354 1.00176837323174 1.02266382953003
"ne0014" 1.06958533299041 1.04470879814959 0.736971042596873 0 0.708599243094548 0.782147865508208 0.753023543941888 0.82951039106819 0.851431073264735 0.89009048499259 1.03016195219594 1.13421001629379 0.959085660384119 0.96496384504651 1.00612019662089 0.989165063981291 0.89162497670656 0.998040818698487 0.96768858698287 0.911948265953396 0.927930304974865 0.8998347649861 0.896088328407734 1.06324618747289 1.10071078655497 1.02767778171026 1.02191231232099 1.03285135247591 1.09693696058411 1.03340870483887 1.14194338282391 1.07865240305847 0.934459007763236 1.0360086021336 1.105981249006 1.11127396181929 1.11454014359116 0.994665760150772 1.07691564820907 1.07933684731037 0.951418178996104 1.08238790048402 1.04905659007508 1.01240331789058 1.02833090852261 1.01064972628333 1.14562848440703 0.946159958287916 1.04382328168018 1.02046240747678 1.03945560120263 0.993856835390741 1.08305374595699 1.05437097264246 1.08557111617375 1.07970874441668 1.0964484445446 1.13994606062273 1.1579133950141 0.947789905091142 1.01663664265023 1.0923445360687 1.05275372934227 1.04788168974319 1.04283539208819 1.14674906860729 1.15047067060153 1.11284346015876 1.14666434881919 1.11308786254852 1.15732931835346 1.06026951647972 1.08463119549221 1.06538140661748 1.04222852284877 1.11308819815304 0.989978890550306 1.01860280659168 1.00965708630783
"ne0016" 1.04603566941935 1.00196974845243 0.655903184486305 0.708599243094548 0 0.792213502846825 0.709667733950259 0.834336428627233 0.880539932813112 0.867747688762355 1.00022068470059 1.11283921915794 0.980445067156475 0.975626583796128 1.01248402507005 1.03690271242615 0.956170229737605 1.00222273240367 0.91749660902171 0.917997871931752 0.941228038686994 0.931954170560879 0.924099231479746 1.08591077272442 1.09681135700209 1.043116392611 1.04467628847938 1.0023336010557 1.09409999469883 1.02816013264866 1.11046295139823 1.07287029674746 0.953360633061089 1.07887006188857 1.08760884167149 1.11594282994121 1.11957948855984 0.976150439480472 1.07425479491769 1.08392815089257 1.06187201717004 1.05855916262069 1.08061605502536 1.02143637968616 1.0114054122193 1.02156364628006 1.10540925032718 0.956560511923417 1.07050503587666 1.00908497132986 1.05923485217018 1.04803655324354 1.07371219987374 1.06179624574475 1.05798097667566 1.06320084978294 1.08580020810917 1.11324223625093 1.13798453783083 0.985510444952353 1.04481715404339 1.0582564705197 1.03373873943915 1.08744945551834 1.06947403851591 1.13490337427915 1.14396244913627 1.08243070129799 1.1281536028366 1.09982065987204 1.1555361949831 1.10070612102978 1.07190716911182 1.04330755270326 1.02517472123393 1.1153164383295 0.999802709734435 1.01268925753993 1.04948797122861
"ne0017" 1.1017410817041 1.04505687285544 0.74781627918299 0.782147865508208 0.792213502846825 0 0.873948027401669 0.768844099482875 0.743213723030457 0.826325123790691 1.05128311297381 1.16208392304306 0.967489148077114 0.93988677792346 0.987650097357932 1.01829048348814 0.853977841417806 1.07266881818527 0.963823732170891 0.910517089536118 0.907562032067702 0.839916636449104 0.872895169165565 1.05388482575466 1.13521444272783 1.0620474300411 1.06737058240691 1.08301428923667 1.12147418995637 0.948171715540819 1.11492141439391 1.12302993824637 1.03679434245627 0.97126813234663 1.04266305610164 1.05645895716949 1.13746207991737 0.947961334819503 1.12705091153328 1.11419892840135 1.03383981936926 1.11213822261342 1.04622437999772 1.02576981896254 1.05335452405212 0.983808324130907 1.11524811759171 0.970776377830829 1.02557773360667 0.96261802437841 1.10461410319447 1.03395677491967 1.08805359245005 0.963509377062294 1.09269442406105 1.08284845267524 1.09249818220583 1.12578847667816 1.09305717719285 0.974745087153821 1.06783384210412 1.11592800959128 1.08744585739832 1.0725634817422 1.08370801590124 1.1194558101397 1.11406997852114 1.13894815037582 1.11280279460792 1.11489007821441 1.11666210991914 1.09106918788711 1.07771106155889 1.01535733584253 1.01517119061722 1.06831323540244 1.00152204022493 1.06477047215431 1.02261716396844
"ne0018" 1.05944850731711 1.01211876108525 0.756412756476713 0.753023543941888 0.709667733950259 0.873948027401669 0 0.807482819293147 0.82258197231222 0.819855706794188 0.984060001803418 1.06912208808667 0.95966070782253 0.906578051401627 0.957645519289529 0.96109473094286 0.946734007954502 0.999340841947106 0.972762404805088 0.965235168327279 0.973231172669874 1.00095847850815 0.987567681834623 1.0628163612244 1.04257439605063 1.03260753699536 1.0138105057495 0.985210789893931 1.07699608262567 1.02913121662598 1.11658738530212 1.05972344042006 0.96170483300357 1.04889504398601 1.09147251721234 1.08544223181604 1.13964951146312 0.99044898719127 1.06514671254593 1.04570440966977 1.04711670460217 1.08016800298083 1.07686942077406 1.02964925538974 1.02234753509896 1.04120785747317 1.06690157131445 1.00956567247667 1.07668048434892 1.00719438858056 1.07458235849465 1.02123043338501 1.07865799197926 1.00913701231129 1.09144925107615 1.06556377039524 1.05872823773699 1.07922095635305 1.1016231402022 1.0322088449368 1.08572477333512 1.05665659562985 1.07682918176411 1.1290452059872 1.08632208663862 1.09071709789356 1.0809414830136 1.03246263474908 1.09201305034783 1.04250150940174 1.097220112619 1.08047299603799 1.08204069575711 1.0468318127166 1.08490889553121 1.10414664206722 1.02867615238645 0.977716323493375 1.01084242225856
"ne0020" 1.11454968451163 1.07920216336297 0.794238500867445 0.82951039106819 0.834336428627233 0.768844099482875 0.807482819293147 0 0.717894072132953 0.781569413063305 1.0453790397633 1.12931068421397 0.918850764737028 0.864185105236258 0.895618146261095 0.941504491329907 0.911394587767062 1.07813854662464 0.999612886311842 0.945044991455813 0.95316244375346 0.904883076317131 0.891593560723164 1.05839001444435 1.11663161656496 1.08659775709164 1.08165362799437 1.03836310201878 1.10496680895171 1.01173439226886 1.04288251825422 1.05526719603191 1.07408636023209 1.0151312884371 1.03105923366252 1.06418216803836 1.12542792345289 0.968145648324562 1.1275468065988 1.10586034566693 1.06990745283843 1.09826592703301 1.08298496650662 1.03391625865168 1.0662579374648 1.0442177626624 1.07616983077719 1.01448443764552 1.02618823249667 0.960519755539035 1.10479350086002 1.08162814786697 1.07390584604539 1.0279258509803 1.03105356380686 1.04947741416921 1.04445427399884 1.09265032649574 1.06088964252536 1.00234339928505 1.0740473529087 1.09831830273664 1.07547138134371 1.06041177078717 1.0763593147028 1.08363489346085 1.09446175338893 1.08994871461461 1.08309006821061 1.07908689610046 1.0741059160421 1.05890827246956 1.03326943888217 1.00324336632067 1.0529712177952 1.06096284325174 1.03392396126937 1.02242111126081 1.06824346089903
"ne0021" 1.11895048320384 1.07676992918267 0.821896754821681 0.851431073264735 0.880539932813112 0.743213723030457 0.82258197231222 0.717894072132953 0 0.641911205249816 1.07819996329023 1.15172510897472 0.90914333036209 0.867380441741145 0.913380199258754 0.942291681001652 0.859292633336435 1.11086976672687 0.984293964115476 0.954536965777365 0.959908666257415 0.9035332840811 0.890045955532425 1.0587659839129 1.14804701940907 1.11039294850427 1.10092343584429 1.06740138003024 1.1000747318605 0.970694750080806 1.00822942847677 1.02757636026387 1.11831960707366 0.955638556416052 0.984230531681426 1.04031403008019 1.15475465598543 0.978639212088026 1.13247174414558 1.10979207504121 1.08769439521744 1.08356063017282 1.08223553143037 1.06406635229774 1.08990969474944 1.02132408843447 1.08539179539834 1.01125010497071 0.982095906667982 0.954858633655413 1.12186300662493 1.12728366529184 1.08273317576784 1.01079642915488 1.00321023096089 1.0194860514051 1.03905008199669 1.10969829380394 1.04534750532142 0.988015757758895 1.08375065347626 1.11772392365375 1.1018542036375 1.10297012950641 1.10326900884955 1.13838733555284 1.06101067335548 1.13575755066849 1.10217877453861 1.11485414731985 1.12029789799418 1.04534082756163 1.00109451161828 0.959354156226059 1.02942754930942 1.0039406749155 1.01110986170743 1.01459983509034 1.09435077055342
"ne0022" 1.09553331185487 1.04464752896118 0.812127604751772 0.89009048499259 0.867747688762355 0.826325123790691 0.819855706794188 0.781569413063305 0.641911205249816 0 1.03536348558549 1.12054652415903 0.897237750665916 0.889004469110882 0.919445760248839 0.927712625939755 0.899511831674425 1.08586494609749 0.976412201404081 0.947385359330257 0.990664469460258 0.941106521731888 0.94634534870343 1.0455283857029 1.11712785298315 1.08828139964389 1.04960520858057 1.03565320923925 1.07279610720907 0.963827991714315 0.993293916646894 1.02268862282498 1.07270775108131 0.965490390485067 1.01833634406806 1.01749962760956 1.13573001460843 0.985584714286412 1.12579198389311 1.09177280261065 1.06683040715254 1.08503992446467 1.07895696884138 1.06234783223107 1.08756718256941 1.05638723614304 1.07990245760589 1.05231088273552 1.00092824194383 0.967694754159524 1.1199517949988 1.10650607379287 1.07567301037674 1.00157893542987 1.02176042616255 1.04431154897107 1.01926618520448 1.07512435346523 1.05492949861751 1.01410159797261 1.07085495483114 1.07803828759527 1.08739024595572 1.10089703442383 1.08604170814814 1.10730063432619 1.06057223835714 1.10690444526844 1.10499039007995 1.08933137869078 1.09401863183799 1.05947320297529 1.01028335538213 0.997382312068928 1.05744265221196 1.03795829102355 1.04427494374748 1.0206144628773 1.0656632858275
