type of tendency for corpus: mean
different authors tendency: 1.02760408947
author	author_tendency	author_difference
Unamuno	0.0	1.02760408947
Pereda	0.416230221427	0.611373868046
Ganivet	0.0	1.02760408947
Dario	0.0	1.02760408947
RdCastro	0.0	1.02760408947
RPAyala	0.0	1.02760408947
Serna	0.308281038624	0.719323050849
Valdes	0.389477514312	0.63812657516
Sender	0.663749333783	0.36385475569
Baroja	0.733606027426	0.293998062047
WFFlorez	0.0	1.02760408947
Trigo	0.582280629377	0.445323460095
Valle	0.79856486906	0.229039220413
Miro	0.631409138097	0.396194951376
Clarin	0.0	1.02760408947
Zamacois	0.372137015167	0.655467074306
Selgas	0.0	1.02760408947
Bazan	0.665054131506	0.362549957966
Herrera	0.0	1.02760408947
BlascoIbanez	0.594871553952	0.43273253552
Sawa	0.0	1.02760408947
Bacarisse	0.0	1.02760408947
Galdos	0.65307458179	0.374529507683
Picon	0.0	1.02760408947
Lanza	0.0	1.02760408947
