Quoi	Pt	QUE|QUOI
?	Fs	?
Ma	Ds	MON
soeur	Nc	SUR
,	Fw	,
plaindre	Vvn	PLAINDRE
ainsi	Rg	AINSI
quelque	Di	QUELQUE
peu	Rg	PEU
de	S	DE
faiblesse	Nc	FAIBLESSE
?	Fs	?
Ce	Dd	CE
reste	Nc	RESTE
de	S	DE
langueur	Nc	LANGUEUR
qu'	Cs	QUE
un	Dn	UN
mal	Nc	MAL
passé	Ge	PASSER
me	Pp	JE
laisse	Vvc	LAISSER
?	Fs	?
Je	Pp	JE
sens	Vvc	SENTIR
naître	Vvn	NAÎTRE
déjà	Rg	DÉJÀ
d'	S	DE
une	Dn	UN
douce	Ag	DOUX
chaleur	Nc	CHALEUR
Ce	Vvc	Ce
plaisir	Nc	PLAISIR
imparfait	Ag	IMPARFAIT
qui	Pr	QUI
finit	Vvc	FINIR
la	Da	LE
douleur	Nc	DOULEUR
.	Fs	.
La	Da	LE
douleur	Nc	DOULEUR
qu'	Pr	QUE
on	Pp	ON
croit	Vvc	CROIRE|CROÎTRE
morte	Ge	MOURIR
est	Vuc	ÊTRE
souvent	Rg	SOUVENT
endormie	Ge	ENDORMIR
,	Fw	,
Et	Vvc	Et
ce	Dd	CE
plaisir	Nc	PLAISIR
malin	Ag	MALIN
réveille	Vvc	RÉVEILLER
une	Dn	UN
ennemie	Ag	ENNEMI
:	Fw	:
Craignez	Vvc	CRAINDRE
la	Pp	IL
dans	S	DANS
sa	Ds	SON
fin	Nc	FIN
,	Fw	,
c'	Pd	CE
est	Vuc	ÊTRE
trop	Rg	TROP
vous	Pp	VOUS
hasarder	Vvn	HASARDER
,	Fw	,
Vous	Nc	Vous
avez	Vuc	AVOIR
en	S	EN
vous	Pp	VOUS
seul	Ag	SEUL
toute	Di	TOUT
Rome	Nc	Rome
à	S	À
garder	Vvn	GARDER
;	Fw	;
Conservez	Vvc	CONSERVER
vous	Pp	VOUS
pour	S	POUR
nous	Pp	NOUS
,	Fw	,
tout	Di	TOUT
l'	Da	LE
Empire	Nc	EMPIRE
en	S	EN
un	Dn	UN
homme	Nc	HOMME
,	Fw	,
À	Nc	À
Lucille	Vvc	Lucille
son	Ds	SON
frère	Nc	FRÈRE
,	Fw	,
et	Cc	ET
son	Ds	SON
Consul	Nc	CONSUL
à	S	À
Rome	Nc	Rome
.	Fs	.
Le	Da	LE
mal	Nc	MAL
revient	Vvc	REVENIR
souvent	Rg	SOUVENT
alors	Rg	ALORS
qu'	Cs	QUE
il	Pp	IL
prend	Vvc	PRENDRE
congé	Nc	CONGÉ
,	Fw	,
L'	Vvc	L'
intervalle	Nc	INTERVALLE
en	Pp	EN
est	Vuc	ÊTRE
doux	Ag	DOUX
étant	Ga	ÊTRE
bien	Rg	BIEN
ménagé	Ge	MÉNAGER
:	Fw	:
Ce	Dd	CE
bel	Ag	BEAU
ordre	Nc	ORDRE
et	Cc	ET
si	Rg	SI
long	Ag	LONG
de	S	DE
piliers	Nc	PILIER
et	Cc	ET
d'	S	DE
arcades	Nc	ARCADE
Qui	Ag	Qui
divertit	Vvc	DIVERTIR
les	Da	LE
sains	Ag	SAIN|SAINT
peut	Vvc	POUVOIR
lasser	Vvn	LACER|LASSER
les	Da	LE
malades	Nc	MALADE
;	Fw	;
Ce	Vvc	Ce
parterre	Nc	PARTERRE
de	S	DE
fleurs	Nc	FLEUR
,	Fw	,
ce	Dd	CE
jardin	Nc	JARDIN
spacieux	Ag	SPACIEUX
Doit	Vvc	DEVOIR
borner	Vvn	BORNER
vos	Ds	VOTRE
plaisirs	Nc	PLAISIR
à	S	À
l'	Da	LE
usage	Nc	USAGE
des	S+Da	DE+LE|DE+LES
yeux	Nc	OEIL|YEUX
.	Fs	.
J'	Pp	JE
en	Pp	EN
reçois	Vvc	RECEVOIR
,	Fw	,
Papyrie	Nc	Papyrie
,	Fw	,
un	Dn	UN
agréable	Ag	AGRÉABLE
office	Nc	OFFICE
,	Fw	,
Honteux	Ag	HONTEUX
d'	S	DE
être	Vun	ÊTRE
réduit	Vvc	RÉDUIRE
à	S	À
ce	Dd	CE
faible	Ag	FAIBLE
exercice	Nc	EXERCICE
,	Fw	,
Tandis	Vvc	Tandis
que	Cs	QUE
votre	Ds	VOTRE
père	Nc	PÈRE
au	S+Da	À+LE
milieu	Nc	MILIEU
des	S+Da	DE+LE|DE+LES
combats	Nc	COMBAT
Rend	Vvc	RENDRE
à	S	À
Rome	Vvc	Rome
un	Dn	UN
devoir	Nc	DEVOIR
qui	Pr	QUI
demandait	Vvc	DEMANDER
mon	Ds	MON
bras	Nc	BRAS
:	Fw	:
Ma	Ds	MON
vertu	Nc	VERTU
parle	Vvc	PARLER
seule	Ag	SEUL
,	Fw	,
et	Cc	ET
vous	Pp	VOUS
défend	Vvc	DÉFENDRE
de	S	DE
croire	Vvn	CROIRE
Qu'	Vvc	Qu'
un	Dn	UN
si	Rg	SI
juste	Ag	JUSTE
intérêt	Nc	INTÉRÊT
soit	Vuc	ÊTRE
jaloux	Ag	JALOUX
de	S	DE
sa	Ds	SON
gloire	Nc	GLOIRE
,	Fw	,
Puisqu'en	Nc	Puisqu'en
lui	Pp	IL
résignant	Ga	RÉSIGNER
,	Fw	,
et	Cc	ET
Rome	Vvc	Rome
et	Cc	ET
mes	Ds	MON
emplois	Nc	EMPLOI
,	Fw	,
Le	Vvc	Le
créant	Ga	CRÉER
Dictateur	Nc	DICTATEUR
j'	Pp	JE
ai	Vuc	AVOIR
tout	Rg	TOUT
mis	Ge	METTRE
sous	S	SOUS
ses	Ds	SON
lois	Nc	LOI
,	Fw	,
Que	Vvc	Que
mon	Ds	MON
mal	Nc	MAL
l'	Pp	IL
a	Vuc	AVOIR
rendu	Ge	RENDRE
seul	Ag	SEUL
maître	Nc	MAÎTRE
de	S	DE
l'	Da	LE
Empire	Nc	EMPIRE
;	Fw	;
J'	Vvc	J'
ai	Vuc	AVOIR
pour	S	POUR
lui	Pp	IL
de	S	DE
la	Da	LE
joie	Nc	JOIE
,	Fw	,
et	Cc	ET
pour	S	POUR
moi	Pp	JE
je	Pp	JE
soupire	Vvc	SOUPIRER
De	Vvc	De
voir	Vvn	VOIR
qu'	Cs	QUE
étant	Ga	ÊTRE
Consul	Nc	CONSUL
je	Pp	JE
manque	Vvc	MANQUER
à	S	À
mon	Ds	MON
pays	Nc	PAYS
,	Fw	,
Et	Vvc	Et
que	Cs	QUE
ma	Ds	MON
maladie	Nc	MALADIE
ait	Vuc	AVOIR
mes	Ds	MON
desseins	Nc	DESSEIN
trahis	Vvc	TRAHIR
:	Fw	:
En	S	EN
un	Dn	UN
si	Rg	SI
faible	Ag	FAIBLE
état	Nc	ÉTAT
peux	Vvc	POUVOIR
-tu	Vvn	-tu
,	Fw	,
superbe	Nc	SUPERBE
Ville	Vvc	Ville
,	Fw	,
Connaître	Nc	Connaître
ton	Ds	TON
Consul	Nc	CONSUL
,	Fw	,
connaître	Vvn	CONNAÎTRE
enfin	Rg	ENFIN
Camille	Ge	Camille
?	Fs	?
Ces	Dd	CE
regrets	Nc	REGRET
,	Fw	,
vrais	Ag	VRAI
enfants	Nc	ENFANT
d'	S	DE
un	Dn	UN
noble	Ag	NOBLE
sentiment	Nc	SENTIMENT
,	Fw	,
Partent	Vvc	PARTIR
d'	S	DE
un	Dn	UN
coeur	Nc	CUR
Romain	Ag	ROMAIN
,	Fw	,
qu'	Cs	QUE
on	Pp	ON
connaît	Vvc	CONNAÎTRE
aisément	Rg	AISÉMENT
,	Fw	,
D'	Nc	D'
une	Dn	UN
égale	Ag	ÉGAL
vertu	Nc	VERTU
,	Fw	,
parfaite	Ag	PARFAIT
,	Fw	,
et	Cc	ET
confirmée	Ge	CONFIRMER
;	Fw	;
Généreux	Ag	Généreux
,	Fw	,
dans	S	DANS
son	Ds	SON
mal	Nc	MAL
comme	Cs	COMME
dans	S	DANS
une	Dn	UN
Armée	Nc	Armée
,	Fw	,
Sans	Vvc	Sans
force	Nc	FORCE|FORCÉ
,	Fw	,
languissant	Ga	LANGUIR
,	Fw	,
et	Cc	ET
jamais	Rg	JAMAIS
abattu	Ge	ABATTRE
;	Fw	;
