Vraiment	Rg	VRAIMENT
,	Fw	,
Il	Vvc	Il
m'	Pp	JE
a	Vuc	AVOIR
forcée	Ge	FORCER
enfin	Rg	ENFIN
d'	S	DE
agréer	Vvn	AGRÉER
ses	Ds	SON
services	Nc	SERVICE
,	Fw	,
Qu'	Vvc	Qu'
il	Pp	IL
a	Vuc	AVOIR
tout	Rg	TOUT
méprisé	Ge	MÉPRISER
pour	S	POUR
se	Pp	IL
donner	Vvn	DONNER
à	S	À
moi	Pp	JE
,	Fw	,
Je	Vvc	Je
me	Pp	JE
sens	Vvc	SENTIR
obligée	Ge	OBLIGER
à	S	À
lui	Pp	IL
donner	Vvn	DONNER
ma	Ds	MON
foi	Nc	FOI
:	Fw	:
Mais	Cc	MAIS
mon	Ds	MON
père	Nc	PÈRE
a	Vuc	AVOIR
pour	S	POUR
lui	Pp	IL
quelque	Di	QUELQUE
froideur	Nc	FROIDEUR
secrète	Ag	SECRET
.	Fs	.
Je	Pp	JE
m'	Pp	JE
en	Pp	EN
vais	Vvc	ALLER
,	Fw	,
s'	Cs	SI
il	Pp	IL
vous	Pp	VOUS
plaît	Vvc	PLAIRE
,	Fw	,
être	Vun	ÊTRE
son	Ds	SON
Interprète	Nc	Interprète
.	Fs	.
C'	Pd	CE
est	Vuc	ÊTRE
que	Cs	QUE
dans	S	DANS
l'	Da	LE
Entreprise	Nc	ENTREPRISE
,	Fw	,
où	Pr	OÙ
tous	Di	TOUT
les	Da	LE
révoltés	Nc	RÉVOLTÉ
Attaquaient	Vvc	ATTAQUER
cet	Dd	CE
Etat	Vvc	Etat
presque	Rg	PRESQUE
de	S	DE
tous	Di	TOUT
côtés	Nc	CÔTÉ
,	Fw	,
Où	Vvc	Où
Don	Nc	DON
Philippe	Ag	Philippe
fit	Vvc	FAIRE
des	Dn	UN
actions	Nc	ACTION
si	Rg	SI
belles	Ag	BEAU
,	Fw	,
Quand	Nc	Quand
d'	S	DE
un	Dn	UN
bras	Nc	BRAS
indomptable	Ag	INDOMPTABLE
il	Pp	IL
chassa	Vvc	CHASSER
les	Da	LE
rebelles	Nc	REBELLE
,	Fw	,
Qu'	Vvc	Qu'
au	S+Da	À+LE
retour	Nc	RETOUR
du	S+Da	DE+LE
combat	Nc	COMBAT
,	Fw	,
ce	Dd	CE
vainqueur	Nc	VAINQUEUR
généreux	Ag	GÉNÉREUX
Pour	Nc	POUR
la	Da	LE
première	Ag	PREMIER
fois	Nc	FOI|FOIS
vous	Pp	VOUS
présenta	Vvc	PRÉSENTER
ses	Ds	SON
voeux	Nc	VU
,	Fw	,
Qu'	Vvc	Qu'
en	S	EN
