Adorable	Ag	ADORABLE
sujet	Nc	SUJET
d'	S	DE
une	Dn	UN
immortelle	Ag	IMMORTEL
flamme	Nc	FLAMME
,	Fw	,
Qui	Vvc	Qui
tiens	Vvc	TENIR
seule	Ag	SEUL
aujourd'hui	Rg	AUJOURD'HUI
l'	Da	LE
empire	Nc	EMPIRE
de	S	DE
mon	Ds	MON
âme	Nc	ÂME
,	Fw	,
Et	Vvc	Et
ranges	Nc	RANGE
souveraine	Nc	SOUVERAIN
un	Dn	UN
Prince	Nc	PRINCE
sous	S	SOUS
ta	Ds	TON
loi	Nc	LOI
,	Fw	,
Qui	Vvc	Qui
la	Da	LE
donnant	Ga	DONNER
partout	Rg	PARTOUT
ne	Rp	NE
la	Pp	IL
prend	Vvc	PRENDRE
que	Cs	QUE
de	S	DE
toi	Pp	TU
:	Fw	:
Veux	Vvc	VOULOIR
-tu	Vvc	-tu
garder	Vvn	GARDER
toujours	Rg	TOUJOURS
cet	Dd	CE
orgueil	Nc	ORGUEIL
invincible	Ag	INVINCIBLE
,	Fw	,
Ne	Vvc	Ne
veux	Vvc	VOULOIR
-tu	Vvc	-tu
pas	Rg	PAS
enfin	Rg	ENFIN
paraître	Vvn	PARAÎTRE
un	Dn	UN
peu	Rg	PEU
sensible	Ag	SENSIBLE
?	Fs	?
Et	Cc	ET
cette	Dd	CE
inviolable	Ag	INVIOLABLE
et	Cc	ET
constante	Ag	CONSTANT
amitié	Nc	AMITIÉ
Ne	Vvc	Ne
te	Pp	TU
peut	Vvc	POUVOIR
donc	Rg	DONC
toucher	Vvn	TOUCHER
d'	S	DE
amour	Nc	AMOUR
ni	Cc	NI
de	S	DE
pitié	Nc	PITIÉ
:	Fw	:
Vois	Vvc	ALLER|VOIR
que	Cs	QUE
depuis	S	DEPUIS
le	Da	LE
temps	Nc	TEMPS
que	Cs	QUE
mon	Ds	MON
âme	Nc	ÂME
engagée	Ge	ENGAGER
À	Nc	À
ta	Ds	TON
condition	Nc	CONDITION
a	Vuc	AVOIR
la	Da	LE
mienne	Ps	MIEN
changée	Ge	CHANGER
,	Fw	,
Celui	Nc	Celui
qu	Ag	qu
e	Vvc	e
la	Da	LE
naissance	Nc	NAISSANCE
avait	Vuc	AVOIR
rendu	Ge	RENDRE
ton	Ds	TON
Roi	Nc	ROI
Te	Ag	Te
connaît	Vvc	CONNAÎTRE
pour	S	POUR
sa	Ds	SON
Reine	Nc	REINE|ROI
,	Fw	,
et	Cc	ET
ne	Rp	NE
vit	Vvc	VIVRE|VOIR
que	Rg	QUE
pour	S	POUR
toi	Pp	TU
:	Fw	:
Mais	Cc	MAIS
si	Cs	SI
je	Pp	JE
suis	Vuc	ÊTRE
changé	Ge	CHANGER
par	S	PAR
une	Dn	UN
amour	Nc	AMOUR
extrême	Ag	EXTRÊME
,	Fw	,
Pourquoi	Vvc	Pourquoi
,	Fw	,
chère	Ag	CHER
beauté	Nc	BEAUTÉ
,	Fw	,
ne	Rp	NE
changes	Vvc	CHANGER
-tu	Vvn	-tu
de	S	DE
même	Pi	MÊME
?	Fs	?
Pourquoi	Rt	POURQUOI
n'	Rp	NE
amollis	Vvc	AMOLLIR
-tu	Vvn	-tu
ce	Dd	CE
coeur	Nc	CUR
maître	Nc	MAÎTRE
du	S+Da	DE+LE
mien	Ps	MIEN
?	Fs	?
Pourquoi	Rt	POURQUOI
me	Pp	JE
l'	Pp	IL
ôtes	Vvc	ÔTER
-tu	Vvn	-tu
qu'	Cs	QUE
en	S	EN
me	Pp	JE
donnant	Ga	DONNER
le	Da	LE
tien	Ps	TIEN
?	Fs	?
Et	Cc	ET
pourquoi	Rt	POURQUOI
ne	Rp	NE
veux	Vvc	VOULOIR
-tu	Vvn	-tu
qu'	Cs	QUE
à	S	À
jamais	Rg	JAMAIS
nos	Ds	NOTRE
deux	Nc	DEUX
âmes	Nc	ÂME
S'	Ag	S'
embrasent	Vvc	EMBRASER
à	S	À
l'	Da	LE
envi	Nc	ENNUI|ENVI
de	S	DE
mutuelles	Ag	MUTUEL
flammes	Nc	FLAMME
?	Fs	?
Sans	S	SANS
toi	Pp	TU
je	Pp	JE
n'	Rp	NE
aime	Vvc	AIMER
rien	Pi	RIEN
,	Fw	,
pour	S	POUR
toi	Pp	TU
j'	Pp	JE
ai	Vuc	AVOIR
tout	Rg	TOUT
quitté	Ge	QUITTER
,	Fw	,
L'	Vvc	L'
éclat	Nc	ÉCLAT
de	S	DE
:	Fw	:
ma	Ds	MON
naissance	Nc	NAISSANCE
,	Fw	,
et	Cc	ET
cette	Dd	CE
dignité	Nc	DIGNITÉ
Qui	Vvc	Qui
m'	Pp	JE
élève	Vvc	ÉLEVER
au	S+Da	À+LE
sommet	Nc	SOMMET
de	S	DE
la	Da	LE
grandeur	Nc	GRANDEUR
suprême	Ag	SUPRÊME
,	Fw	,
Ne	Vvc	Ne
me	Pp	JE
sont	Vuc	ÊTRE
importuns	Ag	IMPORTUN
que	Cs	QUE
depuis	S	DEPUIS
que	Cs	QUE
je	Pp	JE
t'	Pp	TU
aime	Vvc	AIMER
,	Fw	,
J'	Vvc	J'
abandonne	Vvc	ABANDONNER
déjà	Rg	DÉJÀ
le	Da	LE
soin	Nc	SOIN
de	S	DE
mon	Ds	MON
État	Nc	État
,	Fw	,
De	Vvc	De
mon	Ds	MON
peuple	Nc	PEUPLE
et	Cc	ET
de	S	DE
moi	Pp	JE
pour	S	POUR
un	Dn	UN
esprit	Nc	ESPRIT
ingrat	Ag	INGRAT
.	Fs	.
Oui	Rg	OUI
ton	Ds	TON
coeur	Nc	CUR
est	Vuc	ÊTRE
ingrat	Ag	INGRAT
,	Fw	,
et	Cc	ET
si	Cs	SI
ce	Dd	CE
mot	Nc	MOT
t'	Pp	TU
offense	Vvc	OFFENSER
,	Fw	,
Pardonne	Vvc	PARDONNER
à	S	À
mon	Ds	MON
amour	Nc	AMOUR
ce	Pd	CE
peu	Rg	PEU
d'	S	DE
impatience	Nc	IMPATIENCE
,	Fw	,
Et	Vvc	Et
souffre	Vvc	SOUFFRIR
qu'	Cs	QUE
il	Pp	IL
se	Pp	IL
plaigne	Vvc	PLAINDRE
étant	Ga	ÊTRE
si	Rg	SI
mal	Rg	MAL
traité	Ge	TRAITER
De	Vvc	De
son	Ds	SON
peu	Rg	PEU
de	S	DE
bonheur	Nc	BONHEUR
,	Fw	,
et	Cc	ET
de	S	DE
ta	Ds	TON
cruauté	Nc	CRUAUTÉ
.	Fs	.
Sire	Nc	SIRE
,	Fw	,
je	Pp	JE
reconnais	Vvc	RECONNAÎTRE
l'	Da	LE
honneur	Nc	HONNEUR
que	Pr	QUE
vous	Pp	VOUS
me	Pp	JE
faites	Vvc	FAIRE
Avec	Vvc	Avec
tout	Di	TOUT
le	Da	LE
respect	Nc	RESPECT
que	Cs	QUE
vos	Ds	VOTRE
moindres	Ag	MOINDRE
sujettes	Nc	sujettes
Doivent	Vvc	DEVOIR
toujours	Rg	TOUJOURS
avoir	Vun	AVOIR
pour	S	POUR
votre	Ds	VOTRE
Majesté	Nc	Majesté
,	Fw	,
Et	Vvc	Et
si	Cs	SI
je	Pp	JE
puis	Vvc	POUVOIR
parler	Vvn	PARLER
avec	S	AVEC
la	Da	LE
liberté	Nc	LIBERTÉ
Qu'	Vvc	Qu'
au-dessus	Rg	AU-DESSUS
de	S	DE
mon	Ds	MON
rang	Nc	RANG
votre	Ds	VOTRE
bonté	Nc	BONTÉ
me	Pp	JE
donne	Vvc	DONNER
Les	Ag	Les
grâces	Nc	GRÂCE
que	Pr	QUE
les	Pp	ILS
Rois	Vvc	Rois
n'	Rp	NE
accordent	Vvc	ACCORDER
à	S	À
personne	Pi	PERSONNE
,	Fw	,
Que	Vvc	Que
par	S	PAR
un	Dn	UN
glorieux	Ag	GLORIEUX
,	Fw	,
et	Cc	ET
favorable	Ag	FAVORABLE
choix	Nc	CHOIX
Je	Ag	Je
