Êtes	Vvc	Êtes
-vous	Nc	-vous
contente	Ag	CONTENT
,	Fw	,
ma	Ds	MON
soeur	Nc	SUR
,	Fw	,
et	Cc	ET
puis	Vvc	POUVOIR
-je	Vvn	-je
mieux	Rg	MIEUX
vous	Pp	VOUS
montrer	Vvn	MONTRER
mon	Ds	MON
amitié	Nc	AMITIÉ
,	Fw	,
qu'	Cs	QUE
en	S	EN
vous	Pp	VOUS
découvrant	Ga	DÉCOUVRIR
mon	Ds	MON
amour	Nc	AMOUR
?	Fs	?
Vous	Pp	VOUS
ne	Rp	NE
m'	Pp	JE
avez	Vuc	AVOIR
pas	Rg	PAS
encore	Rg	ENCORE
tout	Rg	TOUT
dit	Ge	DIRE
,	Fw	,
puisque	Cs	PUISQUE
vous	Pp	VOUS
ne	Rp	NE
m'	Pp	JE
avez	Vuc	AVOIR
pas	Rg	PAS
dit	Ge	DIRE
votre	Ds	VOTRE
amant	Nc	AMANT
.	Fs	.
Contentez	Vvc	CONTENTER
-vous	Nc	-vous
de	S	DE
savoir	Vvn	SAVOIR
que	Cs	QUE
j'	Pp	JE
aime	Vvc	AIMER
;	Fw	;
et	Cc	ET
puisque	Cs	PUISQUE
c'	Pd	CE
est	Vuc	ÊTRE
principalement	Rg	PRINCIPALEMENT
par	S	PAR
l'	Da	LE
objet	Nc	OBJET
,	Fw	,
que	Cs	QUE
l'	Da	LE
amour	Nc	AMOUR
mérite	Nc	MÉRITE
du	S+Da	DE+LE
blâme	Nc	BLÂME
,	Fw	,
ou	Cc	OU
qu'	Cs	QUE
il	Pp	IL
est	Vuc	ÊTRE
digne	Ag	DIGNE
de	S	DE
louange	Nc	LOUANGE
,	Fw	,
je	Pp	JE
ne	Rp	NE
saurais	Vvc	SAURER|SAVOIR
parler	Vvn	PARLER
davantage	Rg	DAVANTAGE
,	Fw	,
sans	S	SANS
me	Pp	JE
mettre	Vvn	METTRE
enfin	Rg	ENFIN
au	S+Da	À+LE
hasard	Nc	HASARD
de	S	DE
me	Pp	JE
faire	Vvn	FAIRE
moquer	Vvn	MOQUER
de	S	DE
moi	Pp	JE
.	Fs	.
Quoi	Pt	QUE|QUOI
!	Fs	!
Bérénice	Nc	Bérénice
,	Fw	,
attachez	Vvc	ATTACHER
-vous	Nc	-vous
votre	Ds	VOTRE
amour	Nc	AMOUR
à	S	À
quelque	Di	QUELQUE
objet	Nc	OBJET
indigne	Ag	INDIGNE
de	S	DE
vous	Pp	VOUS
?	Fs	?
Et	Cc	ET
vous	Pp	VOUS
jugerai	Vvc	JUGER
-je	Nc	-je
aveugle	Ag	AVEUGLE
en	S	EN
même	Ag	MÊME
temps	Nc	TEMPS
,	Fw	,
que	Cs	QUE
vous	Pp	VOUS
vous	Pp	VOUS
confessez	Vvc	CONFESSER
amoureuse	Ag	AMOUREUX
.	Fs	.
Hélas	Vvc	Hélas
!	Fs	!
Quand	Cs	QUAND
nous	Pp	NOUS
confessons	Vvc	CONFESSER
notre	Ds	NOTRE
amour	Nc	AMOUR
nous	Pp	NOUS
confessons	Vvc	CONFESSER
notre	Ds	NOTRE
aveuglement	Nc	AVEUGLEMENT
,	Fw	,
si	Cs	SI
vous	Pp	VOUS
me	Pp	JE
croyez	Vvc	CROIRE
amoureuse	Ag	AMOUREUX
,	Fw	,
je	Pp	JE
veux	Vvc	VOULOIR
bien	Rg	BIEN
que	Cs	QUE
vous	Pp	VOUS
me	Pp	JE
croyez	Vvc	CROIRE
aveugle	Ag	AVEUGLE
.	Fs	.
Aimez	Nc	AIMÉ
-vous	Vvc	-vous
donc	Rg	DONC
une	Dn	UN
personne	Nc	PERSONNE
,	Fw	,
dont	Pr	DONT
le	Da	LE
choix	Nc	CHOIX
vous	Pp	VOUS
soit	Vuc	ÊTRE
honteux	Ag	HONTEUX
,	Fw	,
et	Cc	ET
vous	Pp	VOUS
déshonore	Vvc	DÉSHONORER
?	Fs	?
Au	S+Da	À+LE
contraire	Nc	CONTRAIRE
,	Fw	,
Amasie	Vvc	Amasie
,	Fw	,
j'	Pp	JE
aime	Vvc	AIMER
une	Dn	UN
personne	Nc	PERSONNE
dont	Pr	DONT
le	Da	LE
choix	Nc	CHOIX
m'	Pp	JE
est	Vuc	ÊTRE
glorieux	Ag	GLORIEUX
,	Fw	,
et	Cc	ET
qui	Pr	QUI
pourtant	Rg	POURTANT
me	Pp	JE
désespère	Vvc	DÉSESPÉRER
.	Fs	.
J'	Pp	JE
aime	Vvc	AIMER
enfin	Rg	ENFIN
,	Fw	,
non	Rg	NON
non	Rg	NON
,	Fw	,
je	Pp	JE
ne	Rp	NE
puis	Vvc	POUVOIR
en	Pp	EN
dire	Vvn	DIRE
