Orgueilleux	Ag	ORGUEILLEUX
mouvement	Nc	MOUVEMENT
des	S+Da	DE+LE|DE+LES
âmes	Nc	ÂME
généreuses	Ag	GÉNÉREUX
,	Fw	,
Qui	Vvc	Qui
jamais	Rg	JAMAIS
sans	S	SANS
régner	Vvn	RÉGNER
ne	Rp	NE
peuvent	Vvc	POUVOIR
être	Vun	ÊTRE
heureuses	Ag	HEUREUX
,	Fw	,
Passion	Nc	PASSION
des	S+Da	DE+LE|DE+LES
grands	Ag	GRAND
cours	Nc	COUR|COURS|COURT
,	Fw	,
dont	Pr	DONT
les	Da	LE
soins	Nc	SOIN
glorieux	Ag	GLORIEUX
Ne	Vvc	Ne
sauraient	Vvc	SAURER|SAVOIR
rien	Pi	RIEN
souffrir	Vvn	SOUFFRIR
qui	Pr	QUI
soit	Vuc	ÊTRE
au	S+Da	À+LE
dessus	Nc	DESSUS
d'	S	DE
eux	Pp	EUX
;	Fw	;
Superbe	Vvc	Superbe
ambition	Nc	AMBITION
,	Fw	,
dont	Pr	DONT
l'	Da	LE
ardeur	Nc	ARDEUR
sans	S	SANS
seconde	Nc	SECOND|SECONDE
Ne	Vvc	Ne
se	Pp	IL
laisse	Vvc	LAISSER
borner	Vvn	BORNER
que	Cs	QUE
des	Dn	UN
bornes	Nc	BORNE
du	S+Da	DE+LE
monde	Nc	MONDE
:	Fw	:
Tu	Pp	TU
me	Pp	JE
flattais	Vvc	FLATTER
d'	S	DE
un	Dn	UN
rang	Nc	RANG
que	Pr	QUE
l'	Pp	IL
on	Pp	ON
me	Pp	JE
vient	Vvc	VENIR
ravir	Vvn	RAVIR
,	Fw	,
Une	Vvc	Une
autre	Pi	AUTRE
va	Vvc	ALLER
régner	Vvn	RÉGNER
,	Fw	,
et	Cc	ET
nous	Pp	NOUS
allons	Vvc	ALLER
servir	Vvn	SERVIR
,	Fw	,
Et	Vvc	Et
Stratonice	Vvc	Stratonice
enfin	Rg	ENFIN
en	S	EN
Syrie	Nc	Syrie
arrivée	Ge	ARRIVER
Doit	Vvc	DEVOIR
ce	Dd	CE
soir	Nc	SOIR
être	Vun	ÊTRE
au	S+Da	À+LE
trône	Nc	TRÔNE
à	S	À
mes	Ds	MON
yeux	Nc	OEIL|YEUX
élevée	Ge	ÉLEVER
Que	Vvc	Que
me	Pp	JE
peut	Vvc	POUVOIR
maintenant	Rg	MAINTENANT
servir	Vvn	SERVIR
ton	Ds	TON
vain	Ag	VAIN
transport	Nc	TRANSPORT
?	Fs	?
Que	Pt	QUE
fais	Vvc	FAIRE
-tu	Vvn	-tu
dans	S	DANS
mon	Ds	MON
cour	Nc	COUR
lorsque	Cs	LORSQUE
l'	Da	LE
espoir	Nc	ESPOIR
en	S	EN
sort	Nc	SORT
?	Fs	?
Va	Vvc	ALLER
laisse	Vvc	LAISSER
-moi	Vvc	-moi
tomber	Vvn	TOMBER
dans	S	DANS
un	Dn	UN
sort	Nc	SORT
plus	Rg	PLUS
tranquille	Ag	TRANQUILLE
,	Fw	,
Ne	Vvc	Ne
me	Pp	JE
tourmente	Vvc	TOURMENTER
plus	Rg	PLUS
par	S	PAR
un	Dn	UN
soin	Nc	SOIN
inutile	Ag	INUTILE
,	Fw	,
Et	Vvc	Et
souffre	Vvc	SOUFFRIR
dans	S	DANS
mes	Ds	MON
maux	Nc	MAL
que	Pr	QUE
j'	Pp	JE
ai	Vuc	AVOIR
au	S+Da	À+LE
moins	Nc	MOINS
le	Da	LE
bien	Nc	BIEN
De	Vvc	De
ne	Rp	NE
rien	Pi	RIEN
désirer	Vvn	DÉSIRER
quand	Cs	QUAND
je	Pp	JE
ne	Rp	NE
suis	Vuc	ÊTRE
plus	Rg	PLUS
rien	Pi	RIEN
.	Fs	.
Mais	Cc	MAIS
