Ne	Rp	NE
m'	Pp	JE
importune	Vvc	IMPORTUNER
plus	Rg	PLUS
.	Fs	.
Quoi	Pt	QUE|QUOI
partir	Vvn	PARTIR
?	Fs	?
Il	Pp	IL
le	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
.	Fs	.
Le	Da	LE
monde	Nc	MONDE
souffre	Vvc	SOUFFRIR
trop	Rg	TROP
quand	Cs	QUAND
ce	Dd	CE
bras	Nc	BRAS
lui	Pp	IL
défaut	Nc	DÉFAUT
.	Fs	.
Depuis	S	DEPUIS
que	Cs	QUE
j'	Pp	JE
ai	Vuc	AVOIR
cessé	Ge	CESSER
de	S	DE
courir	Vvn	COURIR
la	Da	LE
campagne	Nc	CAMPAGNE
,	Fw	,
Les	Vvc	Les
Géants	Ga	Géants
à	S	À
leur	Ds	LEUR
gré	Nc	GRÉ
pillent	Vvc	PILLER
toute	Di	TOUT
l'	Da	LE
Espagne	Nc	Espagne
,	Fw	,
On	Vvc	On
ne	Rp	NE
saurait	Vvc	SAURER|SAVOIR
sortir	Vvn	SORTIR
sans	S	SANS
voir	Vvn	VOIR
errer	Vvn	ERRER
quelque	Di	QUELQUE
âme	Nc	ÂME
Qui	Vvc	Qui
se	Pp	IL
vient	Vvc	VENIR
plaindre	Vvn	PLAINDRE
à	S	À
moi	Pp	JE
de	S	DE
cette	Dd	CE
troupe	Nc	TROUPE
infâme	Ag	INFÂME
;	Fw	;
Et	Vvc	Et
par	S	PAR
des	Dn	UN
cris	Nc	CRI
aiguës	Ag	AIGU
semble	Vvc	SEMBLER
dire	Vvn	DIRE
à	S	À
tous	Di	TOUT
coups	Nc	COUP
,	Fw	,
Donnez	Vvc	DONNER
-moi	Vvc	-moi
le	Da	LE
repos	Nc	REPOS
,	Fw	,
vengez	Vvc	VENGER
-moi	Vvc	-moi
,	Fw	,
vengez-nous	Vvc	vengez-nous
.	Fs	.
Que	Rg	QUE
retardé	Ge	RETARDER
-je	Ag	-je
encor	Nc	encor
de	S	DE
reprendre	Vvn	REPRENDRE
les	Da	LE
armes	Nc	ARME|ARMÉ
?	Fs	?
Allons	Vvc	ALLER
verser	Vvn	VERSER
du	S+Da	DE+LE
sang	Nc	SANG
,	Fw	,
allons	Vvc	ALLER
tarir	Vvn	TARIR
des	Dn	UN
larmes	Nc	LARME
.	Fs	.
Qu'	Cs	QUE
on	Pp	ON
aille	Vvc	AILLER|ALLER
