binID,tc_subgenre,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,Comédie,0.0127671345,0.0276327337,0.0017766626,0.04900008,0.0090535706,0.008220149,0.0109899466,0.0122410818,0.0046535287,0.0183377611,0.008416304,0.0012045747,0.0036397694,0.0434393459,0.0765686071,0.0084589498,0.0589980359,0.0015534436,0.0074871189,0.0035555238,0.0008100967,0.0250427763,0.0414751199,0.000609353,0.0393643162,0.0036009337,0.0062721525,0.0112392337,0.0026735679,0.0050695995,0.0169695673,0.027811531,0.0261259851,0.0131151217,0.00547053,0.0124956666,0.0946068302,0.0483024761,0.008449905,0.0054653511,0.0043813778,0.0315297767,0.0068736249,0.0137819644,0.006864443,0.0163670453,0.0090822879,0.0021163268,0.0070905091,0.0294110771,0.0025539691,0.0177499751,0.0149252557,0.0350786431,0.0055816925,0.002563289,0.0078328951,0.0036953918,0.0102764637,0.0092795566
0,Tragi-comédie,0.0084949426,0.0015577295,0.0082684624,0.0329393628,0.0136279952,0.0111722347,0.0170417122,0.0348117352,0.010210601,0.0036811466,0.0054571554,0.0023380404,0.0068115056,0.0100242525,0.0061017674,0.0011184325,0.0043424975,0.0067085995,0.0253657268,0.0101782388,0.004609319,0.0195413903,0.0014589563,0.0009799217,0.0310286201,0.0090732956,0.0051799075,0.0185718595,0.0463034565,0.010800605,0.0026959964,0.0181307407,0.0352560155,0.009491946,0.000677713,0.0103230383,0.0236949859,0.0263151356,0.0424745385,0.0265240883,0.0283356348,0.0028069366,3.51E-05,0.0371451819,0.0070068252,0.0447271327,0.0080052492,0.0064664866,0.0081141974,0.0008640181,0.0043099556,0.0576246919,0.0009058257,0.1489416654,0.010020012,0.01353982,0.0050836581,0.0374387064,0.0147114327,0.0005337795
0,Tragédie,0.0098667886,0.0006272897,0.0022518049,0.0196609625,0.00929214,0.0179359219,0.0115637339,0.0205391876,0.0026622494,0.0006432021,0.0004313875,0.0093997122,0.0289715712,0.0041747727,0.0027977795,0.0001308639,0.0011147806,0.020983251,0.0149774487,0.0092378083,0.0172960129,0.0213514453,0.000920112,0.0083721059,0.0324027405,0.0044054427,0.0013001713,0.0232931925,0.0126854961,0.0079120391,0.0012937097,0.004961064,0.0947770317,0.0464257038,0.0002579674,0.002823502,0.0029095627,0.0162611828,0.0436749664,0.0496274421,0.0160635664,0.0011177735,7.86E-05,0.0300870754,0.0081966713,0.0220363246,0.0028346963,0.0141146254,0.0009210894,0.0006994429,0.0029941923,0.0395692053,0.0005713855,0.0194691835,0.0432948365,0.0051857896,0.0695699785,0.0481194331,0.0944956769,0.0003669006
1,Comédie,0.0189307796,0.0303532284,0.0004682945,0.0518013648,0.0080945215,0.0088589781,0.0164186403,0.0129088371,0.0059122782,0.0155080822,0.0102449036,0.0008671967,0.0039151621,0.025692319,0.0821156143,0.0109678916,0.0641910839,0.0018312272,0.0087156686,0.0039836498,0.0012145995,0.0221096013,0.0411170469,0.0005954433,0.0323169778,0.0025353277,0.0097303553,0.007958737,0.0033769421,0.0055143445,0.0121637871,0.0245368366,0.0310284318,0.0183443589,0.0084147437,0.0135194241,0.0884706948,0.0494235729,0.0080903048,0.0055901024,0.0063871469,0.0229588418,0.011385799,0.0141374304,0.0071418486,0.0142724113,0.0060233187,0.0029497922,0.0075647421,0.0272773508,0.0025387072,0.0195231952,0.01908175,0.0321101033,0.0063702709,0.0033241691,0.0054052582,0.0033130644,0.012425473,0.0079779731
1,Tragi-comédie,0.0172666234,0.001949592,0.0079837728,0.0283026399,0.0131820212,0.0092189288,0.018283844,0.0413023596,0.008053628,0.0014040652,0.0063617265,0.0036476886,0.0084393485,0.004140196,0.0068014388,0.0013498244,0.0050701218,0.005652764,0.035400687,0.011193455,0.0038562961,0.01323866,0.001406452,0.0005092511,0.0219536785,0.0056121882,0.0081344151,0.0186180746,0.0482331773,0.0141467085,0.0012237733,0.0171715239,0.045933598,0.0100470014,0.0004694875,0.0075259661,0.0264862458,0.0307199875,0.0351896621,0.028450669,0.0281957149,0.0008602627,2.00E-05,0.0252089287,0.0111340098,0.0493957782,0.0074158614,0.0093594556,0.0069701855,0.0006323064,0.0017552802,0.0553697155,0.0001452617,0.1559026458,0.0093399677,0.0111556471,0.005601937,0.033533263,0.0137922604,0.0002800249
1,Tragédie,0.0108943912,0.0007393974,0.0019373258,0.020581573,0.0106484155,0.014484492,0.0142150604,0.0198492979,0.0022753949,0.0004114117,0.0004716751,0.0098142202,0.0291640537,0.0031004852,0.0036633123,0.0001985633,0.001123372,0.0188230473,0.0167940169,0.0142443689,0.0141836899,0.0184447239,0.0008552565,0.0071866017,0.0270493213,0.0031134753,0.0016168484,0.0171472306,0.0140043887,0.010680492,0.0006450065,0.0035919175,0.1047339713,0.0623235801,0.0001699352,0.0019054732,0.0028483227,0.015666368,0.0309956172,0.0586538203,0.0182164946,0.0010927741,4.25E-05,0.0325723967,0.0067607122,0.0196364302,0.0019627717,0.0225652628,0.0009917392,0.0006472428,0.0033453184,0.0399823302,0.0006773129,0.0212675255,0.0554293515,0.005832634,0.053949387,0.0368474231,0.0886560647,0.0002744198
2,Comédie,0.0211475958,0.0258370203,0.0011528886,0.0477852963,0.0112718564,0.0087097217,0.0157475371,0.0135388121,0.0063771148,0.0141029345,0.0113798218,0.0011988594,0.0033364359,0.0286252167,0.0945084125,0.0081539257,0.062497372,0.0015749572,0.0091806142,0.0058772013,0.0006209458,0.022946937,0.0394264588,0.0007718556,0.0320864609,0.0030967637,0.0117272755,0.0083982985,0.0028009984,0.0090956431,0.0139354749,0.03017585,0.0350013269,0.0213133638,0.0112714547,0.0110816639,0.0861524713,0.0411376542,0.0087474687,0.0081601764,0.0072988567,0.0183413913,0.003322532,0.0135103971,0.0060774611,0.0155313606,0.0052527377,0.0032828988,0.0073666266,0.021150346,0.002244517,0.0226210817,0.0203749876,0.0303163756,0.0061298678,0.0034650349,0.0043642827,0.002418943,0.0098893849,0.0070887808
2,Tragi-comédie,0.0193787375,0.0011927273,0.008256566,0.0171452413,0.0107009385,0.0098981776,0.0207274803,0.0534336102,0.0062419661,0.0023680133,0.0068333108,0.0037247784,0.0082262918,0.0038130668,0.0044303233,0.000410803,0.0014565207,0.0047489512,0.0307375838,0.0181453239,0.0022957317,0.0104117112,0.0026692037,0.0003889298,0.0219769897,0.005791159,0.0030122558,0.0191254985,0.0533861419,0.0157638708,0.0006040965,0.0240887659,0.0478617617,0.0120088053,0.0037552996,0.0030465326,0.0284654522,0.0301991188,0.03343113,0.0471853812,0.027958195,0.0014790459,0.0001148433,0.0302381038,0.010600481,0.0367765845,0.0060651711,0.0087840057,0.0058485513,0.0015233239,0.0041688626,0.0551529101,0.001070822,0.1339189165,0.0139154232,0.0128248745,0.0051008245,0.0304875501,0.0153527269,0.0012805362
2,Tragédie,0.0134106739,0.0009635151,0.0012690874,0.0174880711,0.0105377564,0.0157945036,0.0189080826,0.0212534104,0.003022352,0.000490306,0.0005662098,0.0110099575,0.0311721704,0.0034116758,0.003296421,0.0001699926,0.0015722535,0.0184256241,0.0199945242,0.0197646871,0.013556127,0.0203402369,0.0005819671,0.0068389852,0.0219399401,0.0025255932,0.0018238814,0.015709406,0.0162070157,0.0114597369,0.0003267991,0.0042247436,0.1002761074,0.0697089721,0.0001575078,0.0013101513,0.0026335613,0.0130970335,0.030415289,0.0851660812,0.0198603048,0.0009338365,5.19E-05,0.0264587549,0.0085974499,0.0176465565,0.0007237161,0.0281904513,0.0002893032,0.0005959577,0.0028848304,0.0373282294,0.0003060631,0.0170469568,0.0475757452,0.005787276,0.0430613398,0.0295891836,0.0820734713,0.0001782167
3,Comédie,0.0254719562,0.0318362801,0.0012744762,0.0503914443,0.0110322323,0.0100127405,0.0212666046,0.0147337477,0.0053945021,0.0159364021,0.0117778468,0.0011608125,0.0051128949,0.0218619482,0.0835770452,0.0061958363,0.0670251535,0.002185769,0.0116945721,0.0055147781,0.0006935768,0.0219112211,0.0366914503,0.000607558,0.0253160181,0.0027016587,0.0125230088,0.0094290295,0.0042964048,0.0117170511,0.0136998769,0.0287889992,0.0350548176,0.0244519679,0.0060196937,0.008186484,0.0899866708,0.0392713037,0.0082077016,0.0112020035,0.0077446634,0.0162867321,0.002581631,0.0119767236,0.0059503043,0.0116675662,0.0057633507,0.0053973266,0.0098933082,0.0195309552,0.0033321246,0.0215272922,0.0215548867,0.022860293,0.0061353933,0.0036160397,0.0038196405,0.0026522456,0.0129049911,0.0105909934
