tc_author-short,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
ABEILLE,0.0119686575,0.000118054,0.0002613505,0.0048134634,0.0362356238,0.0120222966,0.0348882857,0.0025308418,0.0007787321,7.69E-05,7.16E-05,8.14E-05,0.0008746009,0.0019678452,0.0019789081,0.0002635087,0.0013319081,0.0162609687,0.0143377189,0.0035007872,0.0020766161,0.0556370228,0.0019274411,6.78E-05,0.0181376326,0.0087681669,0.000828464,0.0055862576,0.0008109742,0.0006256184,6.20E-05,0.0067149975,0.0615260633,0.0293458032,4.18E-05,0.0003262773,0.00592828,0.0175586673,0.0209105807,0.2461152233,0.0017478907,0.0001054429,0.0002388284,0.0104538899,0.0086099144,0.0392741431,7.34E-05,0.0126522138,4.83E-05,7.94E-05,3.02E-05,0.0218281901,0.0003181474,0.0056908938,0.0892884731,0.0013949676,0.0108426388,0.0038120662,0.1661097375,4.21E-05
ALLAINVAL,0.0030380114,0.0440480725,0.0003123289,0.0042143845,0.0016388297,0.0068025364,0.0163563778,0.0019808638,0.0099521498,0.0001023011,0.0005915203,0.0001083121,0.0015431899,0.0007456151,0.0735219559,0.0022609882,0.2922383454,0.0025867643,0.0032859805,0.0008547972,0.0011939721,0.0124283504,0.2770204603,0.001274035,0.0073339338,0.0001127124,0.0127731163,0.0006331862,0.0018913634,0.0002617931,0.0011460562,0.003609444,0.003760389,0.0040739086,5.55E-05,0.0038488769,0.0440382752,0.0128347975,0.0027564373,0.0058201053,0.0007785921,0.0319373613,2.52E-05,0.0023274058,0.0138043348,0.0123061746,9.77E-05,0.0005523465,0.0099232329,0.0155906541,0.0003068654,0.0105058311,0.0147692151,0.0039360692,0.0084618286,8.70E-05,0.0011558012,0.0014306631,0.0083726552,0.0005810558
AURE,0.0283592412,0.0031705225,0.003761174,0.0411597654,0.015073463,0.0145485798,0.0048874668,0.0248690372,0.0085203023,0.0038741696,0.0002345282,0.0241324726,0.0045959399,0.0040679015,0.0105608385,0.0007415163,0.0060432759,0.003405559,0.0584453392,0.0140902271,0.0002344365,0.0253560308,0.0059786755,0.0003182255,0.0130770132,0.0053854217,0.0060252353,0.035003726,0.0027193802,0.005116757,0.0002949304,0.0320040491,0.007779968,0.0137993792,0.0002055602,0.0186080133,0.0329623951,0.038325869,0.0093888725,0.0249404522,0.0193561445,0.0051480722,2.27E-05,0.0145130118,0.0007461529,0.0084659688,0.0260754005,0.0144143785,0.0013434772,0.0008081822,0.1919543907,0.0287533534,9.66E-05,0.0893425206,0.0045892431,0.0061742853,0.0031558425,0.0111995308,0.0192945664,0.0024804319
BACULARD,0.0040040384,0.0001454799,5.03E-05,0.0060962981,0.0005273709,0.0185573791,0.0062316185,0.0025147095,0.000360243,9.48E-05,8.82E-05,0.0889601406,0.0029570171,0.0061603429,0.000279693,5.37E-05,0.0002816777,0.038953417,0.0153756198,0.0254520908,0.0076465478,0.0019721359,0.000861005,0.0005239552,0.0157707537,0.0049837905,0.0049469246,0.0500692911,0.0028712855,0.0015975392,7.65E-05,0.0012897889,0.009035708,0.08707798,0.0002959617,0.001564814,0.0020790398,0.0039611177,0.0300016615,0.2412013779,0.0018972996,0.000129939,2.33E-05,0.0047797168,0.0002370545,0.0020212836,0.0003107087,0.0101401668,5.95E-05,9.79E-05,3.72E-05,0.005927335,0.00054625,0.0015000869,0.0035884397,8.06E-05,0.1829341868,0.0056494021,0.0950164209,5.19E-05
BARANTE,0.0036807854,0.0743088932,4.78E-05,0.0069213102,0.0108841768,0.0047150243,0.0049126651,0.0017655964,0.0103409172,0.051204648,8.38E-05,9.53E-05,0.0004329304,0.0835569682,0.0424908775,0.1030744195,0.1698820912,0.0002001846,0.0082352817,0.0021059147,0.0001403675,0.0022041517,0.0190277674,7.93E-05,0.0064986316,0.0006836766,0.0013466369,0.0030251806,0.000411382,0.0008356633,0.0352463302,0.0250449288,0.0037950305,0.0065297577,0.0114434186,0.021489882,0.0493706748,0.0086167943,0.0032622081,0.0046498813,0.0018734281,0.0696112833,0.0036652384,0.0077471504,0.0016920404,0.0091159911,0.0194987629,0.0011825205,0.004449399,0.0341595746,0.0002417457,0.0148727652,9.43E-05,0.0084664916,0.014412795,0.0002930022,0.0050738359,0.0016714708,0.0020863281,0.0171505308
BARANTEDUFRESNY,0.0003693914,0.0855142114,4.90E-05,0.0118748876,0.0211112461,0.0147623964,0.0022838066,0.0042205505,0.0001194601,0.0560689919,0.0012203223,9.77E-05,0.0025058422,0.042602716,0.0123064413,0.1436650184,0.0426706346,0.0002050467,0.0042750943,0.0002973422,0.0017153015,0.0120247169,0.0017966593,8.13E-05,0.0076531255,0.0106794077,0.0132059214,0.002268539,0.0001768538,0.0021584483,0.0392012596,0.033175423,0.0076275918,0.0076653897,0.0498027571,0.0586353445,0.0300656989,0.0097329078,0.010737062,0.0035505035,0.0002286298,0.1087423175,0.0031657483,0.0047431475,0.0002306724,0.0041083725,0.0088295708,0.0002678631,0.025486321,0.0044169285,3.62E-05,0.0096402692,0.0112166587,0.0058137153,0.0043342697,0.004238351,0.0048459916,0.0007750294,0.0026180949,0.0480876526
BENSERADE,0.0055633253,0.001247057,0.002684783,0.0129501364,0.0044105997,0.0067988308,0.0341976556,0.0529888626,0.0002916015,0.0004247281,0.0004339792,0.0003714764,0.0028262773,0.0017136163,0.0009988355,0.0004935029,0.0013914998,0.0117089999,0.1050119069,0.0151034715,0.0075390961,0.0052939146,0.0001766403,0.0249524897,0.0042306381,0.006290435,0.001461304,0.0313063319,0.0199919322,0.0219727344,0.0001553153,0.0102540624,0.0139734494,0.0132752921,0.0001335791,0.0077739994,0.0079434698,0.0133248248,0.1418113324,0.0306227802,0.0264380526,0.0003858981,2.16E-05,0.0382804194,0.0069120421,0.0216918306,0.0011797748,0.0050893781,5.51E-05,0.0007602528,3.45E-05,0.0984730055,0.0003845298,0.1225190535,0.0108214292,0.000683609,0.0032089554,0.0349308182,0.0034357588,0.0005992157
BERNARD,0.0023182666,0.0001322573,4.57E-05,0.0259350335,0.0033533849,0.029351897,0.0168195432,0.0068650466,0.0001116071,0.0016645475,0.0002897496,9.12E-05,0.0104166421,0.0012205422,0.0002542717,4.89E-05,0.0004713448,0.0074121431,0.0226676287,0.0452159251,0.0489976719,0.0645636688,0.0010597907,7.59E-05,0.0203783372,0.0005050994,0.0008041059,0.0014926974,0.0009873877,0.0017481993,0.0007212113,0.0046343485,0.1456552722,0.1192978238,4.68E-05,0.0001126712,0.0008321509,0.0018916616,0.0025334949,0.0708370181,0.0006255167,0.0003333977,2.12E-05,0.006788792,0.0142729949,0.0362006075,8.23E-05,0.0412446936,5.41E-05,0.0003075375,3.38E-05,0.0345506398,0.000307521,0.0054046858,0.0653899757,0.0007629661,0.0114296828,0.0184412224,0.1018402348,4.72E-05
BEYS,0.0126053105,0.0003517159,4.10E-05,0.0131013999,0.0108353819,0.0186688215,0.0206539948,0.0132074838,0.0093148622,7.72E-05,7.18E-05,0.0005153395,0.0021174444,0.0024054988,0.0004458173,4.38E-05,0.0031835006,0.0045500376,0.0287052481,0.0036016124,0.0016465387,0.0025805763,0.0010742042,6.80E-05,0.0116976367,0.0255344514,0.0133816597,0.0176406195,0.0364615373,0.0025243804,0.0005190455,0.0007000916,0.0073910781,0.0079710677,4.19E-05,0.0268357904,0.0021309068,0.069865513,0.0175447569,0.0087332841,0.0008910543,0.0022260222,0.0009519333,0.0386275237,0.0183426273,0.0709434366,0.0145006852,0.0022668021,4.84E-05,7.97E-05,3.03E-05,0.0259737327,8.09E-05,0.3990438278,0.0058543993,6.57E-05,0.0017900454,0.0170134892,0.0023868616,4.23E-05
BIANCOLELLI,0.0016058214,0.0167515436,0.0005342323,0.0229162678,0.0257214745,0.0005945784,0.030356663,0.014420139,0.0004013497,0.0444164532,8.17E-05,9.30E-05,0.0002256014,0.0364932034,0.0151239576,0.0529781798,0.0112846457,0.0001953418,0.0110955097,0.0018658282,0.0001369718,0.0361994345,0.0038757478,7.74E-05,0.2011243232,0.0021693707,0.003354402,0.0064355736,0.0031475465,0.010210515,0.0005871801,0.0437310502,0.0121390985,0.0457259768,4.77E-05,0.0103254083,0.1828194856,0.01988066,0.0015516744,0.0165149404,0.0004567155,0.0230215419,0.0049929356,0.0059417172,0.0004844636,0.0035120996,0.0067397449,0.0005519446,0.0012421643,0.0092527093,0.0002992003,0.0109908332,0.0035372831,0.010993599,0.0106641346,0.0014643632,0.0018982895,0.0009069604,0.0057651222,0.0100741194
