0,croire-madame-yeux (0)
1,monsieur-argent-bon (1)
2,dessein-coup-succès (2)
3,secret-connaître-craindre (3)
4,partir-fuir-suivre (4)
5,fils-père-mère (5)
6,aimer-amour-coeur (6)
7,dessein-honneur-esprit (7)
8,prince-seigneur-duc (8)
9,diable-petit-coup (9)
10,don-honneur-trouver (10)
11,dieu-chrétien-ciel (11)
12,seigneur-main-mettre (12)
13,homme-esprit-monde (13)
14,madame-aimer-monsieur (14)
15,chanter-danser-amour (15)
16,monsieur-homme-chose (16)
17,dieux-autel-temple (17)
18,mourir-mort-douleur (18)
19,crime-loi-punir (19)
20,romain-dieux-sénat (20)
21,père-fille-époux (21)
22,monsieur-marquis-bon (22)
23,grec-trahir-dieux (23)
24,coeur-amour-aimer (24)
25,vaisseau-mer-port (25)
26,lettre-lire-écrire (26)
27,ciel-yeux-terre (27)
28,amour-coeur-aimer (28)
29,venger-honneur-vengeance (29)
30,vers-auteur-pièce (30)
31,nuit-porte-sortir (31)
32,coeur-amour-aimer (32)
33,coeur-ciel-malheureux (33)
34,mal-monsieur-médecin (34)
35,beau-portrait-yeux (35)
36,bon-monsieur-beau (36)
37,amour-aimer-âme (37)
38,combat-gloire-victoire (38)
39,sang-mort-main (39)
40,âme-madame-coeur (40)
41,femme-fille-mari (41)
42,bian-pis-aimer (42)
43,vertu-gloire-honneur (43)
44,frère-soeur-aimer (44)
45,amour-aimer-cour (45)
46,beau-berger-bois (46)
47,crime-seigneur-coupable (47)
48,père-enfant-monsieur (48)
49,madame-bon-petit (49)
50,gouverneur-monseigneur-cour (50)
51,malheur-mal-sort (51)
52,monsieur-bien-épouser (52)
53,amour-beau-yeux (53)
54,madame-seigneur-coeur (54)
55,peine-dieux-effet (55)
56,peuple-loi-maître (56)
57,trône-régner-empire (57)
58,seigneur-soin-lieux (58)
59,manger-boire-table (59)
