idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
tc0001,0.0119686575,0.000118054,0.0002613505,0.0048134634,0.0362356238,0.0120222966,0.0348882857,0.0025308418,0.0007787321,7.69E-05,7.16E-05,8.14E-05,0.0008746009,0.0019678452,0.0019789081,0.0002635087,0.0013319081,0.0162609687,0.0143377189,0.0035007872,0.0020766161,0.0556370228,0.0019274411,6.78E-05,0.0181376326,0.0087681669,0.000828464,0.0055862576,0.0008109742,0.0006256184,6.20E-05,0.0067149975,0.0615260633,0.0293458032,4.18E-05,0.0003262773,0.00592828,0.0175586673,0.0209105807,0.2461152233,0.0017478907,0.0001054429,0.0002388284,0.0104538899,0.0086099144,0.0392741431,7.34E-05,0.0126522138,4.83E-05,7.94E-05,3.02E-05,0.0218281901,0.0003181474,0.0056908938,0.0892884731,0.0013949676,0.0108426388,0.0038120662,0.1661097375,4.21E-05
tc0007,0.0030380114,0.0440480725,0.0003123289,0.0042143845,0.0016388297,0.0068025364,0.0163563778,0.0019808638,0.0099521498,0.0001023011,0.0005915203,0.0001083121,0.0015431899,0.0007456151,0.0735219559,0.0022609882,0.2922383454,0.0025867643,0.0032859805,0.0008547972,0.0011939721,0.0124283504,0.2770204603,0.001274035,0.0073339338,0.0001127124,0.0127731163,0.0006331862,0.0018913634,0.0002617931,0.0011460562,0.003609444,0.003760389,0.0040739086,5.55E-05,0.0038488769,0.0440382752,0.0128347975,0.0027564373,0.0058201053,0.0007785921,0.0319373613,2.52E-05,0.0023274058,0.0138043348,0.0123061746,9.77E-05,0.0005523465,0.0099232329,0.0155906541,0.0003068654,0.0105058311,0.0147692151,0.0039360692,0.0084618286,8.70E-05,0.0011558012,0.0014306631,0.0083726552,0.0005810558
tc0034,0.0158097677,0.003582814,0.0012264365,0.0557931785,0.0271326608,0.0019050488,0.003169689,0.0158346689,0.0002920732,0.0065840244,9.54E-05,0.034783237,0.0057032519,0.0047290676,0.0050073961,5.81E-05,0.0018335655,0.0050528391,0.0349972933,0.0096018803,0.000356275,0.0392028956,0.0030846086,9.03E-05,0.0157110129,0.0115612034,0.0001543657,0.0593850086,0.0052343652,0.0025431594,0.0005605271,0.0484570714,0.0073703468,0.0147885648,0.0003925585,0.0205452333,0.0327817712,0.0536567733,0.0122202263,0.0233033439,0.0192518914,0.0056592014,2.52E-05,0.0118375018,0.0007426115,0.0027243667,0.0289307746,0.0090030245,6.43E-05,0.0001058721,0.1506099139,0.0273647553,0.0001074343,0.1045891222,0.0030363677,0.0090771732,0.0031793677,0.0209701383,0.014206381,0.0039224691
tc0036,0.0391159327,0.0028171298,0.0059338062,0.02861684,0.0047370078,0.025385892,0.0063598477,0.0326127815,0.0155730701,0.0015514369,0.00035379,0.0150032461,0.0036468153,0.0035011877,0.0153209319,0.001327272,0.0096515991,0.0019936047,0.0785436642,0.0179373816,0.0001300035,0.0134872895,0.0084593043,0.0005135527,0.0108192991,9.19E-05,0.0110574092,0.0141054838,0.0005636787,0.0073226978,6.73E-05,0.0179014585,0.0081310719,0.0129515059,4.53E-05,0.0169475389,0.0331172156,0.0251850939,0.0069619979,0.0263436878,0.0194455043,0.0047099615,2.05E-05,0.0168063061,0.0007491883,0.0133873421,0.0236279371,0.019052682,0.0024398911,0.0014101623,0.2273925138,0.0299435803,8.74E-05,0.0762740051,0.0059202791,0.0036860957,0.003135678,0.0028247244,0.0236558682,0.0012444001
tc0037,0.0040040384,0.0001454799,5.03E-05,0.0060962981,0.0005273709,0.0185573791,0.0062316185,0.0025147095,0.000360243,9.48E-05,8.82E-05,0.0889601406,0.0029570171,0.0061603429,0.000279693,5.37E-05,0.0002816777,0.038953417,0.0153756198,0.0254520908,0.0076465478,0.0019721359,0.000861005,0.0005239552,0.0157707537,0.0049837905,0.0049469246,0.0500692911,0.0028712855,0.0015975392,7.65E-05,0.0012897889,0.009035708,0.08707798,0.0002959617,0.001564814,0.0020790398,0.0039611177,0.0300016615,0.2412013779,0.0018972996,0.000129939,2.33E-05,0.0047797168,0.0002370545,0.0020212836,0.0003107087,0.0101401668,5.95E-05,9.79E-05,3.72E-05,0.005927335,0.00054625,0.0015000869,0.0035884397,8.06E-05,0.1829341868,0.0056494021,0.0950164209,5.19E-05
tc0040,0.0003693914,0.0855142114,4.90E-05,0.0118748876,0.0211112461,0.0147623964,0.0022838066,0.0042205505,0.0001194601,0.0560689919,0.0012203223,9.77E-05,0.0025058422,0.042602716,0.0123064413,0.1436650184,0.0426706346,0.0002050467,0.0042750943,0.0002973422,0.0017153015,0.0120247169,0.0017966593,8.13E-05,0.0076531255,0.0106794077,0.0132059214,0.002268539,0.0001768538,0.0021584483,0.0392012596,0.033175423,0.0076275918,0.0076653897,0.0498027571,0.0586353445,0.0300656989,0.0097329078,0.010737062,0.0035505035,0.0002286298,0.1087423175,0.0031657483,0.0047431475,0.0002306724,0.0041083725,0.0088295708,0.0002678631,0.025486321,0.0044169285,3.62E-05,0.0096402692,0.0112166587,0.0058137153,0.0043342697,0.004238351,0.0048459916,0.0007750294,0.0026180949,0.0480876526
tc0041,0.0036807854,0.0743088932,4.78E-05,0.0069213102,0.0108841768,0.0047150243,0.0049126651,0.0017655964,0.0103409172,0.051204648,8.38E-05,9.53E-05,0.0004329304,0.0835569682,0.0424908775,0.1030744195,0.1698820912,0.0002001846,0.0082352817,0.0021059147,0.0001403675,0.0022041517,0.0190277674,7.93E-05,0.0064986316,0.0006836766,0.0013466369,0.0030251806,0.000411382,0.0008356633,0.0352463302,0.0250449288,0.0037950305,0.0065297577,0.0114434186,0.021489882,0.0493706748,0.0086167943,0.0032622081,0.0046498813,0.0018734281,0.0696112833,0.0036652384,0.0077471504,0.0016920404,0.0091159911,0.0194987629,0.0011825205,0.004449399,0.0341595746,0.0002417457,0.0148727652,9.43E-05,0.0084664916,0.014412795,0.0002930022,0.0050738359,0.0016714708,0.0020863281,0.0171505308
tc0053,0.0056427527,0.0021095967,0.0051684496,0.0051859906,0.0029719839,0.0061732974,0.0398815832,0.0498104177,0.0004606521,0.0007430879,0.0005894444,0.0004532749,0.0024792556,0.0007122142,0.0004274358,0.0005428195,0.0004288442,0.0052451672,0.1510495038,0.0121335218,0.0145078638,0.0021735166,0.0001792519,0.0004064255,0.0031049159,0.0090085934,0.0019237202,0.0227125411,0.0240026823,0.0078826576,0.0002358491,0.0073585725,0.0109344079,0.0148863052,0.0002151221,0.0125707097,0.005943276,0.0175428666,0.1216519528,0.0184780238,0.0201353415,0.0006375395,2.19E-05,0.0407597477,0.0012645917,0.0156626066,8.51E-05,0.0059801569,5.59E-05,9.20E-05,3.50E-05,0.1277411478,9.34E-05,0.1190100853,0.0132460641,0.0010726936,0.0050427653,0.0577447199,0.0029955602,0.0003950354
tc0054,0.0054789338,0.0003306086,4.59E-05,0.0211995413,0.0059391291,0.0074634601,0.0281584826,0.0563659603,0.0001119853,8.65E-05,0.0002687974,0.0002845655,0.0031949878,0.002777606,0.0016059476,0.0004411039,0.0024143214,0.0185768221,0.0560969603,0.018259043,0.0001347805,0.0086093376,0.0001738655,0.051032683,0.005426718,0.0034023917,0.0009699867,0.0404372346,0.0157305102,0.036943441,6.97E-05,0.0133305205,0.017202431,0.0115635907,4.69E-05,0.0026774947,0.0100686756,0.0088431555,0.1632306732,0.0435265839,0.0331346831,0.0001185292,2.13E-05,0.035646133,0.0129124581,0.0280978811,0.0023428663,0.0041429255,5.42E-05,0.0014702263,3.39E-05,0.0673756043,0.0006938545,0.1262473322,0.0082452546,0.0002702067,0.0012605323,0.0106910476,0.0039034697,0.0008161574
tc0056,0.0023182666,0.0001322573,4.57E-05,0.0259350335,0.0033533849,0.029351897,0.0168195432,0.0068650466,0.0001116071,0.0016645475,0.0002897496,9.12E-05,0.0104166421,0.0012205422,0.0002542717,4.89E-05,0.0004713448,0.0074121431,0.0226676287,0.0452159251,0.0489976719,0.0645636688,0.0010597907,7.59E-05,0.0203783372,0.0005050994,0.0008041059,0.0014926974,0.0009873877,0.0017481993,0.0007212113,0.0046343485,0.1456552722,0.1192978238,4.68E-05,0.0001126712,0.0008321509,0.0018916616,0.0025334949,0.0708370181,0.0006255167,0.0003333977,2.12E-05,0.006788792,0.0142729949,0.0362006075,8.23E-05,0.0412446936,5.41E-05,0.0003075375,3.38E-05,0.0345506398,0.000307521,0.0054046858,0.0653899757,0.0007629661,0.0114296828,0.0184412224,0.1018402348,4.72E-05
