filenames,binids
tc0175_A03_S02,3
tc0167_A01_S01,1
tc0387_A03_S01,3
tc0548_A04_S04,4
tc0723_A03_S02,5
tc0504_A04_S01,4
tc0227_A02_S04,4
tc0533_A01_S04,1
tc0660_A05_S04,5
tc0266_A04_S02,4
tc0212_A02_S02,2
tc0678_A02_S04,3
tc0265_A05_S03,5
tc0294_A04_S03,4
tc0083_A02_S02,2
tc0594_A02_S02,2
tc0487_A04_S04,5
tc0267_A04_S03,4
tc0170_A02_S01,2
tc0220_A05_S02,5
tc0173_A03_S02,3
tc0591_A04_S02,4
tc0284_A04_S02,4
tc0166_A03_S01,3
tc0335_A03_S02,3
tc0328_A05_S03,5
tc0201_A02_S03,3
tc0438_A02_S03,3
tc0078_A05_S02,5
tc0510_A02_S02,1
tc0602_A03_S02,3
tc0234_A02_S01,3
tc0001_A03_S01,3
tc0709_A02_S02,2
tc0718_A05_S01,5
tc0573_A03_S01,3
tc0161_A05_S05,5
tc0486_A03_S02,3
tc0196_A02_S02,3
tc0294_A01_S04,1
tc0328_A01_S01,1
tc0201_A02_S04,3
tc0459_A04_S01,4
tc0359_A04_S02,4
tc0171_A03_S03,3
tc0156_A01_S01,1
tc0565_A01_S02,1
tc0203_A01_S02,1
tc0581_A05_S01,4
tc0522_A01_S04,2
tc0234_A01_S03,2
tc0530_A01_S01,1
tc0352_A01_S03,1
tc0475_A01_S01,1
tc0530_A01_S04,2
tc0334_A02_S03,2
tc0565_A04_S01,4
tc0430_A05_S02,5
tc0145_A03_S03,3
tc0265_A04_S04,4
tc0232_A03_S03,3
tc0324_A03_S03,3
tc0365_A01_S03,2
tc0220_A01_S03,1
tc0541_A03_S02,5
tc0563_A04_S04,4
tc0390_A04_S02,4
tc0222_A02_S01,2
tc0590_A05_S03,5
tc0688_A04_S02,4
tc0130_A01_S01,1
tc0604_A02_S02,4
tc0439_A05_S03,5
tc0001_A05_S03,5
tc0361_A05_S04,5
tc0459_A04_S03,4
tc0159_A03_S03,3
tc0176_A04_S04,4
tc0265_A03_S03,3
tc0325_A04_S02,4
tc0218_A04_S01,4
tc0590_A01_S03,1
tc0287_A03_S02,5
tc0217_A01_S02,1
tc0352_A02_S01,2
tc0713_A03_S01,3
tc0657_A01_S01,1
tc0566_A01_S01,1
tc0084_A06_S01,5
tc0214_A04_S01,
tc0438_A04_S03,5
tc0495_A03_S02,3
tc0709_A01_S04,2
tc0160_A04_S01,3
tc0578_A02_S01,1
tc0629_A03_S02,3
tc0025_A04_S07,5
tc0133_A01_S04,1
tc0527_A01_S01,1
tc0724_A02_S04,3
tc0156_A02_S01,2
tc0704_A02_S04,3
tc0334_A01_S03,1
tc0143_A04_S02,4
tc0581_A06_S01,5
tc0566_A03_S03,3
tc0416_A05_S01,5
tc0564_A05_S01,4
tc0203_A02_S01,2
tc0608_A02_S03,2
tc0469_A01_S07,2
tc0484_A03_S01,2
tc0147_A04_S02,4
tc0627_A03_S02,3
tc0498_A02_S01,1
tc0140_A02_S03,2
tc0178_A03_S04,3
tc0190_A03_S03,3
tc0324_A01_S03,1
tc0091_A05_S03,5
tc0509_A03_S01,3
tc0694_A05_S03,5
tc0545_A05_S02,5
tc0153_A04_S02,4
tc0591_A01_S01,1
tc0570_A02_S01,2
tc0703_A02_S03,4
tc0132_A05_S02,5
tc0294_A05_S02,5
tc0473_A02_S01,1
tc0381_A02_S03,2
tc0324_A03_S02,3
tc0610_A01_S02,1
tc0329_A02_S03,2
tc0188_A02_S04,3
tc0714_A01_S01,1
tc0065_A01_S02,1
tc0700_A01_S03,1
tc0174_A04_S03,4
tc0527_A02_S03,2
tc0548_A04_S05,5
tc0273_A01_S02,1
tc0504_A02_S01,1
tc0351_A03_S01,2
tc0090_A04_S02,5
tc0361_A03_S02,3
tc0138_A03_S03,3
tc0365_A03_S01,4
tc0300_A02_S02,2
tc0215_A02_S04,3
tc0151_A03_S03,4
tc0622_A02_S03,2
tc0431_A01_S01,1
tc0714_A02_S03,2
tc0063_A01_S02,1
tc0230_A05_S01,5
tc0704_A05_S01,5
tc0141_A01_S03,1
tc0662_A04_S03,3
tc0132_A01_S02,1
tc0001_A04_S03,4
tc0512_A02_S01,1
tc0001_A01_S02,1
tc0173_A04_S01,3
tc0180_A01_S02,1
tc0399_A03_S02,3
tc0630_A01_S04,1
tc0707_A01_S01,1
tc0230_A04_S04,5
tc0131_A06_S03,5
tc0722_A02_S03,2
tc0025_A03_S02,2
