,idno,language,author-continent,author-country,author-name,title,year,subgenre_hist,subgenre_x,decade
nh0001,nh0001,Spanish,America,Cuba,Villaverde,Guajiro,1842,not_historical,costumbrista,1840
nh0002,nh0002,Spanish,America,Argentina,Payro,Moreira,1910,not_historical,costumbrista,1910
nh0003,nh0003,Spanish,America,Argentina,Payro,Laucha,1906,not_historical,costumbrista,1900
nh0004,nh0004,Spanish,America,Argentina,Payro,Inca,1905,historical,historical,1900
nh0005,nh0005,Spanish,America,Mexico,Altamirano,Navidad,1871,not_historical,costumbrista,1870
nh0006,nh0006,Spanish,America,Mexico,Altamirano,Clemencia,1869,not_historical,sentimental,1860
nh0007,nh0007,Spanish,America,Mexico,Altamirano,Zarco,1901,historical,historical,1900
nh0010,nh0010,Spanish,America,Cuba,Meza,TioEmpleado,1887,not_historical,costumbrista,1880
nh0012,nh0012,Spanish,America,Argentina,Cambaceres,Sangre,1887,not_historical,naturalistic,1880
nh0013,nh0013,Spanish,America,Cuba,Meza,Carmela,1886,not_historical,costumbrista,1880
nh0015,nh0015,Spanish,America,Cuba,AuberNoya,CasamientoOriginal,1844,not_historical,sentimental,1840
nh0016,nh0016,Spanish,America,Cuba,Calcagno,Romualdo,1881,not_historical,antislavery,1880
nh0019,nh0019,Spanish,America,Argentina,Guerra,Miranda,1860,historical,historical,1860
nh0021,nh0021,Spanish,America,Mexico,Frias,Miserias,1916,not_historical,autobiographical,1910
nh0022,nh0022,Spanish,America,Mexico,Frias,Tomochic,1895,historical,historical,1890
nh0025,nh0025,Spanish,America,Argentina,MansillaE,Miranda,1860,historical,historical,1860
nh0026,nh0026,Spanish,America,Mexico,Ancona,Cruz,1866,historical,historical,1860
nh0029,nh0029,Spanish,America,Argentina,Sicardi,Extrano,1894,not_historical,naturalistic,1890
nh0035,nh0035,Spanish,America,Argentina,Lopez,NoviaDelHereje,1855,historical,historical,1850
nh0037,nh0037,Spanish,America,Argentina,Lopez,Loca,1896,historical,historical,1890
nh0038,nh0038,Spanish,America,Argentina,Argerich,Inocentes,1884,not_historical,naturalistic,1880
nh0039,nh0039,Spanish,America,Argentina,Cantilo,Quimera,1889,not_historical,naturalistic,1880
nh0041,nh0041,Spanish,America,Argentina,Gorriti,Yocci,1869,historical,historical,1860
nh0044,nh0044,Spanish,America,Cuba,Castellanos,Conjura,1909,not_historical,naturalistic,1900
nh0048,nh0048,Spanish,America,Argentina,Ocantos,Perfecto,1902,not_historical,realist,1900
nh0049,nh0049,Spanish,America,Mexico,Riva,Garatuza,1868,historical,historical,1860
nh0054,nh0054,Spanish,America,Argentina,Gutierrez,Chacho,1884,not_historical,gaucho,1880
nh0064,nh0064,Spanish,America,Mexico,Covarrubias,Gomez,1858,historical,historical,1850
nh0069,nh0069,Spanish,America,Mexico,Mateos,CerroCampanas,1868,historical,historical,1860
nh0074,nh0074,Spanish,America,Cuba,Calcagno,LasLazo,1893,historical,historical,1890
nh0086,nh0086,Spanish,America,Argentina,Lugones,Guerra,1905,historical,historical,1900
nh0088,nh0088,Spanish,America,Argentina,Prado,Malon,1907,historical,historical,1900
nh0091,nh0091,Spanish,America,Cuba,Calcagno,DonEnriquito,1895,historical,historical,1890
nh0094,nh0094,Spanish,America,Argentina,Manso,Misterios,1868,historical,historical,1860
nh0098,nh0098,Spanish,America,Argentina,RosasdeRivera,MariaMontiel,1861,historical,historical,1860
nh0099,nh0099,Spanish,America,Mexico,Najera,Cielo,1882,not_historical,psychological,1880
nh0100,nh0100,Spanish,America,Mexico,Portillo,MariaLuisa,1896,historical,historical,1890
nh0104,nh0104,Spanish,America,Mexico,Castillo,HermanaAngeles,1854,not_historical,social,1850
nh0108,nh0108,Spanish,America,Mexico,GonzagaInclan,Astucia,1865,historical,historical,1860
nh0109,nh0109,Spanish,America,Cuba,MoruaDelgado,Sofia,1891,not_historical,antislavery,1890
nh0111,nh0111,Spanish,America,Argentina,Bunge,Grande,1907,historical,historical,1900
nh0113,nh0113,Spanish,America,Cuba,GomezAvellaneda,Sab,1841,not_historical,antislavery,1840
nh0115,nh0115,Spanish,America,Cuba,GomezAvellaneda,Guatimozin,1846,historical,historical,1840
nh0116,nh0116,Spanish,America,Cuba,GomezAvellaneda,Velada,1852,historical,historical,1850
nh0119,nh0119,Spanish,America,Cuba,Marti,Amistad,1885,not_historical,psychological,1880
nh0120,nh0120,Spanish,America,Mexico,Payno,FistolI,1859,not_historical,costumbrista,1850
nh0121,nh0121,Spanish,America,Cuba,Romero,Francisco,1839,not_historical,antislavery,1830
nh0122,nh0122,Spanish,America,Mexico,Riva,Muertos,1870,historical,historical,1870
nh0125,nh0125,Spanish,America,Mexico,Riva,CalvarioI,1868,historical,historical,1860
nh0138,nh0138,Spanish,America,Mexico,Pesado,Inquisidor,1838,historical,historical,1830
nh0139,nh0139,Spanish,America,Mexico,Robles,Plateados,1891,historical,historical,1890
nh0152,nh0152,Spanish,America,Mexico,Paz,Juarez,1902,historical,historical,1900
nh0156,nh0156,Spanish,America,Mexico,Paz,PiedraSacrificio,1871,not_historical,sentimental,1870
nh0161,nh0161,Spanish,America,Argentina,Lopez,GranSemana,1896,historical,historical,1890
nh0162,nh0162,Spanish,America,Mexico,Paz,AmorDeViejo,1874,not_historical,costumbrista,1870
nh0163,nh0163,Spanish,America,Cuba,MoruaDelgado,Unzuazu,1901,not_historical,naturalistic,1900
nh0164,nh0164,Spanish,America,Argentina,Groussac,FrutoVedado,1884,not_historical,costumbrista,1880
nh0165,nh0165,Spanish,America,Cuba,Palma,ColeraHabana,1838,not_historical,sentimental,1830
nh0166,nh0166,Spanish,America,Cuba,Moreau,ViaCrucis,1910,historical,historical,1910
nh0167,nh0167,Spanish,America,Cuba,Pina,Geronimo,1859,not_historical,costumbrista,1850
