idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
tc0001,0.0206915221,0.0363768188,5.29E-05,0.0017250818,0.000352106,0.117443243,0.0039650433,0.0040391651,0.0182515747,0.0027386644,0.0216640585,0.0106549216,0.0052022713,0.000350238,0.0003483124,0.1011423983,5.07E-05,0.0163502497,0.0473534009,0.0003010902,0.0006699711,0.0004845712,0.0054714025,0.0003553082,0.0832632423,0.0139826513,0.0080117947,0.0337707204,0.0088831625,5.68E-05,0.0001287614,0.0045300669,0.0004317638,0.0006309833,0.003328033,0.0003410794,0.0017011149,0.1210726635,0.0051957783,0.0008785878,4.11E-05,0.0018171496,0.0094075078,0.0019638165,0.0003989076,0.0036880285,0.0224714996,0.1696976629,0.0004624541,0.0016915738,0.0202941691,4.72E-05,0.00864653,0.0249957008,0.0007669448,0.0248782399,0.0001729716,0.0013228308,0.0031900775,0.0018033751
tc0007,0.0007039012,0.0029014064,7.04E-05,0.025207281,0.000152456,0.0063023336,0.0018350272,0.0083957275,0.0040812713,0.0004355614,0.0023296604,0.0009543232,0.0026294823,0.0001499721,0.0579158994,0.0220703281,0.0003497865,0.0006182736,0.0029605253,0.0001113815,0.0005543801,0.0064380937,0.0009325183,0.0586643782,0.0032747161,0.0022527765,0.00327804,0.015036397,0.0017965914,0.0025220547,0.0165060107,0.0017349052,0.0027309456,0.012452773,0.0021928443,0.0171379484,0.0115259298,0.0010029323,0.0191457126,0.0029035581,5.46E-05,0.0027200757,0.018687891,0.0010772534,0.1653388762,0.0035139454,0.0098145573,0.0060759842,0.0863253764,0.0389337009,0.0050828359,6.28E-05,0.0083539978,0.0075869192,0.2453856408,0.0022985729,0.0034410632,0.0220613224,0.0503764839,0.0005495411
tc0034,0.0005205967,0.0070416746,0.2030948303,0.017604283,0.0362785036,0.0267523637,0.0300175965,0.0350321802,0.0003218719,0.0001742131,0.0144045452,0.0021847088,0.0081995695,0.0012856333,0.0018431118,0.0072398534,6.75E-05,0.008302925,0.0179314194,0.0001115987,0.0618181355,0.0102832281,0.0068592372,0.0053769667,0.0036869512,0.0259296642,0.0016703537,0.0260295972,0.0527840817,7.56E-05,0.0003307525,0.0166852859,0.0267100588,0.0063429604,0.0098319272,0.0001615662,0.0052892696,0.0037834925,0.0514694158,0.017203455,0.0027986116,0.0055763376,0.0001681991,0.0107947406,0.0044483217,0.0061648505,0.0111652162,0.0373754625,0.000464156,0.0041449741,0.0106438073,6.29E-05,0.0178164962,0.0408340867,0.0027613236,0.0044394055,0.0526552338,0.005652018,0.0133290939,0.0179736655
tc0036,0.00029225,0.0093457666,0.2732726156,0.0055267988,0.0063265029,0.0417467408,0.0371978614,0.0231289557,0.0052757331,0.0005473042,0.0314323705,0.0057306125,0.0028961253,0.0043014164,0.0002759977,0.0049885768,5.50E-05,0.0001233497,0.0191470938,9.08E-05,0.040889032,0.0092543757,0.005798278,0.0008395185,0.0011975437,0.0386895683,0.0042321691,0.0072313878,0.0280170226,0.0047193598,0.0001396027,0.0014630649,0.0277974404,0.0121979149,0.0006230019,0.0065396771,0.0051840534,0.002965826,0.0279650369,0.0265500741,0.000915747,0.0256428382,0.0192208709,0.0036940562,0.0135432715,0.0331012134,0.0177034003,0.0089643704,0.0053726773,0.00212786,0.0037431904,5.12E-05,0.0397307764,0.0266899868,0.0039696669,0.0053997041,0.0270404229,0.007537733,0.0025473322,0.0290078541
tc0037,0.0045720955,0.0091314967,0.0014385596,0.0002299982,0.1146157903,0.0403446936,0.002384859,0.0033235881,0.0058422437,0.0001610618,0.0657494607,0.2126062233,0.0028723791,0.0003580035,0.0001567224,0.0059968207,0.0003244622,0.0041027139,0.0252698037,0.0001031741,0.0052549845,0.0140851882,0.0128961638,0.0001736836,0.0133605081,0.0129788831,0.0068463063,0.0028230117,0.001927201,6.99E-05,0.0017307205,0.0026125554,0.0002641261,0.0002492825,0.0002200149,0.0018286335,0.0021015775,0.2209331594,0.001815987,0.0011670836,5.06E-05,0.0036690587,0.0021660042,0.0073685764,0.0004376101,0.0015309085,0.0129762963,0.051844769,0.0002771387,0.0003895922,0.0091243848,5.82E-05,0.0005061521,0.0712663624,0.0001261692,0.0229178419,0.0035152021,0.0041026631,0.0040576223,0.0006917022
tc0040,0.0025315609,0.0030810592,0.0089339129,0.0315339648,0.0001374742,0.0041793485,0.0002538725,0.0095133365,0.0066080049,0.0005426518,0.0004127874,0.0051902756,0.0044005796,0.0001352344,0.0789083355,0.0072154508,0.0511903797,0.0026374646,0.0016478693,0.0220660327,0.0052429332,0.0264566209,0.0014541274,0.1915593134,0.0028048797,0.0109503349,0.0018201561,0.0442681447,0.0059352262,0.0927637884,0.0004656635,0.0003708458,0.0169571725,0.0587444328,0.0098051748,0.0085702442,0.0100075723,0.0030213388,0.0028551733,0.0075365901,0.0084877317,0.0056135275,0.0011814478,0.0040549727,0.0154823267,0.0045471494,0.0033378302,0.0094174268,0.01879287,0.0031382827,0.0028343492,0.0620784168,0.0135803445,0.0077307101,0.0093457361,0.0013533632,0.0195936855,0.0188177662,0.0454153283,0.0024874059
tc0041,0.0003713112,0.0051113179,0.0002682808,0.044764454,0.0005668127,0.0019824756,0.0020325606,0.0016276931,0.0080504709,0.0005563593,0.0008655072,0.0016156096,0.0092367696,0.0074868685,0.0561788361,0.0164730952,0.0136952271,0.0007304034,0.0010743241,0.048544413,0.0043258748,0.0193670045,0.0019153475,0.2799321924,0.0013211594,0.00653817,0.0045693843,0.0024612587,0.0013969078,0.05280757,0.000341889,0.0033320697,0.0101506365,0.0412947264,0.0044635609,0.0003553054,0.0044338532,0.0027804199,0.0238978999,0.0035693498,0.0045763498,0.0041083852,0.0007317491,0.0030070293,0.0398397991,0.0146863865,0.0085147093,0.0012852302,0.0348363878,0.0407071458,0.0081691756,0.0142166081,0.0098533283,0.0076183479,0.0035862145,0.0023454202,0.0174634755,0.0205904391,0.0688535003,0.0045229482
tc0053,0.0006619848,0.017785996,6.13E-05,0.0005441085,0.0002940279,0.0866130854,0.0233758543,0.0098934109,0.0097475064,0.0109995908,0.0103947643,0.0015071642,0.0096599311,0.0024837042,0.0004775087,0.0336668716,5.87E-05,0.0086104799,0.0082884768,0.0012680593,0.0351525908,0.020067826,0.0255912049,0.0012015868,0.0008225583,0.0030405149,0.0002694301,0.0006950197,0.0966086017,6.58E-05,0.0028097038,0.0534592228,0.0126198897,0.0007303941,0.0296682738,0.0020076116,0.0102286957,0.0107455904,0.0087205255,0.0183513012,4.76E-05,0.0038314959,0.0003193141,0.0565609684,0.0010294717,0.0017923137,0.0071954304,0.0028750894,0.0004395237,0.0006505719,0.0038828676,5.47E-05,0.1402411435,0.0170170779,0.0004586878,0.1249432794,0.0034881024,0.0004380821,0.0007966939,0.0646886089
tc0054,0.0128580851,0.0044408143,0.0006370655,0.0062039903,0.0005456081,0.0450068378,0.0292340595,0.0260955141,0.0002715624,0.0021468445,0.0106330099,0.0059699901,0.0274457265,0.0024049611,0.000143023,0.0222490351,0.0004538669,0.0291066248,0.0004596179,9.42E-05,0.0249160359,0.0161314144,0.0633321392,0.0001585016,0.0194328896,0.0212567661,0.0006532852,0.0042730067,0.074634337,0.0002585423,0.0052140667,0.00210216,0.0252902361,0.0037207961,0.1078292599,0.0016510934,0.0121896337,0.0417613491,0.0067750339,0.0029643059,0.0004380876,0.0114361697,0.0001419091,0.030676097,0.0005826897,0.0003305577,0.0241134397,0.0059436154,0.0014249686,0.0043050025,0.0151156884,5.31E-05,0.0720166344,0.0118864173,0.0001151405,0.1059193118,0.0043256415,0.0029853492,0.0039367564,0.0433081681
tc0056,0.0028349871,0.1017237517,5.93E-05,0.0006461138,0.0003509903,0.0502043765,0.0037737939,0.0031423014,0.0028909789,0.0467852318,0.09329357,0.0118275919,0.0435148842,0.0005978943,0.0001425369,0.057896842,5.68E-05,0.0001274483,0.0225431889,9.38E-05,0.0006691319,0.0033613012,0.0067726848,0.0003937366,0.0232992096,0.0192335664,0.0149357789,0.0141181019,0.0026234091,6.36E-05,0.0078937726,0.0164011214,0.0018660784,0.000226719,0.0029025091,0.0001358496,0.0013176559,0.0277449605,0.0056426417,0.0108930728,4.60E-05,0.0322133896,0.0023128122,0.0033098196,0.000197783,0.0001400838,0.0629815073,0.0849256848,0.0013066076,0.0001541113,0.1602552114,5.29E-05,0.0230038013,0.0152355725,0.000743238,0.0024673753,0.001467784,0.0035179389,0.001554338,0.001112674
