,Number,Score,Rank
0,0,0.05111,42.0
1,1,0.16683,1.0
2,2,0.01826,57.0
3,3,0.0644,38.0
4,4,0.03954,51.0
5,5,0.14705,4.0
6,6,0.07302,34.0
7,7,0.12682000000000002,12.0
8,8,0.08332,26.0
9,9,0.0451,45.0
10,10,0.11873,15.0
11,11,0.10103999999999999,22.0
12,12,0.13828,10.0
13,13,0.0389,53.0
14,14,0.04388,47.0
15,15,0.15284,3.0
16,16,0.017480000000000002,58.0
17,17,0.03924,52.0
18,18,0.14102,8.0
19,19,0.02889,55.0
20,20,0.07922,28.0
21,21,0.09321,23.0
22,22,0.10815999999999999,18.0
23,23,0.04863,43.0
24,24,0.14085,9.0
25,25,0.16422,2.0
26,26,0.08019,27.0
27,27,0.10862000000000001,17.0
28,28,0.10812999999999999,19.0
29,29,0.01958,56.0
30,30,0.044410000000000005,46.0
31,31,0.10667,21.0
32,32,0.07395,33.0
33,33,0.0698,36.0
34,34,0.0616,39.0
35,35,0.041819999999999996,50.0
36,36,0.06932999999999999,37.0
37,37,0.12070999999999998,13.0
38,38,0.10964000000000002,16.0
39,39,0.07558,32.0
40,40,0.014169999999999999,60.0
41,41,0.09253,24.0
42,42,0.043539999999999995,48.0
43,43,0.0766,31.0
44,44,0.06089,40.0
45,45,0.04313,49.0
46,46,0.14459,5.0
47,47,0.1441,6.0
48,48,0.0776,30.0
49,49,0.047439999999999996,44.0
50,50,0.13189,11.0
51,51,0.01629,59.0
52,52,0.14172,7.0
53,53,0.10739000000000001,20.0
54,54,0.03533,54.0
55,55,0.12067,14.0
56,56,0.05965,41.0
57,57,0.07889,29.0
58,58,0.08642999999999999,25.0
59,59,0.07099,35.0
