tc_subgenre,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Comédie,0.0035278473,0.0253642138,0.0034989554,0.0328036361,0.0016265905,0.0094575981,0.0065961024,0.0437304768,0.0045636079,0.0009691815,0.0055909085,0.006024048,0.0242588175,0.0144351413,0.0322886913,0.0249053997,0.0090736541,0.002282738,0.0215441472,0.0150845131,0.0127419601,0.0149932276,0.0144497719,0.0334776332,0.0080534609,0.0334805832,0.0040297845,0.0207967178,0.0192483225,0.009409659,0.0053564274,0.0028470135,0.0188645344,0.0445299538,0.0048679288,0.0101941977,0.0074457488,0.0036697943,0.0375264633,0.0066383909,0.0073593924,0.0078738355,0.0026986386,0.0052047328,0.04660633,0.0073162144,0.0216642908,0.0104837781,0.0764239653,0.033811579,0.010456153,0.0097672141,0.0154920494,0.0088236388,0.024780468,0.0062854403,0.0101000363,0.028485978,0.0596085633,0.0065098602
Tragi-comédie,0.0058882714,0.0265456126,0.0022540947,0.0054699452,0.0041947517,0.0376899452,0.0348667535,0.0304481541,0.0057890294,0.0040510044,0.0224494904,0.004952208,0.0413819389,0.0089672739,0.0019066441,0.023923015,0.0008274445,0.0059772023,0.0159389918,0.0014339763,0.0348786967,0.0179545256,0.0231005009,0.0020856138,0.021962409,0.0231921995,0.0073894286,0.0099060441,0.1079717676,0.0021691324,0.0067916192,0.0288973405,0.0124886111,0.0161786254,0.0138289549,0.004829683,0.0317660917,0.0142406744,0.0212524703,0.0221576224,0.0003798911,0.0106585378,0.0135519135,0.0565427601,0.0026587511,0.0081925888,0.0215528398,0.013138185,0.0047669125,0.0051302842,0.0101889874,0.0030931454,0.0426976298,0.0185829896,0.0010809784,0.030413641,0.0126545103,0.0122048011,0.0037479672,0.0207649276
Tragédie,0.009012341,0.0709020136,0.0038886044,0.0013529883,0.0147161138,0.0435044219,0.0196255191,0.0137749405,0.0279934665,0.0159213489,0.0361909009,0.0568805036,0.0190953544,0.0009251034,0.0005249562,0.0270943506,0.0002895531,0.0067237835,0.0310204206,0.000804292,0.0084212439,0.0130342073,0.015647836,0.0008513037,0.046963122,0.0219508855,0.0298036316,0.0094616186,0.0125646929,0.0003411826,0.0034082704,0.0308793545,0.0070127312,0.0013102368,0.0125047817,0.0017973502,0.0073656362,0.0562329358,0.0048335096,0.0124407586,0.0001454021,0.0154349845,0.0053121288,0.0189888191,0.0012326061,0.0040220848,0.0261603885,0.0592537902,0.0029138765,0.0015486853,0.0541329803,0.000221143,0.0264420512,0.0257560227,0.0007424331,0.0344550983,0.0058924432,0.0045029904,0.0022528681,0.0135229387
