tc_author-short,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
BIANCOLLELLI,0.0001640804,0.0070595418,0.00166657,0.0244520776,0.0008205173,0.008973372,0.003362151,0.0246137599,0.0023709916,0.000144765,0.0005840832,0.0056555426,0.0354421148,0.0005784502,0.0238173617,0.0158081446,0.0018647055,0.0013829307,0.0422177609,0.0050655715,0.0034702321,0.0115565037,0.0153936742,0.0338446638,0.0099948436,0.0273938046,0.0013734148,0.0761215185,0.0121991647,0.0255380769,0.0001425492,0.0003424091,0.0069713213,0.0908128827,0.000197753,0.0236911892,0.004782451,0.0063821989,0.0733243316,0.0016475539,0.0039713102,0.0014202032,0.00079422,0.0007053,0.0365711803,0.0050286194,0.0718173485,0.0235282757,0.0152134646,0.012238648,0.0064527438,0.0778784846,0.0083812817,0.0074147093,0.0051237428,0.0040490658,0.0074685944,0.0116591138,0.0677537765,0.0013048882
BIEVRE,0.0056897628,0.0155548053,0.0003794995,0.0043965553,0.0003557364,0.0060902264,0.0026381364,0.0179445465,0.0055146163,0.0010852688,0.002532377,0.0168115315,0.0138079231,0.0030632405,0.0027329758,0.0515642606,0.0022019179,0.0003137917,0.0857490424,0.0237972666,0.002173001,0.005169497,0.0109978041,0.0060746531,0.0152544687,0.0548657678,0.0042863959,0.0183502384,0.002834337,0.0092931545,0.0039978509,0.0031942064,0.0068199162,0.0052161377,0.0011018136,0.0176026695,0.0021808366,0.0063159887,0.0249105431,0.0036429077,5.84E-05,0.0025639852,0.0057879186,0.0004765605,0.0033155213,0.0018445698,0.0195135041,0.0405755303,0.0088859517,0.005438839,0.055192714,0.0018698726,0.0176502548,0.0048795239,0.0016813045,0.0072797775,0.0092544748,0.1844389628,0.1541330575,0.0086536302
BLANC,0.0003124407,0.0253026618,0.0005489994,0.0003518922,0.1768539952,0.0076600494,0.0003776031,0.0025807609,0.0072982807,0.0075658688,0.0079267355,0.2127790113,0.0030882296,0.0001070841,0.0001208058,0.0063484513,4.81E-05,0.001957887,0.0397166914,7.95E-05,0.002453188,0.0044513834,0.0015143754,0.000472977,0.033402653,0.0047134284,0.0023933951,0.0143330663,0.0015045316,5.39E-05,0.0002884942,0.0053041623,0.0002035953,0.0001921535,0.0005197786,0.0008020382,0.0003495121,0.2344965759,0.0026829371,0.0005488443,3.90E-05,0.0008342675,0.0010052496,0.0002108707,0.0003393541,0.0001187267,0.0099731648,0.0261557656,0.0003907027,0.0004520435,0.0977575852,4.49E-05,0.0036448606,0.0193310419,9.73E-05,0.0212810709,0.0025177557,0.0009131596,0.0004007283,0.0027864335
BOHAIRE,0.0020470681,0.0093472585,0.0040223659,0.0017508041,0.0870172071,0.0211146762,0.0007091189,0.0012992752,0.0011587739,0.0042283229,0.0192820416,0.258055086,0.0042179561,0.0024364289,0.0009414959,0.0028346189,7.23E-05,0.0001623087,0.0027985951,0.0046411529,0.0056861555,0.0089582744,0.0077921954,0.000595853,0.0204110371,0.0103109995,0.0052774707,0.01435376,0.0004473142,0.0083834076,0.0009978028,0.0365771797,0.0026276052,0.0198260786,0.0194808145,0.0009329795,0.0006578969,0.1086332964,0.000453538,0.0223428594,5.86E-05,0.0165176097,0.0009223145,0.0062371057,0.0035083124,0.0005428746,0.0016138062,0.0103247228,0.000320997,0.0001962647,0.0036185622,0.0063298722,0.0103410891,0.1021248788,0.000146136,0.0370775391,0.049102878,0.0230462672,0.0047930994,0.0002936607
BOISROBERT,0.0039817809,0.0526070231,0.0015844577,0.0046569847,0.0014606231,0.024366891,0.0269383072,0.0443046485,0.0061376698,0.002945927,0.0119518499,0.001589933,0.048573351,0.0131134125,0.0020751691,0.0540315986,0.0055693276,0.0020527975,0.0223856958,0.000387521,0.0504420223,0.0078199739,0.0383563397,0.0001686566,0.0113966558,0.0606026213,0.0029940306,0.0119147041,0.0715045915,6.79E-05,0.0200812749,0.0254230122,0.0016711814,0.0011821437,0.0189484914,0.0199080882,0.0617472848,0.0037649043,0.0084144937,0.004064745,0.0002308507,0.0212781888,0.0008197689,0.0178289501,0.0029177268,0.0365557336,0.0393488069,0.0125970311,0.0016205786,0.0030909121,0.0146440776,0.0006379037,0.0611767536,0.0038545848,0.0012174808,0.0136362718,0.0015375653,0.0064919775,0.0027136268,0.0066131275
BOISSY,0.0041447429,0.0137219223,0.0007773208,0.0064403135,0.0053035588,0.005680689,0.0026425783,0.0117915984,0.0066384864,0.0007875835,0.0038806084,0.0124670416,0.0254168539,0.0033563901,0.0100355161,0.0122110443,0.0320348799,0.0012586103,0.0846384729,0.0566835919,0.0159075722,0.0322750495,0.003369894,0.0006967392,0.0071560783,0.0286369614,0.0026406298,0.0110385773,0.0104828355,0.0198583865,0.0040657365,0.0027328111,0.007257433,0.0029289907,0.0042242833,0.0221864906,0.00424863,0.003954037,0.0291157701,0.0074305492,0.0001802976,0.0014131069,0.0010945137,0.0041736064,0.0245715211,0.0001450641,0.0529125599,0.0172525859,0.0386259773,0.0030256028,0.0158054977,0.0029465128,0.0099793438,0.0156414756,0.0129204476,0.0039395854,0.0137470872,0.0715033609,0.188812578,0.0011900168
BOURSAULT,0.0068266085,0.0908072919,0.003450501,0.0231226124,0.0034816176,0.0325406189,0.006750592,0.0182477823,0.0326560709,0.004847773,0.0661285466,0.0098058322,0.0362318359,0.000897767,0.0017127881,0.1068287319,0.001094592,0.0024075864,0.0308677373,0.0006035424,0.0121786353,0.020895694,0.0135047778,0.0034539627,0.0181578274,0.0352002652,0.0078495193,0.0177457428,0.0072418222,0.0008911068,0.0034061285,0.0226803629,0.0090404984,0.0842553964,0.0023421306,0.0063343607,0.0158978574,0.0121603977,0.0351274036,0.0039262254,0.003194193,0.0046645054,0.0027815141,0.0026662821,0.0013573409,0.0027012627,0.0159136006,0.0406828004,0.011934713,0.0015160367,0.0393839754,0.0030664756,0.0139798455,0.0091300307,0.0027613194,0.0106219034,0.0005276383,0.0065111319,0.0064662997,0.0085385879
BOYER,0.0314496691,0.1054676524,0.0004299357,0.0008974226,0.0087241242,0.0758181381,0.0085296554,0.0087512267,0.0102569444,0.0131444307,0.0341829236,0.0050045187,0.0331222721,0.0008262985,0.0003903974,0.0243063496,0.0001240348,0.0059344556,0.0470117264,0.0002082967,0.0047804702,0.0097608878,0.0160149502,0.0006799748,0.0632255559,0.0438348591,0.0103113919,0.0106580156,0.0052063594,0.000482812,0.0038920002,0.0580840773,0.0037608182,0.0011207329,0.0103044049,0.0014639178,0.0078339883,0.0360822365,0.0026778676,0.0120817159,9.04E-05,0.0282118915,0.012996852,0.0086312534,0.0007032105,0.0043894544,0.0182121273,0.0440314032,0.0015200548,0.0009298163,0.0285133124,0.0001007602,0.0389136999,0.0295905901,0.0004391954,0.0521258886,0.0023037517,0.0015088475,0.0009028469,0.0090471397
BOYERA,0.0070201586,0.0082442571,0.0006278512,0.007035221,0.0022846251,0.0140480419,0.0269996705,0.0175577668,0.0040649312,0.0777528729,0.0136601221,0.0621659968,0.0482995019,0.001445292,0.0002846754,0.0049143749,0.0004980724,0.0059324515,0.084555228,0.0011592737,0.0063514635,0.0130912826,0.0064477425,0.0060253823,0.0151496216,0.0024463701,0.0057961753,0.0127987231,0.0118146747,6.12E-05,0.0080808308,0.0042465192,0.0099026023,0.0026292503,0.0608527905,0.0002865132,0.0072816554,0.0187656832,0.0038329244,0.0224776951,0.0001867581,0.0056998487,0.0001360945,0.0050268533,0.0001903259,0.0172663812,0.0036647509,0.007716208,0.0241705236,0.0268803461,0.0269067383,0.0012802895,0.0459617022,0.061689147,0.0002520843,0.0187440605,0.0352116687,0.0796146863,0.0044255909,0.0280864614
BROSSE,0.0007563943,0.0179320742,0.0014965121,0.0300176545,0.000786684,0.0164696941,0.0031119386,0.0691354637,0.016688669,0.0011356055,0.0055469256,0.0073548445,0.0552230066,0.0053534216,0.0086799825,0.0142742453,7.82E-05,0.0008989066,0.0157262131,0.0060001686,0.0484103894,0.0096215835,0.0208795593,0.0025328605,0.0085878983,0.069457309,0.0009121862,0.0161528783,0.0742220965,0.0008304582,0.0001985992,0.0029769018,0.1051532537,0.0424259822,0.0008117683,0.0344805772,0.0036311643,0.0049047183,0.0262708853,0.0181917006,6.34E-05,0.0129219293,0.0001947239,0.0022908748,0.0145822955,0.0003780836,0.0251346909,0.011097055,0.0068178405,0.0084707357,0.0122225479,7.29E-05,0.0287859525,0.0122666903,0.0007026046,0.0076766579,0.0281005111,0.0088956308,0.0218399247,0.0301656401
