0,frère-amour-prince (0)
1,coeur-amour-oser (1)
2,dieu-pauvre-courir (2)
3,beau-bon-connaître (3)
4,dieu-loi-ciel (4)
5,mort-mourir-vie (5)
6,âme-coeur-bonté (6)
7,amour-aimer-âme (7)
8,madame-seigneur-yeux (8)
9,romain-dieux-sénat (9)
10,crime-mort-coupable (10)
11,coeur-loi-peuple (11)
12,amour-aimer-coeur (12)
13,don-honneur-bon (13)
14,monsieur-argent-bon (14)
15,aimer-amour-madame (15)
16,mal-monsieur-médecin (16)
17,grec-vaisseau-mer (17)
18,coeur-âme-amour (18)
19,vers-auteur-beau (19)
20,beau-yeux-dieux (20)
21,vertu-honneur-homme (21)
22,venger-honneur-traître (22)
23,femme-fille-mari (23)
24,amour-fureur-madame (24)
25,croire-connaître-secret (25)
26,seigneur-main-laisser (26)
27,père-fille-famille (27)
28,amour-dessein-mal (28)
29,chanter-danser-amour (29)
30,soeur-frère-aimer (30)
31,trône-régner-sang (31)
32,chose-trouver-esprit (32)
33,monsieur-bon-maître (33)
34,ennemi-soldat-perdre (34)
35,lettre-lire-billet (35)
36,duc-raison-suivre (36)
37,dieux-sang-main (37)
38,nuit-sortir-trouver (38)
39,dessein-soin-effet (39)
40,bian-pis-aimer (40)
41,fils-père-mère (41)
42,cour-aimer-amour (42)
43,aimer-amour-bien (43)
44,madame-monsieur-bon (44)
45,prince-madame-princesse (45)
46,hymen-amour-heureux (46)
47,seigneur-soin-lieux (47)
48,madame-aimer-monsieur (48)
49,monsieur-chose-homme (49)
50,seigneur-coeur-père (50)
51,manger-monseigneur-gouverneur (51)
52,malheur-mal-douleur (52)
53,main-mourir-coup (53)
54,monsieur-épouser-bien (54)
55,gloire-victoire-vainqueur (55)
56,beau-jour-bois (56)
57,ami-monsieur-cher (57)
58,bon-monsieur-esprit (58)
59,mort-corps-femme (59)
