	tp00	tp01	tp02	tp03	tp04	tp05	tp06	tp07	tp08	tp09	tp10	tp11	tp12	tp13	tp14	tp15	tp16	tp17	tp18	tp19	tp20	tp21	tp22	tp23	tp24	tp25	tp26	tp27	tp28	tp29	tp30	tp31	tp32	tp33	tp34	tp35	tp36	tp37	tp38	tp39	tp40	tp41	tp42	tp43	tp44	tp45	tp46	tp47	tp48	tp49	tp50	tp51	tp52	tp53	tp54	tp55	tp56	tp57	tp58	tp59	tp60	tp61	tp62	tp63	tp64	tp65	tp66	tp67	tp68	tp69	tp70	tp71	tp72	tp73	tp74	tp75	tp76	tp77	tp78	tp79
AbeilleG	0.00012518444448461516	0.00037884376736220266	0.008016335831678073	0.0002851862092160557	5.581591757067534e-05	3.718444197211498e-05	0.03433423239289672	0.004676811315930896	0.00029397388313034446	0.0072852534374389126	0.003309151704541294	0.005559464199217645	5.2507528380521164e-05	0.012787524559538858	0.0018726370461105938	0.031472532273306104	0.021295953530067368	0.0011910890106428915	0.01727209582566017	0.005375172155685062	0.012386167898026145	0.035337332216580745	0.01311658677998626	0.0017226664371907303	0.00314043580171916	0.001564618521486989	0.10667825231646966	0.001893491593779895	0.0016937473305541923	0.0001278735967530967	0.02639128307534147	0.002022643061791033	0.030621512572908165	0.004182486306784574	0.03549455311419893	6.423841654405105e-05	0.002922461701454355	5.546030658771989e-05	0.02583477351736291	0.014047947590143883	0.004875422183043656	0.0049713296239579305	0.0020577381710419856	0.12754197825698604	0.002154261842084855	0.00016665388888428443	0.004032320473073958	0.00017489987676334745	0.00010191735356753914	0.009737861536780943	0.02120953008148785	0.008792086838202446	0.030555218277610784	0.015605884320882168	8.3369724755722e-05	0.019067424958811002	0.008223463780547271	0.015648392864359453	6.461331870143181e-05	0.0003006129539440127	0.0018655523062022718	0.0006941342627403738	6.954522575993595e-05	0.0033145709549094516	0.00018008043026418252	0.0016438331619908874	0.001044179114622526	0.0072858116864177175	0.0009132637625943766	0.0005183233917715904	0.00021917820783183577	0.0016014823344718421	0.15258601895838872	0.0006526752317372534	0.02727087705317563	0.004894322317324268	6.0118358766761575e-05	0.0062342505974308324	0.024826714897851994	0.01378460578976581
AllainvalA	0.0021139068983994443	0.0020125475311662962	0.001083935420671906	0.001001391506725283	0.003735864389214299	5.321249007254719e-05	0.0006940821008801157	0.0053685511937526355	0.003836316386095762	0.0016113322642310535	0.0004209161090451794	0.0008385561345479749	7.514046693984987e-05	0.007951196094448497	0.0031344430842473216	0.007038588222209449	0.0007597605064109665	0.22966699261579074	0.0028866329400465216	0.001041440212026433	0.001780382199816336	0.010895715669702575	0.004702040043144504	0.031449063975684415	0.0005170499608507371	0.013844689260796914	0.00975668040394458	0.00043789575706137284	0.04912842291144791	0.0008488329584681345	0.010035589374562531	0.001240262396649541	0.04839761192329569	0.005210216058376903	0.007965972172919816	0.02803186482476485	0.00135770817405919	7.936601592495569e-05	0.01037227482234484	0.003895187673702075	0.004863624796264797	0.000816199067169869	0.0033173986575480243	0.008345217458345927	0.0005496561449476094	0.017101729560237273	0.010787108542559052	0.004159864099040141	0.00014584799118405308	0.0015720992983216154	0.014297988598818473	0.00844939670964249	0.009452704255670241	0.005882928789727704	0.004819656167592204	0.015116401078933592	0.03576355006833106	0.01926522424981581	0.0027327360121321385	0.01932542068212864	0.15886410011546928	0.00314602084493004	9.952212374516257e-05	0.010852843280211003	0.0004348906411232703	0.0009927352691836398	0.006284386371868247	0.007884364042634427	0.0004647665658545357	0.00017344666544082826	0.052956453990286284	0.002285778182373664	0.0036271078917461505	0.02789090344393059	0.009510012858927308	0.0014274342110406053	8.603188321215446e-05	0.006657624045411017	0.0040298055575553925	0.0002953866422055444
Barante-dufesny	0.020154671663527045	0.022583980501559228	0.006929623005397012	0.06976037960834183	0.0016034539861958781	0.00048253538420452743	0.0052001788846962075	0.004937221788294047	0.006002318591500872	0.0017626486810760089	0.00070986053250394	0.0008990516110582436	0.013579761838548456	0.0024217733648861216	0.005007637742513332	0.005775174791943738	0.0036038983596386105	0.02295853852001254	0.0033595629122740865	0.012188666063550131	0.0032133466846665393	0.012287752113773394	0.004052657768283159	0.01242825537035681	0.0037350450451616936	0.018367982686678042	0.004703564620260703	0.0014461427982524777	0.05835379840920965	0.0007870902376017817	0.0012986403370683734	0.04231602609593368	0.03736493243246487	0.010724330149873144	0.009375873323709006	0.010441836645431845	0.005925628177934428	0.022202246368565035	0.017760946717114652	0.0011036339218543376	0.0002573389269646232	0.0009839470874319462	0.001100290379792679	0.011010106556526572	0.0011769943253545478	0.007329217207489033	0.0008004985143253585	0.0002405409317579885	0.0005193779019540932	0.005491656117873848	0.012967194274298639	0.006117499733522321	0.004481630505832819	0.006105729304110587	0.00657068792822175	0.014627327855063177	0.009317020775617425	0.046174073492627275	0.03515695817917494	0.040142368227006495	0.0515131705048415	0.00026735983627409316	0.01823113963013212	0.015575704583466715	0.009721374102109718	0.0019856645641139568	0.009656990565042047	0.0015838626224384212	0.004663574515199227	0.00016669137404743453	0.042873164611943355	0.008303618846482147	0.006034420450805209	0.055320017529365884	0.0010887016833181459	0.002457095355687891	0.05398168248217276	0.00020483736884482483	0.0029574611312351787	0.015032342281617818
BaranteC	0.010914716945115775	0.009527172315368817	0.013290272728039464	0.016057169413608414	0.0009229949748683452	0.002480367361834728	0.003442797521934393	0.004392986251381226	0.008820042299671729	0.0013505210812966397	0.0034876590858934314	0.00036885566830371767	0.014346166596511037	0.0019007564504858253	0.009524295090727495	0.011170003070648757	0.0008981297562624256	0.04931366302215043	0.0038592724480821464	0.007746580237308636	0.007084092260570397	0.008670703642729058	0.002097761556097438	0.0027550407532026594	0.008425593138531286	0.018354279771127698	0.009416900164942668	0.000477809566625698	0.05807023681969435	0.0006292110986355379	0.0068646502713815135	0.044208993498058374	0.032690355711960946	0.0031955482511680207	0.004084183622569552	8.228154582190488e-05	0.0013052990246671834	0.02253295266266321	0.010223818380006189	0.0017872881192823752	0.00036077657581172517	0.006421043583941277	0.003918354053128254	0.0075391809302007146	0.00021329141857962837	0.002164805405263091	0.0019047767824570563	0.0010540912847891181	0.0012940953476756917	0.004928062447621603	0.010626329596492283	0.00811929257017984	0.01025795215899567	0.009892968116523867	0.02784150397767746	0.010698528264278643	0.014748911594126621	0.006909116006413984	0.031358607104325795	0.07966071266833791	0.12201688425206665	0.0006328523442852107	0.019266683270227927	0.004831658775656705	0.030540309301337436	0.0026539359473847506	0.015022086978682597	0.004172865840485736	0.005628827911869831	0.00037333988076244213	0.05360377023463113	0.004211695666606825	0.0036974787364371883	0.045106756809440096	0.006437975764470139	0.0015358911767927713	0.00996499041175303	0.0004234835190716943	0.0025107301659787204	0.010683960946009414
BeaumarchaisP	0.005567771513135465	0.0021454136070170678	0.013951342976223743	0.001953954294913786	0.016130154683412848	4.616829456555847e-05	0.002568890884852145	0.010789632009277825	0.01162950050706445	0.008541712424453543	0.0008534802405358292	0.004339339629571291	0.006310953635677911	0.008085587404481407	0.00767871095339173	0.007851605858643954	0.006122998619679789	0.03192793119674911	0.01683518170880237	0.0054207764131445684	0.0008479024824238021	0.006068158187525909	0.0018356139530690352	0.017470526281438154	0.01318319157768412	0.017706121858384775	0.020227461666336086	0.002631925084239115	0.021796048469318954	0.0001587681720887909	0.004545422680396362	0.023175025121154793	0.05252859927222846	0.005633044724888039	0.00846014441660798	0.010076298374302345	0.0020142272804827936	0.004254238341746369	0.029189205367921744	0.002948251093623736	0.0004146302193019102	0.0036370318508900886	0.012073881934223079	0.011742678223637618	0.0058828609452235125	0.03721883263624795	0.0024440488659648574	0.002398091932884872	0.0005400042247174811	0.0013854970500449622	0.020059323025583067	0.011686391093903287	0.011986781309538098	0.004932126167811009	0.005022960868435643	0.013646331284583391	0.021034670473208245	0.0019721352491505603	0.03097977224384167	0.0020151943012742465	0.10577760388994815	0.000582759329980104	0.001983340244728732	0.0054691824487601215	0.09465286537290228	0.0036065284320226623	0.018975361846141507	0.006527618493128228	0.005058580010382568	0.004416668247197737	0.01888622276072406	0.002998138342592648	0.0037948552456280493	0.0904651990996952	0.0017338512731158576	0.0036880191927171047	0.010544351879088759	0.0004047430344593379	0.004801504581162868	0.001058081113702731
BenseradeI	0.0027132360188779877	0.0020860458744016066	0.0034868324320632056	0.00022110813496580947	5.693324861485157e-05	0.0003720926086777755	0.0009070281946137563	0.003056269105443317	0.0024582341531078633	0.00481756579555879	0.025304118153536476	0.008154038028101952	0.0006359985762425513	0.021647155944907903	0.0008468077649231082	0.009436535645602942	0.09007634775479305	0.001050370344061737	0.007591240697522995	0.03295928457062168	0.020329386155950008	0.10755707737084415	0.006157844427903676	0.0002643508836262113	0.0026936945024342673	0.004625906671389457	0.0072629094359635	7.482445574762299e-05	0.006164748883951639	0.00013043338875511458	0.030257668105629736	0.00672142656181767	0.01362040864111024	0.031081155766166473	0.032377777292644634	6.552435038080124e-05	0.007651821890119143	0.0009132353044287138	0.010775937930832613	0.02452305242593689	0.002569397574559698	0.009169501576265138	0.008785059553701536	0.01386227095862129	0.0044792940663042485	0.001916384263750669	0.0031282891766552454	0.0013331943628247162	0.0028479724005221613	0.03823040179008354	0.0029279161757666395	0.023338667221727224	0.037515103885120846	0.0065442553540311635	0.00042396601528598793	0.09932427241897794	0.008537904371594653	0.0007875390722354533	6.590675738334449e-05	0.0014454762303464425	0.007393474152541559	0.000983864700539519	0.0001792659354700198	0.03159385942417356	0.0014304732301643904	0.016131258752419195	0.0011319536617202522	0.012117849459841928	0.00013304634916842196	0.0025276804153068024	0.0008612421299003914	0.04687053369295701	0.027637541531421502	0.003181185518996064	0.03135355339549535	0.010004203639202137	6.132181669594406e-05	0.0008865809016266784	0.004071940260789177	0.0030899703135403686
BeysC	0.004713874935901506	0.033327337291758304	0.015425552807044182	0.0006213307261804956	5.253624347311113e-05	3.499953027530545e-05	0.003965670307444135	0.00885869968757975	0.0002541682941255818	0.005519208283482498	0.02465850184953097	0.004505077768348972	0.00021958312088113025	0.015340145258496226	0.0008273307141559442	0.008120024954634783	0.014350868034715665	0.000981492649269581	0.00223938430077528	0.013663675265558698	0.02321639913467328	0.04635644531204693	0.005274724159851797	0.00042930600996708717	0.008308192451823503	0.017154977934364973	0.010646694831680027	0.0006417821765335259	0.0072769161933283364	0.0014065909475561083	0.0067678812353808284	0.004494219817842982	0.014330535208920093	0.009943274116543941	0.03765193613932744	6.046384685178905e-05	0.0007499500605910287	0.0020772838152973805	0.00674517896676309	0.006016692657978446	0.0036496586720347335	0.0030936052110238526	0.006587496391026747	0.009647824834040081	0.0029902581272744574	0.010489494119211601	0.0023011643602014967	0.00016462297690298769	9.592881626248614e-05	0.018085088400448073	0.001285383958135378	0.005539433830109893	0.08453481317938344	0.016370160153868548	7.84710231182154e-05	0.22475357287570139	0.013036980177866446	0.003107306332361372	6.081672022332883e-05	0.00016535672956715904	0.0033973435257865204	0.00032672189442303057	6.545883453927186e-05	0.081971718763151	0.00016949912750466374	0.009295089456779877	0.0002079685353995693	0.015235772954798705	0.010312495291483398	0.007600248374155087	0.00044873604839885457	0.01763370251244145	0.00378517094024885	0.007757884384110324	0.03172334418305011	0.019152785755458996	5.658587856009362e-05	0.006217278177342196	0.009849885339334829	0.0015259660933168717
BiancolelliP	0.010883568423483179	0.003334107606778995	0.01979948255629484	0.010426976898113274	6.707871852856865e-05	0.005729468844376951	0.0017220414076708115	0.007587647592023001	0.004260629587950995	0.0017514884733244496	0.0005909993192071114	0.0003460792296786486	0.01569380192714072	0.012799024287323277	0.005149299747960494	0.021903134527675065	0.0032883990291975415	0.003813726842958131	0.0019178786083120457	0.0034639528727203202	0.0006442479952246013	0.017168811071774093	0.002030055071088471	0.0017253960748730248	0.0009747488513890914	0.0042223482110458855	0.03474314724319426	8.815812777700614e-05	0.08459908303667042	0.0023946948926312603	0.00885555391507364	0.01587481344904822	0.046152942321603496	0.0024884436087356672	0.01031589182614062	7.720074934937971e-05	0.0028857395031075023	0.002061211952562389	0.019673311663392194	0.002966632721922248	0.00022487060531061848	0.004335828466124296	0.002871082794889406	0.025616108589026982	0.01111976926455028	0.0037812076484616615	0.0032535490037121396	0.0053156914174302475	0.0001224827212502072	0.0035054776769706604	0.09749086731336039	0.007470591983920445	0.06922695515540296	0.0013973263528589235	0.0028341901561716384	0.03522099247439645	0.007978815659035333	0.014264359042392014	0.0209838884793234	0.011761737818147381	0.041147843210622224	0.0006332663757627982	0.006666483409460627	0.014977706666608293	0.03370990569727742	0.002519760623772999	0.008626965683874721	0.00934510802311309	0.006515520538135607	0.0011034358006696192	0.014412881800993385	0.004676196159965468	0.00791090987444402	0.06928449968122616	0.02047769331880994	0.0026317490398678795	7.224932674463086e-05	0.00017899314210128182	0.02275846792274122	0.00910335229375137
BoisrobertF	0.0009986305610647107	0.0005266488152123615	0.010460037232304823	9.481306188895875e-05	0.00059706677681424	0.00028458725026069486	0.009861762223910685	0.015487326209672683	0.004335843478122032	0.012162077201148293	0.00877786734500449	0.004825778606128123	0.001337206156650625	0.006482341950631045	0.002025783164116353	0.06726845986551672	0.019317044703981944	0.0002761055043430999	0.004387791666383967	0.014313808122476299	0.014276008488753399	0.05907677358896092	0.01704704886648618	0.0016636775858102125	0.019619012521123774	0.004655276334716415	0.019325387502493418	0.0004439847272121591	0.011149112356045342	0.0005019886138722377	0.04207598996437945	0.0017282170266985008	0.03890554338090914	0.01667432319620845	0.014724971291417857	7.524087438690875e-05	0.007299619974370911	6.495929049814848e-05	0.04349232508637053	0.010387434560772991	0.006144859421210283	0.006351330530685457	0.016486359017795365	0.028352248052079934	0.014622230395985147	0.01925726174133689	0.005022556562284016	0.011878666980969711	0.000758654552237645	0.0074231932468514185	0.021095797667538274	0.011287030138805648	0.05119433449340659	0.004604058936777993	0.00024103092099694485	0.11667490108139848	0.010390991237734579	0.005500303772700188	7.567998804581288e-05	0.0010766663159943522	0.004773316448698247	0.005730917460686904	0.00023062259305332925	0.03568380779752087	0.0021966563038697596	0.013911694557772457	0.0011287674839043796	0.014945473978231252	0.00025890597687059	0.0013087057903903056	0.0007237512492544825	0.0076646767595440445	0.008954864273356379	0.003737075602789635	0.014274174705961394	0.0012302845393446804	0.003999015537976634	0.00889615815519141	0.019049094445883367	0.005856006157746133
BoissyL	0.0020796683626423617	0.0008012423470367191	0.016264274106138205	0.0021917674882998123	0.0006809709085690085	0.0003394847365460567	0.0032284089896658878	0.019582209850907674	0.008280383823207933	0.0017812279867444884	0.0017811118096142864	0.00182150526979959	0.0002787524942421147	0.0072388211796379194	0.0013752240103488355	0.02909682072948929	0.004638668576031698	0.017883224277450788	0.013227019343394264	0.005127070213062201	0.005629383145470793	0.010031645504699649	0.005299792888735506	0.005964905741454276	0.014525418498206984	0.004499166090551481	0.048553536241161405	0.0008169540388317211	0.017706849372428286	0.0011039737854569842	0.004001049740918518	0.012539528416314115	0.05661716075185298	0.0076218808390618505	0.029051784543508825	0.00352489945232503	0.00562780772910865	0.0036055790231944683	0.03563859304077073	0.010738820991816915	0.0034553608406910994	0.004540300206260903	0.015683316332937423	0.024362595356086286	0.00049539711006353	0.013953254494970469	0.003419621429847151	0.013155563167163506	0.00024629868296624903	0.008996973099611104	0.06385130261844706	0.019158966506818104	0.039246886447943406	0.0015409964749031248	0.0075918374002451675	0.02184146679644013	0.014691329307368361	0.009719765426690565	0.0007872822621300264	0.0010528175834595905	0.04627478102381017	0.002524048239275343	0.0003670476559142341	0.016802784359926572	0.00328758776729462	0.0018830228521415683	0.13985558523470468	0.01677617816372763	0.003716321541022808	0.003204622448255804	0.00810583767740202	0.0031576015523446387	0.015262371965349911	0.0049276021962783145	0.0033709285217570543	0.00033131427271137305	0.014421434949096994	0.0030633767165651293	0.022571064680498035	0.0015085702981816214
