	tp00	tp01	tp02	tp03	tp04	tp05	tp06	tp07	tp08	tp09	tp10	tp11	tp12	tp13	tp14	tp15	tp16	tp17	tp18	tp19	tp20	tp21	tp22	tp23	tp24	tp25	tp26	tp27	tp28	tp29	tp30	tp31	tp32	tp33	tp34	tp35	tp36	tp37	tp38	tp39	tp40	tp41	tp42	tp43	tp44	tp45	tp46	tp47	tp48	tp49	tp50	tp51	tp52	tp53	tp54	tp55	tp56	tp57	tp58	tp59	tp60	tp61	tp62	tp63	tp64	tp65	tp66	tp67	tp68	tp69	tp70	tp71	tp72	tp73	tp74	tp75	tp76	tp77	tp78	tp79
Comédie	0.0058232758380700874	0.0034535222801043088	0.01401168433690525	0.005474991911379933	0.0031032716545655458	0.00203901825225747	0.0028236227378178585	0.013842780603512598	0.005654376930570453	0.003937501917938769	0.002927808560879208	0.0026002041028706296	0.005514646528785377	0.007375707476806188	0.017912575099119987	0.029505054768639596	0.006552978856150468	0.021173210624732444	0.00504459501521822	0.0059620074552303	0.0038653935546924707	0.019820809587268142	0.007269318834389134	0.01774056549106256	0.01078338523454955	0.010034146040136723	0.018295244625721897	0.0005446081353470045	0.059176048796665735	0.0013370959960686067	0.01192455815680441	0.012612793162842688	0.04366882217180151	0.009650477383980947	0.011661726797435249	0.005608091020552411	0.006332914968508135	0.0031473391919650535	0.036300769499401614	0.006533244010762988	0.002992233550454215	0.00509140293435615	0.008682449965748362	0.0174815760262978	0.0056426218355702116	0.00689659368903181	0.007904656422625748	0.00391753205741204	0.0007129133370849253	0.0051235236616045945	0.025994003643466157	0.013957624697159589	0.026460601172047352	0.00708916870075257	0.0066934662953525344	0.04485280533590726	0.03377034849217096	0.015268602507072493	0.005766534564596624	0.012334687286951432	0.08531584592925873	0.0031923651948835073	0.005206360487945727	0.013759994392983614	0.010161185446615352	0.0033637201133294493	0.0180327486090986	0.02367179758699396	0.0042524275335946845	0.0011958788177392986	0.024272366527329982	0.006336365524843773	0.008026484457720032	0.04174112149765462	0.006027025303938383	0.002070347229773378	0.0063033654662892425	0.003287429169388841	0.012818189371145655	0.003291447552299191
Tragi-comédie	0.004969490050267879	0.004145206777931221	0.00884039770982702	0.0010060370698964376	0.0005246078534108449	0.00570853988086295	0.005850346086194901	0.011280788754628812	0.0028171480676803386	0.009349864736758211	0.031011980432808863	0.00568931477040838	0.0003168425054500899	0.01439026906257751	0.004500581095035551	0.034842024692428676	0.02307224312844336	0.0017502215397672142	0.005119848679183391	0.013163419585905601	0.025575497392977133	0.05818821280585539	0.010290725797353663	0.0008896164693456659	0.010513754278264426	0.00414939521992182	0.014349241920627254	0.0007753816597035184	0.013110676543639803	0.009075941637368993	0.01781565354070926	0.004650866686920929	0.030520879130048025	0.01695175580625837	0.021741142873502074	0.0003144585419971281	0.012452935962540296	0.0013187798088606195	0.0239445822955021	0.010942194982388131	0.0028188127652761202	0.010831273149293826	0.016148871114038215	0.01954292671334202	0.01151433595503501	0.0043068245128231415	0.006320623036669312	0.0031820689053916893	0.0006073715840313958	0.016220707007453032	0.011410319506847554	0.018863185837747078	0.04978298726249727	0.010483474272953937	0.000613955535188358	0.11413162360027829	0.01098683126002309	0.005491772071888359	0.0008116892461650914	0.0009864723133637	0.0066058697785602374	0.004985586281723409	0.0004012551655492944	0.03826254488158256	0.006461732759812089	0.02481518933621711	0.0010841589189333855	0.01638093023815305	0.004649620798920577	0.0030817579018032563	0.002113616905109226	0.022875957359383595	0.028510222655682305	0.012803776589930201	0.010933760927713665	0.004456001001980847	0.0006288858688916655	0.0032683533612250875	0.012225612811710753	0.004478174973559357
Tragédie	0.0007329224790653011	0.0025071057271348705	0.013127417095162044	0.00020699249417626732	0.00023488329454375443	0.00013514549922514094	0.010278436436375323	0.011551432135451227	0.0008987390328425531	0.011530418285365503	0.011810735045594156	0.01588419130960931	0.00011208390517684608	0.022866861265771327	0.0015691731872932231	0.057150428017895466	0.022790755602667613	0.000599815430283297	0.038638529050612616	0.01086543864290346	0.023604685895476114	0.03873904224644492	0.01464698420479461	0.0006085367575125964	0.006192097030564122	0.0018942169108358811	0.0779623178171261	0.0034130844159897793	0.004706616817692124	0.0034225533018259016	0.014918360635631834	0.0046805276278021855	0.02425235099624959	0.01727781599744322	0.030634442409492896	0.00034053870079010236	0.006008865043363499	0.0002533119654693944	0.03229337872667533	0.025176838940870073	0.003665513086535142	0.011650847660750818	0.02571240136240706	0.047473267786903674	0.0022395417715818547	0.0012485409206608466	0.01884945431217813	0.0027645115860557754	0.00540683506621169	0.022045119275180058	0.017287464078067687	0.01596779698845658	0.03382733537496875	0.004719969692445782	0.0004619913158628675	0.02771977534884669	0.010490251590926997	0.004806585570877701	0.00024379630611921346	0.0009401014918735273	0.004281124426377144	0.005056770190088919	0.0004072359710038457	0.009439359472920591	0.0012152392647212364	0.011955161876434035	0.0015373091331622442	0.01257120484186671	0.007146351520415591	0.0040149216910444095	0.0007029741070205081	0.011636762651397686	0.06125137040118306	0.0019215121593192535	0.015050400016219587	0.0026958828745643586	0.00023286297087425888	0.0018543450305421728	0.02022732865329284	0.004762711781441186
