"tc0085" "tc0086" "tc0089" "tc0091" "tc0093" "tc0094" "tc0095" "tc0100" "tc0101" "tc0102" "tc0104" "tc0163" "tc0164" "tc0165" "tc0173" "tc0179" "tc0180" "tc0181" "tc0182" "tc0186" "tc0188" "tc0190" "tc0191" "tc0193" "tc0196" "tc0199" "tc0200" "tc0201" "tc0206" "tc0208" "tc0209" "tc0211" "tc0212" "tc0213" "tc0214" "tc0215" "tc0217" "tc0218" "tc0221" "tc0222" "tc0224" "tc0225" "tc0228" "tc0381" "tc0385" "tc0386" "tc0387" "tc0554" "tc0557" "tc0558" "tc0560" "tc0561" "tc0563" "tc0565" "tc0571" "tc0574" "tc0576" "tc0581" "tc0636" "tc0637" "tc0643" "tc0650" "tc0652" "tc0654" "tc0655" "tc0656" "tc0659" "tc0661" "tc0663" "tc0665" "tc0722" "tc0723" "tc0726" "tc0727" "tc0729" "tc0730" "tc0753" "tc0754" "tc0755" "tc0756"
"de" 3.04629682749125 3.29864519929315 2.87610619469027 2.52808988764045 3.11324697033013 3.21248525152848 2.66655590629673 2.96208530805687 2.75011853959222 3.36309952470114 2.54413640330268 2.85730199398463 3.05231706602613 3.01041603949666 2.84545821093255 2.91162846658245 3.06216565209371 2.90234328535744 2.86814140099761 2.78512142637565 2.98605316485874 3.03393692289243 2.57457184983554 2.73738237810094 3.05026622146016 2.6640970411518 2.68906528828995 2.56884728420594 3.25884543761639 2.44429286039109 2.54717500137536 2.51228836701256 2.34293113015599 2.92397660818713 2.25736037906618 2.72747472503055 2.29318009324515 2.81005704627086 2.76611651043763 2.86343612334802 2.77850179846739 2.67462304864404 2.57777777777778 2.83661816172407 2.83508498767354 2.83406171368031 2.66241267396446 3.8285378743394 3.01086762871905 3.2310567243354 3.10791366906475 3.00220988519377 3.24671427714097 3.51390922401171 3.04579117555022 3.16240319173903 3.79247572815534 2.92820987318348 2.40779891942683 2.87322707998245 2.36642172126043 2.98956801792341 2.69408472701243 2.8095802079221 2.92553191489362 3.25368248772504 2.83706925393108 2.81848138540279 2.32247081712062 2.67743020517995 3.70503338838228 2.98413144221317 2.71560543121086 2.91078543931924 2.49866460917562 3.10613224703572 3.12992260804055 3.65139085918707 3.0316091954023 2.93333333333333
"et" 2.40376341001664 2.51325348517573 2.35211923614346 1.96629213483146 2.3192645215211 2.72980800171619 2.47549426815086 3.00947867298578 2.68162899741847 3.16865908108887 2.46358327179969 2.79603430990309 2.87070127131056 2.96224938286471 2.73025747364783 2.74318715033387 3.50488839697473 3.15808255025574 2.53741054001301 2.94497387027359 2.88473000357611 3.00995323180237 2.86378586820914 2.87180740559697 2.85172818337695 2.26731663076749 1.83988677619839 2.30216610427778 1.97959679378188 1.7337426102774 2.29410793860373 1.32289580678439 2.07780997595413 2.3110661268556 1.87403503167758 1.94978335740473 2.55339911091836 2.1445172195225 2.49583069756743 2.01384518565135 2.22592920815305 1.89141669774628 2.35 2.58488364953644 2.0241339042429 2.76784531850086 2.90995104241157 3.07692307692308 2.57735019894293 3.12857917897402 2.92565947242206 2.28534468819059 2.98865750465102 2.30774593878547 2.48252842390737 3.1506688570758 2.30582524271845 3.22211941435803 1.56213295748179 2.49305454013745 1.77481629094532 2.21242035986837 2.05635452593219 2.28319515725753 1.96048632218845 1.88543371522095 2.68317162930746 2.11035546518965 1.84824902723735 2.98015472586613 2.69261147411503 2.26091841033563 2.30640461280923 2.41777537651111 2.5045996795062 2.95337164472248 2.76693377165948 2.50416332572627 2.67959770114943 2.24126984126984
"vous" 3.2585623314784 3.10229727076379 2.31718677224034 1.32958801498127 1.79690764730464 2.30076155743859 1.84416015949493 2.29067930489731 1.72804383330699 1.44750108022469 2.25548768208364 3.25832683524563 1.84545081727108 2.44445782407129 1.79713150164161 2.2077843951152 1.70325278238947 2.94992268347805 2.26089785296031 2.08422994159238 2.44367624269877 3.08790022784507 3.01122830894862 2.62128803617255 2.19294287519177 3.13456524203605 2.46138699156975 1.7252639599434 2.040320621812 3.06957708049113 1.88700005501458 3.22228290551611 2.80535174794994 2.44039586144849 2.66198157908747 2.78857904677258 2.87325165347501 2.81533910838791 3.42170337569728 2.01384518565135 1.99134650471772 2.15781341573872 1.72777777777778 1.89721864063363 1.66731542753341 0.893921334922527 1.1386764948567 2.09042865531415 2.19134152859433 3.35764663331123 2.71462829736211 2.25839486875438 2.88063373942267 2.75395663389807 3.28569938458329 3.32668387702417 3.00364077669903 3.6357698797148 2.184637068358 2.76356192425793 2.64042844688006 2.4924735699783 2.30363766512657 2.25687590472431 2.97112462006079 2.95253682487725 3.01104048176648 2.04024398794083 2.67509727626459 2.26707029936092 1.12012637323185 2.15559612413987 2.00880401760804 3.56588100222868 2.54614517182029 1.76765839819597 1.3149784261352 0.259051378523407 0.366379310344828 1.32063492063492
"je" 2.45539555963513 2.5525230708816 2.57335817419655 2.19101123595506 2.019779913637 1.61428724659444 1.91892340920419 1.41390205371248 1.9019019019019 1.41869508857842 1.97355172182319 1.82132115406038 1.12484621243189 1.34264555361551 1.94113242324751 2.15965830475847 1.30357252659411 1.5582252884501 1.57774886141835 1.95511835229019 1.85361783287639 1.82875644561698 2.47249631393898 1.83306855676402 1.38074181030593 2.26164833919057 2.00603039812935 1.34429084576031 1.53833697676302 2.21691678035471 1.60092424492491 2.06323199223254 2.46624329490104 2.40665766981556 2.36383964222968 2.22197533607377 2.15764935487369 2.06000422564969 1.62171487722123 1.56702328508496 1.41792211854246 1.56641270179551 1.26111111111111 1.63320439614416 1.56351368885429 1.50973381009138 1.95830353704824 2.06694069289489 1.7103153393907 3.1165229971668 2.2158273381295 2.45782353258233 2.05845285962912 2.67726417067559 2.82674454991134 2.4348744426191 2.2754854368932 2.07913786534589 1.67958656330749 1.80581956426378 2.27923776310873 1.66631660015403 2.6029804125724 2.36215291485722 2.92553191489362 2.06219312602291 2.38875878220141 2.22253382878777 2.62645914396887 1.77598385469223 2.70697206864364 2.56986378317652 2.55440510881022 2.94455325184035 3.00314558727521 1.51305739434058 1.43825765358537 1.24591377289829 1.07040229885057 2.24126984126984
"que" 1.97349549652917 1.82603573532299 2.15416860735911 1.89138576779026 1.88048474717927 1.70545961600343 1.91061638145871 1.99052132701422 1.62794373320689 1.55552354889817 1.83258374169296 2.16664810070179 1.769289354971 2.00493708230477 1.68769080122113 1.73253925284245 1.8262313226342 1.81991197811348 1.91390153979614 1.8014140793114 1.84169746096078 2.04460966542751 1.76930928887377 2.08358792618844 1.85001353668441 1.85353134565242 2.00603039812935 2.04636987046914 1.67192939842928 1.55184174624829 1.89800297078726 1.75981552278658 1.92366977002281 1.88933873144399 1.89533088431028 1.82757471392068 2.38534099533774 1.6110289457004 2.16228650296164 2.00125865324103 1.79846739300422 2.10453407214023 1.78333333333333 2.11825382206668 2.34202672894771 2.19838431995762 2.28285384234556 2.64239577216676 2.32792921194845 2.86334317921514 2.378896882494 2.09130598824988 1.79439476684871 2.76790071812034 2.69114425784917 2.01830556207463 2.92779126213592 1.87775540194851 2.04369274136716 1.84237461617195 1.84331797235023 2.03038577329693 2.10841413418364 1.86866692985919 2.17325227963526 1.84615384615385 2.06758113081298 1.43728528360093 1.53210116731518 1.99125462495796 1.96022115315574 1.5306838927117 1.90340380680761 2.05308300128318 2.19004095198528 2.02953371644722 1.62317649476063 1.7208413001912 1.75287356321839 1.55555555555556
"l" 2.11691813435833 1.80640094247006 1.51374010246856 1.72284644194757 1.38598690625435 1.64110264936179 1.6115633826217 1.5955766192733 1.67009114377535 1.45470257813625 1.76545613210714 1.95499610114738 1.66969359657859 1.81227045577699 2.14849375036 1.6182397882452 1.67865707434053 1.64148923516118 1.80004337453915 1.79526590839225 1.96686136607462 1.90070751888716 1.74662583645231 1.86361969937676 1.58830430466564 1.76850697199864 1.90142145098763 2.26951126591923 2.17796129868027 1.83606184629377 2.25009627551301 1.80229382850901 1.72020469819348 1.58569500674764 1.44279401586541 1.89978891234307 2.00585492789765 2.05472216353264 1.95525907182702 2.1019509125236 2.37710472814471 2.38158665885236 1.92777777777778 1.55952600233315 1.56351368885429 1.54946364719905 1.66675834754387 1.25660598943042 1.58560484589346 1.01271927180662 1.621103117506 1.42834043011912 1.39830762767809 1.1364428641149 1.08480233649734 1.41398732691856 0.986043689320388 1.47499047515376 2.12591026544515 2.10557098991081 1.54440154440154 1.81334453546174 1.71796707229778 1.80944861165943 1.67173252279635 1.78723404255319 1.49213783874205 1.56348594264881 1.77529182879377 1.5539858728557 1.83097580239822 1.56579132144362 1.6740033480067 1.33720537583575 1.40661166834827 1.33847384883975 1.92452571741662 1.46795781163264 1.40804597701149 1.22539682539683
"le" 1.83580976421318 1.39407029255841 1.24592454587797 2.07865168539326 1.49045828109765 1.71618577711037 1.7029406878219 1.51658767772512 2.04941783889152 1.56272504680974 2.10780694099483 1.30333073409825 1.68726931864784 1.31254139322054 1.90081216519786 1.6964446850749 2.01069913300129 1.7128583323421 1.96269789633485 1.40178296956655 1.79401597329837 1.40304592876844 1.61619598502892 1.83306855676402 1.48452305748579 1.25269243849904 1.62451541443603 2.03548492434962 1.66383288802526 1.99522510231924 2.10155691258183 1.65665392317495 1.44891793575436 1.59694107062528 1.51732950007986 1.58871236529275 1.64263254906213 1.72195225015846 1.67347173500489 1.90685966016362 2.00698535161341 1.96067984442432 1.68888888888889 2.29017007429238 2.27066303360581 1.86730234406039 1.86478904230156 1.46799765120376 1.30649088425678 1.5009946349991 1.00719424460432 1.47146014121705 1.29028386244974 1.42926863278254 1.38729529571294 1.51372917155597 1.42597087378641 1.49131878299679 1.62085976039464 1.58648925281474 1.31398679785777 1.63831127914304 1.73098197436064 1.76338991972628 1.54255319148936 1.57774140752864 1.59919705587153 1.65463086307229 1.86040856031128 2.4083417423478 1.97458174768435 1.98708046622665 2.18860437720875 1.68163706355102 1.40661166834827 1.68036662544555 1.36292034792138 1.58514772096466 1.83908045977011 1.75873015873016
"à" 2.036601457174 1.49224425682309 1.5836050302748 1.44194756554307 1.42777545619167 1.30859165504666 1.56172121614886 1.48499210110585 1.43301195932775 1.3610831052859 1.73189232731422 2.11095020608221 1.81615794715566 1.95677042567283 1.90657220206209 1.92504361426939 1.80778454159749 1.86749137623409 1.78919973975277 1.71533968644328 1.68673262605793 1.92469120997722 1.55948735397527 1.8697299278993 2.08464939987366 1.83652647092166 1.88296104855086 1.86132578643736 1.94316249696381 1.69963619827194 2.09055399680915 1.71126888767522 1.82502003822677 1.63067926225821 1.77820369483043 1.54982779691145 1.64805377859699 1.71667018804141 1.93800678589913 1.81875393329138 1.93921701506542 1.97666364750386 1.91111111111111 1.31393135629643 1.01206695212145 1.30446298503509 1.49623191594697 1.39753376394598 1.93004335174298 1.68183736210742 1.51558752997602 1.44451032178084 1.81840004801056 1.63145785400544 1.5333263794722 1.63107251818822 1.47148058252427 1.97572524900669 1.25675358233498 1.69615440853926 1.37626105368041 1.73632990268151 1.61384785579489 1.2172654296618 1.69452887537994 1.56464811783961 1.68618266978923 1.46532987450046 1.28891050583658 1.58762193070972 1.19910964313923 1.32706080606656 1.31440262880526 1.14810562571757 1.68555997388569 1.58580053829927 1.4040134237381 1.60365139085919 1.50862068965517 1.42222222222222
"il" 1.87596810280535 1.68859218535244 1.72333488588728 2.20973782771536 0.835770998746344 1.24423468840502 1.40388768898488 1.01895734597156 1.65428586481218 1.24585913870085 1.50365845472243 1.82689094352233 1.31817915519363 1.96279125775182 1.68769080122113 1.64230283342357 1.70325278238947 1.65338408469133 1.65365430492301 1.73378419920074 1.29932053880081 1.57093176639885 1.75229669955767 2.0652572406208 1.39427849472069 1.57011676680648 1.92603532090333 1.84499836725808 1.55048174236904 2.31355161437017 1.77697089728778 2.61544996662419 1.57223010049941 2.29982006297796 1.79949954746313 1.72758582379736 1.69684484441071 1.81702936826537 1.63896716314912 1.68030207677785 1.79846739300422 1.73157866695082 1.58333333333333 1.47970774237122 1.86843129622421 1.37067938021454 1.76027284229056 1.65590135055784 1.43713997268246 1.53716318042076 1.32374100719424 1.57386945507465 1.29028386244974 2.08464059122917 2.07572754772087 1.50786200422436 1.66868932038835 1.71447232351821 1.52689687573409 2.01783886533119 1.68763233279362 1.56829797661556 1.85462354395783 1.61863403079353 1.27659574468085 1.60392798690671 1.19103379056541 1.00960527238309 1.79961089494163 1.84998318197107 0.653407051051914 1.50961943547255 1.61200322400645 1.31019112581887 1.4303519496706 1.46941150796537 1.61632764879118 1.73934497008573 1.86781609195402 2.03809523809524
"est" 1.44570018931788 1.64932259964657 1.82813227759665 2.64044943820225 1.17007939824488 1.46412099109729 1.08822063465692 1.01895734597156 1.49623307518044 1.00820970761918 1.21500973350339 1.27548178678846 1.36504774737829 1.43295803480041 1.26144807326767 1.4016723816399 1.10065793519031 1.34411799690734 1.29581435697246 1.48785736243468 1.22183812134939 1.07926609905264 1.60485425881819 1.39313210314066 0.992690190416027 2.10860446661376 1.4399113900683 1.41504299553717 1.67597765363128 2.06343792633015 1.23232656654013 2.08750530978822 1.75103273937974 1.87246963562753 1.89000692115211 1.83312965226086 1.6588962376667 1.76420874709487 1.20190925297602 1.52297042164884 1.29802429234218 1.59305237359476 1.42222222222222 1.44900841161663 1.70624107953808 1.37730101973249 1.57874470542934 1.82031708749266 1.22335055525863 1.64566881668576 1.67865707434053 1.34210100792325 1.76438816539639 1.34560412744893 2.10701992281214 1.61933818352499 1.79004854368932 1.58928863005497 1.89100305379375 1.58648925281474 2.13600697471665 0.826156969824267 1.02166981193467 0.901434399263061 0.699088145896657 0.975450081833061 0.996988959518234 0.988571829208441 1.51994163424125 1.47998654557686 0.725210023694981 1.49557646397978 1.51900303800608 1.66137637603836 1.57279363760461 1.2802793336728 1.63687418669954 1.38160735212484 1.35057471264368 1.62539682539683
