 Boursault_Comédie_tc0086 Boursault_Comédie_tc0089 Boursault_Comédie_tc0091 Boursault_Tragédie_tc0085 BoyerC_Tragédie_tc0093 BoyerC_Tragédie_tc0094 BoyerC_Tragédie_tc0095 BoyerC_Tragédie_tc0100 BoyerC_Tragédie_tc0101 BoyerC_Tragédie_tc0102 BoyerC_Tragédie_tc0104 CorneilleP_Comédie_tc0179 CorneilleP_Comédie_tc0191 CorneilleP_Tragédie_tc0163 CorneilleP_Tragédie_tc0164 CorneilleP_Tragédie_tc0165 CorneilleP_Tragédie_tc0173 CorneilleP_Tragédie_tc0180 CorneilleP_Tragédie_tc0181 CorneilleP_Tragédie_tc0182 CorneilleP_Tragédie_tc0186 CorneilleP_Tragédie_tc0188 CorneilleP_Tragédie_tc0190 CorneilleP_Tragédie_tc0193 CorneilleP_Tragédie_tc0196 CorneilleT_Comédie_tc0199 CorneilleT_Comédie_tc0208 CorneilleT_Comédie_tc0211 CorneilleT_Comédie_tc0213 CorneilleT_Comédie_tc0214 CorneilleT_Comédie_tc0215 CorneilleT_Comédie_tc0217 CorneilleT_Comédie_tc0218 CorneilleT_Tragédie_tc0200 CorneilleT_Tragédie_tc0201 CorneilleT_Tragédie_tc0206 CorneilleT_Tragédie_tc0209 CorneilleT_Tragédie_tc0212 CorneilleT_Tragédie_tc0221 CorneilleT_Tragédie_tc0222 CorneilleT_Tragédie_tc0224 CorneilleT_Tragédie_tc0225 CorneilleT_Tragédie_tc0228 DuRyer_Tragédie_tc0381 DuRyer_Tragédie_tc0385 DuRyer_Tragédie_tc0386 DuRyer_Tragédie_tc0387 Molière_Comédie_tc0554 Molière_Comédie_tc0557 Molière_Comédie_tc0558 Molière_Comédie_tc0560 Molière_Comédie_tc0561 Molière_Comédie_tc0563 Molière_Comédie_tc0565 Molière_Comédie_tc0571 Molière_Comédie_tc0574 Molière_Comédie_tc0576 Molière_Comédie_tc0581 Quinault_Comédie_tc0643 Quinault_Tragédie_tc0636 Quinault_Tragédie_tc0637 Racine_Comédie_tc0663 Racine_Tragédie_tc0650 Racine_Tragédie_tc0652 Racine_Tragédie_tc0654 Racine_Tragédie_tc0655 Racine_Tragédie_tc0656 Racine_Tragédie_tc0659 Racine_Tragédie_tc0661 Racine_Tragédie_tc0665 Scarron_Comédie_tc0722 Scarron_Comédie_tc0723 Scarron_Comédie_tc0726 Scarron_Comédie_tc0727 Scarron_Comédie_tc0729 Scarron_Comédie_tc0730 TristanLHermite_Comédie_tc0756 TristanLHermite_Tragédie_tc0753 TristanLHermite_Tragédie_tc0754 TristanLHermite_Tragédie_tc0755
Boursault_Comédie_tc0086 0.0 1.211206617004902 1.235720880734704 1.3065335291485178 1.0820777424944201 1.04310755972768 1.04628413392651 1.0436465168858198 1.06415211344 1.0688007939104498 1.0375881909826299 0.96606738100603 0.9611113551829 1.0180568065226898 1.03667201207091 1.03577976435186 1.04917669027925 1.04756376526932 1.05046404194171 1.05274706442209 1.04064329672691 1.0597976516641099 1.06346524939101 1.0433521342254102 1.05013362962183 0.944661055439285 0.944825666886219 0.974034333262408 0.9756456608849341 0.972341889730479 0.9834795008985491 1.0181439234648102 0.981968759911398 1.05095080796312 1.0560954391515 1.0090850408099499 1.05830218230449 0.9893998948245519 1.02918729646529 1.0662764205326298 1.05242970324936 1.0531675857487701 1.05498354541695 1.03974403013229 1.05794431037683 1.0560683040418 1.04036064290572 0.992301800259439 1.02714485425991 0.9881688390103149 0.9287523110618999 0.967667147737615 0.9782635625828131 1.00267667915491 0.9715610179390842 0.958056261068206 0.9815925033463689 0.9396247320478479 0.9804384707477729 1.03897341807276 1.0383642559772799 0.951423892522129 1.06667747779027 1.07067347600174 1.0462646521964698 1.05074506975081 1.04942857536772 1.0446487216376101 1.07308082261473 1.06605454550119 0.9880699377404291 0.958360859861505 0.95763322842985 0.948184688248311 0.956585689987742 1.05536658864927 0.9527624411518649 1.0305673002389901 1.03723077440783 1.03501473096557
Boursault_Comédie_tc0089 1.211206617004902 0.0 1.2414067279508962 1.285291528812089 1.05396665582525 1.0303839877743102 1.0356696141856199 1.07218669281062 1.03140981826896 1.05970258278609 1.03459946247498 0.9776991893904 0.9745572143797429 1.03596892345915 1.04236052280004 1.05767539406291 1.01898380400408 1.0570331984385402 1.04273441134231 1.00953005030818 1.03649219339375 1.0469110088489 1.0723515171371099 1.05140251737791 1.0500433628920602 0.9662410381434859 0.9573569683058589 0.9609092506499329 0.944608324601465 0.983173473614929 0.9876979227591031 1.00144998128529 1.016923384844 1.02740034690789 1.0166806225985 1.0044724690262499 1.03127643529102 0.966295461388047 1.05051684665713 1.03257004020822 1.06426613081587 1.05312613720865 1.03265557921178 1.04776219540311 1.03408207043935 1.04565244023479 1.0165838208981401 1.0073990154991 1.04877078110531 1.00442243634847 0.979669724858021 0.9481132560624541 1.0255616259659301 1.0050028898986099 0.9645098656928749 1.02165564577261 1.0039747165951 1.006190315175 0.978859729473537 1.01650256943637 1.01944082809789 0.9846371218921421 1.06025522091696 1.04971714679838 1.04914798392812 1.0213589270045 1.0338408318212 1.06096977634472 1.03793992009113 1.06018085057493 0.980343074077874 0.949319799211899 0.946225336428542 0.962094022054477 0.945408842592767 1.0181666061741 0.95221922527316 1.03611308190418 1.02537933223712 1.02817883797267
Boursault_Comédie_tc0091 1.235720880734704 1.2414067279508962 0.0 1.323299544005358 1.10387380877672 1.02411260023772 1.0667700163597 1.0846451073964 1.06639478401287 1.09818419943724 1.05067800316617 0.9508904409739379 0.960382170913739 1.0538357199015 1.06789109174169 1.06568487429835 1.0545122893343701 1.09226091710928 1.06889361471883 1.05418608956568 1.0705025024184 1.0508555355331801 1.07570244984397 1.07083259227277 1.08083138035255 0.953881178573588 0.902895453320854 0.92544909886406 0.9436376479758051 0.9246149276518371 0.9371187989228629 1.03977442780153 0.9692029229725809 1.03727354923767 1.0647323567347702 1.04239608909899 1.0709417433256898 0.996931274921494 1.0689150447356601 1.08559949142672 1.0817215751559301 1.07306707706321 1.0807433650704898 1.08089684521314 1.06290510592722 1.03413656552986 1.0379773028992498 0.8321494879435171 1.0665940008903398 0.9298353937582778 0.949511783629071 0.962174893331843 0.9657399685982031 0.9213952904332141 0.9068614647425841 0.9517876555494592 0.9083791521446211 0.955911759370803 0.9440021092777661 1.0421649685287 1.06918272533454 0.931332454831633 1.09579962037338 1.06980650021143 1.06857877865588 1.06396711078194 1.070486862013 1.09516493028961 1.08564921265937 1.0737447694645101 1.01753784811184 0.942014425361283 0.9570097045656191 0.9360890167502021 0.927854108542992 1.04592325273532 0.929880103731781 1.04509272034989 1.00457566993589 1.02779132667613
Boursault_Tragédie_tc0085 1.3065335291485178 1.285291528812089 1.323299544005358 0.0 0.967157391850258 0.983672941384425 0.987713623870572 0.979906434868939 0.981668292886354 1.00264401105746 0.9702724944237758 1.0535385517582199 1.07088497545148 0.9786736419341999 1.01824741283284 0.9643710308205921 0.995843868966008 1.0085622723083298 1.0185790012067 0.990561455207019 0.967814170640118 0.9782117561599151 0.958119346318527 0.9259081054928209 1.00797091011794 1.02304883317298 1.03804077119215 1.03832101340927 1.0096932220836898 1.07103450338026 1.03883620826923 0.9411402925589379 1.02824152406334 0.90024760680004 0.9598957961941958 0.997715746891966 0.9694695088451619 1.0103392839518701 0.953367241110577 0.915269813363045 0.9427808335182759 0.933965450706417 0.9583994263099301 1.0473936549011 1.03923620096736 1.03444585088619 1.0063242652659001 1.0999937961133999 0.974117526761358 1.08623436328729 1.0655086326776801 1.09005802324974 1.04871120758461 1.09004059652778 1.09667735879885 1.0496276389880401 1.1052733906343999 1.06359104872226 1.03253593669974 0.985420809664374 0.9250733685495269 1.08929607940945 0.958334766581346 0.9504508920934119 0.96610539297673 0.944606774283472 0.9303686153642491 0.991599111646256 0.995509216065337 0.9960608209152589 1.0586773997805201 1.05891530883919 1.04830561307653 1.07365782794776 1.07846210246166 0.98796297727637 1.10274429832889 1.05414366550205 1.05997164147879 1.06146990960534
BoyerC_Tragédie_tc0093 1.0820777424944201 1.05396665582525 1.10387380877672 0.967157391850258 0.0 1.1703073004655349 1.1354504971968609 1.1771043682577509 1.1832215698521171 1.122161529574018 1.20293972746978 1.1177758290181101 1.14946453706343 1.05834086595664 0.9600317018865859 0.9843790850387379 1.01024372877363 0.951871567070107 1.01939224607573 0.9690520761832979 0.991726786433164 0.9566700725695529 0.98147269028064 1.02989567529267 0.959123749505163 1.12985868769413 1.1078159186663301 1.1096183939741202 1.11523858097082 1.11985706753461 1.11375272184795 1.0159638112538198 1.0876187082428401 0.978845819858012 1.00695416852744 0.9962759170540879 1.0195533865675999 1.08777729888286 1.01060738513099 0.9232682312417979 0.967306119607396 0.9769665433535959 0.9934960280260201 0.9505016491014029 0.9589610306895558 0.996459956405072 0.996649944498294 1.10723413993403 1.00814459970147 1.1129048443943201 1.0766988464936 1.1118454255616599 1.07350178564502 1.09581617120139 1.12671221809968 1.09729380698221 1.10436716502444 1.09326157130629 1.07240335953099 0.9620917304171871 0.968781646771558 1.07406923842126 0.920907331837073 0.807903867297689 0.9141335953724399 0.900919076484563 0.91093482234296 0.8550228481867729 0.804692940338629 0.9331900835494571 0.987415460404398 1.10144034369975 1.07456500248509 1.1149330841254699 1.11091396474018 0.959959609395439 1.08636858975076 0.984934634814678 1.0092036055043498 1.00404558641066
BoyerC_Tragédie_tc0094 1.04310755972768 1.0303839877743102 1.02411260023772 0.983672941384425 1.1703073004655349 0.0 1.1954157844338171 1.249643893404728 1.156096701088865 1.204536425656285 1.197157057002992 1.04065046889623 1.04532769053333 1.0025701730613699 0.920665803765091 0.994197134248741 1.0099333855053498 1.02510762890021 1.03167306292315 1.00787543903387 1.0042815016772701 1.0057898320099201 1.01931971086175 0.9756386116237942 0.8973573615815459 1.02757907550331 1.059361176004 1.07676698504643 1.02908952720131 1.0603976547223801 1.06615596485271 1.02198949179294 0.964171051826118 0.992315578810693 0.9833863532658729 0.8677726260488591 0.9945165138260341 0.9924202349942001 1.0139228192371899 1.0071730722501 1.00032160773064 0.988119310945867 0.988595973453332 1.00303173619254 0.9935602217378778 1.0341990756895099 1.00819614659802 1.071785908134 0.968410938587706 1.06657935336849 1.04790601383595 1.07532215789156 1.0093695887132799 1.11123754462192 1.09166125736326 1.0230865127779398 1.0419889961908901 1.04555630633304 1.01525228593348 0.887258466585302 1.00490202994889 1.0715629420764898 0.9830225562170659 1.02492154122677 1.02855872084333 1.01374402974518 1.00537129318839 1.03231216786964 0.983847259104541 1.03110768553628 0.949378634269491 1.05499511063082 1.05202056490861 1.07494811205107 1.0736884594932299 0.9972697780811991 1.07435216825373 1.03253850210476 1.04081219379071 1.01667708562868
BoyerC_Tragédie_tc0095 1.04628413392651 1.0356696141856199 1.0667700163597 0.987713623870572 1.1354504971968609 1.1954157844338171 0.0 1.0453610702490672 1.1719079057724588 1.057179114793728 1.1510081709492082 1.07753706053589 1.0776876510161701 1.0478858146699301 0.9441903933873209 1.02610786421927 0.9978405111456221 0.9338255539001569 1.01124756023591 0.95694947514853 0.924276225287247 0.9543211849893349 1.00313597507921 1.0521445082374599 0.9946962764604971 1.07617039248622 1.1092926464376598 1.1145150865074498 1.08072092949537 1.1157282817650602 1.10534204244815 0.9950381311637659 1.11442205453557 1.01015887263585 0.98098751912609 1.0555878090868 0.9866656222348191 1.03068752607535 1.02208156651105 0.959814490730755 1.00674292741937 0.991267747774453 0.970376330403793 0.9615305264303801 0.906497853191965 0.9101450935266528 0.942216391375207 1.09875105736176 1.0278569054253701 1.09280343904683 1.09500896146973 1.07324250712327 1.1154364143701998 1.09928238474273 1.1037835184440101 1.1208938475241499 1.08815810993045 1.13147569503753 1.11908062758638 0.977196815563381 0.9882656558831541 1.08359398002449 0.9645423628440791 0.948709282607698 0.9775190317691099 0.9855636351898309 1.0089687905362401 0.9848899682096851 0.95436884594063 0.9165327730797859 1.00055286638751 1.0722708875298002 1.04575849320593 1.08908314280908 1.08385564978293 0.957089750030587 1.08184956117037 0.9824307841312321 1.0118929622621 1.0013827721467399
BoyerC_Tragédie_tc0100 1.0436465168858198 1.07218669281062 1.0846451073964 0.979906434868939 1.1771043682577509 1.249643893404728 1.0453610702490672 0.0 1.173476740411349 1.0535696795052178 1.1532227665469938 1.10712466221825 1.0836781514367901 1.02448819564991 0.9573771484839259 0.9854312101169409 0.964284029139996 0.932219801781698 0.989144716409608 0.9757621691091051 0.938822131309405 0.911200960731232 1.014103787659 1.05386042614317 1.00308606242823 1.10222071413074 1.1378650553582699 1.12568553857106 1.08937683616892 1.1058828394388 1.11256353756651 0.967386078400085 1.0879161340902201 1.0304344105803198 0.985562585398328 1.04516637070089 0.982683866540173 1.05250266770915 0.9896283674746229 0.9673185642986079 0.9730445938204878 0.990275509164889 0.94606705075794 0.9371593508339999 0.904388932046512 0.9056910799298191 0.978734418937821 1.08075051666942 1.00830771815823 1.0594650644944 1.08085421919394 1.0828201832181301 1.07197020890019 1.07787450879047 1.0838843194998802 1.0916644062354999 1.06417275054799 1.0929774605992 1.12478860472369 0.997083525698905 1.0023288377603201 1.08407565936627 0.9840251552094671 0.9832824583763771 1.02530238192563 1.0057515197451 0.977785919594374 0.970536785766408 0.9686575689772192 0.917640398095396 1.01366817110571 1.10282713779378 1.0590452524926 1.0941463738042099 1.08300960422687 0.957213750056541 1.09345730004281 0.954108224529155 0.9781542147781551 1.00010314311925
BoyerC_Tragédie_tc0101 1.06415211344 1.03140981826896 1.06639478401287 0.981668292886354 1.1832215698521171 1.156096701088865 1.1719079057724588 1.173476740411349 0.0 1.155587235401084 1.1187085736107338 1.0799111593918 1.08853600573662 1.0411691119500601 1.01597597312895 1.0086300592512298 0.8728451424799201 0.990090886427775 0.992693310098888 0.951029559129375 0.9905893274975991 0.9433632180068521 1.014166402089 0.9872981285496479 1.0302645806357098 1.06885346903422 1.1078525876090901 1.07870550995788 1.04670186335479 1.09391670399307 1.06172161844463 0.931309800332448 1.09482027328113 0.9944964359463578 0.923663950771223 1.0570369924195 0.865885986040735 1.01450915838626 0.984332579731767 0.9868556318687421 0.911726015047465 0.8915061660463901 0.938053739593176 0.983032904442067 0.947617035617333 0.974674498238402 0.9536362191471559 1.07478030873116 0.9800939498552379 1.09910145666748 1.09531184243644 1.07606733823688 1.088186444141 1.0792993533294 1.1117221677067501 1.07295391075757 1.08936498760526 1.08377339922146 1.06933703500896 0.9982170653252008 0.9472451487423029 1.08759632197805 0.998576831631179 1.0054062534927701 0.9797927411134151 1.03471828761208 0.9989903540114659 0.986299166946259 0.981048929859801 0.9724901538180479 1.03216042590454 1.0888727764511 1.03433869133648 1.10723538635996 1.08708354957403 0.984818525232254 1.0767874025011601 1.0100067434272602 0.9911297493664509 1.00869357253697
BoyerC_Tragédie_tc0102 1.0688007939104498 1.05970258278609 1.09818419943724 1.00264401105746 1.122161529574018 1.204536425656285 1.057179114793728 1.0535696795052178 1.155587235401084 0.0 1.176686283490528 1.0854512944216 1.07375931808587 1.0618752486096 0.957625727574315 0.982512792187808 0.981958216136803 0.8853140032399109 1.01298872211359 0.9600057207908951 0.9373214064169781 0.9602037365405899 0.988558015015802 1.04808669326608 0.9983490234659019 1.09342236798979 1.1379042446115502 1.12959417089997 1.11148410796221 1.10831667118243 1.1261383301978503 0.9810808564222472 1.11621330586285 1.04315895100958 1.00607453801008 1.04003854295345 1.02649508575303 1.07464580234944 1.00046591691779 0.980765786006908 1.01510509922976 1.0434310728240601 0.9829344107389221 0.9442697267550029 0.903971021084504 0.8904685901495171 0.9518015720479142 1.0932937503814 0.996690855556618 1.09867202636955 1.10428717689964 1.07221968308159 1.0870228851466601 1.08810807709448 1.09186660450653 1.09641866730913 1.09528944445064 1.1013640337971202 1.1122372702586498 0.994492651581202 1.0056332259273 1.09579330396899 0.9087006965573942 0.995705925869952 0.9952893046492008 0.983540694267482 0.990201280241317 0.944310400545508 0.9534927283058491 0.9511119304291781 0.9692855575567291 1.08065170954272 1.0478226289922101 1.1017514019159 1.0912331430615 0.970161298242915 1.08507506009032 0.933975801002678 0.9630752507205591 0.92666969735458
