,idno,language,author-continent,author-country,author-name,title,year,subgenre_hist,subgenre_x,decade
np0001,np0001,Portuguese,Europe,Portugal,Macedo,ChristaoNovo,1876,historical,historical,1870
np0002,np0002,Portuguese,Europe,Portugal,Braga,Viriato,1904,historical,historical,1900
np0003,np0003,Portuguese,Europe,Portugal,Pimentel,AnnelMysterioso,1873,historical,historical,1870
np0004,np0004,Portuguese,Europe,Portugal,Queiros,Maias,1888,not_historical,realist,1880
np0005,np0005,Portuguese,Europe,Portugal,Campos,FilhaCabinda,1873,not_historical,social,1870
np0006,np0006,Portuguese,Europe,Portugal,Dinis,FamiliaIngleza,1868,not_historical,social,1860
np0007,np0007,Portuguese,Europe,Portugal,Herculano,EuricoPresbitero,1844,historical,historical,1840
np0008,np0008,Portuguese,Europe,Portugal,Brandão,PeroCovilhan,1897,historical,historical,1890
np0009,np0009,Portuguese,Europe,Portugal,CasteloBranco,AmorPerdicao,1862,not_historical,sentimental,1860
np0010,np0010,Portuguese,Europe,Portugal,CasteloBranco,BrilhantesBrasileiro,1869,not_historical,sentimental,1860
np0011,np0011,Portuguese,Europe,Portugal,Herculano,OBobo,1843,historical,historical,1840
np0012,np0012,Portuguese,Europe,Portugal,Mascarenhas,MariaFonte,1873,historical,historical,1870
np0013,np0013,Portuguese,Europe,Portugal,CasteloBranco,OJudeu,1866,historical,historical,1860
np0014,np0014,Portuguese,Europe,Portugal,CamposJunior,AlaNamorados,1905,historical,historical,1900
np0015,np0015,Portuguese,Europe,Portugal,CasteloBranco,CaveiraMartir,1876,historical,historical,1870
np0016,np0016,Portuguese,Europe,Portugal,CasteloBranco,BrasileiraPrazins,1882,not_historical,social,1880
np0017,np0017,Portuguese,Europe,Portugal,Garrett,ViagensTerraI,1846,not_historical,social,1840
np0018,np0018,Portuguese,Europe,Portugal,Queiros,CidadeSerras,1901,not_historical,social,1900
np0019,np0019,Portuguese,Europe,Portugal,Dinis,PupilasSenhorReitor,1866,not_historical,sentimental,1860
np0020,np0020,Portuguese,Europe,Portugal,Botelho,Amanha,1901,not_historical,social,1900
