,idno,idno,length,author-name,author-gender,title,year,supergenre,genre,subgenre,genre-label,genre-subtitle,narration,availability,setting,protagonist-gender,author-country,author-continent,narrator,decade
rd0323,rd0323,rd0323,32516,Allais,male,AffaireBlaireau,1899,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1890s
rd0343,rd0343,rd0343,50334,Dombre,female,PupilleGenante,1890,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1890s
rd0344,rd0344,rd0344,24996,Dombre,female,Folla,1889,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0345,rd0345,rd0345,40968,Dombre,female,Nounou,1890,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1890s
rd0346,rd0346,rd0346,52074,Fleuriot,female,TranquilleTourbillon,1880,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0347,rd0347,rd0347,35074,Fleuriot,female,EnfantGate,1877,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0348,rd0348,rd0348,38019,Fleuriot,female,Conge,1874,narrative,novel,blanche,n.av.,n.av.,autodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0349,rd0349,rd0349,45438,Fleuriot,female,BoucheEnCoeur,1882,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0350,rd0350,rd0350,64182,Fleuriot,female,Alberte,1881,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0364,rd0364,rd0364,43384,Gautier,male,RomanMomie,1858,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0365,rd0365,rd0365,198628,Gautier,male,CapitaineFracasse,1863,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0366,rd0366,rd0366,99206,Gautier,male,MlleMaupin,1835,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1830s
rd0367,rd0367,rd0367,45268,Gouraud,male,ChezGrandMere,1882,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0368,rd0368,rd0368,39173,Gouraud,male,AllerRetour,1880,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0369,rd0369,rd0369,45699,Gouraud,male,QuandGrande,1888,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0370,rd0370,rd0370,45437,Gouraud,male,FillesProfesseur,1876,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0371,rd0371,rd0371,46508,Gouraud,male,QuatrePiecesOr,1874,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0372,rd0372,rd0372,46130,Gouraud,male,LivreMaman,1872,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0373,rd0373,rd0373,53085,Gouraud,male,PetiteMaitresse,1884,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0374,rd0374,rd0374,39612,Gouraud,male,EnfantGuide,1868,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0375,rd0375,rd0375,46105,Gouraud,male,PetiteGrande,1873,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0376,rd0376,rd0376,42226,Gouraud,male,EnfantsFerme,1869,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0377,rd0377,rd0377,58793,Gouraud,male,CousineMarie,1878,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0378,rd0378,rd0378,31092,Gouraud,male,VieuxChateau,1884,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0379,rd0379,rd0379,43341,Gouraud,male,PetitColporteur,1867,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0380,rd0380,rd0380,42499,Gouraud,male,MemoiresCaniche,1866,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0382,rd0382,rd0382,68664,Huysmans,male,SoeursVatard,1879,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0402,rd0402,rd0402,58199,Loti,male,PecheurIslande,1886,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0403,rd0403,rd0403,73710,Loti,male,FrereYves,1883,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0404,rd0404,rd0404,53193,Loti,male,RomanEnfant,1890,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1890s
rd0405,rd0405,rd0405,38827,Loti,male,Matelot,1893,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1890s
rd0407,rd0407,rd0407,113945,Malot,male,Cara,1878,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0408,rd0408,rd0408,108279,Malot,male,Zyte,1886,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0409,rd0409,rd0409,70234,Malot,male,RomainKalbris,1869,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0410,rd0410,rd0410,123733,Malot,male,SansFamille,1878,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0411,rd0411,rd0411,94455,Malot,male,Ghislaine,1887,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0412,rd0412,rd0412,73895,Malot,male,MariageJuliette,1874,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0413,rd0413,rd0413,85280,Malot,male,FemmeArgent,1881,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0414,rd0414,rd0414,106444,Malot,male,EnFamille,1893,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1890s
rd0415,rd0415,rd0415,105745,Malot,male,Conscience,1888,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0416,rd0416,rd0416,49431,Malot,male,ClotildeMartory,1873,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0417,rd0417,rd0417,91578,Malot,male,BelleMere,1874,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0418,rd0418,rd0418,91892,Malot,male,Anie,1891,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1890s
rd0419,rd0419,rd0419,99684,Malot,male,Baccara,1886,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0420,rd0420,rd0420,46775,Malot,male,BonneAffaire,1870,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0421,rd0421,rd0421,75813,Mary,male,FillesPocharde,1898,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1890s
rd0422,rd0422,rd0422,81451,Mary,male,Pocharde,1898,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1890s
rd0423,rd0423,rd0423,54372,Mary,male,RogerLaHonte,1886,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0424,rd0424,rd0424,253834,Mary,male,RevancheRoger1,1889,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0426,rd0426,rd0426,60933,Mirbeau,male,Marechale,1883,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0440,rd0440,rd0440,54923,Sand,female,Teverino,1845,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0441,rd0441,rd0441,57995,Sand,female,Simon,1836,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1830s
rd0442,rd0442,rd0442,109720,Sand,female,Rudolstadt2,1843,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0443,rd0443,rd0443,109139,Sand,female,Rudolstadt1,1843,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0444,rd0444,rd0444,157099,Sand,female,PecheAntoine,1845,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0445,rd0445,rd0445,101838,Sand,female,Nanon,1872,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0446,rd0446,rd0446,119197,Sand,female,MeunierAngibault,1845,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0447,rd0447,rd0447,24675,Sand,female,Marianne,1875,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0448,rd0448,rd0448,39716,Sand,female,MareDiable,1846,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0449,rd0449,rd0449,133447,Sand,female,MaitresSonneurs,1853,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0450,rd0450,rd0450,87366,Sand,female,LucreziaFloriani,1846,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0452,rd0452,rd0452,111090,Sand,female,Jeanne,1844,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0453,rd0453,rd0453,111656,Sand,female,Lelia,1833,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1830s
rd0454,rd0454,rd0454,133212,Sand,female,Horace,1841,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0455,rd0455,rd0455,42175,Sand,female,Francia,1871,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0456,rd0456,rd0456,68096,Sand,female,ElleLui,1859,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0457,rd0457,rd0457,32685,Sand,female,DamesVertes,1857,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0458,rd0458,rd0458,88163,Sand,female,DernierAmour,1866,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0459,rd0459,rd0459,130872,Sand,female,Consuelo3,1842,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0460,rd0460,rd0460,116276,Sand,female,Consuelo2,1842,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0461,rd0461,rd0461,111722,Sand,female,Consuelo1,1842,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0462,rd0462,rd0462,54450,Sand,female,ChateauDesertes,1851,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0463,rd0463,rd0463,66811,Sand,female,Andre,1835,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1830s
rd0464,rd0464,rd0464,100724,Sand,female,Valentine,1832,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1830s
rd0465,rd0465,rd0465,66652,Sand,female,SecretaireIntime,1834,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1830s
rd0467,rd0467,rd0467,45886,Sand,female,MaitresMosaistes,1837,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1830s
rd0468,rd0468,rd0468,122968,Sand,female,Mauprat,1837,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1830s
rd0469,rd0469,rd0469,51368,Sand,female,LeoneLeoni,1834,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1830s
rd0470,rd0470,rd0470,98450,Sand,female,Indiana,1832,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1830s
rd0471,rd0471,rd0471,51991,Sand,female,FrancoisChampi,1848,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0472,rd0472,rd0472,61897,Sand,female,PetiteFadette,1849,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0473,rd0473,rd0473,66690,Sand,female,DerniereAldini,1837,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1830s
rd0474,rd0474,rd0474,89025,Sand,female,Compagnon,1840,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0475,rd0475,rd0475,48861,Stolz,female,ViolenceBonté,1888,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0476,rd0476,rd0476,52090,Stolz,female,MaisonRoulante,1869,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0477,rd0477,rd0477,41774,Stolz,female,DeuxReines,1881,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0478,rd0478,rd0478,47245,Stolz,female,PochesOncle,1874,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0479,rd0479,rd0479,49170,Stolz,female,TresorNanette,1872,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0480,rd0480,rd0480,52126,Stolz,female,MaisonBlanche,1884,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0481,rd0481,rd0481,53062,Stolz,female,Mesaventures,1881,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0482,rd0482,rd0482,49148,Stolz,female,SecretLaurent,1878,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0483,rd0483,rd0483,55055,Stolz,female,FamilleCoquelicot,1892,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1890s
rd0484,rd0484,rd0484,55725,Stolz,female,DessusHaie,1874,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0485,rd0485,rd0485,49100,Stolz,female,BlancheNoire,1872,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0561,rd0561,rd0561,19326,Balzac,male,FausseMaitresse,1842,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,restricted,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0562,rd0562,rd0562,42269,Balzac,male,AlbertSavarus,1842,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,restricted,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0563,rd0563,rd0563,83667,Balzac,male,MemoiresJeunesMariees,1841,narrative,novel,blanche,mémoires,n.av.,epistolary,restricted,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0564,rd0564,rd0564,94589,Balzac,male,ModesteMignon,1844,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,restricted,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0565,rd0565,rd0565,59627,Balzac,male,DebutVie,1842,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,restricted,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0566,rd0566,rd0566,84807,Balzac,male,UrsuleMirouet,1841,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,restricted,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0567,rd0567,rd0567,52712,Balzac,male,Pierrette,1840,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,restricted,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0568,rd0568,rd0568,21365,Balzac,male,Comediens,1845,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,restricted,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0569,rd0569,rd0569,154354,Balzac,male,CousineBette,1846,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,restricted,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0570,rd0570,rd0570,111045,Balzac,male,CousinPons,1847,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,restricted,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0571,rd0571,rd0571,75560,Balzac,male,TenebreuseAffaire,1841,narrative,novel,policier,n.av.,n.av.,heterodiegetic,restricted,rural,mixed,n.av.,n.av.,n.av.,1840s
rd0572,rd0572,rd0572,93198,Balzac,male,CureVillage,1841,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,restricted,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0605,rd0605,rd0605,136997,FevalPP,male,CavalierFortune,1868,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0606,rd0606,rd0606,39085,FevalPP,male,ChevalierTenebre,1861,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0607,rd0607,rd0607,103084,FevalPP,male,ErrantsNuit,1857,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0608,rd0608,rd0608,81973,FevalPP,male,FanfaronsRoi,1843,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0609,rd0609,rd0609,81323,FevalPP,male,FeeGreves,1850,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0610,rd0610,rd0610,195050,FevalPP,male,FilsDiable1,1846,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0611,rd0611,rd0611,172855,FevalPP,male,HabitsNoirs2Coeur,1865,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0612,rd0612,rd0612,79709,FevalPP,male,HabitsNoirs4Arme,1869,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,n.av.,male,n.av.,n.av.,n.av.,1860s
rd0613,rd0613,rd0613,48528,FevalPP,male,HistoireRevenants,1881,narrative,novel,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0614,rd0614,rd0614,48300,FevalPP,male,HommeSansBras,1881,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0615,rd0615,rd0615,80149,FevalPP,male,LoupBlanc,1843,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,rural,male,n.av.,n.av.,n.av.,1840s
rd0616,rd0616,rd0616,66916,FevalPP,male,Louve2,1856,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,n.av.,female,n.av.,n.av.,n.av.,1850s
rd0617,rd0617,rd0617,352881,FevalPP,male,MadameGilBlas,1856,narrative,novel,blanche,n.av.,souvenirs et aventures,homodiegetic,publicdomain,n.av.,female,n.av.,n.av.,n.av.,1850s
rd0618,rd0618,rd0618,153436,FevalPP,male,MaisonPilate,1859,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0620,rd0620,rd0620,125830,FevalPP,male,MysteresLondres1,1843,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,urban,n.av.,n.av.,n.av.,n.av.,1840s
rd0621,rd0621,rd0621,93589,FevalPP,male,Quittance1Heritiere,1846,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0622,rd0622,rd0622,88896,FevalPP,male,Quittance2Galerie,1846,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0623,rd0623,rd0623,97666,FevalPP,male,ReineEpees,1852,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,n.av.,male,n.av.,n.av.,n.av.,1850s
rd0624,rd0624,rd0624,139812,FevalPP,male,RoiGueux,1859,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0625,rd0625,rd0625,45187,FevalPP,male,VilleVampire,1875,narrative,novel,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0627,rd0627,rd0627,138675,FevalPP,male,MysteresLondres2,1843,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0628,rd0628,rd0628,173763,FevalPP,male,MysteresLondres3,1843,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,n.av.,n.av.,n.av.,n.av.,1840s
rd0629,rd0629,rd0629,127005,FevalPP,male,Diable2Proces,1862,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0630,rd0630,rd0630,210515,FevalPP,male,HabitsNoirs1,1863,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0631,rd0631,rd0631,97182,FevalPP,male,HabitsNoirs5Maman,1869,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0632,rd0632,rd0632,135824,FevalPP,male,HabitsNoirs3Rue,1868,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0633,rd0633,rd0633,225845,FevalPP,male,Bossu,1857,narrative,novel,blanche,cape_et_épée,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0634,rd0634,rd0634,284706,FevalPP,male,JeanDiable1,1862,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0635,rd0635,rd0635,178197,FevalPP,male,HabitsNoirs7Compagnons,1872,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0636,rd0636,rd0636,53820,FevalPP,male,Louve1,1855,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0637,rd0637,rd0637,152377,FevalPP,male,HabitsNoirs6Avaleur,1867,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0638,rd0638,rd0638,68965,Huysmans,male,SœursVatard,1879,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,urban,female,n.av.,n.av.,n.av.,1870s
rd0640,rd0640,rd0640,68417,Huysmans,male,ARebours,1884,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,n.av.,male,n.av.,n.av.,n.av.,1880s
rd0641,rd0641,rd0641,119314,Hugo,male,Miserables1Fantine,1862,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1860s
rd0642,rd0642,rd0642,103630,Hugo,male,Miserables2Cosette,1862,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1860s
rd0643,rd0643,rd0643,91472,Hugo,male,Miserables3Marius,1862,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1860s
rd0644,rd0644,rd0644,129809,Hugo,male,Miserables4Idylle,1862,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1860s
