,idno,idno,length,author-name,author-gender,title,year,supergenre,genre,subgenre,genre-label,genre-subtitle,narration,availability,setting,protagonist-gender,author-country,author-continent,narrator,decade
rd0035,rd0035,rd0035,78529,ErckChat,male,HistoirePaysan4,1869,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0036,rd0036,rd0036,71513,ErckChat,male,Invasion,1862,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0037,rd0037,rd0037,58840,ErckChat,male,MadameTherese,1863,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0038,rd0038,rd0038,81301,ErckChat,male,Waterloo,1865,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0039,rd0039,rd0039,93244,Flaubert,male,BouvardPecuchet,1881,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0040,rd0040,rd0040,120120,Flaubert,male,MadameBovary,1857,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0041,rd0041,rd0041,149808,Flaubert,male,Education,1869,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0042,rd0042,rd0042,105393,Flaubert,male,Sallambo,1862,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0043,rd0043,rd0043,53823,Loti,male,Aziyade,1879,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0044,rd0044,rd0044,44693,Loti,male,Figures,1898,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1890s
rd0045,rd0045,rd0045,48074,Loti,male,MadameChrysantheme,1887,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0046,rd0046,rd0046,48748,Loti,male,MariageLoti,1882,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0047,rd0047,rd0047,73696,Loti,male,MonFrereYves,1883,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0049,rd0049,rd0049,57946,Loti,male,Ramuntcho,1897,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1890s
rd0050,rd0050,rd0050,53192,Loti,male,RomanEnfant,1890,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1890s
rd0051,rd0051,rd0051,49136,Loti,male,RomanSpahi,1881,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0052,rd0052,rd0052,111185,Maupassant,male,BelAmi,1885,narrative,novel,blanche,Gesellschaftsroman,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0053,rd0053,rd0053,75584,Maupassant,male,FortMort,1889,narrative,novel,blanche,Gesellschaftsroman,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0054,rd0054,rd0054,84731,Maupassant,male,MontOriol,1887,narrative,novel,blanche,Gesellschaftsroman,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0055,rd0055,rd0055,45440,Maupassant,male,PierreJean,1888,narrative,novel,blanche,Bildungsroman,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0056,rd0056,rd0056,77336,Maupassant,male,UneVie,1883,narrative,novel,blanche,Bildungsroman,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0057,rd0057,rd0057,136378,Zola,male,BeteHumaine,1890,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,rural,male,n.av.,n.av.,n.av.,1890s
rd0058,rd0058,rd0058,177151,Zola,male,Germinal,1885,narrative,novel,blanche,Gesellschaftsroman,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0059,rd0059,rd0059,151940,Zola,male,Nana,1885,narrative,novel,blanche,Gesellschaftsroman,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0060,rd0060,rd0060,141315,Zola,male,Oeuvre,1886,narrative,novel,blanche,Künstlerroman,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0061,rd0061,rd0061,118215,Zola,male,VentreParis,1873,narrative,novel,blanche,Gesellschaftsroman,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0081,rd0081,rd0081,63446,Verne,male,ArchipelFeu,1884,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0082,rd0082,rd0082,59192,Verne,male,AutourLune,1869,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0083,rd0083,rd0083,70088,Verne,male,AventureTroisRusses,1872,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0084,rd0084,rd0084,51414,Verne,male,BilletLoterie,1886,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0086,rd0086,rd0086,144172,Verne,male,CapitaineHatteras,1866,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0087,rd0087,rd0087,124723,Verne,male,CapitaineQuinzeAns,1878,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0088,rd0088,rd0088,57087,Verne,male,Chancellor,1875,narrative,novel,blanche,journal,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0091,rd0091,rd0091,54975,Verne,male,ChateauCarpathes,1892,narrative,novel,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1890s
