idno,acts,scenes,roles
tc0001,5,26,7
tc0007,3,49,13
tc0025,4,23,21
tc0027,3,20,15
tc0030,4,44,10
tc0034,5,27,13
tc0035,5,23,14
tc0037,5,21,10
tc0039,3,40,12
tc0047,5,36,9
tc0048,5,28,16
tc0051,5,50,9
tc0053,5,50,9
tc0054,5,42,7
tc0055,3,29,11
tc0058,5,32,21
tc0059,6,39,15
tc0061,5,21,8
tc0063,5,32,12
tc0065,3,20,8
tc0069,5,38,10
tc0070,6,40,28
tc0071,5,23,9
tc0072,5,32,10
tc0073,5,39,9
tc0074,5,36,9
tc0076,5,23,11
tc0077,5,30,10
tc0078,5,24,11
tc0079,5,32,9
tc0080,5,43,11
tc0082,3,26,10
tc0083,6,59,12
tc0084,6,34,29
tc0086,5,33,8
tc0087,5,31,10
tc0088,5,45,13
tc0089,5,36,11
tc0090,5,31,10
tc0091,5,31,11
tc0116,5,31,9
tc0120,5,31,11
tc0125,3,23,24
tc0126,5,28,9
tc0127,5,29,12
tc0130,5,29,9
tc0131,6,30,28
tc0132,5,27,8
tc0133,7,41,12
tc0134,5,22,9
tc0135,5,35,18
tc0136,5,27,10
tc0137,5,54,12
tc0138,5,28,10
tc0139,5,28,10
tc0140,5,40,17
tc0141,5,26,10
tc0142,5,35,8
tc0143,5,36,10
tc0144,5,22,13
tc0145,5,32,8
tc0146,5,28,11
tc0147,5,30,12
tc0148,5,26,7
tc0149,5,36,8
tc0150,5,27,10
tc0151,5,25,6
tc0152,5,27,7
tc0153,5,22,9
tc0154,5,28,13
tc0155,5,31,7
tc0156,5,47,10
tc0157,5,18,7
tc0158,5,31,9
tc0159,5,25,8
tc0160,6,34,27
tc0161,5,41,12
tc0162,5,42,10
tc0163,5,27,7
tc0164,5,32,10
tc0166,5,27,7
tc0167,5,27,8
tc0168,5,39,8
tc0169,6,51,19
tc0170,5,24,8
tc0171,5,47,9
tc0172,5,28,8
tc0173,5,44,9
tc0174,5,34,9
tc0175,5,38,10
tc0176,5,47,11
tc0177,5,35,16
tc0178,5,34,9
tc0179,5,33,14
tc0180,5,37,11
tc0181,6,37,12
tc0182,5,30,11
tc0184,5,36,9
tc0185,5,25,8
tc0186,5,32,8
tc0187,5,33,9
tc0188,5,27,9
tc0189,5,32,9
tc0190,5,28,8
tc0191,5,30,10
tc0195,5,36,10
tc0196,5,30,14
tc0197,5,33,11
tc0198,5,31,9
tc0199,5,29,10
tc0200,5,27,9
tc0201,5,32,11
tc0202,5,20,7
tc0203,5,40,12
tc0212,5,30,9
tc0214,5,31,16
tc0215,3,51,19
tc0217,5,60,11
tc0218,4,39,10
tc0220,5,47,13
tc0222,4,46,31
tc0227,3,15,19
tc0230,5,60,11
tc0232,4,46,19
tc0233,5,58,28
tc0234,4,30,14
tc0239,3,22,9
tc0245,6,13,16
tc0247,5,47,10
tc0250,5,45,22
tc0258,5,49,19
tc0259,5,61,11
tc0265,5,28,10
tc0266,5,33,10
tc0267,5,22,9
tc0268,5,22,10
tc0269,5,40,12
tc0271,5,34,9
tc0273,4,62,13
tc0275,5,54,18
tc0279,5,45,10
tc0284,5,26,13
tc0285,5,31,11
tc0287,3,26,6
tc0290,4,39,13
tc0292,3,38,9
tc0293,3,43,10
tc0294,5,49,11
tc0295,5,46,9
tc0296,5,54,10
tc0297,5,42,7
tc0299,3,30,10
tc0300,4,47,15
tc0302,5,49,9
tc0305,5,29,15
tc0322,5,25,8
tc0323,5,24,8
tc0324,5,33,8
