idnos	affaire|affairé	bon	car	cela	chez	chose	comment	crime	destin	diable	dieu|dieux	empire	ennemi	fatal	fort	fou	funeste	fureur	gens|gent	gloire	haine	homme	honnête	horreur	immoler	jouer	loi	mariage	monsieur	pauvre	personne	petit	peuple	pleur	prier	prince	périr	rire	roi	régner	sang	seigneur	sot	très	trône	tyran	vengeance	victime	vite	vraiment	label
tc0007	0.8	1.0	0.4	1.0	0.8	1.0	1.0	0.4	0.0	0.8	0.0	0.0	0.0	0.0	1.0	0.8	0.0	0.0	1.0	0.0	0.4	1.0	0.8	0.0	0.0	0.0	0.0	0.8	1.0	0.6	0.8	1.0	0.2	0.0	1.0	0.0	0.0	0.8	0.0	0.0	0.0	1.0	0.8	0.8	0.0	0.0	0.0	0.0	0.4	0.8	comedie
tc0040	1.0	1.0	0.6666666666666666	1.0	1.0	0.6666666666666666	1.0	0.0	0.3333333333333333	0.6666666666666666	0.0	0.0	0.0	0.0	1.0	0.6666666666666666	0.3333333333333333	0.0	1.0	0.0	0.0	1.0	0.3333333333333333	0.0	0.0	0.3333333333333333	0.0	0.6666666666666666	1.0	0.6666666666666666	0.3333333333333333	1.0	0.0	0.0	0.6666666666666666	0.3333333333333333	0.0	1.0	0.0	0.0	0.0	0.3333333333333333	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.6666666666666666	comedie
tc0041	0.5	1.0	0.8333333333333334	1.0	0.8333333333333334	0.8333333333333334	1.0	0.0	0.0	1.0	0.0	0.0	0.3333333333333333	0.0	1.0	0.3333333333333333	0.16666666666666666	0.0	1.0	0.16666666666666666	0.0	1.0	0.3333333333333333	0.0	0.0	0.6666666666666666	0.5	0.5	1.0	0.5	0.8333333333333334	1.0	0.0	0.16666666666666666	0.6666666666666666	0.6666666666666666	0.0	0.5	0.0	0.16666666666666666	0.16666666666666666	0.6666666666666666	0.5	0.5	0.0	0.0	0.0	0.0	0.16666666666666666	0.6666666666666666	comedie
tc0059	0.75	1.0	0.5	0.75	0.75	0.5	1.0	0.25	0.5	0.75	0.25	0.5	0.0	0.5	1.0	0.75	0.25	0.5	0.25	0.75	0.0	0.5	0.0	0.25	0.25	0.5	0.75	0.75	1.0	0.75	0.5	1.0	0.0	0.5	0.0	0.0	0.0	0.75	0.0	0.0	0.25	0.25	0.25	0.25	0.0	0.0	0.25	0.0	0.5	0.75	comedie
tc0064	0.8	1.0	1.0	1.0	1.0	0.8	0.8	0.2	0.6	0.8	0.2	0.2	0.0	0.2	1.0	0.4	0.6	0.8	0.2	0.2	0.0	1.0	0.4	0.0	0.0	0.2	0.8	0.6	1.0	1.0	0.2	1.0	0.0	0.4	0.8	0.0	0.0	0.4	0.0	0.0	0.2	0.4	0.0	0.4	0.0	0.0	0.2	0.4	0.0	0.4	comedie
tc0068	0.8571428571428571	0.7142857142857143	0.8571428571428571	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.8571428571428571	0.2857142857142857	0.42857142857142855	0.0	0.0	0.14285714285714285	0.42857142857142855	0.2857142857142857	1.0	0.14285714285714285	0.2857142857142857	0.5714285714285714	0.14285714285714285	0.42857142857142855	0.2857142857142857	1.0	0.42857142857142855	0.5714285714285714	0.14285714285714285	0.2857142857142857	0.2857142857142857	0.0	1.0	0.2857142857142857	0.7142857142857143	0.5714285714285714	0.0	0.8571428571428571	0.5714285714285714	0.0	0.0	0.42857142857142855	0.0	0.2857142857142857	0.0	0.14285714285714285	0.2857142857142857	0.2857142857142857	0.0	0.0	0.5714285714285714	0.2857142857142857	0.14285714285714285	0.14285714285714285	comedie
tc0076	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	comedie
tc0080	0.5714285714285714	0.7142857142857143	0.5714285714285714	1.0	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.0	0.42857142857142855	0.0	0.0	0.0	0.14285714285714285	0.5714285714285714	1.0	0.5714285714285714	0.2857142857142857	0.2857142857142857	0.42857142857142855	0.2857142857142857	0.2857142857142857	1.0	0.0	0.14285714285714285	0.2857142857142857	0.2857142857142857	0.42857142857142855	0.5714285714285714	1.0	0.2857142857142857	0.5714285714285714	0.7142857142857143	0.0	0.0	0.7142857142857143	0.0	0.0	0.42857142857142855	0.0	0.2857142857142857	0.0	0.14285714285714285	0.8571428571428571	0.7142857142857143	0.0	0.5714285714285714	0.0	0.14285714285714285	0.8571428571428571	0.8571428571428571	comedie
tc0085	0.0	1.0	0.6	0.8	0.6	0.8	0.8	0.0	0.6	0.2	0.0	0.0	0.2	0.8	1.0	0.8	0.2	0.8	0.6	0.8	0.0	1.0	0.8	0.2	0.0	0.4	0.2	0.2	1.0	0.2	0.6	0.4	0.2	0.4	0.8	0.2	0.2	0.8	0.4	0.2	0.8	0.2	0.4	1.0	0.0	0.0	0.0	0.0	0.8	0.6	comedie
tc0086	0.3333333333333333	1.0	1.0	0.3333333333333333	0.0	0.6666666666666666	0.3333333333333333	0.0	0.0	0.6666666666666666	0.3333333333333333	0.0	0.0	0.3333333333333333	1.0	0.3333333333333333	0.0	0.3333333333333333	0.0	0.3333333333333333	0.0	1.0	0.3333333333333333	0.0	0.0	1.0	0.3333333333333333	0.0	1.0	0.0	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.0	0.3333333333333333	0.0	0.0	0.3333333333333333	0.0	0.6666666666666666	0.0	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.0	0.3333333333333333	0.0	0.0	0.3333333333333333	0.0	comedie
tc0091	0.2	1.0	1.0	1.0	0.6	1.0	0.6	0.2	0.6	1.0	0.8	0.2	0.0	0.0	1.0	0.6	0.2	0.4	1.0	1.0	0.6	0.6	0.2	0.0	0.0	0.8	0.2	0.0	1.0	0.4	0.4	0.8	0.0	0.0	0.4	0.0	0.0	0.6	0.4	0.0	0.4	0.4	0.6	0.0	0.0	0.0	0.0	0.0	0.8	0.6	comedie
tc0098	0.3333333333333333	0.6666666666666666	1.0	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.0	1.0	1.0	0.6666666666666666	0.0	0.3333333333333333	1.0	1.0	0.6666666666666666	0.6666666666666666	0.0	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	0.3333333333333333	0.0	0.6666666666666666	0.3333333333333333	1.0	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.6666666666666666	1.0	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.0	comedie
tc0116	0.4	0.8	0.6	0.4	0.6	1.0	0.6	0.4	0.6	0.4	0.4	0.4	0.2	0.4	0.6	0.4	0.4	0.0	0.2	0.6	0.2	0.8	0.6	0.0	0.0	0.8	0.6	0.0	0.8	0.6	0.6	0.2	0.0	0.4	0.6	0.2	0.2	0.6	0.4	0.4	0.6	0.0	0.2	0.6	0.0	0.0	0.4	0.0	0.4	0.0	comedie
tc0117	1.0	1.0	0.6666666666666666	1.0	1.0	0.6666666666666666	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.3333333333333333	0.0	0.0	0.6666666666666666	0.0	0.0	1.0	1.0	0.0	0.0	0.3333333333333333	0.0	0.6666666666666666	1.0	1.0	0.3333333333333333	0.6666666666666666	0.0	0.0	0.6666666666666666	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.3333333333333333	0.6666666666666666	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	comedie
tc0118	1.0	1.0	0.0	1.0	1.0	0.6	1.0	0.4	0.6	0.4	0.8	0.0	0.6	0.0	1.0	0.0	0.2	0.4	0.6	1.0	0.2	1.0	0.8	0.4	0.0	0.6	0.4	0.0	1.0	0.0	0.4	1.0	0.2	0.0	0.4	0.2	0.2	0.8	0.4	0.2	0.4	0.0	0.2	1.0	0.0	0.0	0.2	0.2	0.8	0.8	comedie
tc0158	0.8333333333333334	1.0	0.16666666666666666	1.0	0.6666666666666666	1.0	1.0	0.16666666666666666	0.5	0.6666666666666666	0.0	0.16666666666666666	0.0	0.3333333333333333	1.0	0.6666666666666666	0.5	0.0	1.0	0.5	0.16666666666666666	1.0	0.3333333333333333	0.16666666666666666	0.16666666666666666	0.3333333333333333	0.5	1.0	1.0	0.6666666666666666	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.16666666666666666	0.6666666666666666	0.16666666666666666	0.16666666666666666	1.0	0.0	0.0	0.6666666666666666	0.8333333333333334	0.6666666666666666	1.0	0.0	0.0	0.3333333333333333	0.0	0.6666666666666666	0.6666666666666666	comedie
tc0167	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.3333333333333333	0.6666666666666666	1.0	0.6666666666666666	0.3333333333333333	0.0	0.0	1.0	1.0	0.3333333333333333	0.0	1.0	0.3333333333333333	0.0	1.0	0.0	0.0	0.0	0.6666666666666666	0.0	0.3333333333333333	1.0	0.6666666666666666	0.6666666666666666	1.0	0.3333333333333333	0.0	0.6666666666666666	0.0	0.3333333333333333	1.0	0.3333333333333333	0.0	0.0	0.0	0.3333333333333333	0.6666666666666666	0.0	0.0	0.0	0.0	1.0	0.0	comedie
tc0168	0.3333333333333333	0.6666666666666666	0.8333333333333334	0.6666666666666666	0.8333333333333334	0.6666666666666666	0.3333333333333333	0.5	0.8333333333333334	0.0	0.0	0.0	0.5	0.0	0.6666666666666666	0.3333333333333333	0.5	0.3333333333333333	0.5	1.0	0.16666666666666666	0.8333333333333334	0.16666666666666666	0.0	0.0	0.5	0.5	0.16666666666666666	0.6666666666666666	0.5	0.3333333333333333	0.3333333333333333	0.0	0.16666666666666666	0.5	0.16666666666666666	0.0	0.6666666666666666	0.16666666666666666	0.16666666666666666	0.5	0.0	0.5	0.0	0.0	0.0	0.16666666666666666	0.0	0.3333333333333333	0.5	comedie
tc0182	0.6666666666666666	0.8333333333333334	0.16666666666666666	1.0	0.8333333333333334	0.6666666666666666	0.5	0.5	0.16666666666666666	0.0	0.6666666666666666	0.5	0.16666666666666666	0.5	1.0	0.16666666666666666	0.3333333333333333	0.6666666666666666	0.5	0.6666666666666666	0.5	0.8333333333333334	0.16666666666666666	0.5	0.3333333333333333	0.8333333333333334	0.6666666666666666	0.16666666666666666	0.6666666666666666	0.6666666666666666	0.16666666666666666	0.3333333333333333	0.16666666666666666	0.16666666666666666	0.6666666666666666	0.0	0.0	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.5	0.0	0.0	0.0	0.0	0.0	0.5	0.16666666666666666	0.0	0.5	comedie
tc0185	0.4	1.0	0.4	1.0	1.0	0.8	0.2	0.6	0.6	0.4	1.0	0.8	1.0	0.2	0.8	0.4	0.4	0.4	0.4	0.8	0.6	1.0	0.4	0.6	0.2	0.0	1.0	0.0	1.0	0.4	0.6	0.6	0.2	0.4	0.2	0.6	0.2	0.4	0.6	0.4	0.6	0.6	0.2	0.0	0.0	0.2	0.4	0.2	0.2	0.4	comedie
tc0188	0.6666666666666666	0.8333333333333334	0.6666666666666666	0.8333333333333334	0.6666666666666666	0.8333333333333334	0.16666666666666666	0.6666666666666666	0.5	0.0	0.8333333333333334	0.3333333333333333	0.5	0.3333333333333333	1.0	1.0	0.3333333333333333	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.0	0.8333333333333334	0.16666666666666666	0.3333333333333333	0.0	0.5	0.8333333333333334	0.16666666666666666	0.5	0.5	0.5	0.5	0.0	0.16666666666666666	0.3333333333333333	0.0	0.0	0.8333333333333334	0.16666666666666666	0.16666666666666666	0.5	0.0	0.3333333333333333	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.5	comedie
tc0189	0.8333333333333334	1.0	0.8333333333333334	0.3333333333333333	0.8333333333333334	0.8333333333333334	0.3333333333333333	0.16666666666666666	0.16666666666666666	0.3333333333333333	0.16666666666666666	0.0	0.16666666666666666	0.0	1.0	0.0	0.16666666666666666	0.0	1.0	0.5	0.3333333333333333	1.0	0.5	0.0	0.16666666666666666	0.8333333333333334	0.8333333333333334	0.8333333333333334	1.0	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.0	0.0	0.5	0.0	0.16666666666666666	0.5	0.16666666666666666	0.0	0.6666666666666666	0.0	0.3333333333333333	0.16666666666666666	0.0	0.0	0.16666666666666666	0.0	0.0	0.16666666666666666	comedie
tc0195	0.2	1.0	0.2	0.4	0.8	0.6	0.2	1.0	0.2	0.0	0.2	0.2	0.2	0.6	0.8	0.2	0.2	0.0	0.4	0.0	0.6	0.4	0.2	0.4	0.0	0.6	1.0	0.6	0.2	0.2	0.8	0.4	0.0	1.0	0.6	0.0	0.4	0.8	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.2	0.6	0.0	0.2	0.4	comedie
tc0201	0.8333333333333334	1.0	0.0	1.0	1.0	0.8333333333333334	0.16666666666666666	0.5	0.5	0.3333333333333333	0.0	0.0	0.3333333333333333	0.16666666666666666	1.0	0.3333333333333333	0.0	0.16666666666666666	0.8333333333333334	0.6666666666666666	0.16666666666666666	1.0	0.8333333333333334	0.16666666666666666	0.0	0.6666666666666666	0.5	0.16666666666666666	1.0	0.3333333333333333	0.5	0.6666666666666666	0.3333333333333333	0.0	0.3333333333333333	0.0	0.16666666666666666	0.8333333333333334	0.3333333333333333	0.0	0.5	0.0	0.16666666666666666	0.3333333333333333	0.0	0.0	0.16666666666666666	0.0	0.16666666666666666	0.0	comedie
tc0202	0.4	1.0	0.0	0.8	0.8	0.6	0.6	0.4	0.4	0.0	0.2	0.6	0.2	0.2	1.0	0.2	0.0	0.2	0.6	0.4	1.0	0.8	0.0	0.2	0.0	0.6	0.8	0.6	0.4	0.0	0.4	0.0	0.0	0.4	0.6	0.2	0.0	0.8	0.0	0.4	0.4	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.2	0.4	comedie
tc0208	0.8333333333333334	1.0	0.16666666666666666	0.8333333333333334	0.6666666666666666	0.5	0.16666666666666666	0.3333333333333333	0.3333333333333333	0.0	0.6666666666666666	0.16666666666666666	0.3333333333333333	0.16666666666666666	1.0	0.3333333333333333	0.16666666666666666	0.6666666666666666	0.5	0.16666666666666666	0.8333333333333334	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.0	0.8333333333333334	0.8333333333333334	0.5	0.6666666666666666	0.5	0.5	0.5	0.0	0.3333333333333333	0.5	0.0	0.0	0.3333333333333333	0.0	0.0	0.5	0.0	0.16666666666666666	0.0	0.0	0.16666666666666666	0.3333333333333333	0.0	0.0	0.5	comedie
tc0209	0.6666666666666666	1.0	0.8333333333333334	0.8333333333333334	1.0	0.3333333333333333	0.3333333333333333	0.8333333333333334	0.3333333333333333	0.8333333333333334	0.16666666666666666	0.3333333333333333	0.3333333333333333	0.0	1.0	0.16666666666666666	0.16666666666666666	0.0	0.0	0.8333333333333334	0.5	0.8333333333333334	0.0	0.0	0.0	0.8333333333333334	0.8333333333333334	0.16666666666666666	0.8333333333333334	0.5	0.5	0.16666666666666666	0.0	0.0	0.16666666666666666	0.0	0.0	0.6666666666666666	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.0	0.6666666666666666	0.16666666666666666	0.0	0.0	0.0	0.0	0.3333333333333333	0.16666666666666666	comedie
tc0215	0.5	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.0	0.3333333333333333	0.8333333333333334	0.6666666666666666	0.16666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.16666666666666666	0.16666666666666666	0.8333333333333334	0.3333333333333333	0.3333333333333333	0.0	0.0	0.8333333333333334	0.16666666666666666	0.0	0.0	0.16666666666666666	0.16666666666666666	0.0	0.6666666666666666	0.0	0.0	0.0	0.5	0.16666666666666666	0.0	0.0	0.3333333333333333	0.16666666666666666	0.0	0.6666666666666666	0.0	0.0	0.5	1.0	0.0	0.16666666666666666	0.0	0.0	0.6666666666666666	0.0	0.3333333333333333	0.0	comedie
