idno,words,sents,mean,median,stdev,author-short,author-gender,title,year,genre,subgenre,cf-class
rv1105,36908,3309,11.15,9,8.3568909237,Dard,male,HommagesDonzelle,1952,novel,policier,contemporains
rv1106,54281,4685,11.59,9,9.7291220595,Dard,male,SanAntonioMac,1961,novel,policier,contemporains
rv1107,67306,6648,10.12,8,8.1181239649,Dard,male,JaiEssaye,1973,novel,policier,contemporains
rv1108,57717,4725,12.22,10,9.7108034842,Dard,male,FaisMoi,1978,novel,policier,contemporains
rv1130,62403,4664,13.38,10,11.3082921012,Malet,male,CinquiemeProcede,1948,novel,policier,contemporains
rv1131,43761,3985,10.98,8,9.909080102,Malet,male,VieDegueulasse,1948,novel,policier,contemporains
rv1132,29664,2411,12.3,9,10.0217465453,Malet,male,Macchabee,1949,novel,policier,contemporains
rv1133,49747,5269,9.44,7,8.7060905128,Malet,male,SoleilNait,1954,novel,policier,contemporains
rv1134,49065,4545,10.8,8,9.7491948044,Malet,male,RatsMontsouris,1955,novel,policier,contemporains
rv1135,52500,4851,10.82,8,9.2059755564,Malet,male,Corrida,1956,novel,policier,contemporains
rv1136,63025,5984,10.53,8,9.4216776939,Malet,male,PasDeBavards,1956,novel,policier,contemporains
rv1137,62481,5975,10.46,8,9.2173634468,Malet,male,CassePipe,1957,novel,policier,contemporains
rv1138,49932,4654,10.73,8,9.1761610564,Malet,male,MicmacMoche,1957,novel,policier,contemporains
rv1139,58926,5821,10.12,7,9.6471321411,Malet,male,EnvahissantCadavre,1959,novel,policier,contemporains
rv1147,53116,4564,11.64,8,11.1705176158,Leblanc,male,BarreYVa,1931,novel,policier,contemporains
rv1148,55257,4515,12.24,9,11.1016255367,Leblanc,male,MinuitSeptHeures,1931,novel,policier,contemporains
rv1149,63735,5930,10.75,7,10.6328272322,Leblanc,male,FemmeDeuxSourires,1933,novel,policier,contemporains
rv1189,37616,3648,10.31,8,7.8603882406,Dard,male,AngesPlumer,1957,novel,policier,contemporains
rv1191,37722,3666,10.29,8,8.2379431356,Dard,male,SanAntonioRenvoie,1960,novel,policier,contemporains
rv1192,66983,4928,13.59,11,10.5062016903,Dard,male,ReglezLuiCompte,1949,novel,policier,contemporains
rv1193,44328,3784,11.71,10,9.0338767341,Dard,male,PlombTripes,1953,novel,policier,contemporains
rv1194,40763,3769,10.82,9,8.0668715076,Dard,male,PassezMoiJoconde,1954,novel,policier,contemporains
rv1195,41177,3968,10.38,8,8.5024639098,Dard,male,GalaEmplumes,1963,novel,policier,contemporains
rv1197,43996,4194,10.49,9,8.1703095316,Dard,male,ClientesMorgue,1953,novel,policier,contemporains
rv1198,70672,6375,11.09,9,9.4855767932,Dard,male,Concerto,1976,novel,policier,contemporains
rv1201,33901,3068,11.05,9,7.9031245358,Dard,male,Delivrez,1956,novel,policier,contemporains
rv1202,47093,4764,9.89,8,7.4755435813,Dard,male,Initiation,1971,novel,policier,contemporains
rv1203,35638,3356,10.62,9,7.6002502193,Dard,male,Accident,1961,novel,policier,contemporains
rv1204,34976,3424,10.21,8,7.2253810654,Dard,male,BourreauPleure,1956,novel,policier,contemporains
rv1205,35242,3356,10.5,9,7.5828164067,Dard,male,PainFossoyeurs,1956,novel,policier,contemporains
rv1206,33743,3625,9.31,8,6.3536509923,Dard,male,TueurTriste,1958,novel,policier,contemporains
rv1207,30852,2835,10.88,9,7.3633796616,Dard,male,SalePeau,1958,novel,policier,contemporains
rv1208,38535,4004,9.62,8,6.6271719423,Dard,male,OnMeurtPas,1956,novel,policier,contemporains
rv1209,31237,3352,9.32,8,6.3283297019,Dard,male,MarchaitTombe,1963,novel,policier,contemporains
rv1220,38564,3389,11.38,9,8.7005148224,Malet,male,Johnny,1941,novel,policier,contemporains
rv1221,53933,4156,12.98,10,11.6057802759,Malet,male,HommeSangBleu,1942,novel,policier,contemporains
rv1222,17457,1302,13.41,10,11.9333286164,Malet,male,AubergeBanlieue,1945,novel,policier,contemporains
rv1223,51499,5092,10.11,8,9.5269201745,Malet,male,Sueur,1949,novel,policier,contemporains
rv1224,20874,1688,12.37,9,12.2205187783,Malet,male,Cite,1950,novel,policier,contemporains
rv1225,23177,1427,16.24,10,19.7850323675,Malet,male,GangMysterieux,1952,novel,policier,contemporains
rv1226,56383,5513,10.23,8,9.2031136237,Malet,male,Nuit,1955,novel,policier,contemporains
rv1227,49891,4383,11.38,8,10.0858010826,Malet,male,Brouillard,1956,novel,policier,contemporains
rv1228,50079,4598,10.89,8,9.6190921979,Malet,male,Ossements,1957,novel,policier,contemporains
rv1229,57478,5794,9.92,7,9.1653882968,Malet,male,RebeccaRosiers,1957,novel,policier,contemporains
rv1234,72030,4113,17.51,13,15.8014791851,Echenoz,male,MeridienGreenwich,1979,novel,policier,contemporains
rv1250,45358,5295,8.57,7,7.1171307629,BoilNarc,male,OmbreProie,1951,novel,policier,contemporains
rv1251,50350,6212,8.11,7,6.005137675,BoilNarc,male,CoeurPerdu,1959,novel,policier,contemporains
rv1252,47116,5841,8.07,7,6.2029013089,BoilNarc,male,IngenieurChiffres,1958,novel,policier,contemporains
rv1253,51990,5384,9.66,8,7.5573626093,BoilNarc,male,Louves,1955,novel,policier,contemporains
rv1254,50793,5636,9.01,7,7.709369504,BoilNarc,male,Magiciennes,1957,novel,policier,contemporains
rv1255,24075,1714,14.05,11,11.4419890094,BoilNarc,male,BoisDormant,1956,novel,policier,contemporains
rv1256,32960,3940,8.37,7,6.644636507,BoilNarc,male,MauvaisOeil,1956,novel,policier,contemporains
rv1257,48945,5423,9.03,7,7.2028188221,BoilNarc,male,EntreMorts,1954,novel,policier,contemporains
rv1258,50460,5741,8.79,7,6.8787290069,BoilNarc,male,VisagesOmbre,1953,novel,policier,contemporains
rv1259,46564,5473,8.51,7,6.7599316093,BoilNarc,male,CelleQui,1952,novel,policier,contemporains
rv1265,49037,5795,8.46,7,6.7164994576,BoilNarc,male,MortDit,1967,novel,policier,contemporains
rv1266,56913,5812,9.79,8,7.2986665215,BoilNarc,male,Malefices,1961,novel,policier,contemporains
rv1267,48656,5061,9.61,8,7.6797125421,BoilNarc,male,PorteLarge,1969,novel,policier,contemporains
rv1268,51304,5309,9.66,8,7.3961851459,BoilNarc,male,Victimes,1964,novel,policier,contemporains
rv1269,51238,5332,9.61,8,7.3250415228,BoilNarc,male,Maldonne,1962,novel,policier,contemporains
rv1277,65373,6314,10.35,8,9.3990584491,Magnan,male,Commissaire,1978,novel,policier,contemporains
rv1280,63251,5686,11.12,8,10.90091907,Magnan,male,SangAtrides,1977,novel,policier,contemporains
rv1281,77222,4845,15.94,12,14.638214764,RobbeGrillet,male,Gommes,1953,novel,policier,contemporains
