idno,words,sents,mean,median,stdev,author-short,author-gender,title,pub-year,creation,genre,subgenre,series,cf-class,narration,decade-pub,decade-cre
fr0001,41786,2237,18.68,16,12.9371643998,Simenon,male,AbriNotreArbre,1977,1976,essay,autobiographical,Dictées,autob,autodiegetic,1970s,1970s
fr0002,38984,2670,14.60,12,12.1859561598,Simenon,male,AQuoiBonJurer,1979,1977,essay,autobiographical,Dictées,autob,autodiegetic,1970s,1970s
fr0003,46029,2484,18.53,16,11.9441591165,Simenon,male,PorteFenetre,1978,1977,essay,autobiographical,Dictées,autob,autodiegetic,1970s,1970s
fr0004,43861,2345,18.70,16,13.4856254754,Simenon,male,CaveGrenier,1977,1976,essay,autobiographical,Dictées,autob,autodiegetic,1970s,1970s
fr0005,88954,5859,15.18,13,10.2988287728,Simenon,male,TracesPas,1975,1974,essay,autobiographical,Dictées,autob,autodiegetic,1970s,1970s
fr0006,42466,1872,22.68,20,14.8264181725,Simenon,male,Destinees,1981,1979,essay,autobiographical,Dictées,autob,autodiegetic,1980s,1970s
fr0007,65969,4772,13.82,10,12.5031386614,Simenon,male,JeMeSouviens,1945,1941,essay,autobiographical,Dictées,autob,autodiegetic,1940s,1940s
fr0008,39693,2146,18.50,17,11.8389013577,Simenon,male,ResteEnfantChoeur,1979,1977,essay,autobiographical,Dictées,autob,autodiegetic,1970s,1970s
fr0009,37888,1741,21.76,21,13.5065570718,Simenon,male,JourNuit,1981,1979,essay,autobiographical,Dictées,autob,autodiegetic,1980s,1970s
fr0010,37336,1673,22.32,21,12.9940005934,Simenon,male,FemmeEndormie,1981,1979,essay,autobiographical,Dictées,autob,autodiegetic,1980s,1970s
fr0011,41396,2197,18.84,16,12.5699172334,Simenon,male,MainDansMain,1978,1976,essay,autobiographical,Dictées,autob,autodiegetic,1970s,1970s
fr0012,44079,2209,19.95,18,13.2578355945,Simenon,male,PrixHomme,1980,1978,essay,autobiographical,Dictées,autob,autodiegetic,1980s,1970s
fr0013,38122,1816,20.99,20,12.5925186706,Simenon,male,LibertesReste,1981,1978,essay,autobiographical,Dictées,autob,autodiegetic,1980s,1970s
fr0014,39230,2304,17.03,15,11.9296318529,Simenon,male,PetitsHommes,1976,1975,essay,autobiographical,Dictées,autob,autodiegetic,1970s,1970s
fr0015,19050,1191,15.99,14,10.618487821,Simenon,male,LettreMere,1974,1974,essay,autobiographical,none,autob,autodiegetic,1970s,1970s
fr0016,45064,2386,18.89,17,12.3850531616,Simenon,male,SoixanteQuinzeAns,1980,1978,essay,autobiographical,Dictées,autob,autodiegetic,1980s,1970s
fr0017,48871,2645,18.48,16,12.028633451,Simenon,male,PointVirgule,1979,1977,essay,autobiographical,Dictées,autob,autodiegetic,1970s,1970s
fr0018,122793,8955,13.71,11,11.292929314,Simenon,male,QuandEtaisVieux,1970,1963,essay,autobiographical,Dictées,autob,autodiegetic,1970s,1960s
fr0019,39444,2193,17.99,16,12.0557602053,Simenon,male,QuandVientFroid,1980,1978,essay,autobiographical,Dictées,autob,autodiegetic,1980s,1970s
fr0020,42890,2116,20.27,18,13.0810411226,Simenon,male,TantVivant,1978,1976,essay,autobiographical,Dictées,autob,autodiegetic,1970s,1970s
fr0021,55516,2711,20.48,18,14.0726948114,Simenon,male,BancSoleil,1977,1976,essay,autobiographical,Dictées,autob,autodiegetic,1970s,1970s
fr0022,99486,6704,14.84,13,10.1536961283,Simenon,male,HommeCommeAutre,1975,1974,essay,autobiographical,Dictées,autob,autodiegetic,1970s,1970s
fr0023,43497,2342,18.57,16,13.0718170011,Simenon,male,VacancesObligatoires,1978,1976,essay,autobiographical,Dictées,autob,autodiegetic,1970s,1970s
fr0024,57165,3072,18.61,16,13.3872838758,Simenon,male,VentNordSud,1976,1975,essay,autobiographical,Dictées,autob,autodiegetic,1970s,1970s
fr0025,60768,5961,10.19,7,9.6793330853,Simenon,male,LivreMarieJo,1981,1980,essay,autobiographical,none,autob,epistolary,1980s,1980s
