,words,sents,mean,median,mode,stdev,idno,author,author-gender,title,pub-year,crt-year,genre,subgenre,narration,series,simenon3,corpus,romans-corpus
fr0001,41692,2213,18.8395842747,16,5,13.0617092226,fr0001,Simenon,male,AbriNotreArbre,1977,1976,essay,autobiographical,autodiegetic,Dictées,autob,simenon,N/A
fr0002,38923,2660,14.6327067669,12,1,12.1742695897,fr0002,Simenon,male,AQuoiBonJurer,1979,1977,essay,autobiographical,autodiegetic,Dictées,autob,simenon,N/A
fr0003,45913,2479,18.5207745058,16,14,11.9390120242,fr0003,Simenon,male,PorteFenetre,1978,1977,essay,autobiographical,autodiegetic,Dictées,autob,simenon,N/A
fr0004,43772,2330,18.7862660944,16,6,13.5013202425,fr0004,Simenon,male,CaveGrenier,1977,1976,essay,autobiographical,autodiegetic,Dictées,autob,simenon,N/A
fr0005,88792,5811,15.279986233,13,6,10.3372777878,fr0005,Simenon,male,TracesPas,1975,1974,essay,autobiographical,autodiegetic,Dictées,autob,simenon,N/A
fr0006,42402,1858,22.82131324,20,21,14.828163135,fr0006,Simenon,male,Destinees,1981,1979,essay,autobiographical,autodiegetic,Dictées,autob,simenon,N/A
fr0007,65934,4626,14.2529182879,10,4,12.6657628663,fr0007,Simenon,male,JeMeSouviens,1945,1941,essay,autobiographical,autodiegetic,Dictées,autob,simenon,N/A
fr0008,39604,2138,18.5238540692,17,8,11.7968714329,fr0008,Simenon,male,ResteEnfantChoeur,1979,1977,essay,autobiographical,autodiegetic,Dictées,autob,simenon,N/A
fr0009,37795,1708,22.1282201405,21,17,13.4168643177,fr0009,Simenon,male,JourNuit,1981,1979,essay,autobiographical,autodiegetic,Dictées,autob,simenon,N/A
fr0010,37272,1655,22.5208459215,21,21,13.0813173855,fr0010,Simenon,male,FemmeEndormie,1981,1979,essay,autobiographical,autodiegetic,Dictées,autob,simenon,N/A
fr0011,41283,2178,18.9545454545,16,10,12.5504765969,fr0011,Simenon,male,MainDansMain,1978,1976,essay,autobiographical,autodiegetic,Dictées,autob,simenon,N/A
