,words,sents,mean,median,stdev,author-short,author-gender,title,pub-year,creation,genre,subgenre,series,richeaudeau,narration,decade-pub,decade-cre
fr0007,65969,4772,13.82,10,12.5031386614,Simenon,male,JeMeSouviens,1945,1941,essay,autobiographical,Dictées,autob,autodiegetic,1940s,1940s
fr0026,367867,23725,15.51,13,12.0373261127,Simenon,male,MemoiresIntimes,1981,1980,essay,autobiographical,Dictées,autob,heterodiegetic,1980s,1980s
rv0004,40746,2835,14.37,11,11.111946857,Simenon,male,OursPeluche,1960,1960,novel,psychological,durs,romans,heterodiegetic,1960s,1960s
rv0013,43252,4189,10.33,8,8.5338297633,Simenon,male,VeriteBebeDonge,1942,1942,novel,policier,durs,romans,heterodiegetic,1940s,1940s
rv0024,37352,3165,11.80,9,9.7274288844,Simenon,male,MaigreVoleur,1961,1961,novel,policier,Maigret,maigr,heterodiegetic,1960s,1960s
rv0030,39855,3675,10.84,8,8.9091803426,Simenon,male,PietrLetton,1931,1930,novel,policier,Maigret,maigr,heterodiegetic,1930s,1930s
rv0052,37575,3842,9.78,8,7.7716156348,Simenon,male,RelaisAlsace,1931,1931,novel,psychological,durs,romans,heterodiegetic,1930s,1930s
rv0055,74202,5305,13.99,11,10.4729905148,Simenon,male,AnneauxBicetre,1963,1963,novel,psychological,durs,romans,heterodiegetic,1960s,1960s
rv0066,38481,3785,10.17,7,9.1532065622,Simenon,male,SignePicpus,1944,1941,novel,policier,Maigret,maigr,heterodiegetic,1940s,1940s
rv0081,42741,4324,9.88,8,6.7760088257,Simenon,male,CageVerre,1971,1971,novel,psychological,durs,romans,heterodiegetic,1970s,1970s
rv0082,40701,4061,10.02,8,6.9463941182,Simenon,male,Innocents,1972,1971,novel,psychological,durs,romans,heterodiegetic,1970s,1970s
rv0083,41139,2737,15.03,12,11.2888054714,Simenon,male,Train,1961,1961,novel,psychological,durs,romans,heterodiegetic,1960s,1960s
rv0084,48130,4387,10.97,8,9.0209002245,Simenon,male,MaigretPicratts,1951,1950,novel,policier,Maigret,maigr,heterodiegetic,1950s,1950s
rv0085,38793,4063,9.55,8,6.9690861117,Simenon,male,MaigretIndicateur,1971,1971,novel,policier,Maigret,maigr,heterodiegetic,1970s,1970s
rv0086,38507,4091,9.41,8,6.7398041117,Simenon,male,MaigretMonsieurCharles,1972,1972,novel,policier,Maigret,maigr,heterodiegetic,1970s,1970s
rv0087,46867,3805,12.32,8,11.3090398234,Simenon,male,MarieQuiLouche,1952,1951,novel,psychological,durs,romans,heterodiegetic,1950s,1950s
rv0088,68650,5480,12.53,8,12.845175002,Simenon,male,Pedigree1,1948,1941,novel,autobiographical,none,autob,heterodiegetic,1940s,1940s
rv0089,65303,4170,15.66,10,15.0158788204,Simenon,male,Pedigree2,1948,1942,novel,autobiographical,none,autob,heterodiegetic,1940s,1940s
rv0090,65383,4359,15.00,10,14.6107403063,Simenon,male,Pedigree3,1948,1943,novel,autobiographical,none,autob,heterodiegetic,1940s,1940s
rv0091,37221,2596,14.34,10,13.5755706754,Simenon,male,TroisCrimesAmis,1938,1937,novel,policier,none,romans,autodiegetic,1930s,1930s
rv0096,118123,10518,11.23,8,9.9842712343,Simenon,male,TestamentDonadieu,1937,1936,novel,psychological,durs,romans,heterodiegetic,1930s,1930s
rv0098,52689,2805,18.78,16,13.9643431598,Simenon,male,Fils,1957,1956,novel,psychological,durs,romans,heterodiegetic,1950s,1950s
rv0099,52041,4350,11.96,8,10.8905441245,Simenon,male,BilanMaletras,1948,1943,novel,psychological,durs,romans,heterodiegetic,1940s,1940s
rv0100,97401,7699,12.65,9,11.0406381184,Simenon,male,AineFerchaux,1945,1943,novel,psychological,durs,romans,heterodiegetic,1940s,1940s
rv0101,50584,3199,15.81,9,17.2761027919,Simenon,male,FenetreRouet,1945,1942,novel,psychological,durs,romans,heterodiegetic,1940s,1940s
