 Altamirano_historical_nh0007 Altamirano_non-historical_nh0005 Altamirano_non-historical_nh0006 Altamirano_non-historical_nh0066 Altamirano_non-historical_nh0072 Calcagno_historical_nh0074 Calcagno_historical_nh0091 Calcagno_non-historical_nh0016 Frias_historical_nh0022 Frias_non-historical_nh0021 Frias_non-historical_nh0123 GomezAvellaneda_historical_nh0115 GomezAvellaneda_historical_nh0116 GomezAvellaneda_historical_nh0168 GomezAvellaneda_non-historical_nh0113 Payro_historical_nh0004 Payro_non-historical_nh0002 Payro_non-historical_nh0003 Paz_historical_nh0152 Paz_non-historical_nh0156 Paz_non-historical_nh0162
Altamirano_historical_nh0007 0.0 1.2909972339609483 1.2471123192749705 1.2569434819701053 1.2759891090482824 1.0541825405432201 1.09594571448914 1.0240360232983001 1.0143050811561898 1.08588596217068 1.08920295707796 1.05310553294192 1.08256454559725 1.11726470707672 1.05735642236194 1.0632081481229099 1.08937458400914 1.04836964367618 1.01617998111724 1.02692959607741 1.03928961877915
Altamirano_non-historical_nh0005 1.2909972339609483 0.0 1.2643293182292705 1.2930535078456395 1.2501519862112227 1.09733351046857 1.08134939599582 1.05323383044551 1.07962814083534 1.0523547034642702 1.07978762074599 1.0826847314255101 1.05603301223 1.0612671323815401 1.0447061978779701 1.07773423285297 1.0560872263405099 1.05684206913282 1.1075652947560901 1.03348055099596 1.1118209220121298
Altamirano_non-historical_nh0006 1.2471123192749705 1.2643293182292705 0.0 1.2749518730339746 1.1607393032630733 1.09890030379198 1.08335053707511 1.08962380200889 1.11373630830294 1.10341784830888 1.09765692489867 1.0580550134409499 1.05805006712595 1.05564932033699 0.972839132606799 1.11026089652588 1.06563400042999 1.1289784179287299 1.02127306996762 0.9023423088954058 1.05337651163251
Altamirano_non-historical_nh0066 1.2569434819701053 1.2930535078456395 1.2749518730339746 0.0 1.2600957021373396 1.07938837381973 1.0786586481904599 1.09634638504928 1.06347015808022 1.10842413052867 1.03511823750176 1.10776038038158 1.09361446274233 1.1001447629028 1.02147736121251 1.10604521686299 1.03825870671464 1.01946057940569 1.11985768638978 0.961363192056808 1.04621073282958
Altamirano_non-historical_nh0072 1.2759891090482824 1.2501519862112227 1.1607393032630733 1.2600957021373396 0.0 1.0848863340791601 1.11697487941195 1.081055508662 1.1964178322406598 1.11260790196574 1.1276644263742501 1.12936826897329 1.06541829612764 1.0347556135179499 1.01781254325276 1.1354374532261298 0.9770112524937329 1.03943418068753 1.10702376969016 0.8856400120656299 1.04037915834665
Calcagno_historical_nh0074 1.0541825405432201 1.09733351046857 1.09890030379198 1.07938837381973 1.0848863340791601 0.0 1.3985557434257256 1.3493933117489356 1.07658022668831 1.02654619245927 1.02158051661834 1.09126213023278 1.05289681994056 1.07134376803573 1.06969115868113 1.05368712159047 1.07877686804981 1.06712811820693 1.09281763597009 1.10911385990019 1.05500146726561
Calcagno_historical_nh0091 1.09594571448914 1.08134939599582 1.08335053707511 1.0786586481904599 1.11697487941195 1.3985557434257256 0.0 1.3683961988920315 1.05799065731857 1.01638664328131 1.01843648677271 1.07156007116882 1.0613027014063001 1.08659689560688 1.0804350586704898 1.02179867720571 1.0385918460629 1.0123948160549598 1.0641811879724299 1.0807751933868999 1.0178131190105
Calcagno_non-historical_nh0016 1.0240360232983001 1.05323383044551 1.08962380200889 1.09634638504928 1.081055508662 1.3493933117489356 1.3683961988920315 0.0 1.0416230706756502 1.03493927123726 1.05114579682102 1.06860090049971 1.07270584683694 1.08826966515247 1.02206656838108 1.0619420603602099 1.05442011246244 1.04284901523597 1.06069557859099 1.09604576099729 1.08758587924481
Frias_historical_nh0022 1.0143050811561898 1.07962814083534 1.11373630830294 1.06347015808022 1.1964178322406598 1.07658022668831 1.05799065731857 1.0416230706756502 0.0 1.381425883130368 1.346773060709102 0.9501946040235071 1.12688151755405 1.105234175698 1.06426071662296 0.9698061706188381 1.14511839359845 1.09819575646072 0.9676451808350679 1.1659038809212 1.1111869925112299
Frias_non-historical_nh0021 1.08588596217068 1.0523547034642702 1.10341784830888 1.10842413052867 1.11260790196574 1.02654619245927 1.01638664328131 1.03493927123726 1.381425883130368 0.0 1.388886109869447 1.08403109048986 1.07781261659334 1.09098602569362 1.13530196976877 1.06512082109825 0.9528215229302142 1.03153296544453 1.0347627232851502 1.16766284588857 1.04209770107899
Frias_non-historical_nh0123 1.08920295707796 1.07978762074599 1.09765692489867 1.03511823750176 1.1276644263742501 1.02158051661834 1.01843648677271 1.05114579682102 1.346773060709102 1.388886109869447 0.0 1.1106490548087902 1.08978360205449 1.1284111938476498 1.09904288102129 1.08405573346048 1.1040660918796399 0.9343729832062919 1.09298688672465 1.15470552034494 1.03993029202426
GomezAvellaneda_historical_nh0115 1.05310553294192 1.0826847314255101 1.0580550134409499 1.10776038038158 1.12936826897329 1.09126213023278 1.07156007116882 1.06860090049971 0.9501946040235071 1.08403109048986 1.1106490548087902 0.0 1.3700373554502936 1.2585289061337388 1.2685782122521108 0.9273850184128021 1.10844130708423 1.2385631916337398 0.96285915468574 1.11244591773909 1.1665207316557702
GomezAvellaneda_historical_nh0116 1.08256454559725 1.05603301223 1.05805006712595 1.09361446274233 1.06541829612764 1.05289681994056 1.0613027014063001 1.07270584683694 1.12688151755405 1.07781261659334 1.08978360205449 1.3700373554502936 0.0 1.2608417048974068 1.3290742465334477 1.07632546585398 1.07887400446211 1.0616280024495401 1.0969588987913599 1.0400541667188699 1.04911702290725
GomezAvellaneda_historical_nh0168 1.11726470707672 1.0612671323815401 1.05564932033699 1.1001447629028 1.0347556135179499 1.07134376803573 1.08659689560688 1.08826966515247 1.105234175698 1.09098602569362 1.1284111938476498 1.2585289061337388 1.2608417048974068 0.0 1.2573726355496717 1.07084089367165 1.08661959995757 1.14274803347987 1.08893877750767 0.9943582373794929 1.08157955973329
GomezAvellaneda_non-historical_nh0113 1.05735642236194 1.0447061978779701 0.972839132606799 1.02147736121251 1.01781254325276 1.06969115868113 1.0804350586704898 1.02206656838108 1.06426071662296 1.13530196976877 1.09904288102129 1.2685782122521108 1.3290742465334477 1.2573726355496717 0.0 1.09950360753417 1.14534291177444 1.17690341645816 1.19527920225628 0.909522922497294 1.1093852993855802
Payro_historical_nh0004 1.0632081481229099 1.07773423285297 1.11026089652588 1.10604521686299 1.1354374532261298 1.05368712159047 1.02179867720571 1.0619420603602099 0.9698061706188381 1.06512082109825 1.08405573346048 0.9273850184128021 1.07632546585398 1.07084089367165 1.09950360753417 0.0 1.3414739598894887 1.4932733524071946 0.920542594427271 1.14913554791283 1.08093834390564
Payro_non-historical_nh0002 1.08937458400914 1.0560872263405099 1.06563400042999 1.03825870671464 0.9770112524937329 1.07877686804981 1.0385918460629 1.05442011246244 1.14511839359845 0.9528215229302142 1.1040660918796399 1.10844130708423 1.07887400446211 1.08661959995757 1.14534291177444 1.3414739598894887 0.0 1.3400514324239556 0.9490540328937378 0.9788386509781021 1.02104647997695
Payro_non-historical_nh0003 1.04836964367618 1.05684206913282 1.1289784179287299 1.01946057940569 1.03943418068753 1.06712811820693 1.0123948160549598 1.04284901523597 1.09819575646072 1.03153296544453 0.9343729832062919 1.2385631916337398 1.0616280024495401 1.14274803347987 1.17690341645816 1.4932733524071946 1.3400514324239556 0.0 1.0650992547659899 1.01179803042278 0.939709510045795
Paz_historical_nh0152 1.01617998111724 1.1075652947560901 1.02127306996762 1.11985768638978 1.10702376969016 1.09281763597009 1.0641811879724299 1.06069557859099 0.9676451808350679 1.0347627232851502 1.09298688672465 0.96285915468574 1.0969588987913599 1.08893877750767 1.19527920225628 0.920542594427271 0.9490540328937378 1.0650992547659899 0.0 1.4624672997131205 1.4035679272194803
Paz_non-historical_nh0156 1.02692959607741 1.03348055099596 0.9023423088954058 0.961363192056808 0.8856400120656299 1.10911385990019 1.0807751933868999 1.09604576099729 1.1659038809212 1.16766284588857 1.15470552034494 1.11244591773909 1.0400541667188699 0.9943582373794929 0.909522922497294 1.14913554791283 0.9788386509781021 1.01179803042278 1.4624672997131205 0.0 1.3253625294322444
Paz_non-historical_nh0162 1.03928961877915 1.1118209220121298 1.05337651163251 1.04621073282958 1.04037915834665 1.05500146726561 1.0178131190105 1.08758587924481 1.1111869925112299 1.04209770107899 1.03993029202426 1.1665207316557702 1.04911702290725 1.08157955973329 1.1093852993855802 1.08093834390564 1.02104647997695 0.939709510045795 1.4035679272194803 1.3253625294322444 0.0
