"nh0002" "nh0003" "nh0004" "nh0005" "nh0006" "nh0007" "nh0016" "nh0021" "nh0022" "nh0066" "nh0072" "nh0074" "nh0091" "nh0113" "nh0115" "nh0116" "nh0123" "nh0152" "nh0156" "nh0162" "nh0168"
"de" 5.10299057100077 3.82415171224826 5.46607656157321 5.20234536675098 5.09062937614643 5.22585837963054 4.88573936222085 5.79163523593999 5.83462632531678 4.72410347507494 4.97353978831831 5.65843621399177 5.32253731916037 5.15633882888005 5.8187506709814 5.7138472556141 6.71087724356664 5.13980001273804 4.55198460384723 4.7564825837172 5.36777091521617
"que" 3.30014973088908 3.90251547684351 2.81516630925765 3.44906875143711 3.93483363247273 4.05190521996898 3.92679517602314 3.49928757019529 2.50193948797517 3.79704674142334 4.16993335946688 3.19721430832542 3.57649948194482 3.10214136820163 3.56655368618008 4.15878050028134 2.44359547322137 4.64938538946564 4.18966903692727 4.21303245173645 4.09507767172001
"y" 3.34061753874793 4.27082517044119 4.19309212027193 4.0986433662911 3.53247470464093 3.88111270342959 3.04586678802458 4.13628363087755 3.67048099301784 3.90252026201843 3.34182673461388 3.60082304526749 3.80290878391343 3.70665150653781 3.44462678097634 2.48606066806486 4.77185900670367 2.94976662087037 2.55156898000488 2.41188344288598 2.93468089088527
"la" 3.0462142365748 2.99349580753859 2.86535565998996 3.01218670958841 2.75931441194454 2.84654194232317 3.34167668952963 3.05087586958344 3.44420739591415 3.26967913844787 3.05762446099569 4.0360873694207 3.25415403507425 3.31438317225696 3.16856586353389 3.06409535014579 3.7482880415195 3.0243751535389 2.64463257948806 2.7638320997878 3.52236571214673
"a" 2.35522641738497 2.42144032599326 2.45471551763471 2.88572085536905 2.91907457446599 2.77194291211056 2.24295419822514 2.02832956164613 2.33061805016809 2.8089263905851 2.84202273618189 2.51661918328585 2.16048198319199 2.48815614932727 2.84726162906615 2.53721417975344 1.78764506595545 2.55033801304739 2.59674548460836 2.81041353967186 2.63148044169942
"el" 1.98798106106592 2.27254917326228 2.75585162202856 2.32812140722005 2.23861462298574 2.10840416969316 2.88658453336801 2.75333165702791 3.05307732092061 2.12057288775397 1.77871422971384 2.90440012662235 2.81284776852527 2.19632366875118 2.38485959235005 2.53209882858458 2.60938513659627 2.5967408809266 1.67424126060518 1.88913617307593 2.5042111173498
"en" 2.37849540690381 1.53592978606692 2.46840352237989 2.25914003219131 2.31159148734739 2.38716896680343 2.28196209732471 2.3342553013159 2.50678820791311 2.07061174641945 2.31771854174833 2.40582462804685 2.27944280287041 2.12052302444571 2.22995874422956 2.27121591897284 1.89576875946082 2.29466730963451 2.26695700100292 2.16344909683764 2.25341568407262
"los" 1.37287038161143 0.956037928062064 2.37258748916366 1.48309956311796 1.065067750143 1.474312412886 1.4497935832006 1.21532143156483 2.03969485389191 1.12690129898967 0.803606428851431 0.981323203545426 1.09750949767835 1.03467879476976 2.17704706838642 1.17653076883728 1.59302241764579 1.90797674397445 0.997497221644967 1.02479167744941 1.06681639528355
"no" 1.79575897373639 2.26471279680276 1.13610439384952 1.15543803173143 1.46742667797479 1.48412807475608 1.39453239280954 1.38295197384964 0.738621670545643 1.35450205395803 1.76891415131321 1.12377334599557 1.53114087263517 1.26966079211673 0.989218287502109 1.51414394598189 0.720824623369134 1.26197603428353 1.53419409633438 1.73386470679571 1.31761182856073
"se" 0.979320950184129 1.29300211582164 1.13154172560113 1.3106461255461 1.35303051221869 1.40756591216946 1.72935019341417 0.884251110552343 1.26066718386346 1.24347729543688 1.03880831046648 1.4957264957265 1.45822940250969 1.05931400416904 1.04903148628131 1.222568929357 0.922655517912492 1.9006978627385 1.2143444437417 1.66658040474096 1.26146359723002
"con" 1.05519808991947 1.06574719849542 1.16804307158826 1.13244424005519 1.12621052839195 1.24855218987416 0.997952085297273 0.989020199480345 1.05540470649082 1.38225824358832 0.955507644061153 1.19499841722064 0.959361449019533 1.14269471290506 1.36650154134012 1.11514655481099 1.18936062855907 1.16098155713467 1.1962738419003 1.33015889446716 1.28766610518435
"su" 0.666707134474526 0.164563905650027 0.74371492448784 1.01747528167395 1.28202599554249 1.13469051218124 1.37827910151806 1.16922303243651 0.98752262735971 0.865993116464972 0.960407683261466 1.64609053497942 1.4390421735293 1.89312109152928 1.62799257702866 1.3197606015653 1.13890290492323 0.672386654171254 0.739991145405098 1.11277884167486 1.76679767920644
"un" 1.13006353445834 1.25382023352402 0.803029611716932 1.03472062543113 1.10254235616655 0.934451010031606 1.11822644085427 1.30751822982147 1.28652702353245 1.03808149217275 0.833006664053312 1.11585944919278 1.11669672665874 1.19954519613417 0.730794595340705 0.869609698705816 0.929863764146183 0.745175466530794 1.1366408558237 1.24217173024171 0.576455174995321
"por" 0.915584152806442 0.720946634276311 0.99009900990099 1.12094734421706 0.895445849194296 1.05223895247257 1.06621590872152 0.984829435923225 0.935802948021722 0.893749306095259 1.01920815366523 1.13168724279835 0.951686557427376 0.803486829638052 0.965446375166787 1.08445444779784 0.778490593238665 0.953533441909978 0.889977140688671 0.941980228766627 1.03687067190717
"las" 0.901420420055846 0.611237363842959 0.949034995665465 0.936997010807082 0.818524289461746 0.948192936649718 0.523355979585866 0.754337440281619 1.35117662270494 0.865993116464972 0.715405723245786 0.720164609053498 0.755976821827392 0.803486829638052 1.00378816925602 0.890071103381247 1.4128162618035 1.08637302446614 0.880038309675904 0.890223073339889 0.707467714766985
"una" 0.86297600258994 0.70527388135726 0.588584204042524 0.850770292021154 1.0019526242086 0.726358978385913 0.702142183792218 0.758528203838739 0.832363589345746 1.0325302542467 1.05350842806742 0.751820196264641 0.683065351701907 0.924767860526814 0.517614220204592 0.439920200521766 0.893822532977727 0.656919031544852 1.08423611048366 0.97303452202267 0.494104435710275
"del" 0.506859293432075 0.579891858004859 1.03572569238491 0.810531156587721 0.727796295931047 0.592865976952826 0.672886259467542 1.04769088928003 1.346327902767 0.638392361496614 0.441003528028224 0.925925925925926 0.782838942399939 0.73716126587076 0.927871416959342 1.00260882909612 1.13890290492323 0.720609242359449 0.441826215022091 0.517571554267377 0.868425977915029
"al" 0.577677957185059 0.924692422223964 0.775653602226582 0.793285812830536 0.623261868602197 0.63016549205913 0.750902057666678 0.674712932696337 0.859839668994052 0.671699789052959 0.568404547236378 0.799303577081355 0.629341110556813 0.670835702103468 0.863457202889438 0.685457056626937 0.569451452461616 0.624164065983058 0.557478066807015 0.470990114383314 0.673778775968557
"me" 1.36477682003966 2.20985816158608 0.182506729935666 0.891009427454587 0.735685686672847 0.418147195665404 0.136527646848487 0.100578325370883 0.07596327902767 1.56544909514822 1.60231281850255 0.189933523266857 0.199547181396063 0.397953382603752 0.179439596337592 0.552457926236636 0.309954588048728 0.298434130674115 1.82693784616497 0.346772941359143 0.378064757626801
"para" 0.663672048885112 0.854165034088238 0.638773554774832 0.632329271096804 0.682432299165697 0.657649345295353 0.685888892500731 0.704048277596178 0.362037755365917 0.643943599422671 0.78890631125049 0.490661601772713 0.571779423615641 0.572294864506348 0.538318789012776 0.491073712210343 0.331579326749802 0.807045957036403 0.665901677855381 0.78153304694374 0.557739097885083
"lo" 0.785075472461657 1.13627458663114 0.643336223023224 0.655323062773051 0.579870219522297 0.641944286303225 0.893931021031759 0.662140642024977 0.365270235324541 0.582879982236039 0.676205409643277 0.601456157011713 0.748301930235235 0.420693575895395 0.28296244037851 0.639418896107218 0.389245296619332 0.725158543131921 0.677647569052287 0.952331659851975 0.505334081976418
"sus" 0.335882805228441 0.0783637645952512 0.579458867545741 0.672568406530237 0.524644484329698 0.535935138106363 0.451841497903325 0.548990025982734 0.518813033359193 0.477406461640946 0.392003136025088 0.56980056980057 0.399094362792126 0.729581201440212 0.900265325215098 0.383651337664331 0.785698839472356 0.497693504508357 0.384000289129629 0.455462967755292 0.50159086655437
"como" 0.800250900408725 0.720946634276311 0.451704156590774 0.62083237525868 0.609455434804047 0.573234653212666 0.568865195202028 0.616042242896656 0.381432635117662 0.538470078827579 0.563504508036064 0.395694840139285 0.57561686941172 0.401743414819026 0.421759734981519 0.342728528313469 0.345995819217184 0.562293575477449 0.430080323825185 0.600383002950158 0.385551188470896
"es" 0.515964550200316 0.611237363842959 0.451704156590774 0.459875833524948 0.759353858898247 0.616423565441018 0.617625069076488 0.284971921884167 0.132531678303595 0.566226268457866 0.73500588004704 0.387780943336499 0.613991327372501 0.517339397384878 0.269926230388172 0.552457926236636 0.295538095581345 0.556834414550484 0.777939409272026 0.786708762486414 0.400524050159087
"pero" 0.614098984258023 0.70527388135726 0.447141488342383 0.500114968958381 0.629178911658547 0.669428139539449 0.471345447453109 0.414885592154891 0.287690716317559 0.577328744309981 0.793806350450804 0.395694840139285 0.495030507694079 0.523024445707788 0.295231814487063 0.460381605197197 0.172997909608592 0.413986370294886 0.493327430270065 0.476165829925987 0.355605465094516
"más" 0.706163247136903 0.70527388135726 0.438016151845599 0.523108760634629 0.477308139878898 0.453483578397691 0.477846763969704 0.616042242896656 0.360421515386605 0.371932941045853 0.377303018424147 0.466919911364356 0.590966652596032 0.517339397384878 0.424827078508658 0.42968949818405 0.360412311684567 0.471307560028024 0.265637847068497 0.574504425236789 0.265768294965375
"mi" 0.786087167658128 0.242927670245279 0.114066706209791 0.68406530236836 0.524644484329698 0.188460707905534 0.191788837239541 0.0209538177856005 0.0953581587794156 1.1491062506939 1.18090944727558 0.0395694840139285 0.126635711270578 0.528709494030699 0.255356348634265 0.470612307534912 0.194622648309666 0.153766366109529 1.13121967527128 0.181150043993582 0.426726558113419
"le" 0.303508558941362 1.15978371600972 0.269197426655108 0.356403770981835 0.676515256109347 0.526119476236283 0.601371777785002 0.77529125806722 0.387897595034911 0.321971799711336 0.416503332026656 0.466919911364356 0.514217736674469 0.526814477923062 0.338941459748785 0.322267123638038 0.389245296619332 0.394879307050506 0.439115624745882 0.42440867449925 0.393037619314992
"había" 0.337906195621383 0.540709975707233 0.260072090158325 0.505863416877443 0.483225182935248 0.598755374074874 0.650131651659461 0.38135948369793 0.40244375484872 0.616187409792384 0.504704037632301 0.751820196264641 0.402931808588204 0.363843092666288 0.223916077481097 0.219960100260883 0.252288618179197 0.491324483426897 0.325270833145098 0.408881527871228 0.205876848212615
"yo" 0.487637084699122 0.822819528250137 0.155130720445316 0.689813750287422 0.449695272282598 0.347474430200828 0.195039495497838 0.0544799262425614 0.0517196793379881 0.943710447429777 0.960407683261466 0.0474833808167142 0.291645880501938 0.409323479249574 0.109657531095195 0.291575016624891 0.0937072010379875 0.221096017542104 0.756254687062353 0.253610061591015 0.145985401459854
"era" 0.379385698676703 0.485855340490557 0.205320071177625 0.419636698091515 0.435888838484448 0.42011032803942 0.737899424633488 0.607660715782416 0.316783035945177 0.410791606528256 0.578204625637005 0.498575498575499 0.41060670018036 0.316467689975365 0.207812523963621 0.240421504936314 0.410870035320407 0.311172172837035 0.234917823938126 0.346772941359143 0.28822758749766
"ya" 0.227631419206022 0.501528093409607 0.333074782132591 0.252931708438722 0.191317725488649 0.427962857535484 0.263303318922082 0.423267119269131 0.323247995862426 0.272010658376818 0.24500196001568 0.364039252928142 0.264783759929391 0.324047754405912 0.203978344554698 0.189267993247736 0.353204065450876 0.425814552303311 0.316235532224401 0.460638683297966 0.217106494478757
"sin" 0.446157581643802 0.399655199435781 0.346762786877766 0.143711197976546 0.157787814835999 0.184534443157502 0.302311218021649 0.251445813427206 0.244052236876131 0.17763961363384 0.215601724813799 0.411522633744856 0.368394796423501 0.367633124881561 0.326672085640231 0.276228963118318 0.21624738701074 0.268408745575805 0.324367303053028 0.222555768334972 0.348119034250421
"si" 0.427947068107321 0.493691716950082 0.305698772642241 0.206944125086227 0.201179463915899 0.304285517972477 0.412833598803758 0.259827340541447 0.0921256788207913 0.24425446874653 0.24500196001568 0.174105729661285 0.391419471199969 0.288042448360811 0.249221661579989 0.31715177246918 0.165789663374901 0.260220004185357 0.309007291487843 0.23290719942032 0.27325472580947
"qué" 0.223584638420137 0.548546352166758 0.13688004745175 0.160956541733732 0.262322242164849 0.276801664736253 0.269804635438676 0.184393596513285 0.187483837600207 0.266459420450761 0.36750294002352 0.205761316872428 0.203384627192141 0.191396626871328 0.0874192905234422 0.245536856105172 0.309954588048728 0.22018615738761 0.450861515942788 0.377827234615186 0.127269324349616
"o" 0.430982153696734 0.188073035028603 0.223570744171191 0.120717406300299 0.155815467150549 0.290543591354365 0.367324383187595 0.448411700611851 0.166472717869149 0.138780948151438 0.166601332810662 0.237416904083571 0.264783759929391 0.121281030888763 0.149532996947993 0.15857588623459 0.180206155842284 0.236563640168506 0.137336573994597 0.227731483877646 0.097323600973236
"cuando" 0.239771761563676 0.297782305461954 0.214445407674408 0.166704989652794 0.171594248634149 0.212018296393726 0.240548711114001 0.196965887184645 0.150310318076028 0.283113134228933 0.205801646413171 0.110794555239 0.180359952415672 0.217926852378245 0.154900848120485 0.265998260780603 0.26670511064658 0.25021154248592 0.282804918817821 0.258785777133689 0.187160771102377
"tan" 0.193233782526001 0.227254917326228 0.187069398184058 0.189698781329041 0.246543460681249 0.196313237401598 0.191788837239541 0.243064286312966 0.127682958365658 0.144332186077495 0.17640141121129 0.126622348844571 0.161172723435281 0.293727496683722 0.281428768614941 0.358074581820042 0.180206155842284 0.131929722401667 0.213233101728453 0.27431292376171 0.344375818828374
"todo" 0.290356521387236 0.282109552542904 0.177944061687275 0.21844102092435 0.230764679197649 0.221833958263806 0.266553977180379 0.251445813427206 0.143845358158779 0.249805706672588 0.308702469619757 0.276986388097499 0.168847615027438 0.132651127534584 0.0828182752327347 0.260882909611745 0.209039140777049 0.202898814452219 0.303586110935425 0.295015785932405 0.194647201946472
"ha" 0.135567156327142 0.133218399811927 0.0775653602226582 0.339158427224649 0.299796848188399 0.168829384165374 0.120274355557 0.0544799262425614 0.0177786397724334 0.17763961363384 0.29890239121913 0.126622348844571 0.130473157066656 0.225506916808793 0.188641626919007 0.240421504936314 0.0504577236358394 0.247481962022437 0.439115624745882 0.181150043993582 0.265768294965375
"porque" 0.264052446278985 0.399655199435781 0.0730026919742666 0.235686364681536 0.179483639375949 0.243428414377982 0.344569775379514 0.129913670270723 0.0646495991724851 0.233151992894415 0.36750294002352 0.1661918328585 0.383744579607813 0.183816562440781 0.0743830805331043 0.132999130390301 0.136956678440136 0.270228465884793 0.215040161912593 0.165622897365561 0.0711210930189032
"usted" 0.18412852575776 0.117545646892877 0 0 1.0177314056922 0.614460433067002 0.152780938139973 0.268208867655687 0.0533359193173002 0.316420561785278 1.09760878087025 0.142450142450142 0.00767489159215626 0.00189501610763691 0 0 0.0504577236358394 0.200169233988736 0 0.351948656901817 0
