 AEspina_bildungsroman_ne0149 Alarcon_bildungsroman_ne0175 Azana_bildungsroman_ne0180 Azorin_bildungsroman_ne0291 Baroja_adventure_ne0066 Baroja_adventure_ne0112 Baroja_adventure_ne0118 Baroja_adventure_ne0233 Baroja_adventure_ne0237 Baroja_adventure_ne0243 Baroja_adventure_ne0244 Baroja_adventure_ne0245 Baroja_adventure_ne0304 Baroja_bildungsroman_ne0063 Baroja_bildungsroman_ne0067 Baroja_bildungsroman_ne0068 Baroja_bildungsroman_ne0111 Baroja_bildungsroman_ne0116 Bazan_bildungsroman_ne0075 Bazan_bildungsroman_ne0106 BlascoIbanez_adventure_ne0166 BlascoIbanez_adventure_ne0266 BlascoIbanez_bildungsroman_ne0253 BlascoIbanez_bildungsroman_ne0256 BlascoIbanez_bildungsroman_ne0260 BlascoIbanez_bildungsroman_ne0327 BlascoIbanez_bildungsroman_ne0328 Carrere_adventure_ne0113 Galdos_adventure_ne0284 Galdos_adventure_ne0285 Galdos_adventure_ne0286 Galdos_bildungsroman_ne0005 Galdos_bildungsroman_ne0006 Galdos_bildungsroman_ne0009 Galdos_bildungsroman_ne0024 Hernandez_bildungsroman_ne0320 Lanza_bildungsroman_ne0193 Lanza_bildungsroman_ne0289 Lorca_bildungsroman_ne0200 Miro_bildungsroman_ne0043 Miro_bildungsroman_ne0044 Miro_bildungsroman_ne0061 Pereda_bildungsroman_ne0146 Pereda_bildungsroman_ne0183 Picon_bildungsroman_ne0162 RBaroja_adventure_ne0182 RPAyala_bildungsroman_ne0186 Serna_bildungsroman_ne0171 Serna_bildungsroman_ne0301 Unamuno_bildungsroman_ne0072 Valdes_bildungsroman_ne0231 Valdes_bildungsroman_ne0329 Valera_bildungsroman_ne0151 WFFlorez_adventure_ne0143 Zamacois_adventure_ne0039
AEspina_bildungsroman_ne0149 0.0 0.945281922878104 0.9272462311721359 0.9782685195627591 1.10464007966378 1.0322197711946 1.01556320832853 1.05077396784721 1.0547736921326099 1.0355110560871201 1.04835698918715 1.0806746622471801 1.08670014672076 1.0803964265799 1.0641408425075 1.07459443365311 1.00497596572268 1.12974095042819 1.00013490007904 1.01401021554607 0.987119739673778 1.00672067514332 1.0636922206746 1.00828183036487 1.03769388006189 0.960692056821987 0.987457216189855 0.929109258772163 0.972167107826743 1.0048589416053 0.9394546984836378 1.01190147042442 1.00197403661181 0.988685560753489 1.0213712851210501 1.0608328094648198 0.9261407962100899 0.954141385700503 1.0677110009053001 1.09045093520794 1.08578260585904 1.03974988634889 1.01547263437141 0.9700967646442671 1.0095419239152401 1.02682300576307 0.9728416515646852 1.04627765716659 1.0049541831631899 1.07699521186815 1.0395438128993 1.00229675373606 0.956088159542986 0.9920099818574729 0.92521185632477
Alarcon_bildungsroman_ne0175 0.945281922878104 0.0 0.9733466716063841 1.03488737453697 1.0642799422374398 1.09728263544544 1.08683062657261 1.11015618615621 1.13212213738439 1.10268645893643 1.15591783006506 1.13578429020488 1.13017128402448 1.1117728267203701 1.11396330644299 1.1082959000604 1.11879819811202 1.1436163259868501 0.992689914335153 0.9617641719598721 1.00429664917618 0.997752557438798 1.0370798270605102 1.00193953794412 1.01495646794941 0.920343562919177 0.942013533271105 0.995571951533591 0.984977050665661 1.00740399135465 0.9827798974719741 0.922017455351208 0.902530774133866 0.9278008721045259 0.984007324881092 1.05218905745657 0.9514130369068969 0.982679709121697 1.0490338565805801 1.0317900721072 1.00910019966683 1.00170569758157 0.9028148948670921 0.8864615651589449 0.971642111844385 1.09985086191331 0.974306763003499 1.0370982159665 0.9954371487093641 0.92984071029686 0.948472975138976 0.97990689206947 0.903582256999468 1.01580236982729 0.9860402628891991
Azana_bildungsroman_ne0180 0.9272462311721359 0.9733466716063841 0.0 1.0073777245749 1.15158481623011 1.13145803607622 1.11151587549003 1.08054473172004 1.10325654735904 1.06184471215484 1.09336349474887 1.1140766417608898 1.0877876940656 1.14291269616579 1.13753155921055 1.04506919607073 1.05553674852825 1.1186160032968702 1.01270206700692 0.96644176335154 1.00047574052242 1.01258766778659 1.02126827991359 0.9183161988681479 1.0301761991012401 1.03246369086388 1.03540429106477 1.06007601501997 0.936574130442265 0.981639033101673 0.9135082593156959 0.9289055652042121 0.956443998292872 1.00208938734171 0.987127774676953 1.01467482317912 1.01003175872979 1.00366541168297 0.978590940547604 1.00733281242497 0.9947520300571729 0.935654288524078 1.00865810331558 0.926946213084006 1.02350767575143 1.0343557590528198 0.890901620470528 1.11192946438579 1.04502660276987 0.9997532694186959 1.05229917392996 0.9631957627880859 0.87959312124514 1.0879646164296302 0.990554687409069
Azorin_bildungsroman_ne0291 0.9782685195627591 1.03488737453697 1.0073777245749 0.0 1.0489299530622198 1.0634391707070001 1.0081376295003 1.0788395290146802 1.06129843735478 1.07273485335042 1.02658505819836 1.0103725918864301 1.02696098612257 1.07063166126323 1.0677593558964 1.02082350694381 0.9523335072617121 0.9651512495319201 1.0389655988021 1.03069270126858 1.00619018237874 1.02032979538706 1.0379827821371501 1.0188868397141702 1.05653173096967 1.09232958556199 1.09254343444245 1.00514455892189 1.03937695385064 1.05495732304785 1.04082791877913 1.02089223069649 1.06041676736737 1.03502355184125 1.02783211012245 0.9870817794451 1.0444433978318999 1.0456837008838298 0.961395988831027 0.9895611613499821 0.9665723652715931 1.0022092147650798 1.04117307381008 1.05179693646311 1.0304907721593901 0.989244760470417 1.00961028916616 0.9997749222219069 1.0455734928273 1.01085743159304 1.084282657568 1.02283125456363 1.04150460127152 1.02361457846787 0.9667635576744691
Baroja_adventure_ne0066 1.10464007966378 1.0642799422374398 1.15158481623011 1.0489299530622198 0.0 0.9921201598444801 1.057268165445349 1.144769427699771 1.127910372017726 1.075744442068273 1.0883030275506091 0.9863620682297802 1.121519104886355 1.047896122909831 1.0721248650378041 1.1329325650465703 1.204053113132393 1.0821538152719592 1.02369167583779 1.0244473596348 1.0922656476250001 1.09033679282535 1.0810594373714202 1.1064125226068502 1.03870477750972 1.1044496630001102 1.12302711679722 1.03572833532825 1.11498362839031 1.08732722809459 1.12445058400763 1.14231931781304 1.09078142265788 1.09902119408685 1.06266462966875 1.01521637720106 1.04118525982986 1.09303159536017 1.04578411732725 1.0166831023707799 1.08115597954347 1.04978729638861 1.0475338028723102 1.16022072261119 1.08072967491467 0.999743571052282 1.07171234718418 0.98787785732424 1.00324098787138 1.0395923483740501 1.02810917312614 1.08122471282785 1.15097413495996 1.03030791093032 1.09337169659143
Baroja_adventure_ne0112 1.0322197711946 1.09728263544544 1.13145803607622 1.0634391707070001 0.9921201598444801 0.0 0.989733893251293 1.132810641296968 1.085533848226064 0.986302874055499 1.023364315994705 0.9828966686786782 1.104698942454734 1.116064882797706 1.1096164972675882 1.1019390958717001 1.129927002199861 1.1527501029808331 1.05857871213824 1.06985980347557 1.0861472834423398 1.07368832967175 1.1281968631083001 1.09707173783576 1.07433159488161 1.07626800856712 1.05158475564977 1.02624920764305 1.02297077255238 1.0450270437731801 1.05092321116103 1.1563299451503102 1.12496965615567 1.1061104828633899 1.09242131997779 1.05325227679069 1.03256367783027 1.0270693772703001 1.09890349907966 1.0816124174156099 1.0989656269526 1.09383770178013 1.07788614087796 1.11105138529442 1.05215165666639 0.9934048587760071 1.11633962387918 1.01709127314444 1.06037568325876 1.11172902136144 1.0393843804767802 1.0479821420341 1.09070525958581 1.0349006929234899 1.08201500634825
Baroja_adventure_ne0118 1.01556320832853 1.08683062657261 1.11151587549003 1.0081376295003 1.057268165445349 0.989733893251293 0.0 1.1595958589013802 1.1181636091325151 0.9816142387852861 1.046987910810566 1.008546454529399 1.1441422457274562 1.2025218356105603 1.2022821486505082 1.170746910540378 1.1051874333530791 1.2182041461394422 1.10284423650012 1.04601058517499 1.0535784818512801 1.0316288973360601 1.09215211120535 1.09452287215664 1.08583835701798 1.04478662517282 1.0682660989769899 1.04673963811251 1.03271183372788 0.9898382101197291 1.02368988732276 1.12396087601668 1.08100570591946 1.09843717613573 1.0900788632218399 1.06343155943869 1.0073735175340301 1.04502332170533 1.09251305200792 1.07939472258413 1.06895506387576 1.09795514121186 1.0964392320333198 1.11545165109426 1.0877313626065102 1.0126088832119 1.10731496445604 1.04533722343686 1.05669896434253 1.04964269985977 1.06156516462972 1.08242645592308 1.08241587991367 1.01379760161145 1.05660005217024
Baroja_adventure_ne0233 1.05077396784721 1.11015618615621 1.08054473172004 1.0788395290146802 1.144769427699771 1.132810641296968 1.1595958589013802 0.0 0.7335548894488861 1.0397668677644574 1.0703369678998231 1.1055843142865212 0.9120097836258811 1.1470621548561721 1.1931877436547822 1.174745489850673 1.229608254563289 1.2654789879475532 1.06612064129767 1.06157508527073 1.0530590181693 1.03703113368523 1.11337680120321 1.09874721083911 1.07441557666846 1.15853455926128 1.1388212486821299 1.06181677761061 1.06035866262591 1.03108363801 1.0877397654263399 1.14635274435269 1.13846656111914 1.11908377256478 1.07108309502926 1.01594771523039 1.04065667657434 0.9656565695919229 1.0786287909522299 1.04245225312025 1.08212092912446 1.09122581187995 1.01329134580297 1.11927097837054 1.1131669189909499 0.891232658566846 1.07109120366942 1.0498897775395502 1.02830182868545 1.12995016859028 1.09468066016071 0.998151267913744 1.07855184659247 1.00428011308397 1.04292905577249
Baroja_adventure_ne0237 1.0547736921326099 1.13212213738439 1.10325654735904 1.06129843735478 1.127910372017726 1.085533848226064 1.1181636091325151 0.7335548894488861 0.0 1.0181594881411402 1.0104115432746972 1.082511732341135 0.8698383686916872 1.149421121517649 1.1983738019070422 1.184883340370523 1.171602578667753 1.2228477515053662 1.0531581313331702 1.06137438408717 1.03006981651032 1.0567353485496 1.1206018637949198 1.10871376744354 1.0775468992716999 1.17981315888571 1.15138957190304 1.06122237477534 1.03324669056826 1.0059704803696998 1.07185907218668 1.18146908253832 1.14586653587521 1.12638118149723 1.0990117547377098 1.01736017022825 1.07391117436817 0.9934038720385959 1.09177791963542 1.05765270638587 1.07680566736775 1.0845232339332 1.0386613537879699 1.1113383577258 1.1054750593048301 0.9028024071233609 1.09594067387247 1.0649777660809399 1.04231827524417 1.1300888762536299 1.10961673613668 1.01170613760833 1.07827033096295 1.01189735970424 1.0363725719580301
Baroja_adventure_ne0243 1.0355110560871201 1.10268645893643 1.06184471215484 1.07273485335042 1.075744442068273 0.986302874055499 0.9816142387852861 1.0397668677644574 1.0181594881411402 0.0 1.024889596115897 0.9889681254733051 1.056767037287912 1.2006497707609953 1.204224358438594 1.165122887662842 1.1756281644280202 1.202341704311043 1.09750575031277 1.00762842800571 1.0509152413210698 1.02579908611743 1.08617988680707 1.07521882167596 1.05133287149295 1.06095489830642 1.07898816258462 1.0444317272203 1.02022048166783 1.00000708796152 1.03613822440179 1.15768605600716 1.1463751965193998 1.14129730088793 1.12471836729541 1.04891237156816 1.0595062004108 1.0255304920011101 1.09520999288759 1.0611229298114 1.07887909695932 1.09109057135407 1.11712708346306 1.1118318078084999 1.09687079477344 0.9688569224675809 1.09351167046241 1.06716427674972 1.0480851031884102 1.13173191793455 1.09212485148189 1.01594082467556 1.0908092504972702 1.0302103617037899 1.07067706335938
Baroja_adventure_ne0244 1.04835698918715 1.15591783006506 1.09336349474887 1.02658505819836 1.0883030275506091 1.023364315994705 1.046987910810566 1.0703369678998231 1.0104115432746972 1.024889596115897 0.0 0.9823331652809072 0.9831103921247581 1.1153824710463611 1.1290162096203953 1.1066855104145992 1.085528648758375 1.1000911737242172 1.07422247155213 1.0668976473826601 1.0801404353978499 1.07527206353569 1.0976759202837099 1.0675792604159902 1.0883065621058101 1.1058224815611102 1.12941065222346 1.0464492709036601 1.0310882481155499 1.0166292421846899 1.0411080266961 1.1572116894270301 1.1410772202727701 1.1234533717333002 1.1071324154427 1.02011595354722 1.05527911123615 1.0159884075725099 1.0745763417138101 1.04977282798365 1.05944301788089 1.09284902380025 1.1038850231061899 1.13369536153046 1.08653955304075 0.9448692413680608 1.10121829499749 1.03859195967901 1.0858825724582801 1.13877321441293 1.11180228326702 1.04387922132796 1.10469018719495 1.02595301998043 1.06650599341802
Baroja_adventure_ne0245 1.0806746622471801 1.13578429020488 1.1140766417608898 1.0103725918864301 0.9863620682297802 0.9828966686786782 1.008546454529399 1.1055843142865212 1.082511732341135 0.9889681254733051 0.9823331652809072 0.0 1.119828641815859 1.09095216386359 1.1117837289286971 1.052441343000004 1.0864222772390022 1.0868648882197183 1.0658147607334498 1.04916264448751 1.07106449589463 1.08458113246779 1.09123326708191 1.07712846090212 1.05999036954972 1.07569752325827 1.09177750392738 1.05928823879428 1.08840440359627 1.0935547225398399 1.10039138377914 1.14019163211988 1.1066222312893 1.0934135241356502 1.0681336405586601 1.06419796552163 1.07567464828323 1.077703188951 1.05937336521157 1.02412138559285 1.1112000802504598 1.08707177376963 1.10480197889004 1.1272546101967 1.06785463254768 1.02534699189894 1.1000431990531898 1.00414638839215 1.04629060067426 1.11501156657894 1.0545074497128901 1.07542758537203 1.11190494639356 1.07836286252047 1.07442835200155
Baroja_adventure_ne0304 1.08670014672076 1.13017128402448 1.0877876940656 1.02696098612257 1.121519104886355 1.104698942454734 1.1441422457274562 0.9120097836258811 0.8698383686916872 1.056767037287912 0.9831103921247581 1.119828641815859 0.0 1.135909454323186 1.187479112065585 1.1420274585000492 1.13351104064399 1.1422264889453773 1.08172663365363 1.07541299751217 1.05407125003011 1.0473240088165299 1.05982168211825 1.0939007981726099 1.07492730205391 1.1233411474411399 1.1198873551155102 1.04231068805855 1.09044988320862 1.07568358204445 1.1245851611203201 1.14851356287327 1.13009642969024 1.1358846932633602 1.097049338667 1.02098019173976 1.1126427430915802 1.00478660147597 1.05348403430288 1.04293272737068 1.03609629179767 1.11203122450155 1.0157610430473298 1.11834097393256 1.08731295688746 0.8740905827839429 1.12026076242572 1.01946584066054 1.04378102153227 1.11050349587582 1.1027670464796202 1.01690179264944 1.10690737344327 1.00254453512411 1.04105370413244
Baroja_bildungsroman_ne0063 1.0803964265799 1.1117728267203701 1.14291269616579 1.07063166126323 1.047896122909831 1.116064882797706 1.2025218356105603 1.1470621548561721 1.149421121517649 1.2006497707609953 1.1153824710463611 1.09095216386359 1.135909454323186 0.0 0.9704394898567902 1.09019278334398 1.2224954398066001 0.9765602056174252 0.9301619417266519 1.08146068272552 1.12927113426878 1.10197663599873 1.0570394733168 1.0823972106450501 0.979289754189128 1.15214059756571 1.10950391852065 1.03167661629572 1.09178560078587 1.10449276970615 1.1470148030396001 1.13855761751083 1.08211911246052 1.01650536070383 0.9800976085637709 1.0018990722355101 1.07366938080826 1.09975211268201 1.0482028369337 0.995742847066269 1.04222482442822 1.04900591214953 1.02295238007772 1.16249408282575 1.00634625910009 0.9902313479822071 1.06900897842459 0.953988712164393 0.9845957512864498 1.0803258050922901 0.9764215778244171 1.0555253664755402 1.16658613232993 1.0367620284149301 1.06106998753581
Baroja_bildungsroman_ne0067 1.0641408425075 1.11396330644299 1.13753155921055 1.0677593558964 1.0721248650378041 1.1096164972675882 1.2022821486505082 1.1931877436547822 1.1983738019070422 1.204224358438594 1.1290162096203953 1.1117837289286971 1.187479112065585 0.9704394898567902 0.0 1.079543634067691 1.1861220020486702 1.0397534773423383 0.9966763660901371 1.10958949438873 1.10402844787916 1.07146985336762 1.09402035144641 1.11291613098458 1.04693015311121 1.08769065217364 1.07874258345145 1.00204192369029 1.0729755394859999 1.09602211648987 1.0999091925315 1.1060986654207199 1.05800577913196 1.0154855453493699 0.9404536197179209 1.0301961531802601 1.01494991104551 1.0394622861777498 1.05872622574754 1.0315040799296702 1.08519713548388 1.05612070626691 1.03100764806495 1.11894482281346 0.9917018760258689 0.9841447898635469 1.06948100259513 0.924021150341479 0.9986025464224709 1.10035395595517 0.932699057136382 1.04576602888967 1.1324247641771499 0.995691132554026 1.06572477350464
Baroja_bildungsroman_ne0068 1.07459443365311 1.1082959000604 1.04506919607073 1.02082350694381 1.1329325650465703 1.1019390958717001 1.170746910540378 1.174745489850673 1.184883340370523 1.165122887662842 1.1066855104145992 1.052441343000004 1.1420274585000492 1.09019278334398 1.079543634067691 0.0 0.9744983513086083 1.1491078337635323 1.06693188166394 1.12958388028091 1.03995471535146 1.07863638184793 1.05730475225442 1.04338649055287 1.07790128903879 1.03052092891462 1.01682993703858 1.05122432115272 1.09734592337812 1.13247759969851 1.09411845899959 1.0472742191209101 1.03392148465217 1.01170719475588 0.980995893561744 1.06773947836453 0.985876106556496 1.04001445560774 1.07955420193276 1.1019684392843998 1.08363810879094 1.11610103199187 1.08947735925423 1.04109268577262 0.994308944117136 1.05750473438459 1.0847787348947702 1.02948739750925 1.05936613323808 1.00987543918362 1.02149691476015 1.07777585847642 1.0516487347357901 1.03703290863388 1.0652566890561301
Baroja_bildungsroman_ne0111 1.00497596572268 1.11879819811202 1.05553674852825 0.9523335072617121 1.204053113132393 1.129927002199861 1.1051874333530791 1.229608254563289 1.171602578667753 1.1756281644280202 1.085528648758375 1.0864222772390022 1.13351104064399 1.2224954398066001 1.1861220020486702 0.9744983513086083 0.0 1.178934135758467 1.08046051998705 1.11925134632673 1.00320893043633 1.05483444861231 1.05010156892288 1.0417448670676 1.1065011141644199 1.03263270424882 1.01979063069226 1.0453921805670698 1.06361129261489 1.10373435030282 1.02305106184229 1.0109650504625698 1.0670506492615999 1.04965772486921 1.06677654326665 1.0714258059922699 1.0049863006980502 1.0113294252404 1.0428824516347601 1.11249184895074 1.0524197331951501 1.1182087398624598 1.13554300262085 1.05887139205151 0.979719981015611 1.03592447511424 1.09478043104941 1.02714754531704 1.09251823353423 1.0371852817846299 1.05231228422864 1.08271618442517 0.994815489216592 1.02921374954173 1.01957146032133
Baroja_bildungsroman_ne0116 1.12974095042819 1.1436163259868501 1.1186160032968702 0.9651512495319201 1.0821538152719592 1.1527501029808331 1.2182041461394422 1.2654789879475532 1.2228477515053662 1.202341704311043 1.1000911737242172 1.0868648882197183 1.1422264889453773 0.9765602056174252 1.0397534773423383 1.1491078337635323 1.178934135758467 0.0 0.964104334338244 1.04285963456702 1.08708938074042 1.09678848326568 0.967114663035816 1.02332346394782 1.01306380003383 1.13633131825156 1.10637178162284 1.02083474145464 1.1548509464722398 1.1191415333157 1.15551668646651 1.1429269776413702 1.08729849125719 1.07511583162093 1.05324901893065 0.9854104844796491 1.1210977276493501 1.13575809656996 0.9069126896853471 0.9694267355652142 0.984053042033579 0.9883420198745508 1.07170156715995 1.15413267590558 1.03550109478947 0.9545016353033181 1.07902169843868 0.9628478448210491 0.9995654591109301 1.07367567704741 1.05108240112079 1.06924201119406 1.17972189331433 1.0289706622415 1.02220575539039
Bazan_bildungsroman_ne0075 1.00013490007904 0.992689914335153 1.01270206700692 1.0389655988021 1.02369167583779 1.05857871213824 1.10284423650012 1.06612064129767 1.0531581313331702 1.09750575031277 1.07422247155213 1.0658147607334498 1.08172663365363 0.9301619417266519 0.9966763660901371 1.06693188166394 1.08046051998705 0.964104334338244 0.0 1.525700764668397 1.0817030713245699 1.06111083842446 1.00112962665965 1.04434137120044 0.9732030852089979 1.09093861417444 1.07380304893435 1.0261751112592299 0.994694959910427 0.9951004797478921 0.9990978027349571 0.9635930160631841 0.940614404186403 0.9304326609778171 0.9384515242631541 0.977013096537449 1.03842605696763 1.0446753480300799 1.03984709106388 1.0050303962671099 1.0270816042728899 0.958981585600715 0.8797983602764459 0.9963465768734779 0.997541649206939 1.02152145088304 0.946221135145584 1.02624126488643 1.00890204533397 1.0066056155943 0.9611936015943392 1.00343359025916 1.02143278348934 1.01288401497953 1.00892225647273
Bazan_bildungsroman_ne0106 1.01401021554607 0.9617641719598721 0.96644176335154 1.03069270126858 1.0244473596348 1.06985980347557 1.04601058517499 1.06157508527073 1.06137438408717 1.00762842800571 1.0668976473826601 1.04916264448751 1.07541299751217 1.08146068272552 1.10958949438873 1.12958388028091 1.11925134632673 1.04285963456702 1.525700764668397 0.0 1.0394278297432902 1.00323665830587 1.0064178388481502 1.01095422514908 1.00815847582454 1.02682431397999 1.04101960869398 0.9935438220974259 1.02778981031116 1.01302891025535 1.01974325967306 1.00118705007355 1.03504598223998 1.05037135657576 1.07299339614063 0.9866051628354392 1.04231835173757 1.06430754540447 0.978152661029028 0.9423290260026019 0.971990653240129 0.946670319579528 1.00994335834136 1.03456188323324 1.06126405640482 1.01971729068619 0.961486847619711 1.04651613081214 0.9753333690060909 0.977570702854057 1.04660445311199 1.02400603365376 0.993536928511845 1.0307249650381 1.02470665226072
BlascoIbanez_adventure_ne0166 0.987119739673778 1.00429664917618 1.00047574052242 1.00619018237874 1.0922656476250001 1.0861472834423398 1.0535784818512801 1.0530590181693 1.03006981651032 1.0509152413210698 1.0801404353978499 1.07106449589463 1.05407125003011 1.12927113426878 1.10402844787916 1.03995471535146 1.00320893043633 1.08708938074042 1.0817030713245699 1.0394278297432902 0.0 1.018577963442744 1.165205220635963 1.203636057107587 1.165672830446812 1.207538111445242 1.162295042129764 1.04018262651373 1.0554429723007 1.04411117890135 0.997121795810676 1.04816118720275 1.10070828671217 1.06958414863975 1.08441458713608 1.08861723662241 1.0572716577828 1.00519327951167 1.04792996959934 1.0686508404486 1.09293204809387 1.0561854809809101 1.08632413007316 0.959979856307866 0.98516558233202 1.07713484232633 1.05483133763751 1.0127084848122099 1.0523759290535302 1.06661711901291 1.0240246017919201 1.00954508582071 0.9355686797560041 1.00918620498361 0.986434393847872
BlascoIbanez_adventure_ne0266 1.00672067514332 0.997752557438798 1.01258766778659 1.02032979538706 1.09033679282535 1.07368832967175 1.0316288973360601 1.03703113368523 1.0567353485496 1.02579908611743 1.07527206353569 1.08458113246779 1.0473240088165299 1.10197663599873 1.07146985336762 1.07863638184793 1.05483444861231 1.09678848326568 1.06111083842446 1.00323665830587 1.018577963442744 0.0 1.204551607446733 1.2285303171346982 1.1595108578863682 1.206796562647825 1.1738051742977351 0.968126530584818 1.05877161946052 1.00055168026211 1.01631371074912 1.1013677808375901 1.11105292293164 1.10171869050301 1.0936060068234101 1.08335114985826 1.04765860203867 1.01887865645311 1.03121916604379 1.04391712350939 1.09638866217757 1.07857310539417 1.08328229696839 1.03610315553257 1.03733597872482 1.01460399241819 1.0110852973457 1.0449043762912098 1.01486370713489 1.1136320957093302 1.03260788152895 0.969842180230985 1.00693989689347 0.9544409542266479 0.988414726412084
BlascoIbanez_bildungsroman_ne0253 1.0636922206746 1.0370798270605102 1.02126827991359 1.0379827821371501 1.0810594373714202 1.1281968631083001 1.09215211120535 1.11337680120321 1.1206018637949198 1.08617988680707 1.0976759202837099 1.09123326708191 1.05982168211825 1.0570394733168 1.09402035144641 1.05730475225442 1.05010156892288 0.967114663035816 1.00112962665965 1.0064178388481502 1.165205220635963 1.204551607446733 0.0 1.128877681184081 1.0910817419006822 1.152581752160443 1.095899865296007 1.0354399056130998 1.05543810054695 1.06415086945771 1.03781241561002 1.0471608969956 1.08680725005525 1.0408769909362001 1.0471582866151201 1.05636060477188 1.1057013355927099 1.09796907151595 0.9647207022740899 0.97748904865713 0.999268011488095 0.989386598311266 1.06872816765909 1.0327905838732099 0.993083730105149 1.09270677844818 1.03309641203849 1.00730915787791 0.997634248904957 1.05217577299949 0.991920229231402 0.9812143924699821 0.98746970201224 1.07044330658142 1.05170837166442
BlascoIbanez_bildungsroman_ne0256 1.00828183036487 1.00193953794412 0.9183161988681479 1.0188868397141702 1.1064125226068502 1.09707173783576 1.09452287215664 1.09874721083911 1.10871376744354 1.07521882167596 1.0675792604159902 1.07712846090212 1.0939007981726099 1.0823972106450501 1.11291613098458 1.04338649055287 1.0417448670676 1.02332346394782 1.04434137120044 1.01095422514908 1.203636057107587 1.2285303171346982 1.128877681184081 0.0 1.1881717472436761 1.23827977592516 1.1909287528381038 1.0484400788066 1.01541644770617 1.04170885293802 0.982663631635769 1.03452847596718 0.963715028332622 1.02405439353527 1.0439878387030401 1.0360273919079 0.9719532599211559 0.980229557736933 0.986116565897279 1.0048303265577598 1.0074479363902902 0.9788775358491321 1.07720709920648 1.0515047116540401 1.0560098778474498 1.07335203923972 1.0123674725213498 1.08983821713296 1.02145792794395 1.03395472927214 1.08813510086379 1.0299145106573802 0.9909068305194029 1.07005100478758 1.03805265928496
