"ne0005" "ne0006" "ne0009" "ne0024" "ne0039" "ne0043" "ne0044" "ne0061" "ne0063" "ne0066" "ne0067" "ne0068" "ne0072" "ne0075" "ne0106" "ne0111" "ne0112" "ne0113" "ne0116" "ne0118" "ne0143" "ne0146" "ne0149" "ne0151" "ne0162" "ne0166" "ne0171" "ne0175" "ne0180" "ne0182" "ne0183" "ne0186" "ne0193" "ne0200" "ne0231" "ne0233" "ne0237" "ne0243" "ne0244" "ne0245" "ne0253" "ne0256" "ne0260" "ne0266" "ne0284" "ne0285" "ne0286" "ne0289" "ne0291" "ne0301" "ne0304" "ne0320" "ne0327" "ne0328" "ne0329"
"ne0005" 0 0.669444288674077 0.757490355286628 0.818263678020334 1.02187569663183 1.10021615140391 0.97102938086344 1.04576758630999 1.13855761751083 1.14231931781304 1.10609866542072 1.04727421912091 0.83096399721567 0.963593016063184 1.00118705007355 1.01096505046257 1.15632994515031 1.05880811284679 1.14292697764137 1.12396087601668 1.03885597625958 0.929210620774458 1.01190147042442 0.889996257375183 0.92283588525088 1.04816118720275 1.06437523303679 0.922017455351208 0.928905565204212 1.09298881410696 0.840894905227737 0.963464439716001 0.966974155379896 1.02847457480072 0.941201766522344 1.14635274435269 1.18146908253832 1.15768605600716 1.15721168942703 1.14019163211988 1.0471608969956 1.03452847596718 1.07892166005731 1.10136778083759 0.906305739490708 0.935860764738242 0.898355192435975 0.996032267703582 1.02089223069649 1.08613927197284 1.14851356287327 1.03780787822937 0.948711379264202 0.995987992418857 0.998475912592195
"ne0006" 0.669444288674077 0 0.735075942843264 0.73530428258826 1.07168396556887 1.09023815224156 0.99566762588042 1.00121826910056 1.08211911246052 1.09078142265788 1.05800577913196 1.03392148465217 0.871490251864038 0.940614404186403 1.03504598223998 1.0670506492616 1.12496965615567 1.01996980931675 1.08729849125719 1.08100570591946 1.04025930687439 0.89233381179424 1.00197403661181 0.964298046485472 0.984912476219839 1.10070828671217 1.05356553710304 0.902530774133866 0.956443998292872 1.07497752330756 0.863914110601129 0.944014104090473 0.949820346078917 1.07597297948954 0.936654990362387 1.13846656111914 1.14586653587521 1.1463751965194 1.14107722027277 1.1066222312893 1.08680725005525 0.963715028332622 1.09093899141113 1.11105292293164 0.849045700318995 0.874155896824971 0.882467970553695 1.00703707832624 1.06041676736737 1.06313972306677 1.13009642969024 1.05076374432366 0.984412953221504 1.03096009285914 1.05466931676677
"ne0009" 0.757490355286628 0.735075942843264 0 0.68993394474387 1.03638933060958 1.06030198030614 1.0339808498912 1.0520724765463 1.01650536070383 1.09902119408685 1.01548554534937 1.01170719475588 0.952259947180491 0.930432660977817 1.05037135657576 1.04965772486921 1.10611048286339 1.03113861407582 1.07511583162093 1.09843717613573 1.06256290881324 0.94681667507803 0.988685560753489 0.946082784765988 0.926753017581086 1.06958414863975 1.01137312738251 0.927800872104526 1.00208938734171 1.09524317043049 0.905611002907132 0.995407293051407 0.931190160171429 1.07308393360157 0.922057373798768 1.11908377256478 1.12638118149723 1.14129730088793 1.1234533717333 1.09341352413565 1.0408769909362 1.02405439353527 1.05247322398705 1.10171869050301 0.900703638566545 0.961919339925829 0.90950213367181 0.990542716607318 1.03502355184125 1.05915704065954 1.13588469326336 1.06378922507872 1.00086436343872 1.0094452400172 1.01609653204648
"ne0024" 0.818263678020334 0.73530428258826 0.68993394474387 0 1.0463516509082 1.05360517407775 1.07074634683538 1.04049946732674 0.980097608563771 1.06266462966875 0.940453619717921 0.980995893561744 0.996516560768455 0.938451524263154 1.07299339614063 1.06677654326665 1.09242131997779 1.03240804155496 1.05324901893065 1.09007886322184 1.06271462829023 0.930839031290251 1.02137128512105 0.994980253457702 0.950539878904985 1.08441458713608 0.990780049359943 0.984007324881092 0.987127774676953 1.06990469616063 0.936619149384297 0.995011222552197 1.00395534721949 1.0798487148192 0.911135679360229 1.07108309502926 1.09901175473771 1.12471836729541 1.1071324154427 1.06813364055866 1.04715828661512 1.04398783870304 1.04168098375071 1.09360600682341 0.89524084364949 0.938106352168235 0.931166326046286 1.01811718525014 1.02783211012245 1.02677278845728 1.097049338667 1.04563072525652 1.04573066441685 1.0440206840983 0.975517962283539
"ne0039" 1.02187569663183 1.07168396556887 1.03638933060958 1.0463516509082 0 1.01178089688922 0.968552733292358 0.995914112369019 1.06106998753581 1.09337169659143 1.06572477350464 1.06525668905613 1.0315032859978 1.00892225647273 1.02470665226072 1.01957146032133 1.08201500634825 0.97253070469818 1.02220575539039 1.05660005217024 0.868693119883631 1.03978914450787 0.92521185632477 1.00633497435633 1.02011540703756 0.986434393847872 0.956804444016046 0.986040262889199 0.990554687409069 0.980186198498963 1.01795162170452 1.00021690454647 1.00312549777983 0.962513218578389 1.04070130108452 1.04292905577249 1.03637257195803 1.07067706335938 1.06650599341802 1.07442835200155 1.05170837166442 1.03805265928496 1.00492438424471 0.988414726412084 1.03416413341874 1.01204837752957 1.0254120273107 0.995392378711314 0.966763557674469 0.998872545891683 1.04105370413244 1.05171852614144 1.06340318963748 1.06057405396419 0.995642636520505
"ne0043" 1.10021615140391 1.09023815224156 1.06030198030614 1.05360517407775 1.01178089688922 0 0.781409799478894 0.789661098813185 0.995742847066269 1.01668310237078 1.03150407992967 1.1019684392844 1.00825007048872 1.00503039626711 0.942329026002602 1.11249184895074 1.08161241741561 1.03243480291428 0.969426735565214 1.07939472258413 1.0454755593566 1.0441734280741 1.09045093520794 1.07423630212144 1.0682686426113 1.0686508404486 1.01204913004364 1.0317900721072 1.00733281242497 1.02517443625511 1.09795405108873 0.996052060912142 1.05080796066171 0.916952884358857 1.06991505075738 1.04245225312025 1.05765270638587 1.0611229298114 1.04977282798365 1.02412138559285 0.97748904865713 1.00483032655776 0.989786471531912 1.04391712350939 1.05837049456732 1.04069672965905 1.07949957559171 1.07241713961727 0.989561161349982 0.999696954072354 1.04293272737068 0.943358136881122 1.10137552415522 1.09903903455402 1.03290861808752
"ne0044" 0.97102938086344 0.99566762588042 1.0339808498912 1.07074634683538 0.968552733292358 0.781409799478894 0 0.812979654437622 1.04222482442822 1.08115597954347 1.08519713548388 1.08363810879094 0.893709958495598 1.02708160427289 0.971990653240129 1.05241973319515 1.0989656269526 1.00848068154601 0.984053042033579 1.06895506387576 1.01581354565015 1.04159961731562 1.08578260585904 1.04154334580364 1.0629622838485 1.09293204809387 1.02924813778667 1.00910019966683 0.994752030057173 0.99738811279033 1.06950488158347 0.99362456829671 1.01035843523529 0.915178478581893 1.12068533850646 1.08212092912446 1.07680566736775 1.07887909695932 1.05944301788089 1.11120008025046 0.999268011488095 1.00744793639029 1.04809587455686 1.09638866217757 1.04535178049616 1.03131662176513 1.0643846041039 1.03550431444593 0.966572365271593 1.0187242363319 1.03609629179767 0.931124896415776 1.11212951498115 1.12969097688335 1.04281882084828
"ne0061" 1.04576758630999 1.00121826910056 1.0520724765463 1.04049946732674 0.995914112369019 0.789661098813185 0.812979654437622 0 1.04900591214953 1.04978729638861 1.05612070626691 1.11610103199187 0.939798352572273 0.958981585600715 0.946670319579528 1.11820873986246 1.09383770178013 1.05627507649626 0.988342019874551 1.09795514121186 1.07934211246178 1.00555828160453 1.03974988634889 1.04381591772093 1.07629653544214 1.05618548098091 0.950814594617107 1.00170569758157 0.935654288524078 1.04863260985746 1.03712240244412 0.914514284277704 1.03657202105912 0.923372495977647 1.06983247877733 1.09122581187995 1.0845232339332 1.09109057135407 1.09284902380025 1.08707177376963 0.989386598311266 0.978877535849132 1.01369860821301 1.07857310539417 1.03655797486747 1.00701532171518 1.02414802687624 1.07582021436563 1.00220921476508 0.946574551423764 1.11203122450155 0.901641819383347 1.11087079679691 1.09946581152033 1.06130035026295
"ne0063" 1.13855761751083 1.08211911246052 1.01650536070383 0.980097608563771 1.06106998753581 0.995742847066269 1.04222482442822 1.04900591214953 0 0.807149911892018 0.729693278838977 0.849446572326167 1.08032580509229 0.930161941726652 1.08146068272552 0.981749228788787 0.875318671779893 1.03167661629572 0.735813994599612 0.961775624592747 1.03676202841493 1.02295238007772 1.0803964265799 1.16658613232993 1.00634625910009 1.12927113426878 0.953988712164393 1.11177282672037 1.14291269616579 0.990231347982207 1.16249408282575 1.06900897842459 1.07366938080826 1.0482028369337 0.976421577824417 0.906315943838359 0.908674910499836 0.959903559743182 0.874636260028548 0.850205952845777 1.0570394733168 1.08239721064505 0.979289754189128 1.10197663599873 1.09178560078587 1.10449276970615 1.1470148030396 1.09975211268201 1.07063166126323 0.98459575128645 0.895163243305373 1.00189907223551 1.15214059756571 1.10950391852065 1.05552536647554
"ne0066" 1.14231931781304 1.09078142265788 1.09902119408685 1.06266462966875 1.09337169659143 1.01668310237078 1.08115597954347 1.04978729638861 0.807149911892018 0 0.831378654019991 0.892186354028757 1.03959234837405 1.02369167583779 1.0244473596348 0.96330690211458 0.751373948826667 1.03572833532825 0.841407604254146 0.816521954427536 1.03030791093032 1.04753380287231 1.10464007966378 1.15097413495996 1.08072967491467 1.092265647625 0.98787785732424 1.06427994223744 1.15158481623011 0.999743571052282 1.16022072261119 1.07171234718418 1.04118525982986 1.04578411732725 1.02810917312614 0.904023216681958 0.887164160999913 0.83499823105046 0.847556816532796 0.745615857211967 1.08105943737142 1.10641252260685 1.03870477750972 1.09033679282535 1.11498362839031 1.08732722809459 1.12445058400763 1.09303159536017 1.04892995306222 1.00324098787138 0.880772893868542 1.01521637720106 1.10444966300011 1.12302711679722 1.08122471282785
