"ne0005" "ne0006" "ne0009" "ne0024" "ne0039" "ne0043" "ne0044" "ne0061" "ne0063" "ne0066" "ne0067" "ne0068" "ne0072" "ne0075" "ne0106" "ne0111" "ne0112" "ne0113" "ne0116" "ne0118" "ne0143" "ne0146" "ne0149" "ne0151" "ne0162" "ne0166" "ne0171" "ne0175" "ne0180" "ne0182" "ne0183" "ne0186" "ne0193" "ne0200" "ne0231" "ne0233" "ne0237" "ne0243" "ne0244" "ne0245" "ne0253" "ne0256" "ne0260" "ne0266" "ne0284" "ne0285" "ne0286" "ne0289" "ne0291" "ne0301" "ne0304" "ne0320" "ne0327" "ne0328" "ne0329"
"de" 5.08348723416408 5.23504101332732 5.34421904524225 5.22471761266791 5.36854747286543 5.44956997654417 5.32869530147207 7.68100163309744 5.84365325077399 5.01209977661951 5.67294567294567 5.15301243226012 4.18994413407821 5.59152902902903 5.51618079700455 5.25258387838471 5.78668287468824 5.3489062654657 5.9115014915479 5.45589477186069 4.68402667513496 5.90035424923714 6.72757317327964 5.63760161451555 5.27621410170785 6.22080586720217 5.22131412849976 5.80162786295665 5.97192284308849 5.0785096128932 6.08773500447628 5.31357723732074 4.43221076875544 5.69942797711908 4.64213131577359 5.37264510685252 5.6373063690255 5.7790558491227 5.4612118873022 5.37346033150393 5.78629747958821 5.76638838771495 6.03353058970376 5.98834737241292 5.87663315894711 5.84124550333196 6.27519337618477 4.85901235292392 5.50549141087018 5.6236512731981 5.46703784872357 6.12289525475618 5.34123804267114 5.48376231279216 5.33250492758591
"la" 3.06532376292291 3.56469469646915 3.35698242361582 3.23586297038797 3.31788131503036 3.64347146207975 3.28695301472071 3.80919978225367 4.29889060887513 3.67879746835443 3.76194376194376 3.75199234937839 3.12090488999241 4.35122622622623 3.66408130516181 3.46005312855772 3.83962442101733 3.8503414827279 3.70732515744117 3.23975740205236 3.16767227691331 3.91340184490197 4.12543448118673 2.83860502838605 3.42842604077219 3.55204377119076 4.16127205049361 3.44636434926043 4.36080252031172 3.25957402705084 3.44626113179098 3.57285695240635 3.62890767631941 4.51378055122205 3.4609734994064 3.49197591964561 3.2224716923226 3.40700084664117 3.72294629338242 3.37310090271922 4.23536900346419 4.61046043444135 3.88825531379927 3.27629598133741 3.78947656742173 3.90251813410391 3.83328404899382 3.3097620374989 3.47789355111236 4.28571428571429 3.39631582064799 3.19265252569429 3.4626121278784 3.70924147449537 3.29934013197361
"y" 3.59271176436989 3.64285368958793 3.40404292488146 3.69598431524936 3.72756557754257 5.3635652853792 5.42952208106473 4.54817637452368 4.01831785345717 3.95569620253165 3.54081354081354 3.20051004144087 4.2589144078902 3.85854604604605 4.45974859588125 3.4957698060138 3.68662628633706 2.09838661783629 3.57640039774611 3.72853596744888 2.61194029850746 3.92480095401775 3.38467967102889 5.20379486599144 2.77645262856598 2.65566566260677 2.80385175594756 3.43825207539007 2.30475874647654 2.91755195108048 4.20958394194977 3.40906926695488 4.80858354633037 4.81539261570463 3.29295530917359 4.06315413698541 4.07695165484825 3.81134499167956 4.08663123831013 3.98689467354189 2.83745241330347 3.01519831197823 2.97141728253159 2.30984037968719 3.94149387822181 3.46612018635372 3.53602166435808 4.49517326369531 3.4638130104196 2.73845489857574 3.65574838595036 2.71156789853488 3.27836304217477 3.24178667959219 3.42788585140115
"que" 3.84974201778269 3.85476931010588 3.06035865806268 3.27913733871466 2.84646380748207 1.68881939014855 1.96612220205687 2.0890038105607 2.23329463364293 2.38272524199553 2.8037128037128 3.07459356072681 4.28305400372439 3.18912662662663 3.23615940090933 3.03591758376677 2.69947393792048 3.23072354746115 2.68644348690752 2.82519128899353 3.48258706467662 3.61264073515485 2.58694372162814 3.68547124615704 3.56200108132176 2.8768498712184 3.77892862922803 3.72218166085287 2.01735477809097 2.9227341037467 3.76572586345003 2.59965337954939 3.76372777574923 2.48569942797712 3.14505905789082 2.22305158453275 2.50852057051479 2.55598049805856 2.96291897990084 2.29619696697402 2.88886440698713 3.11815133074422 2.75679995689694 3.25101414633586 3.29096935002328 3.27593324290853 3.28233701150141 4.16947859511165 2.28104759222754 3.88864911523522 2.65355683231653 3.6081347036956 4.01655065062958 4.04525028137657 2.98011826206187
"el" 1.87346495820878 2.18321434902422 2.24107811330172 2.25556605523222 2.66350891764785 3.5027365129007 1.89050211736237 2.60887316276538 3.00245098039216 2.90860014892033 2.72590772590773 2.53586228881097 1.6139044072005 2.51970720720721 2.88178657395025 2.08719333883965 2.60306415442332 2.97733346530733 2.69638713954259 2.50531002891727 2.73102572245157 2.26140787766125 3.32769853178598 2.30294799977367 2.28349712177591 2.16382183029933 2.75125424826024 2.25521213596171 3.87166307411706 4.19236150697 2.24756160768977 2.97484144971147 2.48293683116591 3.00572022880915 2.32911443346681 3.1690655070018 2.79442407404416 3.0289317723995 3.11878395629843 2.86713576731133 2.80440184593539 2.94078672415726 2.92831422131626 2.64195175766212 2.42679887151113 2.30878103438108 2.39833159541189 2.67891200375576 2.28104759222754 3.1743634009495 3.05632885150743 2.77717034769298 2.70973224319291 2.65644126418179 2.14885594309709
"a" 1.94771814252804 2.33792080963048 2.13055723911726 2.31826973178723 2.61299989898196 1.26661454261142 1.5124016938899 1.45209580838323 2.83475232198142 3.04123231571109 2.6986076986077 2.78291361173095 2.85881784950686 2.56506506506507 2.72131585985558 2.7814362568922 2.87552658604573 2.29040878946847 2.46768312893603 3.01712004503928 2.3446596803218 2.55252358738732 2.15578643469012 2.32746751164677 2.79553477721591 2.36172349063605 2.27787667907428 0.0878829669289635 2.11684076714752 2.33715085246411 2.25698534608679 0.257108575999391 2.77785579866865 1.60166406656266 2.70237640099 3.14959352231976 3.08355812563601 2.89901614457128 2.61407831843957 2.97081714751787 2.05647974734677 2.09677583764003 2.44789468485376 0.0678012847768878 2.21041387055247 2.48717343869788 2.35631021119636 2.38549338341011 1.87271191213743 2.20543806646526 2.66066457383166 2.77717034769298 2.6191960545282 2.71600272750425 2.37488216642386
"en" 2.01625954343811 2.16347316004061 2.03215800919819 1.95441177769339 1.95638265632541 2.14229867083659 1.83504738858641 2.10397387044094 2.39938080495356 2.26870811615786 2.35462735462735 2.18202103920944 1.6208014345817 1.91910660660661 2.28002139609521 2.50686429894859 2.25095885817283 2.08848856775215 2.70135896586013 2.31338127287151 2.23880597014925 2.41573427799797 2.75978651066497 2.67639902676399 2.11175778392647 2.32388934968932 2.51051950153747 2.19437008193397 3.3825236279224 2.43042960045603 2.56325684399001 2.45871978974232 1.74704378844479 2.20488819552782 2.28182787693422 2.34799681957584 2.61028283448287 2.52386652264035 2.32758364753733 2.44688057287419 2.41636370313246 2.47189178720325 2.35001481667729 2.11562991990255 2.58703333424635 2.38249690393348 2.56174808958337 2.09794313547138 3.0484370599831 2.6629261976694 2.39886276135758 1.83686857642685 2.31621749333884 2.52458450744724 2.38987916702374
"los" 0.984330674180835 1.08898844536122 1.10164355235481 1.20726656127739 1.66230792542624 1.56372165754496 1.04859850776366 1.9352204681546 1.48832559339525 1.36587862993299 1.38138138138138 1.25916480714058 1.075936271467 1.39827327327327 1.64482481947045 1.34160769694399 1.53626894137866 1.21548055033158 1.35730858468677 1.60708345062313 1.28347623584207 1.30563642103048 1.62776121103915 1.03547784756408 1.27850395954584 1.58321328269379 1.62445379511248 0.991049457829696 1.73271430940143 1.49764212053687 1.3230928709419 1.70072561753671 1.5363873830857 1.63286531461258 1.4065235326076 1.93908514125302 1.68311554055145 1.94873441742329 1.42208235608467 1.56351521351452 1.72964635892916 2.08148578534805 1.96208726573935 2.1144807455843 1.29831000575201 1.30624520846848 1.52677695983067 1.75757753587043 1.52773866516474 1.94648252050065 1.39548658413789 1.72753116116335 1.05069629476677 1.2323061377061 1.41078927071729
"se" 1.18233916569884 1.31057321966706 1.35976327141788 1.5190186433044 1.11007598801253 1.36043784206411 1.29058277878605 1.83179096352749 1.85436016511868 1.75679448994788 1.84548184548185 1.58591010519605 1.38975101731154 1.61724224224224 1.36400106980476 1.5693015157265 1.58237796826861 1.5282589329902 1.86443486907524 1.66082350231594 1.36022017571716 1.34246431201992 1.42452848107276 1.10903638318339 1.20217536494609 0.961860275607165 2.047256837676 1.06000378572781 1.03078538661361 1.39918121987874 1.34853696461386 1.35600967490049 1.46335982922787 1.44565782631305 1.65402338169306 1.6599866941438 1.6071976610832 1.59402096166759 1.35082979544577 1.72664058503947 1.1261674806899 1.01525947218739 1.02639164518997 1.12963835484205 0.825823769481498 0.874270212891431 0.806188037912627 1.27930518470702 1.61222190932132 1.85153215364696 1.41325593792572 1.35578394926744 1.10350907148785 1.09839553740871 1.41293169937441
"no" 2.33611941435181 1.91086651733196 1.63784805162394 1.60998313182786 1.12354505965676 1.0398749022674 1.85017140552531 1.11050626020686 1.10294117647059 1.3542442293373 1.33633633633634 1.70385718839656 2.93468515070005 1.32632632632633 1.28376571275742 1.56260463870348 1.09823318592417 1.13431653964169 1.16672190918131 1.27696599022443 1.53752514025617 1.44330258496721 1.09403787346388 1.40515664195854 1.3421111217123 0.873095560309076 1.12073150995307 1.36827019280171 1.23528436411872 1.24371663989221 1.41167601187391 1.19984002133049 1.79760132573098 0.676027041081643 1.57957220757792 1.03363785353822 1.09515579318031 1.06560009342247 1.13707211352908 1.32020957462986 0.919295410867516 1.0356462085767 0.870143048284408 0.800974499821878 1.24900709414117 1.21483753022351 1.10967581280252 1.45242217071095 1.59814136862856 0.990504963314631 1.26754723686549 1.39951891537284 1.09358185781847 0.97393261750039 1.30152540920387
