,idno,author-name,author-gender,title,year,supergenre,genre,genre-subtitle,availability,subgenre,genre-label,narrative-perspective,narrator,protagonist-gender,setting,subsubgenre,form,decade
ne0005,ne0005,Galdos,male,Tristana,1892,narrative,novel,n.av.,free,bildungsroman,n.av.,heterodiegetic,third-person,female,big-city,n.av.,prose,1890
ne0006,ne0006,Galdos,male,Angel,1891,narrative,novel,n.av.,free,bildungsroman,n.av.,heterodiegetic,third-person,male,small-city,n.av.,prose,1890
ne0009,ne0009,Galdos,male,Desheredada,1881,narrative,novel,n.av.,free,bildungsroman,n.av.,heterodiegetic,third-person,female,big-city,n.av.,prose,1880
ne0024,ne0024,Galdos,male,Centeno,1883,narrative,novel,n.av.,free,bildungsroman,n.av.,heterodiegetic,third-person,male,big-city,n.av.,prose,1880
ne0039,ne0039,Zamacois,male,Vagon,1921,narrative,novel,n.av.,free,adventure,memoria,homodiegetic,third-person,other,mixed,n.av.,prose,1920
ne0043,ne0043,Miro,male,Nomada,1908,narrative,novel,De la falta de amor,free,bildungsroman,n.av.,heterodiegetic,third-person,male,rural,n.av.,prose,1900
ne0044,ne0044,Miro,male,Amigo,1908,narrative,novel,n.av.,free,bildungsroman,novela,homodiegetic,first-person,male,rural,n.av.,prose,1900
ne0061,ne0061,Miro,male,ObispoLeproso,1926,narrative,novel,novela,free,bildungsroman,novela,heterodiegetic,third-person,male,rural,n.av.,prose,1920
ne0063,ne0063,Baroja,male,Busca,1904,narrative,novel,La lucha por la vida 1,restricted,bildungsroman,n.av.,heterodiegetic,third-person,male,big-city,n.av.,prose,1900
ne0066,ne0066,Baroja,male,Zalacain,1904,narrative,novel,Tierra vasca 3,restricted,adventure,n.av.,heterodiegetic,third-person,male,small-city,n.av.,prose,1900
ne0067,ne0067,Baroja,male,AventurasParadox,1901,narrative,novel,n.av.,restricted,bildungsroman,n.av.,heterodiegetic,third-person,male,big-city,n.av.,prose,1900
ne0068,ne0068,Baroja,male,ArbolCiencia,1911,narrative,novel,La Raza (3),restricted,bildungsroman,n.av.,heterodiegetic,third-person,male,mixed,n.av.,prose,1910
ne0072,ne0072,Unamuno,male,TiaTula,1921,narrative,novel,Como se hace una novela,restricted,bildungsroman,n.av.,heterodiegetic,third-person,female,small-city,n.av.,prose,1920
ne0075,ne0075,Bazan,female,Tribuna,1883,narrative,novel,n.av.,free,bildungsroman,n.av.,heterodiegetic,third-person,female,small-city,n.av.,prose,1880
ne0106,ne0106,Bazan,female,Fada,1916,narrative,novel,n.av.,free,bildungsroman,n.av.,heterodiegetic,third-person,male,rural,novela corta,prose,1910
ne0111,ne0111,Baroja,male,Ansi,1912,narrative,novel,n.av.,restricted,bildungsroman,n.av.,mixed,first-person,female,big-city,n.av.,prose,1910
