,KNN,SGD,SVM,TRE,average,num-topics,opt-int
060-0300,0.818,0.837,0.87,0.785,0.8275,60,300
070-1000,0.829,0.829,0.867,0.788,0.82825,70,1000
060-3000,0.793,0.814,0.862,0.801,0.8175,60,3000
050-0300,0.829,0.846,0.857,0.801,0.83325,50,300
080-1000,0.79,0.826,0.857,0.8,0.81825,80,1000
060-0050,0.796,0.839,0.855,0.834,0.831,60,50
060-1000,0.826,0.849,0.854,0.811,0.835,60,1000
070-0100,0.811,0.844,0.854,0.786,0.82375,70,100
070-0300,0.788,0.842,0.854,0.799,0.82075,70,300
070-0500,0.798,0.833,0.854,0.783,0.817,70,500
060-0100,0.775,0.824,0.854,0.849,0.8255,60,100
050-2000,0.801,0.839,0.852,0.791,0.82075,50,2000
050-0500,0.816,0.834,0.852,0.798,0.825,50,500
080-0500,0.796,0.811,0.852,0.826,0.82125,80,500
080-0100,0.8,0.839,0.847,0.785,0.81775,80,100
090-1000,0.79,0.783,0.846,0.782,0.80025,90,1000
070-0050,0.803,0.847,0.844,0.801,0.82375,70,50
060-0500,0.782,0.842,0.844,0.775,0.81075,60,500
050-0100,0.824,0.821,0.842,0.788,0.81875,50,100
050-7000,0.811,0.865,0.841,0.749,0.8165,50,7000
050-1000,0.795,0.834,0.841,0.79,0.815,50,1000
080-0050,0.788,0.826,0.841,0.803,0.8145,80,50
050-3000,0.809,0.799,0.839,0.805,0.813,50,3000
090-2000,0.818,0.783,0.836,0.755,0.798,90,2000
090-0100,0.767,0.826,0.834,0.758,0.79625,90,100
060-2000,0.793,0.816,0.834,0.739,0.7955,60,2000
050-0050,0.803,0.798,0.834,0.79,0.80625,50,50
070-2000,0.803,0.816,0.831,0.77,0.805,70,2000
070-3000,0.808,0.805,0.831,0.791,0.80875,70,3000
090-0300,0.782,0.821,0.829,0.785,0.80425,90,300
080-3000,0.834,0.811,0.824,0.788,0.81425,80,3000
080-2000,0.79,0.793,0.824,0.747,0.7885,80,2000
100-2000,0.783,0.76,0.824,0.752,0.77975,100,2000
080-0300,0.79,0.821,0.821,0.773,0.80125,80,300
070-7000,0.791,0.803,0.819,0.811,0.806,70,7000
060-7000,0.816,0.798,0.819,0.76,0.79825,60,7000
090-0050,0.696,0.798,0.819,0.783,0.774,90,50
100-0500,0.786,0.793,0.819,0.778,0.794,100,500
090-3000,0.767,0.719,0.818,0.757,0.76525,90,3000
090-0500,0.808,0.826,0.816,0.772,0.8055,90,500
100-0300,0.79,0.824,0.816,0.783,0.80325,100,300
100-3000,0.798,0.735,0.816,0.755,0.776,100,3000
080-7000,0.806,0.829,0.814,0.786,0.80875,80,7000
100-0050,0.805,0.831,0.811,0.793,0.81,100,50
100-1000,0.772,0.747,0.805,0.73,0.7635,100,1000
090-7000,0.805,0.788,0.801,0.778,0.793,90,7000
100-0100,0.796,0.826,0.798,0.785,0.80125,100,100
100-7000,0.811,0.773,0.736,0.721,0.76025,100,7000
