	KNN	SGD	SVM	TRE	mfw
100	0.857	0.823	0.833	0.785	100.0
200	0.867	0.867	0.880	0.780	200.0
500	0.870	0.864	0.875	0.811	500.0
1000	0.867	0.875	0.890	0.808	1000.0
1500	0.854	0.841	0.885	0.798	1500.0
2000	0.852	0.805	0.898	0.772	2000.0
2500	0.849	0.767	0.903	0.775	2500.0
3000	0.859	0.729	0.903	0.780	3000.0
3500	0.857	0.670	0.905	0.775	3500.0
4000	0.851	0.629	0.905	0.785	4000.0
4500	0.854	0.568	0.903	0.785	4500.0
5000	0.852	0.534	0.898	0.798	5000.0
