,idno,author,gender,title,year,2-year,5-year,decade,subgenre
rv1493,rv1493,Pelot,male,VentColere,1973,1972s,1970s,1970s,adventure
rv0089,rv0089,Simenon,male,Pedigree2,1948,1948s,1945s,1940s,autobiographical
rv0145,rv0145,Mirbeau,male,JournalFemmeChambre,1900,1900s,1900s,1900s,blanche
rv0397,rv0397,LeRouge,male,Conspiration3,1900,1900s,1900s,1900s,blanche
rv0399,rv0399,LeRouge,male,Conspiration1,1900,1900s,1900s,1900s,blanche
rv0702,rv0702,Colette,female,ClaudineEcole,1900,1900s,1900s,1900s,blanche
rv0704,rv0704,Colette,female,ClaudineParis,1901,1900s,1900s,1900s,blanche
rv0789,rv0789,Verne,male,ChasseMeteoreV1,1901,1900s,1900s,1900s,blanche
rv0322,rv0322,Allais,male,CaptainCap,1902,1902s,1900s,1900s,blanche
rv0385,rv0385,LeRouge,male,Sousmarin,1902,1902s,1900s,1900s,blanche
rv0401,rv0401,LeRougeGuitton,male,PrincesseAirs1,1902,1902s,1900s,1900s,blanche
rv0703,rv0703,Colette,female,ClaudineMenage,1902,1902s,1900s,1900s,blanche
rv0324,rv0324,Colette,female,ClaudineSenVa,1903,1902s,1900s,1900s,blanche
rv0785,rv0785,Verne,male,BoursesVoyage,1903,1902s,1900s,1900s,blanche
rv0392,rv0392,LeRouge,male,EsclaveAmoureuse,1904,1904s,1900s,1900s,blanche
rv0771,rv0771,Rolland,male,JeanChristophe01,1904,1904s,1900s,1900s,blanche
rv0850,rv0850,Verne,male,MaitreMonde,1904,1904s,1900s,1900s,blanche
rv0170,rv0170,Verne,male,InvasionMer,1905,1904s,1905s,1900s,blanche
rv0390,rv0390,LeRouge,male,EspionneLama,1905,1904s,1905s,1900s,blanche
rv0688,rv0688,Bourget,male,DeuxSoeurs,1905,1904s,1905s,1900s,blanche
rv0774,rv0774,Rolland,male,JeanChristophe04,1905,1904s,1905s,1900s,blanche
rv0386,rv0386,LeRouge,male,ReineElephants,1906,1906s,1905s,1900s,blanche
rv0712,rv0712,Colette,female,RetraiteSentimentale,1907,1906s,1905s,1900s,blanche
rv0387,rv0387,LeRouge,male,PrisonnierMars,1908,1908s,1905s,1900s,blanche
rv0715,rv0715,Colette,female,VrillesVigne,1908,1908s,1905s,1900s,blanche
rv0775,rv0775,Rolland,male,JeanChristophe05,1908,1908s,1905s,1900s,blanche
rv0790,rv0790,Verne,male,ChasseMeteoreV2,1908,1908s,1905s,1900s,blanche
rv0173,rv0173,Verne,male,NaufragesJonathan,1909,1908s,1905s,1900s,blanche
rv0384,rv0384,LeRouge,male,GuerreVampires,1909,1908s,1905s,1900s,blanche
rv0708,rv0708,Colette,female,IngenueLibertine,1909,1908s,1905s,1900s,blanche
rv0206,rv0206,Audoux,female,MarieClaire,1910,1910s,1910s,1910s,blanche
