,idno,language,author-continent,author-country,author-name,title,year,subgenre_hist,subgenre_x,decade
li0267,li0267,Italian,Europe,Italy,DaVerona,PromessiSposi,1930,historical,historical,1930
li0368,li0368,Italian,Europe,Italy,Imbriani,DioOrsenigo,1876,not_historical,sentimental,1870
li0402,li0402,Italian,Europe,Italy,Deledda,EliasPortolu,1903,not_historical,social,1900
li0426,li0426,Italian,Europe,Italy,Azeglio,EttoreFieramosca,1833,historical,historical,1830
li0566,li0566,Italian,Europe,Italy,Guerrazzi,PasqualePaoli,1860,historical,historical,1860
li0653,li0653,Italian,Europe,Italy,Invernizio,BacioMorta,1889,not_historical,gothic,1880
li0770,li0770,Italian,Europe,Italy,D-Annunzio,Piacere,1889,not_historical,Künstlerroman,1880
li0806,li0806,Italian,Europe,Italy,Barrilli,TesoroGolconda,1879,not_historical,suspense,1870
li0859,li0859,Italian,Europe,Italy,Salgari,Jolanda,1905,not_historical,adventure,1900
li0883,li0883,Italian,Europe,Italy,Guerrazzi,LAssedioFirenze,1863,historical,historical,1860
li0986,li0986,Italian,Europe,Italy,Dossi,ColoniaFelice,1874,not_historical,fantastic,1870
li1152,li1152,Italian,Europe,Italy,Nievo,ConfessioniItaliano,1867,historical,historical,1860
li1254,li1254,Italian,Europe,Italy,ZuccariRadius,Lydia,1888,not_historical,Bildungsroman,1880
li1277,li1277,Italian,Europe,Italy,Grossi,MarcoVisconti,1834,historical,historical,1830
li1278,li1278,Italian,Europe,Italy,Cantu,MargheritaPusterla,1838,historical,historical,1830
li1347,li1347,Italian,Europe,Italy,Azeglio,NiccoloLapi,1841,historical,historical,1840
li1489,li1489,Italian,Europe,Italy,Capuana,Profumo,1891,not_historical,psychological,1890
li1699,li1699,Italian,Europe,Italy,Tommaseo,DucaDAtene,1837,historical,historical,1830
li1749,li1749,Italian,Europe,Italy,Verga,Peccatrice,1866,not_historical,sentimental,1860
li1756,li1756,Italian,Europe,Italy,Rovani,ValenziaCandiano,1844,historical,historical,1840
