idno,tpx_all_abs,tpx_date_abs,tpx_time_abs,tpx_duration_abs,tpx_set_abs,tpx_date_none_abs,tpx_date_year_abs,tpx_date_year_month_abs,tpx_date_month_abs,tpx_date_day_abs,tpx_date_month_day_abs,tpx_date_any_abs,tpx_date_full_abs,tpx_date_past_ref_abs,tpx_date_present_ref_abs,tpx_date_future_ref_abs,tpx_date_any_chapter_first_abs,tpx_date_any_chapter_other_abs,tpx_date_any_chapter_other_mean_abs,tpx_all_rel,tpx_date_rel,tpx_time_rel,tpx_duration_rel,tpx_set_rel,tpx_date_none_rel,tpx_date_year_rel,tpx_date_year_month_rel,tpx_date_month_rel,tpx_date_day_rel,tpx_date_month_day_rel,tpx_date_any_rel,tpx_date_full_rel,tpx_date_past_ref_rel,tpx_date_present_ref_rel,tpx_date_future_ref_rel,tpx_date_any_chapter_first_rel,tpx_date_any_chapter_other_rel,tpx_date_any_chapter_other_mean_rel,tpx_date_prop,tpx_time_prop,tpx_duration_prop,tpx_set_prop,tpx_date_none_prop,tpx_date_year_prop,tpx_date_year_month_prop,tpx_date_month_prop,tpx_date_day_prop,tpx_date_month_day_prop,tpx_date_any_prop,tpx_date_full_prop,tpx_date_past_ref_prop,tpx_date_present_ref_prop,tpx_date_future_ref_prop,tpx_date_any_chapter_first_prop,tpx_date_any_chapter_other_prop,tpx_date_any_chapter_other_mean_prop,temp_dist,num_words
li0267,490.0,217.0,33.0,217.0,23.0,176,33,8,16,11,11,41,5,19.0,111.0,6.0,3,38,1.0555555555555556,0.006439488520626076,0.0028517734877058338,0.0004336798391442051,0.0028517734877058338,0.00030226170607020356,0.0023129591421024273,0.0004336798391442051,0.00010513450645920124,0.00021026901291840247,0.0001445599463814017,0.0001445599463814017,0.0005388143456034063,6.570906653700078e-05,0.00024969445284060297,0.0014587412771214171,7.885087984440093e-05,3.9425439922200464e-05,0.0004993889056812059,1.3871914046700164e-05,44.285714285714285,6.73469387755102,44.285714285714285,4.693877551020408,35.91836734693877,6.73469387755102,1.6326530612244896,3.265306122448979,2.2448979591836733,2.2448979591836733,8.36734693877551,1.0204081632653061,3.877551020408163,22.653061224489793,1.2244897959183672,0.6122448979591836,7.755102040816326,0.21541950113378683,-302.0,76093
li0368,231.0,100.0,11.0,105.0,15.0,95,0,0,3,3,1,5,0,6.0,66.0,1.0,0,5,0.20833333333333334,0.005752564996513597,0.0024902878772786134,0.00027393166650064747,0.002614802271142544,0.000373543181591792,0.0023657734834146827,0.0,0.0,7.47086363183584e-05,7.47086363183584e-05,2.4902878772786134e-05,0.00012451439386393067,0.0,0.0001494172726367168,0.0016435899990038848,2.4902878772786134e-05,0.0,0.00012451439386393067,5.188099744330445e-06,43.290043290043286,4.761904761904762,45.45454545454545,6.4935064935064934,41.125541125541126,0.0,0.0,1.2987012987012987,1.2987012987012987,0.4329004329004329,2.1645021645021645,0.0,2.5974025974025974,28.57142857142857,0.4329004329004329,0.0,2.1645021645021645,0.09018759018759019,,40156
li0402,405.0,211.0,11.0,172.0,11.0,200,0,0,10,1,0,11,0,9.0,117.0,3.0,1,10,1.1111111111111112,0.008862532277123726,0.004617269902402731,0.00024071075320582957,0.003763840868309335,0.00024071075320582957,0.004376559149196902,0.0,0.0,0.00021882795745984507,2.1882795745984508e-05,0.0,0.00024071075320582957,0.0,0.00019694516171386056,0.0025602871022801874,6.564838723795351e-05,2.1882795745984508e-05,0.00021882795745984507,2.431421749553834e-05,52.098765432098766,2.7160493827160495,42.46913580246914,2.7160493827160495,49.382716049382715,0.0,0.0,2.469135802469136,0.2469135802469136,0.0,2.7160493827160495,0.0,2.2222222222222223,28.88888888888889,0.7407407407407408,0.2469135802469136,2.469135802469136,0.27434842249657065,,45698
li0426,590.0,255.0,33.0,290.0,12.0,243,9,3,6,2,2,12,1,10.0,196.0,1.0,1,11,0.5789473684210527,0.006547407670454545,0.0028298117897727275,0.0003662109375,0.0032182173295454545,0.00013316761363636363,0.0026966441761363635,9.987571022727273e-05,3.329190340909091e-05,6.658380681818181e-05,2.2194602272727273e-05,2.2194602272727273e-05,0.00013316761363636363,1.1097301136363637e-05,0.00011097301136363636,0.0021750710227272725,1.1097301136363637e-05,1.1097301136363637e-05,0.0001220703125,6.424753289473685e-06,43.220338983050844,5.59322033898305,49.152542372881356,2.0338983050847457,41.1864406779661,1.5254237288135593,0.5084745762711864,1.0169491525423728,0.3389830508474576,0.3389830508474576,2.0338983050847457,0.1694915254237288,1.694915254237288,33.220338983050844,0.1694915254237288,0.1694915254237288,1.8644067796610169,0.09812667261373773,-330.0,90112
li0566,1298.0,798.0,31.0,396.0,73.0,579,209,164,174,156,156,219,152,17.0,503.0,10.0,1,218,24.22222222222222,0.006338045362435606,0.003896579506335604,0.00015137088307820015,0.001933640958031202,0.00035645401499060037,0.002827217461363803,0.001020532727849801,0.0008008008008008008,0.0008496301179228008,0.0007617373471032007,0.0007617373471032007,0.0010693620449718012,0.0007422056202544007,8.300983910740008e-05,0.0024561146512366025,4.882931712200005e-05,4.882931712200005e-06,0.001064479113259601,0.00011827545702884455,61.47919876733436,2.3882896764252695,30.508474576271187,5.624036979969183,44.60708782742681,16.101694915254235,12.634822804314329,13.405238828967642,12.01848998459168,12.01848998459168,16.87211093990755,11.710323574730355,1.3097072419106317,38.75192604006163,0.7704160246533127,0.07704160246533127,16.795069337442218,1.8661188152713575,-91.0,204795
li0653,552.0,220.0,35.0,281.0,16.0,216,0,0,1,3,0,4,0,4.0,159.0,2.0,0,4,0.1111111111111111,0.005979785724344878,0.0023832479336157123,0.0003791530803479542,0.0030440575879364324,0.00017332712244477906,0.0023399161530045175,0.0,0.0,1.0832945152798691e-05,3.2498835458396074e-05,0.0,4.3331780611194766e-05,0.0,4.3331780611194766e-05,0.0017224382792949918,2.1665890305597383e-05,0.0,4.3331780611194766e-05,1.203660572533188e-06,39.85507246376812,6.340579710144928,50.90579710144928,2.8985507246376816,39.130434782608695,0.0,0.0,0.1811594202898551,0.5434782608695653,0.0,0.7246376811594204,0.0,0.7246376811594204,28.804347826086957,0.3623188405797102,0.0,0.7246376811594204,0.020128824476650563,,92311
li0770,198.0,136.0,12.0,49.0,1.0,71,15,9,58,37,37,64,4,4.0,30.0,0.0,2,62,4.133333333333334,0.0019439017446027274,0.0013352052387170248,0.00011781222694561984,0.000481066593361281,9.817685578801653e-06,0.0006970556760949174,0.0001472652836820248,8.835917020921489e-05,0.0005694257635704959,0.0003632543664156612,0.0003632543664156612,0.0006283318770433058,3.927074231520661e-05,3.927074231520661e-05,0.0002945305673640496,0.0,1.9635371157603306e-05,0.0006086965058857025,4.057976705904684e-05,68.68686868686869,6.0606060606060606,24.747474747474747,0.5050505050505051,35.85858585858586,7.575757575757576,4.545454545454546,29.292929292929294,18.68686868686869,18.68686868686869,32.323232323232325,2.0202020202020203,2.0202020202020203,15.151515151515152,0.0,1.0101010101010102,31.313131313131315,2.087542087542088,-4.0,101857
li0806,521.0,154.0,23.0,327.0,17.0,150,3,0,0,1,0,4,0,3.0,107.0,3.0,0,4,0.2,0.006480180101742559,0.0019154467095361882,0.00028607320986579436,0.004067214766352815,0.00021144541598776105,0.0018656948469508328,3.731389693901666e-05,0.0,0.0,1.2437965646338885e-05,0.0,4.975186258535554e-05,0.0,3.731389693901666e-05,0.0013308623241582607,3.731389693901666e-05,0.0,4.975186258535554e-05,2.4875931292677773e-06,29.558541266794627,4.414587332053743,62.76391554702495,3.2629558541266794,28.790786948176585,0.5758157389635317,0.0,0.0,0.19193857965451055,0.0,0.7677543186180422,0.0,0.5758157389635317,20.53742802303263,0.5758157389635317,0.0,0.7677543186180422,0.038387715930902115,-172.0,80399
li0859,425.0,149.0,50.0,220.0,6.0,143,4,2,4,2,2,6,2,9.0,117.0,1.0,0,6,0.17647058823529413,0.005061934254406861,0.0017746545974273464,0.0005955216769890424,0.0026202953787517864,7.146260123868509e-05,0.0017031919961886612,4.7641734159123394e-05,2.3820867079561697e-05,4.7641734159123394e-05,2.3820867079561697e-05,2.3820867079561697e-05,7.146260123868509e-05,2.3820867079561697e-05,0.00010719390185802763,0.0013935207241543592,1.1910433539780848e-05,0.0,7.146260123868509e-05,2.1018412129025025e-06,35.05882352941177,11.764705882352942,51.76470588235294,1.411764705882353,33.64705882352941,0.9411764705882353,0.47058823529411764,0.9411764705882353,0.47058823529411764,0.47058823529411764,1.411764705882353,0.47058823529411764,2.1176470588235294,27.529411764705884,0.23529411764705882,0.0,1.411764705882353,0.041522491349480974,-235.0,83960
li0883,1690.0,1035.0,34.0,573.0,48.0,914,105,37,52,34,33,121,26,45.0,740.0,39.0,11,110,3.793103448275862,0.0056069991274314964,0.00343387224668142,0.00011280353274122537,0.0019010713017859452,0.00015925204622290642,0.0030324243801611766,0.00034836385111260777,0.00012275678563015703,0.00017252305007481528,0.00011280353274122537,0.00010948578177824816,0.00040144786652024323,8.626152503740764e-05,0.00014929879333397476,0.0024551357126031408,0.00012939228755611147,3.649526059274939e-05,0.0003649526059274939,1.2584572618189444e-05,61.24260355029586,2.0118343195266273,33.905325443786985,2.840236686390533,54.082840236686394,6.21301775147929,2.1893491124260356,3.076923076923077,2.0118343195266273,1.9526627218934913,7.159763313609468,1.5384615384615385,2.6627218934911245,43.786982248520715,2.307692307692308,0.6508875739644971,6.508875739644971,0.22444399102224039,-336.0,301409
