idno,author,author-gender,title,pub-year,creation,genre,subgenre,series,words,sents,mean,median,stdev
rv0686,Bourget,male,DanseurMondain,1926,1926,novel,blanche,autre,48002,3668,13.086695747,9,12.5709158578
rv0707,Colette,female,FinDeCheri,1926,1926,novel,blanche,autre,37831,3004,12.5935419441,9,11.4777721082
rv0164,Proust,male,TempsRetrouveR7a,1927,1927,novel,blanche,autre,71686,2310,31.0329004329,24,27.2653269146
rv0165,Proust,male,TempsRetrouveR7b,1927,1927,novel,blanche,autre,79498,2092,38.0009560229,30,31.7207129802
rv0222,Bernanos,male,Imposture,1927,1927,novel,blanche,autre,87316,6014,14.5187894912,10,13.5474714801
rv1145,Leblanc,male,DemoiselleYeuxVerts,1927,1927,novel,policier,autre,68112,5537,12.3012461622,9,11.1068295117
rv0362,Galopin,male,Bacille,1928,1928,novel,blanche,autre,40102,2655,15.1043314501,12,12.6600651871
rv0381,LeRouge,male,ValleeDesespoir,1928,1928,novel,blanche,autre,47862,2290,20.9004366812,18,15.15306618
rv0711,Colette,female,NaissanceJour,1928,1928,novel,blanche,autre,37940,2419,15.6841670112,12,13.4024841995
rv0765,MduGard,male,Thibault4,1928,1928,novel,blanche,autre,30528,2320,13.1586206897,9,13.4009718444
rv0766,MduGard,male,Thibault5,1928,1928,novel,blanche,autre,42285,3873,10.9178931061,8,11.0341568834
rv0713,Colette,female,Seconde,1929,1929,novel,blanche,autre,41037,3988,10.2901203611,7,9.8928224736
rv0767,MduGard,male,Thibault6,1929,1929,novel,blanche,autre,52652,3840,13.7114583333,10,13.8266264097
rv1146,Leblanc,male,DemeureMysterieuse,1929,1929,novel,policier,autre,58910,5390,10.9294990724,7,10.6201161177
rv0489,Giono,male,GrandTroupeau,1931,1931,novel,blanche,autre,67528,6348,10.6376811594,8,9.7543607189
rv1147,Leblanc,male,BarreYVa,1931,1931,novel,policier,autre,53116,4564,11.6380368098,8,11.1705176158
rv1148,Leblanc,male,MinuitSeptHeures,1931,1931,novel,policier,autre,55257,4515,12.238538206,9,11.1016255367
rv0502,Celine,male,VoyageNuit,1932,1932,novel,blanche,autre,193565,13743,14.0846248999,11,12.4451516776
rv0504,Giono,male,SolitudePitie,1932,1932,novel,blanche,autre,36777,2781,13.2243797195,10,11.994305059
rv0576,Roussel,male,NouvellesImpressions,1932,1932,novel,blanche,autre,13425,1595,8.4169278997,8,3.0339503147
rv0436,Renard,male,MaitreLumiere,1933,1933,novel,blanche,autre,91369,6507,14.0416474566,10,13.3937297016
rv0491,Malraux,male,ConditionHumaine,1933,1933,novel,blanche,autre,97516,7803,12.4972446495,9,12.5752620359
rv0546,Queneau,male,Chiendent,1933,1933,novel,blanche,autre,97954,8304,11.7960019268,8,14.1818054692
rv1046,Leblanc,male,Victor,1933,1933,novel,policier,autre,52970,5065,10.4580454097,7,10.2721249874
rv1149,Leblanc,male,FemmeDeuxSourires,1933,1933,novel,policier,autre,63735,5930,10.7478920742,7,10.6328272322
