	groupone	grouptwo	correlation	p-value
2	tragedie	tragicomedie	0.7905114110515715	5.83697489651931e-14
0	comedie	tragedie	-0.7092511521806225	2.2597454147831802e-10
1	comedie	tragicomedie	-0.2428525942052811	0.06153203126377886
