	groupone	grouptwo	correlation	p-value
2	tragedie	tragicomedie	0.7665049046775658	1.485743268919079e-20
0	comedie	tragedie	-0.5852755475222224	1.604124888576053e-10
1	comedie	tragicomedie	-0.057976082496439846	0.5666758059192041
