	groupone	grouptwo	correlation	p-value
2	tragedie	tragicomedie	0.8099840803159031	2.443541681386903e-10
0	comedie	tragedie	-0.7383268655566214	5.3977500556103105e-08
1	comedie	tragicomedie	-0.25961630195925334	0.10571289547279442
