	docpropone	docproptwo	zetascores
bon	0.9464968152866242	0.31663113006396587	0.6298656852226583
petit	0.6509554140127388	0.06929637526652452	0.5816590387462143
honnête	0.42929936305732486	0.024520255863539446	0.4047791071937854
fou	0.42420382165605097	0.06823027718550106	0.3559735444705499
pauvre	0.3885350318471338	0.04051172707889126	0.3480233047682425
monsieur	0.31719745222929935	0.0031982942430703624	0.31399915798622896
mauvais	0.5006369426751592	0.18763326226012794	0.3130036804150313
joli	0.2929936305732484	0.0021321961620469083	0.2908614344112015
sot	0.29044585987261146	0.005330490405117271	0.28511536946749416
sage	0.41146496815286626	0.15245202558635396	0.2590129425665123
vrai	0.8394904458598726	0.6098081023454158	0.22968234351445682
beau	0.9363057324840764	0.7110874200426439	0.22521831244143253
aimable	0.43821656050955415	0.21535181236673773	0.22286474814281643
amoureux	0.39872611464968155	0.17590618336886993	0.22281993128081162
diable	0.22038216560509555	0.0010660980810234541	0.2193160675240721
riche	0.25605095541401274	0.042643923240938165	0.21340703217307458
vieux	0.33121019108280253	0.12153518123667377	0.20967500984612875
franc	0.22038216560509555	0.01812366737739872	0.20225849822769681
meilleur	0.3579617834394904	0.15991471215351813	0.1980470712859723
certain	0.467515923566879	0.27078891257995735	0.19672701098692164
fâcheux	0.27388535031847133	0.08528784648187633	0.18859750383659502
gros	0.21019108280254778	0.024520255863539446	0.18567082693900833
agréable	0.23057324840764332	0.0511727078891258	0.1794005405185175
raisonnable	0.19745222929936307	0.028784648187633263	0.1686675811117298
difficile	0.21146496815286625	0.05543710021321962	0.15602786793964663
jeune	0.4853503184713376	0.3315565031982942	0.15379381527304337
étrange	0.3286624203821656	0.17803837953091683	0.15062404085124875
aise|aisé	0.15668789808917197	0.007462686567164179	0.1492252115220078
clair	0.18726114649681527	0.039445628997867806	0.14781551749894747
content	0.42547770700636944	0.2835820895522388	0.14189561745413065
admirable	0.17070063694267515	0.031982942430703626	0.13871769451197152
méchant	0.19363057324840766	0.05543710021321962	0.13819347303518803
vilain	0.13248407643312102	0.0021321961620469083	0.1303518802710741
ridicule	0.17070063694267515	0.04051172707889126	0.1301889098637839
discret	0.1770700636942675	0.046908315565031986	0.13016174812923553
possible	0.24713375796178344	0.11727078891257996	0.12986296904920347
habile	0.1554140127388535	0.026652452025586353	0.12876156071326714
délicat	0.1464968152866242	0.01812366737739872	0.1283731479092255
galant	0.12484076433121019	0.0	0.12484076433121019
naturel	0.17579617834394903	0.053304904051172705	0.12249127429277633
sûr	0.42929936305732486	0.30810234541577824	0.12119701764154661
fin	0.12356687898089172	0.0031982942430703624	0.12036858473782136
sérieux	0.1197452229299363	0.0010660980810234541	0.11867912484891285
malade	0.12993630573248408	0.011727078891257996	0.11820922684122608
impertinent	0.1197452229299363	0.0042643923240938165	0.1154808306058425
chagrin	0.3490445859872611	0.23667377398720682	0.1123708120000543
neuf	0.10955414012738854	0.006396588486140725	0.10315755164124782
excellent	0.10573248407643313	0.005330490405117271	0.10040199367131586
charmant	0.15159235668789808	0.05650319829424307	0.095089158393655
savant	0.12993630573248408	0.035181236673773986	0.09475506905871009
coquin	0.0929936305732484	0.0010660980810234541	0.09192753249222495
net	0.0929936305732484	0.0031982942430703624	0.08979533633017804
gai	0.0929936305732484	0.0042643923240938165	0.08872923824915459
ordinaire	0.2	0.11513859275053305	0.08486140724946696
angélique	0.08535031847133757	0.0010660980810234541	0.08428422039031412
aisé	0.18980891719745224	0.10660980810234541	0.08319910909510683
blanc	0.10063694267515924	0.019189765458422176	0.08144717721673707
laid	0.08535031847133757	0.005330490405117271	0.08001982806622031
curieux	0.1337579617834395	0.054371002132196165	0.07938695965124332
singulier	0.08535031847133757	0.007462686567164179	0.0778876319041734
autre	0.9082802547770701	0.8304904051172708	0.07778984965979929
plaisant	0.07388535031847134	0.0010660980810234541	0.07281925223744788
froid	0.14394904458598726	0.07142857142857142	0.07252047315741583
bête	0.0751592356687898	0.005330490405117271	0.06982874526367254
simple	0.1770700636942675	0.10874200426439233	0.06832805942987517
animal	0.07388535031847134	0.006396588486140725	0.06748876183233062
exprès	0.13630573248407643	0.07036247334754797	0.06594325913652846
volage	0.10445859872611465	0.039445628997867806	0.06501296972824686
parfait	0.2445859872611465	0.18017057569296374	0.06441541156818276
drôle	0.06369426751592357	0.0	0.06369426751592357
bizarre	0.11464968152866242	0.0511727078891258	0.06347697363953662
gauche	0.06751592356687898	0.005330490405117271	0.062185433161761706
