	groupone	grouptwo	correlation	p-value
0	comedie	tragedie	-0.7988518003901476	2.4032596395253586e-05
2	tragedie	tragicomedie	0.7594261019759317	0.00010293653685982617
1	comedie	tragicomedie	-0.24911500322184912	0.28952942514638147
