,idno,author-name,title,subgenre,author-country,decade
nl0098,nl0098,Larreta,Ramiro,novela histórica,Argentina,1910s
ne0002,ne0002,Galdos,Misericordia,novela político-social,Spain,1880s
ne0017,ne0017,Valle,FlordeSantidad,novela político-social,Spain,1900s
nl0074,nl0074,Azuela,Perez,novela político-social,Mexico,1910s
ne0160,ne0160,Trigo,Frio,novela sentimental,Spain,1900s
ne0082,ne0082,Bazan,Piedra,novela histórica,Spain,1890s
ne0144,ne0144,Pereda,Pedro,novela histórica,Spain,1880s
ne0037,ne0037,Valle,MediaNoche,novela histórica,Spain,1910s
ne0001,ne0001,Baroja,Mayorazgo,novela político-social,Spain,1900s
ne0153,ne0153,Valera,Morsamor,novela histórica,Spain,1890s
ne0020,ne0020,Valle,CruzadosCausa,novela histórica,Spain,1900s
ne0060,ne0060,Miro,NinoGrande,novela de tendencia subjetiva,Spain,1920s
ne0052,ne0052,Miro,AbueloRey,novela político-social,Spain,1910s
ne0069,ne0069,Unamuno,Abel,novela de tendencia subjetiva,Spain,1910s
nl0022,nl0022,Frias,Tomochic,novela político-social,Mexico,1890s
ne0021,ne0021,Valle,ResplandorHoguera,novela histórica,Spain,1900s
ne0059,ne0059,Miro,SanDaniel,novela político-social,Spain,1920s
nl0028,nl0028,CaneI,Juvenilia,novela político-social,Argentina,1880s
nl0029,nl0029,Sicardi,Extrano,novela político-social,Argentina,1890s
ne0068,ne0068,Baroja,ArbolCiencia,novela de tendencia subjetiva,Spain,1910s
nl0055,nl0055,Gutierrez,Montoneros,novela político-social,Argentina,1880s
ne0084,ne0084,Bazan,Quimera,novela político-social,Spain,1900s
nl0062,nl0062,Cantilo,Quillango,novela político-social,Argentina,1880s
ne0006,ne0006,Galdos,Angel,novela político-social,Spain,1890s
ne0136,ne0136,Clarin,Regenta,novela político-social,Spain,1880s
ne0011,ne0011,Galdos,Manso,novela de tendencia subjetiva,Spain,1880s
nl0014,nl0014,Guiraldes,Raucho,novela político-social,Argentina,1910s
ne0076,ne0076,Bazan,Cisne,novela político-social,Spain,1880s
ne0087,ne0087,Bazan,Novios,novela sentimental,Spain,1880s
nl0045,nl0045,Gonzalez,Montanas,novela político-social,Argentina,1890s
nl0057,nl0057,Cambaceres,Potpourri,novela político-social,Argentina,1880s
nl0078,nl0078,Mocho,Matreros,novela político-social,Argentina,1890s
ne0157,ne0157,Coloma,Pequeneces,novela político-social,Spain,1890s
ne0103,ne0103,Bazan,Gaston,novela político-social,Spain,1890s
nl0089,nl0089,Delgado,Angelina,novela sentimental,Mexico,1890s
ne0106,ne0106,Bazan,Fada,novela histórica,Spain,1910s
nl0083,nl0083,Nervo,Donador,novela de tendencia subjetiva,Mexico,1890s
nl0084,nl0084,Bunge,Joven,novela de tendencia subjetiva,Argentina,1920s
nl0051,nl0051,Arlt,Locos,novela político-social,Argentina,1920s
ne0078,ne0078,Bazan,Naturaleza,novela político-social,Spain,1880s
nl0003,nl0003,Payro,Laucha,novela político-social,Argentina,1900s
nl0012,nl0012,Cambaceres,Sangre,novela político-social,Argentina,1880s
nl0085,nl0085,Lugones,Angel,novela sentimental,Argentina,1920s
ne0034,ne0034,Galdos,TorquemadaHoguera,novela político-social,Spain,1880s
ne0027,ne0027,Galdos,Bringas,novela político-social,Spain,1880s
nl0042,nl0042,Gorriti,Tierra,novela político-social,Argentina,1880s
ne0070,ne0070,Unamuno,Pedagogia,novela político-social,Spain,1900s
ne0031,ne0031,Galdos,Miau,novela político-social,Spain,1880s
nl0053,nl0053,Gutierrez,Moreira,novela político-social,Argentina,1880s
nl0001,nl0001,Arlt,Juguete,novela de tendencia subjetiva,Argentina,1920s
nl0008,nl0008,Payro,Chico,novela político-social,Argentina,1900s
ne0050,ne0050,Miro,Zapatos,novela político-social,Spain,1910s
ne0004,ne0004,Galdos,Halma,novela político-social,Spain,1890s
ne0083,ne0083,Bazan,Prueba,novela sentimental,Spain,1890s
nl0099,nl0099,Najera,Cielo,novela de tendencia subjetiva,Mexico,1880s
nl0082,nl0082,Bunge,Perez,novela sentimental,Argentina,1900s
ne0043,ne0043,Miro,Nomada,novela de tendencia subjetiva,Spain,1900s
nl0032,nl0032,Sicardi,Mendez,novela político-social,Argentina,1890s
ne0156,ne0156,Trigo,Abismos,novela político-social,Spain,1910s
ne0063,ne0063,Baroja,Busca,novela político-social,Spain,1900s
ne0044,ne0044,Miro,Amigo,novela de tendencia subjetiva,Spain,1900s
nl0077,nl0077,Daireaux,Dioses,novela de tendencia subjetiva,Argentina,1900s
nl0023,nl0023,Rabasa,Bola,novela político-social,Mexico,1880s
ne0022,ne0022,Valle,GerifaltesAntano,novela histórica,Spain,1900s
ne0159,ne0159,Trigo,Jarrapellejos,novela político-social,Spain,1910s
nl0069,nl0069,Nervo,Diablo,novela de tendencia subjetiva,Mexico,1910s
nl0004,nl0004,Payro,Inca,novela histórica,Argentina,1900s
ne0046,ne0046,Miro,HijoSanto,novela sentimental,Spain,1900s
ne0085,ne0085,Bazan,Sirena,novela político-social,Spain,1900s
ne0146,ne0146,Pereda,Sotileza,novela político-social,Spain,1880s
ne0042,ne0042,Miro,Vivir,novela de tendencia subjetiva,Spain,1900s
nl0060,nl0060,Miro,Bolsa,novela político-social,Argentina,1890s
nl0058,nl0058,Dominguez,Palomas,novela político-social,Argentina,1880s
ne0018,ne0018,Valle,SonataInvierno,novela sentimental,Spain,1900s
ne0014,ne0014,Valle,SonataEstio,novela sentimental,Spain,1900s
ne0003,ne0003,Galdos,Nazarin,novela político-social,Spain,1890s
nl0011,nl0011,Cambaceres,Rumbo,novela político-social,Argentina,1880s
ne0102,ne0102,Bazan,Brujas,novela político-social,Spain,1890s
ne0029,ne0029,Galdos,Prohibido,novela político-social,Spain,1880s
nl0088,nl0088,Prado,Malon,novela político-social,Argentina,1900s
ne0152,ne0152,Valera,Juanita,novela sentimental,Spain,1890s
nl0030,nl0030,Sicardi,Genaro,novela político-social,Argentina,1890s
nl0086,nl0086,Lugones,Guerra,novela histórica,Argentina,1900s
nl0068,nl0068,Nervo,Amnesia,novela sentimental,Mexico,1910s
ne0056,ne0056,Miro,LibroSiguenza,novela de tendencia subjetiva,Spain,1910s
ne0041,ne0041,Miro,Hilvan,novela político-social,Spain,1900s
ne0135,ne0135,Clarin,Hijo,novela político-social,Spain,1890s
ne0053,ne0053,Miro,DentroCercado,novela de tendencia subjetiva,Spain,1910s
nl0061,nl0061,Echague,Chapanay,novela político-social,Argentina,1880s
nl0054,nl0054,Gutierrez,Chacho,novela político-social,Argentina,1880s
nl0059,nl0059,Podesta,Irresponsable,novela político-social,Argentina,1880s
ne0045,ne0045,Miro,PalmaRota,novela sentimental,Spain,1900s
ne0079,ne0079,Bazan,Insolacion,novela sentimental,Spain,1880s
ne0054,ne0054,Miro,Pasion1,novela histórica,Spain,1910s
ne0086,ne0086,Bazan,Dulce,novela sentimental,Spain,1910s
ne0013,ne0013,Valle,SonataOtono,novela sentimental,Spain,1900s
ne0101,ne0101,Bazan,Guzman,novela político-social,Spain,1900s
ne0048,ne0048,Miro,Cerezas,novela de tendencia subjetiva,Spain,1910s
ne0064,ne0064,Baroja,MalaHierba,novela político-social,Spain,1900s
nl0010,nl0010,Payro,NuevosChico,novela político-social,Argentina,1920s
ne0066,ne0066,Baroja,Zalacain,novela histórica,Spain,1900s
nl0039,nl0039,Cantilo,Quimera,novela político-social,Argentina,1880s
ne0081,ne0081,Bazan,Solteron,novela sentimental,Spain,1890s
nl0092,nl0092,Castera,Maduros,novela político-social,Mexico,1880s
nl0031,nl0031,Sicardi,Paloche,novela político-social,Argentina,1890s
ne0047,ne0047,Miro,Amores,novela sentimental,Spain,1900s
ne0107,ne0107,Bazan,Misterio,novela político-social,Spain,1900s
ne0061,ne0061,Miro,ObispoLeproso,novela político-social,Spain,1920s
ne0030,ne0030,Valle,TiranoBanderas,novela político-social,Spain,1920s
ne0151,ne0151,Valera,Genio,novela sentimental,Spain,1890s
ne0155,ne0155,Picon,Dulce,novela sentimental,Spain,1890s
ne0032,ne0032,Galdos,Incognita,novela de tendencia subjetiva,Spain,1880s
ne0009,ne0009,Galdos,Desheredada,novela político-social,Spain,1880s
ne0016,ne0016,Valle,SonataPrimavera,novela sentimental,Spain,1900s
nl0090,nl0090,Payno,Bandidos,novela político-social,Mexico,1890s
ne0065,ne0065,Baroja,AuroraRoja,novela histórica,Spain,1900s
nl0097,nl0097,Najera,Manon,novela político-social,Mexico,1880s
ne0040,ne0040,Miro,MujerOjeda,novela sentimental,Spain,1900s
nl0070,nl0070,Nervo,Diamante,novela sentimental,Mexico,1910s
ne0028,ne0028,Galdos,Tormento,novela político-social,Spain,1880s
nl0100,nl0100,Portillo,Leyenda Histórica,novela histórica,Mexico,1890s
nl0034,nl0034,Cambaceres,Musica,novela político-social,Argentina,1880s
nl0021,nl0021,Frias,Triunfo,novela político-social,Mexico,1910s
ne0073,ne0073,Unamuno,Niebla,novela de tendencia subjetiva,Spain,1910s
nl0048,nl0048,Ocantos,Perfecto,novela político-social,Argentina,1900s
ne0024,ne0024,Galdos,Centeno,novela político-social,Spain,1880s
nl0033,nl0033,Sicardi,Justicia,novela político-social,Argentina,1900s
nl0067,nl0067,Nervo,Sueno,novela histórica,Mexico,1900s
nl0027,nl0027,Lopez,Aldea,novela político-social,Argentina,1880s
ne0145,ne0145,Pereda,Penas,novela político-social,Spain,1890s
nl0007,nl0007,Altamirano,Zarco,novela político-social,Mexico,1880s
nl0009,nl0009,Gutierrez,Rastreador,novela político-social,Argentina,1880s
nl0047,nl0047,Ocantos,Quilito,novela político-social,Argentina,1890s
ne0067,ne0067,Baroja,AventurasParadox,novela de tendencia subjetiva,Spain,1900s
ne0072,ne0072,Unamuno,TiaTula,novela de tendencia subjetiva,Spain,1920s
nl0081,nl0081,Bunge,Sangre,novela histórica,Argentina,1900s
nl0079,nl0079,Mocho,Vigilante,novela político-social,Argentina,1890s
ne0158,ne0158,Picon,Honrada,novela sentimental,Spain,1890s
ne0005,ne0005,Galdos,Tristana,novela político-social,Spain,1890s
ne0055,ne0055,Miro,Pasion2,novela histórica,Spain,1910s
ne0010,ne0010,Galdos,Fortunata,novela sentimental,Spain,1880s
ne0075,ne0075,Bazan,Tribuna,novela histórica,Spain,1880s
nl0038,nl0038,Argerich,Inocentes,novela político-social,Argentina,1880s
ne0080,ne0080,Bazan,Milagros,novela político-social,Spain,1890s
nl0013,nl0013,Guiraldes,Sombra,novela político-social,Argentina,1920s
nl0046,nl0046,Ocantos,Promision,novela político-social,Argentina,1890s
ne0077,ne0077,Bazan,Pazos,novela político-social,Spain,1880s
ne0057,ne0057,Miro,HumoDormido,novela de tendencia subjetiva,Spain,1910s
nl0016,nl0016,Guiraldes,Xaimaca,novela sentimental,Argentina,1920s
nl0002,nl0002,Payro,Moreira,novela político-social,Argentina,1910s
