subgenre,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
novela de tendencia subjetiva,0.016687706687293514,0.015187740690188118,0.013012879603526262,0.0059686881414155535,0.036183689335871176,0.00805322106258995,0.004402240371026306,0.0021824998135722613,0.006998747225067603,0.0448604533019501,0.01630307037866806,0.10311999740095901,0.03310143428231217,0.03750290463468785,0.017254796233393897,0.005730843601329375,0.0070863769847228876,0.01434997602296153,0.004784082045559261,0.014283034141641131,0.007367252729023135,0.007983383613681911,0.004221404211903528,0.009571831014781696,0.010114627568950015,0.0019323650909572382,0.02689208535044018,0.011571959814976098,0.004760717133331653,0.016398533592250894,0.007692863305975614,0.006987642540004407,0.009085251586864521,0.0026738948686826514,0.0015607386233882008,0.014585231476141823,0.011258162313851058,0.008100740673037286,0.008390395456767619,0.019348050147330667,0.019245101878397727,0.005534634904616106,0.028500044258871992,0.0011079685190106916,0.009649762309778749,0.05890858217380225,0.007804718254863126,0.006211313634284297,0.006837483113672927,0.019769678718577318,0.016917376653955322,0.01168019273191624,0.009133115982018365,0.035926945424459955,0.002479589694795967,0.002778107037557469,0.005889724670729182,0.00673911610708432,0.012155361252125251,0.004052393043181439,0.015199635658096563,0.008479803853339862,0.0029002779515105584,0.007081682002542733,0.018785638023756587,0.006024208750390287,0.007351481918591589,0.0033413877220526207,0.01948988225064289,0.01998345191999674
novela histórica,0.010478878975915238,0.01572866733353047,0.010342705293800446,0.009421440899776139,0.031868063858185046,0.013131065091887302,0.015408037558963599,0.008991468115569425,0.038291886378615636,0.06221874046295419,0.012423248114147136,0.03018839609620077,0.042978018270342956,0.01572504637004532,0.009801337307513307,0.004082090560346998,0.0011898016838531287,0.012612701830803968,0.023460836389655463,0.004497211890608984,0.011760341193808194,0.0044038263282708354,0.008946502939661087,0.015374892006142745,0.006935483482673909,0.007805747069273916,0.025443831042376408,0.01967407446297979,0.00235266280641981,0.0088073531604041,0.0036294684951010438,0.004947727316628162,0.008147671616407004,0.005222214985907777,0.002310319859493373,0.012414894091045204,0.008401382642249444,0.010330630011839976,0.013369784505432749,0.014240158778729256,0.020650548433750065,0.009489541477337307,0.0374749108587764,0.013654811871313488,0.014518734540062965,0.021991454289139168,0.0058443750191422,0.014156351799071548,0.003884626930033958,0.028670772753446237,0.019321792154912868,0.005685671688894228,0.004735279779338348,0.024250122809796288,0.0022610775485341697,0.03043411933469851,0.005901228616354993,0.04103203095803449,0.012008437497706546,0.005227494905630356,0.00666319154782564,0.009261320353415065,0.008262168455496115,0.0022363279853337584,0.018030482075103056,0.004802967009503199,0.004476327411927302,0.004563079746972861,0.01657199333213788,0.01669837745046235
novela político-social,0.016736415995522294,0.01260248591991893,0.01557788707613447,0.007706274274955785,0.038125756038947745,0.005496309701275567,0.005079299972664158,0.020054495796270173,0.0024991946526710792,0.06053525785299807,0.018359176324285176,0.018092262226420408,0.032453365814489515,0.017410805791113707,0.015007637191730643,0.008300702395623782,0.0056613463618950905,0.014805261433617656,0.004437330493682828,0.007356862762398374,0.019403521441293557,0.011760219918954283,0.006048031926771088,0.015911691349531847,0.006270548842832933,0.015453895407342214,0.019770266109497055,0.017789661061830796,0.00608531901137834,0.009530706775524539,0.007154691234174886,0.0053740748242399146,0.009149664738883461,0.004730480617629282,0.011103291589656044,0.02090556949251724,0.018717682509118885,0.008457585761265311,0.007392367603627599,0.02004418252367308,0.01794132204331507,0.012008983250861353,0.023400107750369954,0.0017413281537260157,0.013128419683023595,0.04696179431783445,0.015412692837744204,0.015759801718432543,0.004571023799534782,0.02770189482056336,0.016536502579548203,0.005923084042112204,0.004859521501853104,0.03244900939919237,0.008699447345121196,0.01230603550994355,0.009059612393582724,0.008459672338106733,0.012375594614086988,0.004412317172127776,0.009668297604309203,0.011238295030413745,0.002845550542966386,0.0031921908066762563,0.009303725533813813,0.01890672963049551,0.007070688038930327,0.0065908208617889465,0.02684037589712791,0.02294663487565062
novela sentimental,0.017330849201976882,0.01599648921178835,0.015874540964176627,0.002967935985743405,0.04939240805198024,0.0047031719667037985,0.024291449055613316,0.002574325998591487,0.003998333513053323,0.06379940991890429,0.018686026493405408,0.020457657804304908,0.03491950847321218,0.018775157829033492,0.015012211619241815,0.006822932892008348,0.0011381910477394135,0.015191759172926384,0.0035628099778129405,0.008212480605119176,0.006390865887234308,0.008434663530398095,0.004611925502681878,0.009574690419158444,0.0034480624410620406,0.0033359859530423877,0.03148389736361519,0.009481275867740602,0.0053373236033406575,0.011261113408574996,0.009235390766545346,0.007020417280747139,0.013593180037760288,0.005400482362931985,0.0019574544529166135,0.020387693096787587,0.017830417919242007,0.0064572031323854966,0.015217664682317727,0.023351607181367622,0.021046567743395125,0.004968257101145331,0.019582875800776254,0.0015713163168585979,0.012588531866291015,0.08626850487420784,0.0083237723392218,0.00588413960708027,0.007572633395022642,0.032897978692922325,0.013177945106541696,0.010832308275567009,0.0031667792709325713,0.045808880088837364,0.004441932088293123,0.003738244403646858,0.004655234867786793,0.010295251028615933,0.020726649413705767,0.002912437968690823,0.007103980961471365,0.012254231419060131,0.0030071637581678325,0.003438067888776473,0.005516492536890887,0.005044796883796042,0.008496710161870789,0.004018683409420405,0.02762035353720554,0.023234408631441765
