setting,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
other-mixed,0.01459576917052612,0.015431388643365454,0.006639609086209857,0.005862840712472157,0.05185037784388931,0.006790670886266627,0.006029538377338895,0.011637908692804684,0.001824853053774338,0.0439830191771111,0.018155990836800858,0.008192550674375241,0.03526311417956815,0.020247528630199733,0.017172482853996505,0.007154121605505889,0.003955930772135482,0.01414685172562872,0.002379064040065783,0.01158892114835679,0.02427688280571655,0.004972309226964832,0.005166894043957156,0.011804490554474795,0.006543252785498013,0.013167609955156295,0.022057631704958024,0.01426594479599347,0.007138884256868509,0.011551841227683053,0.009857316654058793,0.007588384764378621,0.010197201479400026,0.0014821302657690028,0.004148368924705174,0.010792324407242605,0.010692478259443031,0.006249262289763499,0.030502782358643586,0.02149827977817272,0.015048901286997695,0.005971020876628543,0.03028247327396561,0.019064409692279165,0.01225928114928792,0.03338720435924969,0.013693367772792935,0.01775410391172508,0.007907426775304958,0.03705410659104456,0.019427937480820206,0.010076294341001633,0.005137520623181833,0.027174580474319244,0.0024787522425363385,0.02671448484906983,0.007454533969407703,0.005535959208066871,0.018264279162062934,0.003165314823027971,0.005854655895012632,0.012439673316947784,0.006103415612487447,0.0022252368715499527,0.04178044345475783,0.006839560356231649,0.008629320656047454,0.003582817444143625,0.019656738136387457,0.017586848618498498
rural,0.011025053823755975,0.016653860338520548,0.01033541455190605,0.010657252212954417,0.036146151321638724,0.003183299171055181,0.01979799175903857,0.03845303078076189,0.004712376886458746,0.05971250688593288,0.016394695633275735,0.057376690736466916,0.032437330894883036,0.012456857846986974,0.012968909950962164,0.006810136408054969,0.0026638612104001613,0.011977973032016297,0.013742694533955924,0.006484982152380634,0.030354027584426072,0.007309817944785889,0.006054628031193518,0.018489988662361373,0.00863689612192917,0.027469463943998036,0.02039468595320859,0.013417486619339529,0.0038802441102096337,0.008035266345800436,0.004632585608308916,0.006135352490419098,0.005020380926620173,0.004659258914421175,0.021164249886360013,0.013198898676634898,0.011800790253242122,0.004642024607518076,0.00749816442757633,0.016949474683508353,0.016223379535677193,0.007194875433248199,0.03864196758910404,0.003825111895215736,0.015265509688935325,0.02941039474586362,0.008662873074790448,0.017200530918597932,0.004176797913748676,0.024266323940257323,0.013584433315113794,0.008527684654873737,0.0030435795013547123,0.0270641744636752,0.005682127447312653,0.015438909264749261,0.005076577545470936,0.012762183809348107,0.0104950902265353,0.0053544595229394806,0.004683039574902745,0.010591496740094549,0.0013057739043430073,0.004763875269675321,0.004699606397260068,0.004495594001904338,0.005129302885513653,0.010806517431977875,0.020289155850291573,0.017400032974489377
urban,0.018802477899448347,0.012131937399014333,0.017743034899044004,0.0052839998555323795,0.039471252122355305,0.007875223973253223,0.004350039765924305,0.0032693402384001576,0.008241845165010744,0.06127519821268981,0.01816488692482651,0.014407386053034434,0.03462201780788657,0.02240649204759866,0.015277773437483053,0.007708075624667887,0.005583895948717007,0.0159023184173585,0.0030256788766400335,0.008129524816609964,0.007540202708110956,0.011935889985024851,0.005969449706220448,0.012459229437591344,0.005036899939106668,0.003714055006763109,0.024133255074171932,0.01753206490842661,0.006081847301119482,0.011348833848337904,0.008168428595154105,0.005389654324451763,0.011996278542763032,0.005007069616519654,0.0018228836755526572,0.023105972747802243,0.019814936218022834,0.010225225716164422,0.008430843501640183,0.021213476582365328,0.02041566278306193,0.011757859596743032,0.017489805723730482,0.001032614595865008,0.01178110059980643,0.0641438777410972,0.014419201417980781,0.01081835530916918,0.005436480996919651,0.02891697990612822,0.017356380666373152,0.006316536735216444,0.0058524273213022985,0.03803238733943863,0.007711094182210636,0.008985048009914964,0.009050456417702073,0.012098004685423635,0.014794222968597276,0.0037688033551820177,0.01202668334315299,0.011002662779831208,0.004222725898580462,0.0029686295713888186,0.010480764102486233,0.019310466965408057,0.007852089033802348,0.003398574925972684,0.028133979507914447,0.024730141419316037
