setting,binID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
other-mixed,0,0.030477205685250645,0.015204995487861181,0.00570886590583243,0.002163284895899209,0.02657659423568827,0.007930190505964779,0.008595042072520575,0.007215627709397085,0.00021695738765729707,0.038598438526832486,0.03168821871222134,0.0030117691809875254,0.041334659900038755,0.014332276297094677,0.013587954623075323,0.00496599917197629,0.004297625213384983,0.01143057938361529,0.0013448991732784431,0.03587828663733404,0.022764520179550246,0.002840876646893719,0.00993084163975287,0.005966592379225269,0.006056857759779228,0.007907825685689979,0.018548093693305578,0.014406059588288415,0.003024863551044535,0.008585229320423157,0.005212243229170342,0.006978405690026977,0.023711777664903677,0.0009802449021915258,0.0037445697908512028,0.012219229896363187,0.012572306065176205,0.0026682409390962293,0.04628014301923443,0.043029177973659585,0.01824921441793756,0.006707175717631774,0.03373435232087254,0.010402482925276485,0.014888371259038816,0.015408284454585077,0.004530759120946909,0.013650395469072507,0.021654983524865258,0.03871287748919173,0.03249365306823594,0.019994696218720086,0.003484684302887586,0.02868943577379198,0.0030520262655768914,0.019460429637864582,0.005815513468679618,0.006948328304905796,0.018276962657765725,0.005944371452433853,0.013034139564326799,0.008028611407520153,0.01288378611861518,0.0032400750453020206,0.016424090923513008,0.017576346771357724,0.0034981295692736686,0.002775727639825047,0.014567039284486405,0.005973151248886009
other-mixed,1,0.015586697083151572,0.010999130777922271,0.004106201593426207,0.0017001239805986526,0.029980738739830735,0.008513637243667183,0.007151649682573639,0.009124236896095752,0.0014221102605651357,0.039629826079158555,0.020499053553597244,0.005424260921154123,0.018837077457062673,0.012267052274828676,0.009963884092926334,0.005770911760530794,0.002040867306386609,0.01604241816383525,0.0017295311186195203,0.031154558080579414,0.04109434838851362,0.0025880103291205355,0.001198940082504329,0.005680253820345664,0.0024978467481206116,0.020566683190620286,0.01925728953746642,0.005429659539106426,0.00885874431680005,0.010679405980074705,0.008335045347046925,0.015946563521869895,0.012227080449691332,0.0,0.004360185823927395,0.011015162554111288,0.007647254951067255,0.005571377995453401,0.03421896811854242,0.015370152786582507,0.021179083537076586,0.011582033417419937,0.03659566704652166,0.024652723974370187,0.011320128193387782,0.022774874070613307,0.0029330019120154412,0.026811869515805307,0.009631847978493088,0.05099498814469303,0.005655446717766917,0.011787768771320555,0.003669542435282529,0.05177669166762765,0.002320865123018363,0.02874716507910412,0.010010108887414836,0.008819969363702627,0.023550046880867433,0.000998122589592478,0.007950301162657865,0.02475714090541238,0.028281940999438954,0.004700284794463947,0.025390668233838544,0.00403710209157209,0.006039064711011915,0.0021226759764988697,0.01765249576842901,0.010217681395875314
other-mixed,2,0.02057521727708141,0.01659067292166608,0.007623169101313431,0.003538960633597098,0.04409403218987904,0.008689699501807965,0.00470621653326045,0.010800235792149651,0.0029185266656564677,0.02774965204625355,0.022183141248549386,0.009011702806630176,0.01994072374471837,0.035698586746160166,0.022820666724365633,0.004466727772771664,0.002689876358912808,0.026425289739965878,0.0003768170512573704,0.0363806625555942,0.027068158237159006,0.004152841960961853,0.006093125163981756,0.009611129149619955,0.005450894541052386,0.016916827216883215,0.011364310945349287,0.012428647537288756,0.0009501677007352092,0.009421601282815007,0.020919727621653565,0.010028482837554614,0.007988108734231534,0.0019162322200605825,0.0046562344147195,0.010244582364541805,0.016478003200672095,0.008026783668332486,0.03547591816303121,0.020366204430408718,0.020205726069878725,0.008348234452335962,0.015250052917348631,0.010907076811296188,0.010527365002476289,0.024154688519886867,0.006498111242266688,0.033894012411928014,0.007179551947107191,0.05088142142206891,0.020738414807601614,0.0037413299469677514,0.0027948426301818785,0.018102106540706688,0.0025669306529840273,0.010920104752673175,0.012855078498567525,0.006503280525544249,0.02190949762841567,0.0013445734064192832,0.007770647916541668,0.007938391567505206,0.029126765768090344,0.0012348417283998404,0.040883179038511526,0.0005235587771134852,0.010593279677063711,0.00281994745186625,0.017227585915053432,0.006886825217879854
other-mixed,3,0.01907549125785666,0.009163117334305061,0.006954102579902396,0.0051355300913036635,0.059195968369293986,0.008846708141745215,0.001403873259575815,0.003555041667814786,0.002050053339147432,0.037009375835132065,0.0195987482806932,0.010942723341349608,0.014247559870498624,0.013207868520213282,0.019602543965381674,0.008092867716045287,0.0023642119233661272,0.015516066802476669,0.004571533862976256,0.012046234075042876,0.04395785372596663,0.005724679884881229,0.007739821347887293,0.0034067966229046264,0.002305134933029931,0.011574964699486028,0.020295481096006793,0.010798395446080442,0.0012437139963963372,0.03139267027918456,0.009027631409430055,0.005247636784904952,0.0036596488091167915,0.0014445724132340512,0.0019266501256778822,0.00983040826221696,0.013590822104402803,0.007916464423967248,0.038578464289593814,0.00974158707967524,0.01670935821818355,0.005095835723531191,0.041015323510860874,0.0167343880910096,0.0069752647394828934,0.03455483942210908,0.015305404348291151,0.018943538611621992,0.008521974595047556,0.04277396126924701,0.029101763533445624,0.005353035016434852,0.002904115419281352,0.03452636490546766,0.0024609741903204255,0.034304747123842246,0.0037086007943382994,0.0075926997099692055,0.01629762146071525,0.004514384865231255,0.004569580653819571,0.008693440442057637,0.0005442405056657559,0.0004855574460524778,0.06710739940762582,0.0028188325149448097,0.005727945815897005,0.0019311164841923126,0.020004909975371358,0.009313966594501533
other-mixed,4,0.011336234708673414,0.010426130079872588,0.01155383425139857,0.0029874549544406832,0.05037225906122172,0.0013364236160495302,0.0013660837147960294,0.0046702966972217074,0.0021827454819510032,0.052956952790951625,0.028085344303178765,0.009356608718641924,0.03469917489575928,0.008331454321713951,0.012028647176124506,0.007369593801012217,0.0012547861745445012,0.02523130542000109,0.0014048513015147697,0.007448632745535859,0.017985313949139926,0.0031988742052383536,0.0011164900608285067,0.013265247704958206,0.005327061538506274,0.0300674346994132,0.015723821807326333,0.024574749785347696,0.004368860901582289,0.009949532549902097,0.008238036981088956,0.00912995288100413,0.00735669081710468,0.00042838994240331483,0.0011487728434996156,0.0090432295265868,0.012896691648239483,0.012824977001772738,0.05331279701957103,0.02135853480745358,0.020620440288373128,0.002838936773850803,0.02882377823664321,0.011833268767595446,0.01562828147118634,0.03121780206133754,0.010206771514637057,0.01110977377244249,0.0016268773662101274,0.03875001305047839,0.010294717214141701,0.01344630456530264,0.0033245903618605134,0.030006140237188835,0.002738493645192789,0.03492580895952916,0.006848059059142339,0.0030603198292564323,0.014308809024980926,0.003116904339243289,0.00794740644928011,0.01545731960638244,0.00038417353402743455,0.0029967019621696305,0.06275288358768837,0.008842488435412361,0.005010363517346003,0.0011858439143936157,0.014461631921055812,0.02051323960537152
other-mixed,5,0.01867992981981546,0.011566884401686774,0.006403282119812201,0.012191548879458265,0.041087762395759814,0.00698399016797414,0.006260906873546485,0.012816215654050892,0.0028679245902648405,0.06522234712134507,0.018780366281033654,0.007214463760113197,0.020913664945749446,0.028741893148798464,0.01759845465948833,0.008609988078982628,0.005521328742696494,0.020937179922086626,0.0025246167573149438,0.008820505437764624,0.025795170657397917,0.007982736584861141,0.004374662045863325,0.010786843354395222,0.011624930269354163,0.007537935861228218,0.020761310704062088,0.009113787783763257,0.003114727519833371,0.011195732989015559,0.012783718022946866,0.005123217088745582,0.012890705854977962,0.0024990427598894716,0.004300860997827209,0.009765457355391484,0.01015676851292706,0.01343998376949339,0.034437990529138846,0.014052653423781659,0.016408761317564677,0.0008408243406368483,0.016968858309487675,0.026049401643395833,0.009642699766556904,0.01885448666278907,0.012319250087912173,0.016771264538752544,0.0017988986883968393,0.04512363501678281,0.024535141049536458,0.003985529310056943,0.008024894070862444,0.02548291620061509,0.005484064027108621,0.01662934829637785,0.005705547713288346,0.008724578453692735,0.03158778728692565,0.003688809023598711,0.007623081264411464,0.010601007602245,0.002531463019734002,0.00045103347308765536,0.060041966552464465,0.0023286721830445096,0.0009531019547023697,0.0033708522957150836,0.023289846616310634,0.013975389731462166
other-mixed,6,0.00898392070432207,0.023812288528596782,0.005691770123238187,0.0034003056149348346,0.043104937843373214,0.0023366861244384827,0.0065668974576647875,0.004171768932483141,0.0028128164548288375,0.05468286558962857,0.02029353832079898,0.009969374528512666,0.023041584929155853,0.012278908398928865,0.010027895866840943,0.009250173893283514,0.005045847445720793,0.009683107991855388,0.0011147086706222316,0.0045357239056843515,0.028045801865386074,0.004447845308016942,0.0093367523261335,0.009373658871328043,0.005629030213031656,0.017926930609637,0.04546220079566708,0.012849366103132294,0.003017323982842602,0.00576704116746637,0.004933417775139061,0.008819721670859555,0.010318125665976936,0.0021606486093334997,0.004926850281304362,0.009418166665331277,0.008763711808845668,0.006802101083396471,0.030952501805162843,0.023470899540516142,0.018086194299810072,0.006157626437974816,0.032169205022066945,0.027399805704998458,0.013458811938632756,0.04295643936485976,0.014531125799508122,0.021652791747370326,0.01259724528527079,0.02806151634376708,0.036925363351578575,0.006302251784576719,0.008632531135787278,0.021583487673518496,0.0023339835606672487,0.03411969462079801,0.00195455778104578,0.007108453900183393,0.020480412054553417,0.0018541277791361496,0.006887745058012388,0.011377260282832034,0.0013261558699460719,0.0021620742727776403,0.04782269547467422,0.007578051003534065,0.008518765381851043,0.0033770726821123072,0.012368230119461669,0.007569053544354066
other-mixed,7,0.00896058120791988,0.048151507610735826,0.00570869826313079,0.003951439941594445,0.05388648307165315,0.0004985655107793852,0.007327715780981059,0.01504730799797916,0.0047151878016320386,0.05348368313020844,0.013696983078592547,0.00842957338943173,0.04443959467207662,0.05102060961065964,0.01802482841585504,0.011148293163514223,0.0005554668565612788,0.0025518876717342985,0.00428889139505176,0.0048462004136064375,0.009089459090671052,0.0006180053445752755,0.001102499815473474,0.019595853973326437,0.002850966107302951,0.016665846117479437,0.013591057294138688,0.010031619607636684,0.011320130564091375,0.008122105395814613,0.007161041256382544,0.003372044347148712,0.018421380118960284,0.0027176619737230086,0.0024411550915355747,0.01093904136681621,0.005217105311750787,0.001276078693878598,0.02994476687138788,0.01132047410348856,0.014719769028126424,0.007283288262504907,0.022706139097718774,0.013318790100177958,0.011155822786708038,0.03842139008969808,0.01676737103240992,0.015448903468002541,0.002424274871153804,0.03040198265620548,0.00799890125559906,0.018157098790756276,0.007557202210342665,0.025943029156728397,0.0002697946186430536,0.024514657887999156,0.008188252143361198,0.006908983869160471,0.02416992340162999,0.0007810980445051266,0.0010607740956820333,0.016301909592647854,0.0005942449324757449,0.0022147805425227008,0.04809448168244034,0.003427904795654306,0.012596171441974549,0.008801295325446995,0.022133786480783277,0.021132324147268452
other-mixed,8,0.008165638047977847,0.016244674676083752,0.0053669123885485325,0.003905430410814354,0.07274710757974903,0.012506970064446638,0.005202590739742301,0.007265075047014211,0.000333801948797618,0.037824764621625775,0.015121765470328374,0.0046607089609839395,0.039997268469070174,0.04437036083479343,0.0065464111311372445,0.008189462442969609,0.007589918124292145,0.009164078127961559,0.0007365514681039917,0.0066371605431847875,0.013636039354186585,0.0026916294297754527,0.0042922493173375405,0.011809672399354492,0.013770489623940032,0.012725259658246061,0.022199147769638945,0.008767830236557132,0.012948615033350102,0.0033978217180230435,0.013358854936171491,0.008226938354012595,0.004742668504196169,0.00026390997465117086,0.004827670913254987,0.008324847614539813,0.007624881689604475,0.005515403232824086,0.02734336635630739,0.0298489235482316,0.012090498382096694,0.0036925652925537283,0.030587749558416588,0.019325203573944582,0.027621778229831955,0.023954520998175518,0.009777414209115726,0.02348549805321529,0.021639253585850046,0.045302145946718955,0.010685864370399378,0.007329161964349204,0.008670364284313626,0.013171577682687726,0.0010501744127305397,0.029881632583894122,0.0036953257904664234,0.007832687342342519,0.0231334576719171,0.006786766146989491,0.005529804532534637,0.017522883221770605,0.0032206666114515782,0.0034305900202909693,0.030228390297251478,0.004919299534343569,0.010131062967538728,0.010406779407453819,0.02316777717126858,0.012168880439076551
other-mixed,9,0.009726709399036028,0.011830552339888804,0.00743965767900939,0.0016575377190064296,0.046188132914195,0.011233757269370521,0.007665493192560966,0.004674661718500435,0.0018720977394925185,0.03750311607733289,0.019017171623424305,0.008127940317156034,0.043781970210596856,0.007900469228711246,0.04925757164894103,0.0072374563514684374,0.0032260739233011967,0.014939397387865355,0.0004700827712855632,0.004209622513193402,0.02115729526644462,0.009587701247148642,0.003140499648100069,0.015234669367900732,0.011233223628921159,0.014047493114925,0.016627067961912805,0.015253393925448474,0.01054464240058564,0.011728544692289285,0.007502205461969343,0.016044371436299575,0.005073118848175869,0.0014169370376861427,0.0037225431859281184,0.0111793407702987,0.012760049627990554,0.004931308082672983,0.012173484802385275,0.02983321789546195,0.011180289822309524,0.0029268353503759913,0.024059369500679467,0.018608940859560427,0.008791304533527382,0.045797103628610766,0.01282519224561995,0.01042676049610358,0.005746322716492959,0.03202151653922623,0.02816358579067604,0.015064811936259477,0.001250398345221269,0.02280974770637365,0.004753030791901141,0.021775099491547874,0.01500700462505934,0.0027323803700236723,0.016451997622125784,0.0031231269921852076,0.007892039044326726,0.018204936491274543,0.010036785036195452,0.002034264637625601,0.043313507574706346,0.003230326993348407,0.012632197990828358,0.003740075558729502,0.021443013992948973,0.021318698214442513
