decade,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
1880s,0.01792290955676568,0.012415409927302438,0.013550145268436332,0.0057449352037333215,0.040044915011114984,0.006214086030767454,0.0031586587318801983,0.03167355302231843,0.0015859574689406236,0.06473736371062151,0.019740651443775178,0.00763639052336111,0.03174386187645464,0.018644421723597402,0.01508507806117673,0.009211214182419573,0.0019106453570127068,0.01677897039884285,0.0024694094746263323,0.00889608899781378,0.015895076615511972,0.015289867289852006,0.006436106025655481,0.01666464264185541,0.005089192611351875,0.02278911319793779,0.018458069097468763,0.011686102786411754,0.0063941683042070254,0.010315636917611113,0.009302980614588835,0.004866449137976843,0.011028037856418503,0.0026476219634536083,0.004351370168986791,0.022400990682023794,0.022580461120023636,0.011908441186738556,0.007875862502881137,0.0228061817961018,0.019493900501337584,0.0058095320200632385,0.015645484182832455,0.0011556520278957804,0.011457178591723535,0.07550462635851035,0.012210580604084658,0.012046887580890953,0.004848002811413726,0.029346771704521536,0.015514091974359413,0.005564789991787133,0.004766871678742381,0.03989840576397386,0.0040672650963370395,0.005743729981576306,0.006734575604075213,0.006416165433892468,0.012577096968502314,0.003118031039168886,0.007880600837563796,0.012230921245122216,0.005816740197473721,0.0034272342704450326,0.004770307470984426,0.004681582246005228,0.006333903902504233,0.008524714682909922,0.03165287670786823,0.023601849665396957
1890s,0.015852727651935246,0.011918164168956418,0.021653309065516557,0.0071524055511415115,0.04147984799197702,0.005293604829910751,0.003533331160316789,0.00370056041923597,0.002148138952687762,0.07146331603973083,0.018345638525288352,0.008567445251349054,0.030755521125791038,0.019979920880074973,0.01722714389238956,0.006381241594212592,0.0017266495253676205,0.014260672766901468,0.003165260682647379,0.0063150558520913514,0.009107635104600172,0.00804676294609441,0.0055397694541976855,0.014512783254662301,0.006248344879695828,0.004045330414905311,0.023894147361595966,0.020319170064657322,0.00546716082452372,0.009562740161168936,0.006515212114385957,0.00672237655801891,0.010346169668670758,0.00802016546854296,0.019551481638638547,0.019605152842723544,0.017377693418887022,0.007027420897847613,0.006861322727965462,0.020867557300689343,0.01748583548540803,0.017537263798541137,0.03013179141908539,0.003344128633242574,0.012860067031728812,0.047923391478903024,0.017421973958732365,0.009726903170788889,0.0036186658433668794,0.025231602218793083,0.01663534637573596,0.006374774030871804,0.003559695162171727,0.04047103104727884,0.010621533404574605,0.016261242356461994,0.007886413943005868,0.012731635706088994,0.015259876746970522,0.004854724557316791,0.008457959421263732,0.01051470499218315,0.0015601299346743509,0.002682879865006325,0.0046904352284642715,0.03227256422747386,0.008675983151108657,0.0034774008976434234,0.025327392344647842,0.021166799930356014
1900s,0.015978875931427095,0.016584400892851157,0.008494053466485775,0.005671918755305994,0.037162133533003086,0.009364134613244514,0.03010928612184851,0.006623570893843406,0.00340765266179399,0.04267831772474956,0.01609974828340714,0.03003876349673384,0.037131958806955315,0.01937524451026218,0.011805403019440892,0.006132817359444687,0.002633214947950378,0.012758839822417139,0.0209969422885844,0.005836146776559497,0.01741508995756983,0.00543835728705636,0.005716995035601287,0.013332894688240516,0.008083030980163355,0.007000657653132625,0.022780966040163424,0.02058133614530295,0.0033423815485803515,0.010032036392084555,0.005115437331959389,0.006934778953815352,0.00898897670914863,0.0046570050269042354,0.0018258962770797559,0.016478727046252632,0.01048672614111057,0.00418266324871314,0.017613323082495875,0.018043817656785352,0.02036607672116338,0.01128265345206411,0.0319741067228605,0.007505034302872961,0.014136489548337404,0.02855643635014022,0.00860560298168523,0.013929264750800339,0.005656541022166005,0.030896595953852135,0.01933121476195748,0.008157586482776187,0.008190395284631896,0.022694730695278106,0.008107232299389738,0.022645984687842256,0.011421169322652247,0.014604683441780507,0.011579932727330372,0.006083784764791913,0.0126913498079086,0.00905005968434943,0.0032615154979125753,0.003701557437464479,0.03494139462477746,0.013581651017009077,0.007098987726191824,0.005382719311998853,0.01959065364301812,0.01769505010097644
1910s,0.011943996489390617,0.01730852798291162,0.011504468471281781,0.013719422174229423,0.035379859014011895,0.006019361683533789,0.007643485116283511,0.002723082682369201,0.04080760360913399,0.04850941997268261,0.012861693571888818,0.09277251621313712,0.03792245179637539,0.022038763443669944,0.013501876725465654,0.006932017711919438,0.0021841917963682893,0.010930385814876067,0.006065750950355544,0.009563170807241679,0.010586285816243012,0.00784107506961912,0.005911375322687732,0.009091853869101175,0.007545711743366988,0.004052557037614957,0.0331551808768435,0.01097127188148829,0.003655137831492331,0.01372802298128886,0.003599048189759227,0.004517970612167503,0.0070828208998829105,0.0027658201229146515,0.002134445219685566,0.015019922143146241,0.011124004879195296,0.007273240908101146,0.007203014294283522,0.011789953603043796,0.016000884650045965,0.006059275998207848,0.030747388117127395,0.0010802885115197404,0.012232368244056342,0.030264090145786685,0.009395991047792904,0.024002680718369994,0.00879746986844332,0.02638646289223459,0.014392932455858284,0.010623123908825602,0.0032723144163453763,0.024510356905821575,0.005845175816137998,0.006598525043217635,0.006981341300206755,0.02632076411866622,0.016402283829544742,0.004552781078485741,0.01589391883742503,0.01228417680802873,0.0015202770205253028,0.00520747597890608,0.009597308134354193,0.0054606590934919725,0.006245881979951583,0.0035795048804300776,0.01585411941485864,0.02993587238491151
1920s,0.015398436228501974,0.015207816431445116,0.01554495858855773,0.0046480845023717755,0.03481416646685013,0.004582520264575485,0.016939024997176172,0.0022190295633215023,0.007537696584718699,0.044072523236197356,0.01405812614099958,0.11055364640712105,0.047445342359869094,0.013591616044037306,0.010271746514478935,0.005313268369390424,0.04671936264971957,0.014729790138259244,0.0030455647874570646,0.010599964865332883,0.047353909108788915,0.005214444573340639,0.005588915575850582,0.010393288069624083,0.005394246605075166,0.0026867397392341683,0.02686659010796918,0.020689539408697985,0.009222808749569164,0.008695269388948655,0.00966118179485371,0.005428315968355818,0.006105128971489633,0.005799652848992613,0.0028053199993562086,0.015917461796153227,0.007100534419778495,0.0051741908263614805,0.010920568372109017,0.017907151594765275,0.022144409109519998,0.004912169598815388,0.023282813835645847,0.0015888792047951252,0.01970041784138776,0.027456776054766836,0.009834717912494562,0.013776117291449319,0.00664051279062973,0.02626890215948237,0.014726058814207089,0.012401947743832636,0.006642865286352742,0.017162815713077182,0.0038689217373640995,0.009682757647901902,0.004198706331754987,0.008145610589633319,0.013812673968911922,0.0021378325504485384,0.0021287679434414454,0.007878759862103735,0.001301715570673336,0.0036810903034438357,0.004243176541132056,0.004403850259552127,0.005332725642528781,0.0029303746994152878,0.01849661723109438,0.01454582205498305
