protagonist-gender,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
female,0.019998577292961926,0.013891286170841774,0.02217730709598448,0.004404320926742524,0.04240444039084242,0.005953360482581495,0.006237259716103849,0.0034715857447353516,0.0032191027437241944,0.06971954185308109,0.017605149970879006,0.011453538027248876,0.03957409929163957,0.017453319925047034,0.015325643357532746,0.008754496686206082,0.0013026735059387489,0.01669284973772544,0.007019766458098956,0.005969385846233429,0.006373651564254278,0.02491913206033,0.005485421409282358,0.011209581149615806,0.004584646069507491,0.005556776837065013,0.024425107134088023,0.010716223615754354,0.008179986317780141,0.009751784475069166,0.005190552865592038,0.00503827148394398,0.014794299593362075,0.002950403803056805,0.0016124854944684866,0.02040330656641882,0.018174267382378213,0.007255360590576211,0.014745490760745791,0.021829063753363194,0.021170844612475107,0.006185641502110483,0.01837154301702236,0.0011524211028542785,0.014188485678441198,0.060467618073758084,0.008685312152559115,0.008592661281465148,0.007129829040865602,0.028604631705999983,0.014006039412974458,0.009607681584619217,0.004791576785843954,0.04529897392038336,0.015010798686026196,0.00404580552156428,0.006363071551956446,0.011592925476179879,0.020057611606794527,0.0033489358433448973,0.010386149809786527,0.013410449366427334,0.006922006087416539,0.0031463220551929344,0.004826541111737712,0.0051609342017106645,0.01013000077577273,0.004511327482908319,0.026099837568773033,0.029568636046698227
male,0.015390815216573487,0.013945792383352812,0.013519842870471073,0.007183136904779176,0.03844287741850375,0.00669626129670601,0.010626711492327068,0.018476365906547117,0.008316140681994164,0.05739145951516917,0.017353018240466096,0.03394690142606979,0.03212833198380262,0.020699307744291955,0.014508727713488491,0.006592327623291862,0.005379907942451214,0.01403032776765525,0.006374814927444913,0.008642748574541998,0.01731277652854971,0.006219865378849588,0.006029727835604818,0.01467034863690161,0.006623462701387358,0.013175695869509986,0.02329415038808589,0.016176182912099407,0.004802833691442031,0.01088206010597351,0.006884948978900099,0.0060558469972049455,0.008765452170223507,0.0055677546364699985,0.0033996136929460405,0.019713796341895184,0.01698355992165124,0.008617926831016852,0.008228660822572165,0.01919595997629209,0.018556424790712588,0.009993165511248384,0.026371489017125316,0.003378150290946528,0.012611944481986392,0.051477511257132194,0.013365095750432621,0.012226480326434277,0.004836633037981085,0.02742626669476996,0.016993075547880345,0.006325659740245675,0.004977324176778898,0.03177739669456997,0.004067479878869928,0.012913428992282126,0.006928660367413644,0.01262522724294215,0.011986756064980545,0.004549146161602854,0.009830123825165895,0.010337254766298529,0.002624059903536068,0.0037586016124613922,0.012611163864953073,0.015772101254664085,0.006198168303709148,0.006366366965019717,0.02561270189879406,0.02043294185883208
other-mixed,0.01308170920575126,0.010801475942437804,0.007128814774378641,0.012061548064982136,0.03651038872079491,0.0045117643211548064,0.003591748527119443,0.007681453245004163,0.0024560701614803047,0.055575783347586505,0.02024082246437535,0.0074562277369923085,0.036067981025639816,0.010253041757629812,0.014420365397544911,0.011355106944969658,0.0064001972378582095,0.014201159125682164,0.0032396624437692327,0.005083455424033431,0.023212076182229344,0.00602353145073287,0.006514355135663093,0.019083164193488968,0.007004697901509487,0.012405799054473298,0.01446948887373508,0.03040691925202944,0.004162608299910097,0.00685641036579029,0.015565719089211198,0.004676375430508147,0.005095811389371556,0.0014057912787325284,0.06845463400513103,0.013466965829222646,0.011934803127119392,0.008128719218882245,0.004988820738607155,0.021503827828561757,0.014936443554348464,0.021353157719681538,0.026205683510885983,0.002953057753281111,0.011707485253217213,0.030563444817538483,0.016482792492364114,0.03490540687158641,0.0030589044178160243,0.030958271631206097,0.01629952445791477,0.008809828205820325,0.005159976835565865,0.02446534023900872,0.009885072241916707,0.024799147513088052,0.01944625660891069,0.006372872836238191,0.011765568780999163,0.003544314570530323,0.002988132383406192,0.009966596392863491,0.0013409033401118702,0.0017276988453296398,0.005258988300800034,0.023022858709273467,0.006671848751807449,0.002397081515630764,0.01956079391284998,0.01691677631536201
