year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1900,0.0276466717,0.0015385246,0.0095480256,0.0174451595,0.0555944575,0.0310380967,0.002516489,0.0274741859,0.0059858425,0.0008497747,0.014758454,0.0547375271,0.0026711906,0.0018401225,0.0071572006,0.0036553718,0.0079101597,0.0268211152,0.014163812,0.0134958403,0.0256274959,0.0102580483,0.04540472,0.0329659868,0.0028706369,0.0036006578,0.008687237,0.1009560063,0.0157379505,0.008485084,0.0252172138,0.0050906384,0.0047025302,0.0186228908,0.0064627745,0.0050407157,0.0124789247,0.0024687077,0.0096815076,0.0043742521,0.0152202834,0.0010154922,0.0191566226,0.0962846515,0.0175205369,0.0108219137,0.0942611365,0.0293173544,0.0368283085,0.0039916996
1902,0.0260378745,0.002386702,0.0072064797,0.0169315244,0.0462334623,0.0433300862,0.0026327725,0.0202426896,0.0054783132,0.0009094109,0.0141026165,0.058252895,0.0021087098,0.004187006,0.0036452625,0.003288949,0.0030412592,0.0123431689,0.009449711,0.00941118,0.0232942021,0.0108886441,0.0637275133,0.0108899616,0.0034943584,0.006211139,0.0113184789,0.0834077938,0.0126863373,0.0028224619,0.0733476242,0.0081295482,0.0043516603,0.0153646611,0.0056613571,0.0535950904,0.0164869263,0.0035148412,0.0859274668,0.0035365963,0.007124953,0.0014994021,0.0268527147,0.0207952485,0.0171638657,0.0097226572,0.0718730111,0.0242959381,0.015347482,0.0154479923
1904,0.0432223399,0.0009150453,0.0086759269,0.0173038089,0.0994911079,0.0177537994,0.0008400405,0.0300269723,0.0010307587,0.0005407832,0.0233859683,0.0469514994,0.0031012817,0.0046365701,0.0045184612,0.005078323,0.0025072454,0.0150306249,0.0078610647,0.00980709,0.0168598043,0.009539977,0.0322081991,0.0102416743,0.0078954965,0.0109204389,0.0133989297,0.0166777478,0.0081250261,0.001748083,0.152076284,0.0073277977,0.0021570589,0.0265387698,0.0061547364,0.0105206696,0.0133687251,0.0012787891,0.0258989633,0.0041714536,0.0057583151,0.0009232272,0.0111082572,0.083742502,0.0146473475,0.0077330966,0.0587843236,0.0717922717,0.0201009812,0.0056223419
1906,0.0265528988,0.0016940441,0.0079872142,0.0178541462,0.0396379915,0.008205831,0.0016531226,0.0140732823,0.0021501352,0.0004876399,0.0127533761,0.022549031,0.0046722715,0.0065537922,0.0055429226,0.0058842076,0.0019681854,0.0071625662,0.0025552205,0.0148397203,0.0791241301,0.011304832,0.0808280006,0.0023375934,0.0159665554,0.0080374061,0.0218147055,0.0909219878,0.005884964,0.0014110265,0.0040180454,0.0119101705,0.0049909574,0.0266919987,0.0131816464,0.0395870148,0.1992661107,0.0025607982,0.0017491726,0.0076063974,0.0046541203,0.0012158955,0.0134616289,0.0127010409,0.0210992719,0.0120089319,0.0630689944,0.0127248822,0.0176629563,0.0074311649
1908,0.0699973827,0.0019653051,0.0058836935,0.0212707521,0.0468917525,0.0495524959,0.0021544407,0.0121321412,0.0032117689,0.0008638723,0.0231526803,0.0990318111,0.0020904945,0.0040426798,0.0052057744,0.0041849454,0.0043217461,0.0104784972,0.016747163,0.012818795,0.0204920451,0.0037899914,0.0236533746,0.0277138033,0.0063828786,0.0134413701,0.0314062413,0.0694339823,0.0105355607,0.0023010456,0.0860817693,0.0068860273,0.002674913,0.026580161,0.0039893869,0.0066286885,0.0411820257,0.0053526557,0.0154278081,0.0037778905,0.0056136247,0.0008635415,0.0080680294,0.0280955414,0.0142803567,0.0082977708,0.0566397343,0.0542420209,0.014735552,0.0054340175
1910,0.0457712705,0.0007398006,0.0244842272,0.0312903278,0.1704560813,0.0997685735,0.0006494645,0.0321281644,0.0015885072,0.0006647761,0.0392716569,0.0319462743,0.0022074494,0.0050365051,0.0073062079,0.0179052848,0.0108624927,0.0218430056,0.0204318988,0.0117210577,0.0319435793,0.0056327646,0.0103792256,0.0010046691,0.0135785218,0.0114774875,0.010564049,0.0181891778,0.0077132554,0.0011050535,0.0089911211,0.0088179734,0.0033072589,0.0265339945,0.005243166,0.0087574788,0.0295669627,0.001827185,0.0019603353,0.0042780579,0.0076474978,0.0006646428,0.0037832644,0.0588164675,0.0133868294,0.0132613985,0.0035048983,0.0851674469,0.0179724868,0.0088507243
1912,0.0394168881,0.0010938285,0.0047103239,0.0151261315,0.0801565848,0.0127943652,0.0042699372,0.062862732,0.0029862542,0.0008935923,0.0608515579,0.0305719512,0.008555595,0.0050051487,0.003490177,0.0053229886,0.0093229586,0.0154179695,0.0055321384,0.0072768403,0.0376916607,0.0147949829,0.0325318702,0.0025385268,0.0043863887,0.0061472173,0.0057603804,0.0155795381,0.0142759624,0.0015114442,0.0050340063,0.1133248456,0.0054120513,0.0219753384,0.0177766972,0.0457579865,0.0329194617,0.0025014666,0.0105994853,0.0044890488,0.0104447989,0.0011171267,0.0118748861,0.0200792424,0.0092339001,0.0124092088,0.0959273326,0.0287030916,0.030009499,0.0095345916
1914,0.0634033609,0.0005996926,0.0219537808,0.02286296,0.0380045374,0.1347008719,0.0116812879,0.0072884082,0.0024236713,0.0017474707,0.0109516944,0.0406594386,0.005277377,0.0137848559,0.0048239327,0.0181811713,0.009014088,0.0124032096,0.0077136284,0.0046755605,0.0304702986,0.0104447234,0.0225004764,0.002888986,0.0548738543,0.0039597747,0.0070052322,0.0217349633,0.009834128,0.0137815,0.0089008826,0.0047241265,0.0020109192,0.0107379452,0.0046014017,0.1979143827,0.0112871455,0.007980269,0.0013334129,0.0039956605,0.0070045552,0.0014360992,0.0189653064,0.0294285202,0.0185020525,0.0163262078,0.0035449371,0.0108845242,0.0218743208,0.0089023959
1916,0.0727233286,0.001167383,0.0157048388,0.0291960009,0.0498491083,0.0224182503,0.0124711618,0.014789886,0.0062151877,0.0007297895,0.0120788138,0.015584077,0.006989903,0.0066223379,0.0187864511,0.0074589374,0.0074604704,0.0114087548,0.008502355,0.0054678466,0.0382126049,0.0103155642,0.0265422677,0.0034891578,0.0869269176,0.0117106682,0.0054786168,0.0103998694,0.0095703062,0.0125727797,0.0070387259,0.0047287281,0.0029934765,0.0335687408,0.0038325606,0.2021355846,0.0576090738,0.0023469049,0.0126252581,0.0033884242,0.008655597,0.0016308872,0.0149536133,0.0119586884,0.0130493689,0.0087788505,0.0094198502,0.0129874139,0.0331835715,0.014271047
1918,0.036451157,0.0016961957,0.0243219744,0.0150141752,0.0648805684,0.0193297003,0.0015062364,0.0670485332,0.0080101075,0.0012015824,0.0871957802,0.037433822,0.0021132841,0.0179587965,0.0063131937,0.0150183441,0.0159862648,0.036781431,0.0070646283,0.0098609963,0.0188761792,0.0045419209,0.02045558,0.0025667414,0.0081056801,0.0150724664,0.0615797375,0.0252712481,0.0073390703,0.0050934218,0.0176923626,0.0511370389,0.0034623982,0.0306333457,0.0041925207,0.0375746049,0.027272671,0.0040387027,0.0083400804,0.003706826,0.0038953888,0.000885292,0.0166571966,0.0512483389,0.0124410848,0.0252921873,0.0075509658,0.0277258499,0.0181193964,0.0040449311
1920,0.0243864966,0.0011933782,0.0068874647,0.0223190468,0.0521414292,0.011941285,0.0014802826,0.272512658,0.0084916878,0.0010070591,0.1222964277,0.0339745289,0.0036649424,0.006140242,0.0048248848,0.0079144873,0.0081412157,0.0168332821,0.0107088574,0.0093585954,0.0185890851,0.0121594801,0.0327827885,0.0051057169,0.0073912579,0.0071944575,0.0049843038,0.0131718122,0.0117348501,0.0010614987,0.0124061434,0.0082509508,0.0043487523,0.0246605076,0.0044063505,0.0032177626,0.0175689197,0.0061082956,0.0084966867,0.0097134062,0.0135944604,0.0015097004,0.0076604412,0.0449814295,0.0077021986,0.0090205731,0.0082112541,0.0316976545,0.0269450604,0.0091059499
1922,0.0322220987,0.0011983441,0.0132375121,0.040505261,0.1022463026,0.0061715004,0.0024675873,0.0416304286,0.0029783849,0.0014553802,0.0670716817,0.0256139561,0.0064262729,0.0056198787,0.0056857028,0.0036957108,0.0139953282,0.0218931962,0.0059617251,0.0158396818,0.0349590477,0.0119085549,0.0458131256,0.0023019268,0.0077794595,0.0084408541,0.0075291258,0.0707727375,0.0149968274,0.0026014097,0.0035483014,0.0070767346,0.0070941252,0.0170816452,0.0160003851,0.1169865073,0.0347186651,0.0048625395,0.0066529284,0.004873761,0.0144213772,0.0018731707,0.011970646,0.0214722368,0.0152923847,0.0096671925,0.0282098613,0.0177067849,0.0253188129,0.0121529373
1924,0.0217109102,0.0011724475,0.0040310939,0.0113413939,0.1446317951,0.0051117293,0.0011686165,0.0951504319,0.0013614136,0.0006311686,0.1443809524,0.0425005074,0.0044865021,0.0130638759,0.0040931755,0.0045585038,0.0135661047,0.0194894166,0.0100514943,0.0083667642,0.0193518537,0.0093978663,0.0317870235,0.001207119,0.0027029067,0.0058249434,0.0034777763,0.0186873789,0.0091117212,0.0007276067,0.0251067678,0.009256351,0.0052453815,0.0182727755,0.0094372005,0.0928308719,0.0299222608,0.0032114786,0.0067086111,0.006619929,0.0103664197,0.0017005686,0.0049753982,0.0214156483,0.0162941335,0.0148488166,0.0164414194,0.0198402454,0.0271258808,0.0072353485
1926,0.0414301491,0.0012025606,0.0108824212,0.0253759208,0.0778800862,0.0061633048,0.0033718715,0.0343982268,0.0029657322,0.0010736084,0.0312028293,0.0318792143,0.0044245358,0.0021586271,0.0029361517,0.0041626774,0.0071519863,0.0250970446,0.0136711856,0.1442565076,0.0188279744,0.0075912414,0.0243802817,0.1593209814,0.0112783295,0.0086132424,0.0189682643,0.0285520404,0.0092445459,0.002200365,0.0086836489,0.007030334,0.0048022926,0.0247464757,0.0107480334,0.0050018448,0.0401354878,0.0025798359,0.0070515073,0.006332912,0.0112034695,0.0011324054,0.0065113042,0.0256088611,0.0094490651,0.0063417612,0.0050973487,0.0228563126,0.0283014556,0.0057237365
1928,0.0398977367,0.0017335152,0.0095885987,0.059131462,0.1326989114,0.0079535305,0.0030393708,0.0140143449,0.0020747495,0.000733181,0.0327607049,0.0498829699,0.0032685948,0.0019526879,0.0064270023,0.0055470094,0.0120209239,0.0200372062,0.0084082473,0.1144321039,0.0362986667,0.0057205092,0.0173557153,0.0047095049,0.0013506165,0.0121781203,0.0126250245,0.0727659283,0.014492348,0.0024175697,0.0063071613,0.0039480552,0.0049189024,0.024191791,0.0094268565,0.0042844304,0.0152980627,0.0043579245,0.0031962341,0.0045207331,0.0122085455,0.0021940249,0.0152969299,0.0197462943,0.0175137994,0.0064728795,0.0423311949,0.0266918279,0.0385006915,0.0330768064
1930,0.02043567,0.0017111142,0.2220746987,0.0412587355,0.0509462262,0.006188925,0.0033377377,0.0141081632,0.005065502,0.0012164941,0.016522941,0.0196291617,0.0201961889,0.0099243141,0.0054982629,0.0025678957,0.0232763169,0.0281268038,0.0159843514,0.0087576986,0.0314626913,0.0093551762,0.0148533291,0.0009379928,0.0157982825,0.0236579277,0.0043958425,0.0366097826,0.0149359973,0.0028698923,0.0076830892,0.0096984937,0.0053565784,0.0132792621,0.0274561264,0.0072802026,0.0210925184,0.0065840504,0.0059930622,0.0119442103,0.0798942608,0.0017520408,0.0209921424,0.0195045826,0.0115549985,0.0103074764,0.0037170316,0.0402316378,0.0188548013,0.0051193183
1932,0.0218890436,0.0021792333,0.0271623501,0.0279109231,0.0384959292,0.0133938482,0.0127432969,0.0312633388,0.0059302827,0.0025583128,0.0412028448,0.0819389862,0.0088327132,0.0028616665,0.0079459618,0.0111873128,0.0054046435,0.0228839245,0.029383583,0.0128875841,0.0319326897,0.0103239442,0.0128845553,0.0021815331,0.0266641281,0.0087766122,0.0063493841,0.0197694664,0.057348828,0.0409717197,0.0061603376,0.006434115,0.008363647,0.0141983289,0.0244166045,0.0046839894,0.0383445052,0.0059418511,0.0087332665,0.0120538753,0.0521040283,0.0016985879,0.0191043796,0.0169703392,0.0143361712,0.0165266194,0.0045352786,0.0276376438,0.0818816536,0.0106161377
1934,0.0104932107,0.0009664233,0.1892433493,0.0574409143,0.0549000995,0.002022351,0.0037025667,0.0087269394,0.002037328,0.0013020318,0.0069777228,0.0287355618,0.0053774022,0.0020683197,0.0051313205,0.0025118835,0.0040922136,0.0244255559,0.0031580394,0.0622496628,0.0413174111,0.0112624613,0.0244524728,0.00194013,0.0021718097,0.0308853072,0.0055411627,0.0373256097,0.022057892,0.0022278308,0.0030876661,0.0032314003,0.0063256628,0.0238608262,0.0175366565,0.0016510959,0.0182958453,0.0015871015,0.010332048,0.0164688043,0.1318552589,0.0018745385,0.0194177535,0.0142263975,0.0145861597,0.004740168,0.0018349982,0.0105849343,0.0322246946,0.0115330062
