year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1950,0.0234509953,0.0023281464,0.0711986087,0.0361643797,0.0121999281,0.008122999,0.022117676,0.0104834551,0.0106037616,0.0032889081,0.0237539296,0.0456811009,0.0132367857,0.0044958237,0.0129580682,0.0263913342,0.0065872823,0.0192002909,0.0030868764,0.0255923112,0.0362071815,0.0072005397,0.0109247782,0.0025895279,0.0053476004,0.0143773089,0.0060742595,0.0132866681,0.0198936289,0.0104728961,0.0044597404,0.0048381957,0.0069474209,0.0393667054,0.0291379798,0.0036444824,0.0069927786,0.0045010137,0.0101275388,0.1291478939,0.0754617672,0.0028688197,0.0209782466,0.009145093,0.0088603062,0.0061074779,0.0019015484,0.0129844701,0.1077179614,0.0074935096
1955,0.0196313046,0.0050694214,0.0206280448,0.0373201805,0.0234591993,0.0081539826,0.0903285515,0.0151470579,0.0081446609,0.0065789873,0.0232421785,0.0333620841,0.018249598,0.0062832509,0.0389390332,0.0358090085,0.0049078801,0.0103440821,0.005913786,0.0102686224,0.0481795984,0.0360444179,0.0130173009,0.0025240777,0.0068338554,0.0121930683,0.0038437709,0.0143058961,0.0237521277,0.0688498059,0.0027735235,0.0055416146,0.0167027428,0.0164822216,0.0531386811,0.003445905,0.0232558208,0.0057464988,0.0041732165,0.0190624054,0.0485145578,0.0057814562,0.0115120424,0.0093982028,0.0116917752,0.0162319625,0.0033779135,0.021264066,0.0507391528,0.0198414067
1960,0.0368733994,0.0040875306,0.0184809118,0.0445274534,0.0528855226,0.0075064155,0.0179044395,0.0141645179,0.0056165419,0.0044340492,0.0201940872,0.0198942428,0.0112508659,0.1004046592,0.0699240389,0.0430452879,0.0076924383,0.0218700981,0.006619858,0.0086416214,0.0313786303,0.0054589822,0.0059476075,0.0023557262,0.0128345097,0.0170785849,0.0064701586,0.0152811348,0.022553893,0.0668230787,0.004666081,0.0051455611,0.0154712487,0.019898965,0.0201298761,0.0043714273,0.0100092541,0.0063573464,0.003851889,0.0215148885,0.036364253,0.0046731277,0.0176372974,0.0149250619,0.0100203443,0.015006007,0.0021075969,0.0140576358,0.0603021805,0.0112896729
1965,0.0387307084,0.0039286111,0.0491491157,0.0566224239,0.0278256568,0.009777122,0.0450632918,0.0050139309,0.008495412,0.0045595991,0.0156301438,0.0287128954,0.0462013217,0.0674953922,0.0867536803,0.0150185765,0.0088278457,0.0113967421,0.0030015455,0.0101537765,0.0336640354,0.0055363594,0.008383986,0.0021257096,0.0046580538,0.0146566203,0.0110455343,0.0130667567,0.0178843167,0.0069221379,0.0053146427,0.0035057665,0.0215499334,0.0241194627,0.0325021417,0.0025670494,0.0093993345,0.0247382715,0.0081230692,0.0195870368,0.0379066505,0.0073449594,0.0155115913,0.0086271484,0.0100552675,0.0168619141,0.0013069527,0.0094305821,0.0679000853,0.0133468388
1970,0.0417405849,0.0665980984,0.0125327026,0.0797928044,0.0154158515,0.0194747161,0.0360375697,0.0083294675,0.0057431382,0.0035793319,0.0195164529,0.0324442056,0.037059327,0.0091215761,0.0498776741,0.0225601603,0.0054960244,0.0155518815,0.0074713247,0.0045374713,0.0280142858,0.0080587336,0.0054408474,0.0039199366,0.0139116707,0.0153750784,0.0489241476,0.0095988108,0.013716857,0.0046643729,0.0084440098,0.0039377598,0.027612023,0.0323826674,0.0192878249,0.00343986,0.0085582535,0.0465296897,0.0053398016,0.0078419159,0.07234423,0.0104897197,0.0134816838,0.0081348829,0.0101971468,0.0080755662,0.0041320376,0.0092171302,0.0472285095,0.0088201836
1975,0.0287456431,0.152076528,0.0065378689,0.0455484064,0.0094088534,0.019884023,0.0248300313,0.006111641,0.0157433656,0.0091642466,0.0149629034,0.049644448,0.0191762909,0.0051698515,0.0179961916,0.0314294716,0.0052215058,0.0126840294,0.0148449899,0.0053209681,0.0207608303,0.0071288692,0.0058346035,0.0036568776,0.0096607815,0.0116285395,0.008610947,0.0195306157,0.0126150369,0.0087557749,0.0095244606,0.0046718197,0.0573721107,0.0189397026,0.0147119294,0.0026786103,0.0084633159,0.0614890074,0.0061956051,0.0058482449,0.0066145997,0.0253396959,0.0195951238,0.0072732779,0.0172144592,0.0802764169,0.004222212,0.0138187694,0.0216087729,0.0114577321
1980,0.0292078352,0.0118839713,0.0147365962,0.0366921581,0.0141419685,0.008260703,0.0116601409,0.0041502889,0.0294985901,0.0089337438,0.0136719965,0.0444458636,0.0169190144,0.006979481,0.0720618848,0.0207536785,0.0073219173,0.0394177369,0.011023078,0.0077965285,0.0269358777,0.0100799786,0.0029302583,0.0019603969,0.0165353517,0.1240440219,0.0118516158,0.0122319712,0.0243795067,0.0044694718,0.0088369989,0.0029394517,0.0749873475,0.0168422408,0.0127120541,0.0044915069,0.0121629883,0.0401584054,0.006238808,0.0198761954,0.0104470859,0.0295234942,0.0118591584,0.0088246061,0.0184386472,0.0199979258,0.0029447163,0.0151802482,0.0325920216,0.0059704732
1985,0.0262914358,0.0211355565,0.0256301799,0.0515288591,0.0165997307,0.008882098,0.0255147665,0.0084186879,0.0309087491,0.0679892115,0.012143593,0.0234434973,0.0223376356,0.0064942484,0.0471913557,0.0159804324,0.0058510869,0.016644187,0.0050871348,0.0054821363,0.0329301529,0.0108068729,0.0104494184,0.0032637107,0.0122924887,0.06796445,0.0062182939,0.0118438754,0.0177102397,0.0086952718,0.0047985349,0.0044975893,0.0612227428,0.0252719842,0.0253516758,0.0033316508,0.0209044541,0.0198979497,0.0160438648,0.0223897227,0.0110708905,0.0503746809,0.0140112462,0.0114588018,0.02377763,0.0163763515,0.0026420092,0.0084412317,0.0241930327,0.0082145998
1990,0.0172461461,0.0142038008,0.0097609315,0.0374557148,0.0086440787,0.0089374956,0.0105951359,0.0047556583,0.0720391864,0.0409228431,0.0150151331,0.021964053,0.0238161943,0.0027681172,0.0079247839,0.0149786367,0.0074964178,0.0264667735,0.0137584938,0.0038886827,0.0207214069,0.0091703889,0.0062063917,0.0033968617,0.0070220726,0.1136643792,0.0040801624,0.0083283782,0.0249239541,0.0048232354,0.0052625565,0.0026028683,0.0829509023,0.0195171586,0.0269016464,0.0026886339,0.0090434905,0.0141318972,0.0071765076,0.00641247,0.0122949601,0.0670285651,0.0127961825,0.0107631851,0.0438967054,0.0104241004,0.0015257225,0.0446952708,0.04934359,0.0055680783
1995,0.0275178641,0.0146477394,0.007118343,0.0661276616,0.0135927097,0.0064895806,0.0163218062,0.0057058093,0.0264920253,0.0958447571,0.0149998299,0.033954026,0.032298686,0.0028582662,0.0103290256,0.0173297013,0.006854226,0.0167413654,0.0111620447,0.0051984415,0.0282009188,0.0062737945,0.007375099,0.0025303096,0.0084729481,0.0147222342,0.0226732367,0.0101462847,0.0181229995,0.0078606514,0.0076360179,0.0038845865,0.0691535942,0.0143277373,0.0592598895,0.002982261,0.0098560099,0.0147642314,0.0072403674,0.0085264715,0.0100321087,0.0889052413,0.0140458705,0.0056761555,0.0142508107,0.011063892,0.0019486101,0.0360975922,0.0495895303,0.0127966367
