id,idno,author,title,year,genre,form
tc0093,tc0093,BoyerC,Agamemnon,1680,Tragédie,vers
tc0094,tc0094,BoyerC,AmoursJupiter,1666,Tragédie,vers
tc0096,tc0096,BoyerC,Artaxerce,1683,Tragédie,vers
tc0098,tc0098,BoyerC,Judith,1695,Tragédie,vers
tc0101,tc0101,BoyerC,Oropaste,1663,Tragédie,vers
tc0113,tc0113,CampistronJ,Adrien,1683,Tragédie,vers
tc0114,tc0114,CampistronJ,Alcibiade,1685,Tragédie,vers
tc0115,tc0115,CampistronJ,Andronic,1685,Tragédie,vers
tc0116,tc0116,CampistronJ,Arminius,1685,Tragédie,vers
tc0117,tc0117,CampistronJ,Phocion,1688,Tragédie,vers
tc0118,tc0118,CampistronJ,Virginie,1683,Tragédie,vers
tc0163,tc0163,CorneilleP,Agesilas,1666,Tragédie,vers
tc0165,tc0165,CorneilleP,Attila,1668,Tragédie,vers
tc0183,tc0183,CorneilleP,Othon,1665,Tragédie,vers
tc0189,tc0189,CorneilleP,Sertorius,1662,Tragédie,vers
tc0190,tc0190,CorneilleP,Sophinsbe,1663,Tragédie,vers
tc0193,tc0193,CorneilleP,Surena,1675,Tragédie,vers
tc0196,tc0196,CorneilleP,ConqueteToison,1661,Tragédie,vers
tc0200,tc0200,CorneilleT,Ariane,1672,Tragédie,vers
tc0203,tc0203,CorneilleT,Bradamante,1695,Tragédie,vers
tc0204,tc0204,CorneilleT,CammaReine,1661,Tragédie,vers
tc0206,tc0206,CorneilleT,Circe,1677,Tragédie,vers
tc0207,tc0207,CorneilleT,ComteEssex,1678,Tragédie,vers
tc0219,tc0219,CorneilleT,Maximian,1662,Tragédie,vers
tc0221,tc0221,CorneilleT,MortAnnibal,1669,Tragédie,vers
tc0222,tc0222,CorneilleT,MortAchille,1673,Tragédie,vers
tc0224,tc0224,CorneilleT,PerseeDemetrius,1662,Tragédie,vers
tc0225,tc0225,CorneilleT,PyrrhusRoi,1661,Tragédie,vers
tc0226,tc0226,CorneilleT,Stilicon,1660,Tragédie,vers
tc0227,tc0227,CorneilleT,Theodat,1673,Tragédie,vers
tc0628,tc0628,PradonN,Tamerlan,1676,Tragédie,vers
tc0629,tc0629,PradonN,PhedreHippolyte,1677,Tragédie,vers
tc0630,tc0630,PradonN,Regulus,1687,Tragédie,vers
tc0632,tc0632,PradonN,Statira,1680,Tragédie,vers
tc0636,tc0636,QuinaultP,Atys,1676,Tragédie,vers
tc0637,tc0637,QuinaultP,Bellerophon,1671,Tragédie,vers
tc0645,tc0645,QuinaultP,Proserpine,1680,Tragédie,vers
tc0648,tc0648,QuinaultP,Thesee,1675,Tragédie,vers
tc0649,tc0649,RacineJ,Alexandre,1665,Tragédie,vers
tc0651,tc0651,RacineJ,Andromaque,1667,Tragédie,vers
tc0653,tc0653,RacineJ,Athalie,1691,Tragédie,vers
tc0654,tc0654,RacineJ,Bajazet,1672,Tragédie,vers
tc0655,tc0655,RacineJ,Bérénice,1670,Tragédie,vers
tc0656,tc0656,RacineJ,Britannicus,1669,Tragédie,vers
tc0657,tc0657,RacineJ,Esther,1689,Tragédie,vers
tc0658,tc0658,RacineJ,Iphigénie,1674,Tragédie,vers
tc0659,tc0659,RacineJ,Mithridate,1673,Tragédie,vers
tc0661,tc0661,RacineJ,Phèdre,1677,Tragédie,vers
tc0664,tc0664,RacineJ,Thébaïde,1664,Tragédie,vers
