"ne0007" "ne0008" "ne0013" "ne0014" "ne0016" "ne0017" "ne0018" "ne0026" "ne0029" "ne0039" "ne0040" "ne0045" "ne0048" "ne0053" "ne0066" "ne0079" "ne0081" "ne0084" "ne0085" "ne0110" "ne0112" "ne0113" "ne0118" "ne0120" "ne0141" "ne0143" "ne0155" "ne0160" "ne0166" "ne0169" "ne0170" "ne0182" "ne0185" "ne0192" "ne0221" "ne0223" "ne0226" "ne0228" "ne0233" "ne0237" "ne0243" "ne0244" "ne0245" "ne0266" "ne0284" "ne0285" "ne0286" "ne0304" "ne0307" "ne0311" "ne0318"
"de" 6.41757436112275 4.87258198119183 4.77833692786964 5.4194009196018 4.90374331550802 5.17732332384157 4.8780487804878 5.53570490252746 5.29116599277384 5.36854747286543 5.41098584163608 6.26060976437835 6.53742197678262 7.0591463175636 5.01209977661951 4.98935199269851 5.47845648035992 5.80282960641884 5.77080389677995 4.87609912070344 5.78668287468824 5.3489062654657 5.45589477186069 4.93972361070273 5.35873829778969 4.68402667513496 4.97666444423278 5.53677388584174 6.22080586720217 5.60641333076613 6.08074974118673 5.0785096128932 5.56390977443609 3.81346353813464 5.26731875184077 6.26724054654545 6.65274166275914 5.54419318102587 5.37264510685252 5.6373063690255 5.7790558491227 5.4612118873022 5.37346033150393 5.98834737241292 5.87663315894711 5.84124550333196 6.27519337618477 5.46703784872357 5.0949309316619 4.50618329662883 5.16923482154616
"la" 4.1527021365731 3.29548961327941 3.55140186915888 4.02660595509129 3.91978609625668 4.76313745793425 3.72075659532106 3.29987914455362 3.15432462018388 3.31788131503036 3.22496067121133 3.52413933591363 3.73344741089311 4.31936659742092 3.67879746835443 3.92221104116449 3.61481225125454 3.9844751459906 3.74804789172306 2.8950752441525 3.83962442101733 3.8503414827279 3.23975740205236 2.64301349276357 4.16618109777415 3.16767227691331 3.25507191161063 3.64863158780703 3.55204377119076 4.15011114806322 3.15479758077698 3.25957402705084 3.59456333140544 3.47325828473258 4.95574398164654 3.22968433028862 4.41905736249059 3.91033537081368 3.49197591964561 3.2224716923226 3.40700084664117 3.72294629338242 3.37310090271922 3.27629598133741 3.78947656742173 3.90251813410391 3.83328404899382 3.39631582064799 3.90373029878902 3.64052176859224 3.47688660608455
"y" 2.81472559698366 3.63819454595657 3.79103762281332 4.20963349850453 3.88235294117647 3.99171628268185 3.3142525302804 3.61515422205875 3.26062884008175 3.72756557754257 4.15901940220241 5.41182861411014 5.79267699846384 5.94206874926508 3.95569620253165 3.5524560623435 3.7826613600969 2.98509234202155 3.30185171413698 3.28432905849234 3.68662628633706 2.09838661783629 3.72853596744888 3.76033192851776 2.9328361107874 2.61194029850746 3.34436613010763 2.97249147810961 2.65566566260677 2.62379443734575 3.26922029096061 2.91755195108048 3.84470792365529 4.18531579185316 3.09094573018555 3.07190314167033 3.76543473009648 4.03235177911544 4.06315413698541 4.07695165484825 3.81134499167956 4.08663123831013 3.98689467354189 2.30984037968719 3.94149387822181 3.46612018635372 3.53602166435808 3.65574838595036 3.5690379115195 3.34236828731154 3.64809693138417
"que" 4.12390029325513 3.34746382107879 2.38677210639827 2.18293826168475 2.44919786096257 2.17447579601346 2.64642442342791 3.0213861594241 3.75418414675044 2.84646380748207 3.2872312532774 1.79941603856862 2.5998016606063 2.63003174852036 2.38272524199553 3.51501252018441 3.95570167849109 3.00052224279542 3.23740115515233 3.04104542452994 2.69947393792048 3.23072354746115 2.82519128899353 4.30919010748473 2.31130792836888 3.48258706467662 3.72059243737499 2.91638026568659 2.8768498712184 4.32689783129999 4.05928186127609 2.9227341037467 2.74146905725853 3.89032053890321 3.46607555300646 2.21323000633271 3.44288617019765 3.16545424965719 2.22305158453275 2.50852057051479 2.55598049805856 2.96291897990084 2.29619696697402 3.25101414633586 3.29096935002328 3.27593324290853 3.28233701150141 2.65355683231653 3.18262033712651 3.22378451634762 3.2398261556697
"el" 2.12348135735233 2.03998765612565 2.68871315600288 2.84808713896701 2.91978609625668 3.69143152989904 2.78330844532935 1.97309652671956 1.84070818858875 2.66350891764785 2.11392239119035 2.20683099069736 2.11173119178642 2.0616940383334 2.90860014892033 2.43383024034074 2.16473438311127 2.4818401937046 2.61520537418507 2.23820943245404 2.60306415442332 2.97733346530733 2.50531002891727 2.03208206736581 3.02606533815018 2.73102572245157 2.18711305838651 2.58812967301191 2.16382183029933 2.55377990933119 1.95063477360649 4.19236150697 2.55060728744939 2.59166327591663 3.05839314225481 2.24972361458456 2.32604402006337 2.32063587979641 3.1690655070018 2.79442407404416 3.0289317723995 3.11878395629843 2.86713576731133 2.64195175766212 2.42679887151113 2.30878103438108 2.39833159541189 3.05632885150743 2.46607436256313 1.98712519058106 2.10720400368761
"en" 2.00827398408044 1.72489402134191 2.61202971483345 2.29900450872729 2.51871657754011 2.51100181206316 2.13207234113157 1.71299458777784 2.24251282927416 1.95638265632541 1.77962768746723 1.7383037957493 1.6703288156027 1.61878258142908 2.26870811615786 2.07577636844445 2.06783180481052 2.1293263067939 2.22354428497063 2.19650366663191 2.25095885817283 2.08848856775215 2.31338127287151 2.58420725930282 2.79493454531329 2.23880597014925 2.25973902276407 2.55165738493695 2.32388934968932 2.51702228212354 2.33749250803683 2.43042960045603 2.31058415268942 1.61738776617388 2.41509199981399 2.45580516706559 2.49797519075834 2.43800404397239 2.34799681957584 2.61028283448287 2.52386652264035 2.32758364753733 2.44688057287419 2.11562991990255 2.58703333424635 2.38249690393348 2.56174808958337 2.39886276135758 2.18919247854926 1.95832627477554 2.71302515474779
"a" 2.43506493506493 2.41030388669623 1.61035226455787 1.74545779206285 1.47058823529412 1.45482785399948 1.64260826281732 2.15700698859755 2.33173244240273 2.61299989898196 1.87467226009439 1.71114279894072 1.51282400295565 1.33657351154313 3.04123231571109 2.44319112588051 2.6665513064544 2.30736362341547 2.28303710864877 2.37375317137594 2.87552658604573 2.29040878946847 3.01712004503928 2.72795582998465 2.35015343977003 2.3446596803218 2.36570149538051 2.42680993729572 2.36172349063605 2.02517022282124 2.56633792840408 2.33715085246411 0.183632157316368 2.38934852389349 2.37168854923966 2.27441046722552 0.0809923696662262 2.71689869151928 3.14959352231976 3.08355812563601 2.89901614457128 2.61407831843957 2.97081714751787 0.0678012847768878 2.21041387055247 2.48717343869788 2.35631021119636 2.66066457383166 0.0045639870991298 0.0152464848382179 0.138285262741999
"los" 1.33273984080436 1.43578749045786 1.71099928109274 1.81241908843355 1.49732620320856 2.16412114936578 1.65505226480836 1.51332037202459 1.11619430892766 1.66230792542624 0.904562139486104 1.2629863515991 1.40782079452428 1.31697565946772 1.36587862993299 1.0390582949147 0.925765703408894 1.12638275649243 1.04608214967403 1.3033051819414 1.53626894137866 1.21548055033158 1.60708345062313 1.04544415041328 1.54216680262596 1.28347623584207 0.852462139251357 1.13905761218736 1.58321328269379 1.31452276347342 1.10608619844167 1.49764212053687 1.34904569115095 1.19128351191284 1.54857311156237 1.44579089162472 1.33992639640792 1.31777720965905 1.93908514125302 1.68311554055145 1.94873441742329 1.42208235608467 1.56351521351452 2.1144807455843 1.29831000575201 1.30624520846848 1.52677695983067 1.39548658413789 1.58370352339804 1.12315771641538 0.75069142631371
"no" 1.41390867197319 1.60307947181211 1.02564102564103 0.665148877282264 0.796791443850267 0.574682888946415 1.07848017255683 1.20067258683201 1.89702411460607 1.12354505965676 1.44861038280021 1.41916208324846 0.995585976238163 0.889742484223729 1.3542442293373 1.61241253422574 1.73559439349368 1.63913022836253 1.75255943085199 2.23820943245404 1.09823318592417 1.13431653964169 1.27696599022443 1.43748570681826 0.901215864506856 1.53752514025617 1.5418135060482 1.44486371989283 0.873095560309076 1.28476658906723 1.6182640440255 1.24371663989221 1.34326200115674 2.2593697725937 1.48811830540528 1.65294578552492 1.25040851414525 1.28175331768424 1.03363785353822 1.09515579318031 1.06560009342247 1.13707211352908 1.32020957462986 0.800974499821878 1.24900709414117 1.21483753022351 1.10967581280252 1.26754723686549 1.45743321365545 1.60935117736744 1.52113789016199
"se" 1.17040217846669 1.14992934756127 1.0352264557872 1.03566805053346 0.935828877005348 1.23220295107429 0.962336153973785 0.817087909200778 1.19655523706474 1.11007598801253 0.753801782905086 1.17471311197121 1.3844867482062 1.37184964527888 1.75679448994788 1.61475275561068 1.26146392109361 1.38750415420405 1.38816588582336 1.62304938657769 1.58237796826861 1.5282589329902 1.66082350231594 0.836355320330622 1.45476440197335 1.36022017571716 1.38465568149348 0.984751778024044 0.961860275607165 1.96565787400886 1.05704789407726 1.39918121987874 0.970213996529786 1.43428726434287 1.85239726558261 1.12378846587311 0.733194083294258 1.12138889534478 1.6599866941438 1.6071976610832 1.59402096166759 1.35082979544577 1.72664058503947 1.12963835484205 0.825823769481498 0.874270212891431 0.806188037912627 1.41325593792572 1.42244264589545 1.77367440284601 0.651916238640853
